"plh0182","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","16-34 y.","no migration background","20","","","","0"
"0 Completely dissatisfied","1984","16-34 y.","direct migration background","21","","","","0"
"0 Completely dissatisfied","1984","16-34 y.","indirect migration background","","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","no migration background","55","0.0136161651522692","0.010161500856073","0.0170708294484654","0"
"0 Completely dissatisfied","1984","35-65 y.","direct migration background","27","","","","0"
"0 Completely dissatisfied","1984","35-65 y.","indirect migration background","","","","","0"
"0 Completely dissatisfied","1984","66 and older","no migration background","23","","","","0"
"0 Completely dissatisfied","1984","66 and older","direct migration background","","","","","0"
"0 Completely dissatisfied","1984","66 and older","indirect migration background","","","","","0"
"1 on Scale 1 to 10","1984","66 and older","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","indirect migration background","","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","direct migration background","16","","","","1"
"1 on Scale 1 to 10","1984","16-34 y.","no migration background","14","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","no migration background","21","","","","1"
"1 on Scale 1 to 10","1984","66 and older","no migration background","10","","","","1"
"1 on Scale 1 to 10","1984","66 and older","direct migration background","","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","direct migration background","8","","","","1"
"1 on Scale 1 to 10","1984","35-65 y.","indirect migration background","","","","","1"
"10 Completely satisfied","1984","16-34 y.","no migration background","484","0.151783746181451","0.139140637673786","0.164426854689116","10"
"10 Completely satisfied","1984","35-65 y.","no migration background","866","0.201632031732697","0.189671877271942","0.213592186193453","10"
"10 Completely satisfied","1984","35-65 y.","direct migration background","421","0.214472587396958","0.196388701333931","0.232556473459984","10"
"10 Completely satisfied","1984","16-34 y.","direct migration background","290","0.1767539472807","0.156678776448946","0.196829118112454","10"
"10 Completely satisfied","1984","16-34 y.","indirect migration background","24","","","","10"
"10 Completely satisfied","1984","35-65 y.","indirect migration background","3","","","","10"
"10 Completely satisfied","1984","66 and older","no migration background","307","0.252758150974791","0.228490601977965","0.277025699971618","10"
"10 Completely satisfied","1984","66 and older","direct migration background","10","","","","10"
"10 Completely satisfied","1984","66 and older","indirect migration background","1","","","","10"
"2 on Scale 1 to 10","1984","35-65 y.","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1984","16-34 y.","indirect migration background","1","","","","2"
"2 on Scale 1 to 10","1984","35-65 y.","no migration background","47","0.0105101205341385","0.00747018061826407","0.0135500604500129","2"
"2 on Scale 1 to 10","1984","66 and older","direct migration background","1","","","","2"
"2 on Scale 1 to 10","1984","16-34 y.","no migration background","39","0.0132931300557919","0.00925764596777099","0.0173286141438127","2"
"2 on Scale 1 to 10","1984","16-34 y.","direct migration background","18","","","","2"
"2 on Scale 1 to 10","1984","35-65 y.","direct migration background","24","","","","2"
"2 on Scale 1 to 10","1984","66 and older","indirect migration background","","","","","2"
"2 on Scale 1 to 10","1984","66 and older","no migration background","24","","","","2"
"3 on Scale 1 to 10","1984","35-65 y.","direct migration background","39","0.0193498631371752","0.0132808065147332","0.0254189197596173","3"
