"plh0182","year","pgisced97","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","in school","Male","","","","","0"
"0 Completely dissatisfied","1984","in school","Female","1","","","","0"
"0 Completely dissatisfied","1984","inadequately","Male","9","","","","0"
"0 Completely dissatisfied","1984","inadequately","Female","12","","","","0"
"0 Completely dissatisfied","1984","general elemantary","Male","17","","","","0"
"0 Completely dissatisfied","1984","general elemantary","Female","27","","","","0"
"0 Completely dissatisfied","1984","middle vocational","Male","44","0.0141972478383953","0.0100737644127211","0.0183207312640695","0"
"0 Completely dissatisfied","1984","middle vocational","Female","25","","","","0"
"0 Completely dissatisfied","1984","vocational + Abi","Male","1","","","","0"
"0 Completely dissatisfied","1984","vocational + Abi","Female","1","","","","0"
"0 Completely dissatisfied","1984","higher vocational","Male","2","","","","0"
"0 Completely dissatisfied","1984","higher vocational","Female","2","","","","0"
"0 Completely dissatisfied","1984","higher education","Male","2","","","","0"
"0 Completely dissatisfied","1984","higher education","Female","1","","","","0"
"1 on Scale 1 to 10","1984","higher education","Male","","","","","1"
"1 on Scale 1 to 10","1984","inadequately","Female","4","","","","1"
"1 on Scale 1 to 10","1984","middle vocational","Male","18","","","","1"
"1 on Scale 1 to 10","1984","higher education","Female","1","","","","1"
"1 on Scale 1 to 10","1984","in school","Male","","","","","1"
"1 on Scale 1 to 10","1984","higher vocational","Male","1","","","","1"
"1 on Scale 1 to 10","1984","higher vocational","Female","2","","","","1"
"1 on Scale 1 to 10","1984","in school","Female","1","","","","1"
"1 on Scale 1 to 10","1984","inadequately","Male","7","","","","1"
"1 on Scale 1 to 10","1984","general elemantary","Male","7","","","","1"
"1 on Scale 1 to 10","1984","general elemantary","Female","10","","","","1"
"1 on Scale 1 to 10","1984","middle vocational","Female","14","","","","1"
"1 on Scale 1 to 10","1984","vocational + Abi","Male","3","","","","1"
"1 on Scale 1 to 10","1984","vocational + Abi","Female","1","","","","1"
"10 Completely satisfied","1984","middle vocational","Male","612","0.191726160941734","0.178005118504419","0.205447203379049","10"
"10 Completely satisfied","1984","vocational + Abi","Male","39","0.174748453278653","0.121448033545615","0.228048873011691","10"
"10 Completely satisfied","1984","higher education","Female","49","0.210172155396437","0.160262804965804","0.26008150582707","10"
"10 Completely satisfied","1984","middle vocational","Female","535","0.211503149679633","0.195624843960852","0.227381455398413","10"
"10 Completely satisfied","1984","higher vocational","Male","64","0.173543961066302","0.135516245682627","0.211571676449978","10"
"10 Completely satisfied","1984","in school","Male","17","","","","10"
"10 Completely satisfied","1984","in school","Female","18","","","","10"
