"plh0182","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1984","Full Time","in school","","","","","0"
"0 Completely dissatisfied","1984","Full Time","inadequately","8","","","","0"
"0 Completely dissatisfied","1984","Full Time","general elemantary","11","","","","0"
"0 Completely dissatisfied","1984","Full Time","middle vocational","20","","","","0"
"0 Completely dissatisfied","1984","Full Time","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1984","Full Time","higher vocational","","","","","0"
"0 Completely dissatisfied","1984","Full Time","higher education","1","","","","0"
"0 Completely dissatisfied","1984","Part Time","in school","","","","","0"
"0 Completely dissatisfied","1984","Part Time","inadequately","2","","","","0"
"0 Completely dissatisfied","1984","Part Time","general elemantary","6","","","","0"
"0 Completely dissatisfied","1984","Part Time","middle vocational","7","","","","0"
"0 Completely dissatisfied","1984","Part Time","vocational + Abi","","","","","0"
"0 Completely dissatisfied","1984","Part Time","higher vocational","1","","","","0"
"0 Completely dissatisfied","1984","Part Time","higher education","","","","","0"
"0 Completely dissatisfied","1984","Not Working","in school","1","","","","0"
"0 Completely dissatisfied","1984","Not Working","inadequately","11","","","","0"
"0 Completely dissatisfied","1984","Not Working","general elemantary","27","","","","0"
"0 Completely dissatisfied","1984","Not Working","middle vocational","42","0.0237811491690723","0.0168900212710491","0.0306722770670955","0"
"0 Completely dissatisfied","1984","Not Working","vocational + Abi","1","","","","0"
"0 Completely dissatisfied","1984","Not Working","higher vocational","3","","","","0"
"0 Completely dissatisfied","1984","Not Working","higher education","2","","","","0"
"1 on Scale 1 to 10","1984","Not Working","vocational + Abi","2","","","","1"
"1 on Scale 1 to 10","1984","Not Working","middle vocational","14","","","","1"
"1 on Scale 1 to 10","1984","Not Working","higher education","","","","","1"
"1 on Scale 1 to 10","1984","Full Time","general elemantary","7","","","","1"
"1 on Scale 1 to 10","1984","Not Working","higher vocational","1","","","","1"
"1 on Scale 1 to 10","1984","Full Time","middle vocational","11","","","","1"
"1 on Scale 1 to 10","1984","Full Time","vocational + Abi","1","","","","1"
"1 on Scale 1 to 10","1984","Full Time","in school","","","","","1"
