"plh0162","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1991","Not Employed","Male","15","","","","0"
"0 Completely dissatisfied","1991","Not Employed","Female","13","","","","0"
"0 Completely dissatisfied","1991","Employed","Male","6","","","","0"
"0 Completely dissatisfied","1991","Employed","Female","8","","","","0"
"1 on Scale 1 to 10","1991","Not Employed","Male","8","","","","1"
"1 on Scale 1 to 10","1991","Not Employed","Female","12","","","","1"
"1 on Scale 1 to 10","1991","Employed","Male","16","","","","1"
"1 on Scale 1 to 10","1991","Employed","Female","8","","","","1"
"10 Completely satisfied","1991","Not Employed","Female","238","0.113112558052121","0.099919394462528","0.126305721641714","10"
"10 Completely satisfied","1991","Employed","Male","297","0.0868149222841703","0.0776224507577153","0.0960073938106253","10"
"10 Completely satisfied","1991","Employed","Female","268","0.104053957468441","0.0922653879029669","0.115842527033914","10"
"10 Completely satisfied","1991","Not Employed","Male","118","0.125753993035276","0.105583006710218","0.145924979360334","10"
"2 on Scale 1 to 10","1991","Employed","Female","21","","","","2"
"2 on Scale 1 to 10","1991","Employed","Male","29","","","","2"
"2 on Scale 1 to 10","1991","Not Employed","Male","12","","","","2"
"2 on Scale 1 to 10","1991","Not Employed","Female","21","","","","2"
"3 on Scale 1 to 10","1991","Not Employed","Male","30","0.0171171928119367","0.00922647423006899","0.0250079113938045","3"
"3 on Scale 1 to 10","1991","Not Employed","Female","52","0.0246851129120424","0.0182218880098295","0.0311483378142554","3"
"3 on Scale 1 to 10","1991","Employed","Male","70","0.0199094140856023","0.0153488554026048","0.0244699727685998","3"
"3 on Scale 1 to 10","1991","Employed","Female","39","0.0153290794673569","0.0105856278433754","0.0200725310913384","3"
"4 on Scale 1 to 10","1991","Not Employed","Male","39","0.0313727828896735","0.0207679392326821","0.0419776265466649","4"
"4 on Scale 1 to 10","1991","Not Employed","Female","67","0.0324071965533844","0.0250311044816722","0.0397832886250966","4"
"4 on Scale 1 to 10","1991","Employed","Male","126","0.0353489179889611","0.0293201455667446","0.0413776904111776","4"
"4 on Scale 1 to 10","1991","Employed","Female","108","0.0378169524152842","0.0304521178512086","0.0451817869793598","4"
"5 on Scale 1 to 10","1991","Employed","Male","392","0.102267071811186","0.0923747738754767","0.112159369746896","5"
"5 on Scale 1 to 10","1991","Employed","Female","295","0.111366142775561","0.0992202652181964","0.123512020332927","5"
"5 on Scale 1 to 10","1991","Not Employed","Male","138","0.123089620933085","0.103103075433717","0.143076166432454","5"
"5 on Scale 1 to 10","1991","Not Employed","Female","299","0.13830639769441","0.123926465045288","0.152686330343533","5"
"6 on Scale 1 to 10","1991","Employed","Female","263","0.0961779365417007","0.0847945868142086","0.107561286269193","6"
"6 on Scale 1 to 10","1991","Employed","Male","408","0.108209972525791","0.0980680415847042","0.118351903466878","6"
"6 on Scale 1 to 10","1991","Not Employed","Female","236","0.0979455993650004","0.085564246198613","0.110326952531388","6"
"6 on Scale 1 to 10","1991","Not Employed","Male","96","0.0845044931893549","0.067583828333836","0.101425158044874","6"
"7 on Scale 1 to 10","1991","Employed","Male","691","0.186889517683153","0.174162608314471","0.199616427051834","7"
"7 on Scale 1 to 10","1991","Employed","Female","434","0.174295060739859","0.159648155797884","0.188941965681834","7"
"7 on Scale 1 to 10","1991","Not Employed","Male","186","0.194425572771893","0.170349871646152","0.218501273897633","7"
"7 on Scale 1 to 10","1991","Not Employed","Female","388","0.158833545556084","0.143608052329698","0.174059038782469","7"
"8 on Scale 1 to 10","1991","Employed","Male","1070","0.299321741080223","0.284370262179289","0.314273219981158","8"
"8 on Scale 1 to 10","1991","Employed","Female","778","0.302921257657184","0.285179498605593","0.320663016708775","8"
"8 on Scale 1 to 10","1991","Not Employed","Female","614","0.284978580298342","0.266175676760033","0.303781483836651","8"
"8 on Scale 1 to 10","1991","Not Employed","Male","283","0.289580094789634","0.261987577208825","0.317172612370443","8"
"9 on Scale 1 to 10","1991","Employed","Female","355","0.146587494560337","0.132931641217932","0.160243347902742","9"
"9 on Scale 1 to 10","1991","Employed","Male","499","0.147255833988138","0.135686687152818","0.158824980823458","9"
"9 on Scale 1 to 10","1991","Not Employed","Female","274","0.128340386781384","0.114408356274922","0.142272417287847","9"
"9 on Scale 1 to 10","1991","Not Employed","Male","113","0.106958558333347","0.0881570370372236","0.125760079629471","9"
"0 Completely dissatisfied","1992","Not Employed","Male","15","","","","0"
"0 Completely dissatisfied","1992","Not Employed","Female","25","","","","0"
"0 Completely dissatisfied","1992","Employed","Male","29","","","","0"
"0 Completely dissatisfied","1992","Employed","Female","25","","","","0"
"1 on Scale 1 to 10","1992","Not Employed","Female","12","","","","1"
"1 on Scale 1 to 10","1992","Not Employed","Male","13","","","","1"
"1 on Scale 1 to 10","1992","Employed","Male","26","","","","1"
"1 on Scale 1 to 10","1992","Employed","Female","18","","","","1"
"10 Completely satisfied","1992","Not Employed","Female","211","0.0818783215434846","0.0718613305600377","0.0918953125269315","10"
"10 Completely satisfied","1992","Employed","Male","279","0.0668546222527878","0.0599909332620985","0.0737183112434771","10"
"10 Completely satisfied","1992","Employed","Female","238","0.0723750439804869","0.0643282372565855","0.0804218507043882","10"
"10 Completely satisfied","1992","Not Employed","Male","94","0.0824975452625824","0.0678487275773199","0.0971463629478448","10"
"2 on Scale 1 to 10","1992","Employed","Female","64","0.0124834475459582","0.00903532731905145","0.015931567772865","2"
"2 on Scale 1 to 10","1992","Not Employed","Male","38","0.0267244317662537","0.018137251220353","0.0353116123121544","2"
"2 on Scale 1 to 10","1992","Not Employed","Female","50","0.016622333238471","0.0119513440830042","0.0212933223939377","2"
"2 on Scale 1 to 10","1992","Employed","Male","81","0.0143420711652444","0.0110747918095581","0.0176093505209307","2"
"3 on Scale 1 to 10","1992","Not Employed","Male","59","0.034644333070839","0.0249070404545334","0.0443816256871447","3"
"3 on Scale 1 to 10","1992","Not Employed","Female","116","0.0415940902324187","0.0342996284618705","0.0488885520029668","3"
"3 on Scale 1 to 10","1992","Employed","Male","175","0.0313045621646079","0.0265192015991809","0.0360899227300348","3"
"3 on Scale 1 to 10","1992","Employed","Female","158","0.0319953132764877","0.0265298767964937","0.0374607497564817","3"
"4 on Scale 1 to 10","1992","Not Employed","Male","90","0.0547403066424334","0.0426285363328551","0.0668520769520117","4"
"4 on Scale 1 to 10","1992","Not Employed","Female","175","0.0571124674530957","0.0486343758507178","0.0655905590554737","4"
"4 on Scale 1 to 10","1992","Employed","Female","200","0.0447225187554159","0.0383034676200213","0.0511415698908105","4"
"4 on Scale 1 to 10","1992","Employed","Male","295","0.0516734690724957","0.0455902986728528","0.0577566394721386","4"
"5 on Scale 1 to 10","1992","Employed","Male","763","0.133526852470865","0.124179705267225","0.142873999674505","5"
"5 on Scale 1 to 10","1992","Employed","Female","655","0.146204977446139","0.135232597791412","0.157177357100866","5"
"5 on Scale 1 to 10","1992","Not Employed","Female","482","0.158898843972608","0.145542512767839","0.172255175177377","5"
"5 on Scale 1 to 10","1992","Not Employed","Male","231","0.166630722356786","0.146789212140847","0.186472232572724","5"
"6 on Scale 1 to 10","1992","Employed","Female","557","0.134147993206598","0.123563821863924","0.144732164549272","6"
"6 on Scale 1 to 10","1992","Not Employed","Male","155","0.111223551384274","0.0944828715199456","0.127964231248602","6"
"6 on Scale 1 to 10","1992","Employed","Male","631","0.107356980848315","0.0988500819095819","0.115863879787048","6"
"6 on Scale 1 to 10","1992","Not Employed","Female","368","0.12202818874017","0.110069789048714","0.133986588431625","6"
"7 on Scale 1 to 10","1992","Employed","Female","805","0.193305648047637","0.18104199888673","0.205569297208544","7"
"7 on Scale 1 to 10","1992","Employed","Male","1042","0.209043868884806","0.197869779582462","0.220217958187151","7"
