"plh0162","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","16-34 y.","West Germany","","","","","0"
"0 Completely dissatisfied","1990","16-34 y.","East Germany","33","0.0173364355068853","0.0111191338004779","0.0235537372132927","0"
"0 Completely dissatisfied","1990","35-65 y.","West Germany","","","","","0"
"0 Completely dissatisfied","1990","35-65 y.","East Germany","27","","","","0"
"0 Completely dissatisfied","1990","66 and older","West Germany","","","","","0"
"0 Completely dissatisfied","1990","66 and older","East Germany","9","","","","0"
"1 on Scale 1 to 10","1990","16-34 y.","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","East Germany","8","","","","1"
"1 on Scale 1 to 10","1990","16-34 y.","East Germany","12","","","","1"
"1 on Scale 1 to 10","1990","66 and older","West Germany","","","","","1"
"1 on Scale 1 to 10","1990","66 and older","East Germany","5","","","","1"
"10 Completely satisfied","1990","16-34 y.","West Germany","","","","","10"
"10 Completely satisfied","1990","16-34 y.","East Germany","120","0.0746150040755839","0.0620981865121054","0.0871318216390624","10"
"10 Completely satisfied","1990","35-65 y.","West Germany","","","","","10"
"10 Completely satisfied","1990","35-65 y.","East Germany","179","0.0805868819290613","0.0694794971230104","0.0916942667351122","10"
"10 Completely satisfied","1990","66 and older","West Germany","","","","","10"
"10 Completely satisfied","1990","66 and older","East Germany","53","0.112849361281231","0.0830812374433981","0.142617485119065","10"
"2 on Scale 1 to 10","1990","16-34 y.","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","16-34 y.","East Germany","47","0.0296755877673842","0.0215924914160575","0.0377586841187108","2"
"2 on Scale 1 to 10","1990","35-65 y.","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","35-65 y.","East Germany","50","0.0207488240296113","0.0149322389039648","0.0265654091552578","2"
"2 on Scale 1 to 10","1990","66 and older","West Germany","","","","","2"
"2 on Scale 1 to 10","1990","66 and older","East Germany","15","","","","2"
"3 on Scale 1 to 10","1990","16-34 y.","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","16-34 y.","East Germany","85","0.0488581204557254","0.0385895345165026","0.0591267063949482","3"
"3 on Scale 1 to 10","1990","35-65 y.","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","35-65 y.","East Germany","93","0.044970598980648","0.0365139753824607","0.0534272225788353","3"
"3 on Scale 1 to 10","1990","66 and older","West Germany","","","","","3"
"3 on Scale 1 to 10","1990","66 and older","East Germany","23","","","","3"
"4 on Scale 1 to 10","1990","16-34 y.","West Germany","","","","","4"
"4 on Scale 1 to 10","1990","16-34 y.","East Germany","102","0.0574307074876711","0.0463479370230056","0.0685134779523365","4"
"4 on Scale 1 to 10","1990","35-65 y.","West Germany","","","","","4"
"4 on Scale 1 to 10","1990","35-65 y.","East Germany","106","0.0444248270475788","0.0360172744010424","0.0528323796941151","4"
"4 on Scale 1 to 10","1990","66 and older","East Germany","19","","","","4"
"4 on Scale 1 to 10","1990","66 and older","West Germany","","","","","4"
"5 on Scale 1 to 10","1990","16-34 y.","West Germany","","","","","5"
"5 on Scale 1 to 10","1990","16-34 y.","East Germany","349","0.214895129095943","0.195329368569366","0.234460889622519","5"
"5 on Scale 1 to 10","1990","35-65 y.","West Germany","","","","","5"
"5 on Scale 1 to 10","1990","35-65 y.","East Germany","541","0.229080011108916","0.21193165298229","0.246228369235541","5"
"5 on Scale 1 to 10","1990","66 and older","West Germany","","","","","5"
"5 on Scale 1 to 10","1990","66 and older","East Germany","108","0.245352280839971","0.204869493420702","0.285835068259239","5"
"6 on Scale 1 to 10","1990","16-34 y.","West Germany","","","","","6"
"6 on Scale 1 to 10","1990","16-34 y.","East Germany","237","0.141350729573825","0.124755756892894","0.157945702254756","6"
"6 on Scale 1 to 10","1990","35-65 y.","West Germany","","","","","6"
"6 on Scale 1 to 10","1990","35-65 y.","East Germany","329","0.14515314897488","0.13077901518425","0.159527282765509","6"
"6 on Scale 1 to 10","1990","66 and older","West Germany","","","","","6"
"6 on Scale 1 to 10","1990","66 and older","East Germany","44","0.113177716842043","0.0833718340649326","0.142983599619153","6"
"7 on Scale 1 to 10","1990","16-34 y.","West Germany","","","","","7"
