"plh0162","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1991","Not Employed","West Germany","28","","","","0"
"0 Completely dissatisfied","1991","Not Employed","East Germany","","","","","0"
"0 Completely dissatisfied","1991","Employed","West Germany","14","","","","0"
"0 Completely dissatisfied","1991","Employed","East Germany","","","","","0"
"1 on Scale 1 to 10","1991","Not Employed","West Germany","20","","","","1"
"1 on Scale 1 to 10","1991","Not Employed","East Germany","","","","","1"
"1 on Scale 1 to 10","1991","Employed","West Germany","24","","","","1"
"1 on Scale 1 to 10","1991","Employed","East Germany","","","","","1"
"10 Completely satisfied","1991","Not Employed","East Germany","","","","","10"
"10 Completely satisfied","1991","Employed","West Germany","565","0.0940907948183646","0.0868124165270673","0.101369173109662","10"
"10 Completely satisfied","1991","Employed","East Germany","","","","","10"
"10 Completely satisfied","1991","Not Employed","West Germany","356","0.117141410382123","0.10608857707556","0.128194243688685","10"
"2 on Scale 1 to 10","1991","Employed","East Germany","","","","","2"
"2 on Scale 1 to 10","1991","Employed","West Germany","50","0.00761006589428198","0.00544358879281885","0.00977654299574511","2"
"2 on Scale 1 to 10","1991","Not Employed","West Germany","33","0.00847394901839225","0.0053235336994088","0.0116243643373757","2"
"2 on Scale 1 to 10","1991","Not Employed","East Germany","","","","","2"
"3 on Scale 1 to 10","1991","Not Employed","West Germany","82","0.0222732006118006","0.0172012747512167","0.0273451264723845","3"
"3 on Scale 1 to 10","1991","Not Employed","East Germany","","","","","3"
"3 on Scale 1 to 10","1991","Employed","West Germany","109","0.0179762472644846","0.0146639505635592","0.0212885439654101","3"
"3 on Scale 1 to 10","1991","Employed","East Germany","","","","","3"
"4 on Scale 1 to 10","1991","Not Employed","West Germany","106","0.0320775267093532","0.0260214196090432","0.0381336338096632","4"
"4 on Scale 1 to 10","1991","Not Employed","East Germany","","","","","4"
"4 on Scale 1 to 10","1991","Employed","West Germany","234","0.0363905716374388","0.0317222187407506","0.041058924534127","4"
"4 on Scale 1 to 10","1991","Employed","East Germany","","","","","4"
"5 on Scale 1 to 10","1991","Employed","West Germany","687","0.106107407410524","0.0984296525772398","0.113785162243807","5"
"5 on Scale 1 to 10","1991","Employed","East Germany","","","","","5"
"5 on Scale 1 to 10","1991","Not Employed","West Germany","437","0.133456778439027","0.121768830841719","0.145144726036336","5"
"5 on Scale 1 to 10","1991","Not Employed","East Germany","","","","","5"
"6 on Scale 1 to 10","1991","Employed","East Germany","","","","","6"
"6 on Scale 1 to 10","1991","Employed","West Germany","671","0.10313175560638","0.0955498347249482","0.110713676487812","6"
"6 on Scale 1 to 10","1991","Not Employed","East Germany","","","","","6"
"6 on Scale 1 to 10","1991","Not Employed","West Germany","332","0.0936618901179323","0.0836480788424107","0.103675701393454","6"
"7 on Scale 1 to 10","1991","Employed","West Germany","1125","0.181573926504337","0.171963665336375","0.191184187672298","7"
"7 on Scale 1 to 10","1991","Employed","East Germany","","","","","7"
"7 on Scale 1 to 10","1991","Not Employed","West Germany","574","0.170176800650856","0.157261164974204","0.183092436327507","7"
"7 on Scale 1 to 10","1991","Not Employed","East Germany","","","","","7"
"8 on Scale 1 to 10","1991","Employed","West Germany","1848","0.300840945810578","0.289407551408515","0.31227434021264","8"
"8 on Scale 1 to 10","1991","Employed","East Germany","","","","","8"
"8 on Scale 1 to 10","1991","Not Employed","East Germany","","","","","8"
"8 on Scale 1 to 10","1991","Not Employed","West Germany","897","0.286445092795102","0.270906659976141","0.301983525614064","8"
"9 on Scale 1 to 10","1991","Employed","East Germany","","","","","9"
"9 on Scale 1 to 10","1991","Employed","West Germany","854","0.146973755992805","0.138146620109565","0.155800891876045","9"
"9 on Scale 1 to 10","1991","Not Employed","East Germany","","","","","9"
"9 on Scale 1 to 10","1991","Not Employed","West Germany","387","0.121525952385498","0.110296157932764","0.132755746838231","9"
"0 Completely dissatisfied","1992","Not Employed","West Germany","30","0.00896305672319441","0.00569911334455825","0.0122270001018306","0"
"0 Completely dissatisfied","1992","Not Employed","East Germany","10","","","","0"
"0 Completely dissatisfied","1992","Employed","West Germany","24","","","","0"
"0 Completely dissatisfied","1992","Employed","East Germany","30","0.0102371680653987","0.00659860494831819","0.0138757311824792","0"
"1 on Scale 1 to 10","1992","Not Employed","East Germany","10","","","","1"
"1 on Scale 1 to 10","1992","Not Employed","West Germany","15","","","","1"
"1 on Scale 1 to 10","1992","Employed","West Germany","20","","","","1"
"1 on Scale 1 to 10","1992","Employed","East Germany","24","","","","1"
"10 Completely satisfied","1992","Not Employed","East Germany","21","","","","10"
"10 Completely satisfied","1992","Employed","West Germany","475","0.0839625151568291","0.0770199942473182","0.09090503606634","10"
"10 Completely satisfied","1992","Employed","East Germany","42","0.0167582424704875","0.0121182335238915","0.0213982514170836","10"
"10 Completely satisfied","1992","Not Employed","West Germany","284","0.0942407818895895","0.0841227639906514","0.104358799788528","10"
"2 on Scale 1 to 10","1992","Employed","East Germany","100","0.0342044314188004","0.0276345396101574","0.0407743232274434","2"
"2 on Scale 1 to 10","1992","Not Employed","West Germany","48","0.0163306494435326","0.0119413428270726","0.0207199560599926","2"
"2 on Scale 1 to 10","1992","Not Employed","East Germany","40","0.0372534287742421","0.02568781741739","0.0488190401310943","2"
"2 on Scale 1 to 10","1992","Employed","West Germany","45","0.00773980854867151","0.00554601504077229","0.00993360205657073","2"
"3 on Scale 1 to 10","1992","Not Employed","West Germany","109","0.0358213384332204","0.0293852902908431","0.0422573865755977","3"
"3 on Scale 1 to 10","1992","Not Employed","East Germany","66","0.0565699877494629","0.0424616007214451","0.0706783747774808","3"
"3 on Scale 1 to 10","1992","Employed","West Germany","135","0.0214157419438781","0.0177917808303115","0.0250397030574446","3"
"3 on Scale 1 to 10","1992","Employed","East Germany","198","0.0678191641775991","0.0587304859621243","0.0769078423930738","3"
"4 on Scale 1 to 10","1992","Not Employed","West Germany","155","0.0435010807168864","0.0364368986034486","0.0505652628303243","4"
"4 on Scale 1 to 10","1992","Not Employed","East Germany","110","0.119068828974163","0.099290048575002","0.138847609373325","4"
"4 on Scale 1 to 10","1992","Employed","East Germany","245","0.0893561499876994","0.0790449091785349","0.0996673907968639","4"
"4 on Scale 1 to 10","1992","Employed","West Germany","250","0.0372728630476847","0.032530816230013","0.0420149098653564","4"
"5 on Scale 1 to 10","1992","Employed","West Germany","730","0.112111992514395","0.104213886035921","0.120010098992869","5"
"5 on Scale 1 to 10","1992","Employed","East Germany","688","0.234373020241937","0.219060846486642","0.249685193997231","5"
"5 on Scale 1 to 10","1992","Not Employed","East Germany","274","0.26914342084395","0.24205788429698","0.29622895739092","5"
