"plh0162","year","e11102","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1991","Not Employed","28","","","","0"
"0 Completely dissatisfied","1991","Employed","14","","","","0"
"1 on Scale 1 to 10","1991","Employed","24","","","","1"
"1 on Scale 1 to 10","1991","Not Employed","20","","","","1"
"10 Completely satisfied","1991","Employed","565","0.0940907948183646","0.0868124165270673","0.101369173109662","10"
"10 Completely satisfied","1991","Not Employed","356","0.117141410382123","0.10608857707556","0.128194243688685","10"
"2 on Scale 1 to 10","1991","Not Employed","33","0.00847394901839225","0.0053235336994088","0.0116243643373757","2"
"2 on Scale 1 to 10","1991","Employed","50","0.00761006589428198","0.00544358879281885","0.00977654299574511","2"
"3 on Scale 1 to 10","1991","Employed","109","0.0179762472644846","0.0146639505635592","0.0212885439654101","3"
"3 on Scale 1 to 10","1991","Not Employed","82","0.0222732006118006","0.0172012747512167","0.0273451264723845","3"
"4 on Scale 1 to 10","1991","Not Employed","106","0.0320775267093532","0.0260214196090432","0.0381336338096632","4"
"4 on Scale 1 to 10","1991","Employed","234","0.0363905716374388","0.0317222187407506","0.041058924534127","4"
"5 on Scale 1 to 10","1991","Not Employed","437","0.133456778439027","0.121768830841719","0.145144726036336","5"
"5 on Scale 1 to 10","1991","Employed","687","0.106107407410524","0.0984296525772398","0.113785162243807","5"
"6 on Scale 1 to 10","1991","Not Employed","332","0.0936618901179323","0.0836480788424107","0.103675701393454","6"
"6 on Scale 1 to 10","1991","Employed","671","0.10313175560638","0.0955498347249482","0.110713676487812","6"
"7 on Scale 1 to 10","1991","Employed","1125","0.181573926504337","0.171963665336375","0.191184187672298","7"
"7 on Scale 1 to 10","1991","Not Employed","574","0.170176800650856","0.157261164974204","0.183092436327507","7"
"8 on Scale 1 to 10","1991","Employed","1848","0.300840945810578","0.289407551408515","0.31227434021264","8"
"8 on Scale 1 to 10","1991","Not Employed","897","0.286445092795102","0.270906659976141","0.301983525614064","8"
"9 on Scale 1 to 10","1991","Employed","854","0.146973755992805","0.138146620109565","0.155800891876045","9"
"9 on Scale 1 to 10","1991","Not Employed","387","0.121525952385498","0.110296157932764","0.132755746838231","9"
"0 Completely dissatisfied","1992","Not Employed","40","0.00979288684781084","0.00682640055530325","0.0127593731403184","0"
"0 Completely dissatisfied","1992","Employed","54","0.00403666811197511","0.00273176687096775","0.00534156935298247","0"
"1 on Scale 1 to 10","1992","Employed","44","0.00423554697914447","0.00289902068149305","0.00557207327679589","1"
"1 on Scale 1 to 10","1992","Not Employed","25","","","","1"
"10 Completely satisfied","1992","Employed","517","0.0692134620315226","0.0639899237635744","0.0744370002994709","10"
"10 Completely satisfied","1992","Not Employed","305","0.0820784367222469","0.0738096596967375","0.0903472137477563","10"
