"plh0162","year","age_gr","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","16-34 y.","33","0.0173364355068853","0.0111191338004779","0.0235537372132927","0"
"0 Completely dissatisfied","1990","35-65 y.","27","","","","0"
"0 Completely dissatisfied","1990","66 and older","9","","","","0"
"1 on Scale 1 to 10","1990","16-34 y.","12","","","","1"
"1 on Scale 1 to 10","1990","35-65 y.","8","","","","1"
"1 on Scale 1 to 10","1990","66 and older","5","","","","1"
"10 Completely satisfied","1990","66 and older","53","0.112849361281231","0.0830812374433981","0.142617485119065","10"
"10 Completely satisfied","1990","16-34 y.","120","0.0746150040755839","0.0620981865121054","0.0871318216390624","10"
"10 Completely satisfied","1990","35-65 y.","179","0.0805868819290613","0.0694794971230104","0.0916942667351122","10"
"2 on Scale 1 to 10","1990","35-65 y.","50","0.0207488240296113","0.0149322389039648","0.0265654091552578","2"
"2 on Scale 1 to 10","1990","66 and older","15","","","","2"
"2 on Scale 1 to 10","1990","16-34 y.","47","0.0296755877673842","0.0215924914160575","0.0377586841187108","2"
"3 on Scale 1 to 10","1990","35-65 y.","93","0.044970598980648","0.0365139753824607","0.0534272225788353","3"
"3 on Scale 1 to 10","1990","16-34 y.","85","0.0488581204557254","0.0385895345165026","0.0591267063949482","3"
"3 on Scale 1 to 10","1990","66 and older","23","","","","3"
"4 on Scale 1 to 10","1990","66 and older","19","","","","4"
"4 on Scale 1 to 10","1990","16-34 y.","102","0.0574307074876711","0.0463479370230056","0.0685134779523365","4"
"4 on Scale 1 to 10","1990","35-65 y.","106","0.0444248270475788","0.0360172744010424","0.0528323796941151","4"
"5 on Scale 1 to 10","1990","66 and older","108","0.245352280839971","0.204869493420702","0.285835068259239","5"
"5 on Scale 1 to 10","1990","35-65 y.","541","0.229080011108916","0.21193165298229","0.246228369235541","5"
"5 on Scale 1 to 10","1990","16-34 y.","349","0.214895129095943","0.195329368569366","0.234460889622519","5"
"6 on Scale 1 to 10","1990","16-34 y.","237","0.141350729573825","0.124755756892894","0.157945702254756","6"
"6 on Scale 1 to 10","1990","35-65 y.","329","0.14515314897488","0.13077901518425","0.159527282765509","6"
"6 on Scale 1 to 10","1990","66 and older","44","0.113177716842043","0.0833718340649326","0.142983599619153","6"
"7 on Scale 1 to 10","1990","35-65 y.","349","0.148262367801647","0.13376154392934","0.162763191673953","7"
"7 on Scale 1 to 10","1990","16-34 y.","297","0.172780645666805","0.15477214726082","0.19078914407279","7"
"7 on Scale 1 to 10","1990","66 and older","51","0.121633201664397","0.0908816346430236","0.15238476868577","7"
"8 on Scale 1 to 10","1990","35-65 y.","497","0.21550052263639","0.19872234504541","0.232278700227371","8"
"8 on Scale 1 to 10","1990","66 and older","93","0.204521618510638","0.166573781424744","0.242469455596531","8"
"8 on Scale 1 to 10","1990","16-34 y.","304","0.173915592999904","0.155860443649659","0.191970742350149","8"
"9 on Scale 1 to 10","1990","66 and older","14","","","","9"
"9 on Scale 1 to 10","1990","35-65 y.","128","0.0553216637435454","0.0459931192328474","0.0646502082542435","9"
"9 on Scale 1 to 10","1990","16-34 y.","107","0.060545182875081","0.0491846851662767","0.0719056805838852","9"
"0 Completely dissatisfied","1991","16-34 y.","52","0.00782511027796391","0.0054204885266408","0.010229732029287","0"
"0 Completely dissatisfied","1991","35-65 y.","70","0.00835474291578498","0.00622094042355459","0.0104885454080154","0"
"0 Completely dissatisfied","1991","66 and older","12","","","","0"
"1 on Scale 1 to 10","1991","16-34 y.","31","0.00587476209597139","0.00378920005411213","0.00796032413783066","1"
"1 on Scale 1 to 10","1991","35-65 y.","39","0.00444748591542752","0.00288757829183052","0.00600739353902452","1"
"1 on Scale 1 to 10","1991","66 and older","14","","","","1"
"10 Completely satisfied","1991","66 and older","192","0.127563530408745","0.110538721272811","0.144588339544678","10"
"10 Completely satisfied","1991","16-34 y.","379","0.0742342559597691","0.0670800711400163","0.0813884407795219","10"
"10 Completely satisfied","1991","35-65 y.","504","0.0868333736729245","0.080232098206588","0.093434649139261","10"
"2 on Scale 1 to 10","1991","35-65 y.","102","0.0133286089437475","0.0106402442441819","0.0160169736433131","2"
"2 on Scale 1 to 10","1991","66 and older","13","","","","2"
"2 on Scale 1 to 10","1991","16-34 y.","91","0.0138453282991819","0.0106564968140127","0.0170341597843511","2"
"3 on Scale 1 to 10","1991","35-65 y.","262","0.0310227578114392","0.026958263753976","0.0350872518689023","3"
"3 on Scale 1 to 10","1991","16-34 y.","192","0.0326413223466676","0.0277919552635631","0.0374906894297721","3"
"3 on Scale 1 to 10","1991","66 and older","32","0.0220655692078575","0.014568966130795","0.0295621722849199","3"
"4 on Scale 1 to 10","1991","66 and older","63","0.0338614704966448","0.0246309819233119","0.0430919590699777","4"
"4 on Scale 1 to 10","1991","16-34 y.","246","0.0473629533282461","0.0415661236127624","0.0531597830437298","4"
"4 on Scale 1 to 10","1991","35-65 y.","336","0.0422430133371687","0.0375276559689843","0.0469583707053531","4"
"5 on Scale 1 to 10","1991","66 and older","229","0.149271125734847","0.131085193371255","0.16745705809844","5"
"5 on Scale 1 to 10","1991","16-34 y.","710","0.129857938391452","0.12068440269538","0.139031474087523","5"
"5 on Scale 1 to 10","1991","35-65 y.","1160","0.14704771555573","0.138745366041131","0.155350065070329","5"
"6 on Scale 1 to 10","1991","16-34 y.","621","0.110515791952151","0.101959438563466","0.119072145340836","6"
"6 on Scale 1 to 10","1991","35-65 y.","882","0.115561531313218","0.108066905420329","0.123056157206107","6"
"6 on Scale 1 to 10","1991","66 and older","148","0.0983949752417062","0.0831948662177647","0.113595084265648","6"
"7 on Scale 1 to 10","1991","16-34 y.","922","0.179372353707473","0.168902074872969","0.189842632541978","7"
"7 on Scale 1 to 10","1991","35-65 y.","1215","0.17344547240685","0.164569279309995","0.182321665503705","7"
"7 on Scale 1 to 10","1991","66 and older","226","0.155348805926913","0.136862729646636","0.17383488220719","7"
"8 on Scale 1 to 10","1991","35-65 y.","1753","0.266736249914755","0.256368592658057","0.277103907171453","8"
"8 on Scale 1 to 10","1991","66 and older","388","0.276241475268253","0.253422645459135","0.299060305077371","8"
"8 on Scale 1 to 10","1991","16-34 y.","1335","0.270567202539047","0.258443433869742","0.282690971208352","8"
"9 on Scale 1 to 10","1991","66 and older","158","0.111840304414274","0.0957562037813305","0.127924405047218","9"
"9 on Scale 1 to 10","1991","16-34 y.","579","0.127902981102077","0.1187885376138","0.137017424590353","9"
"9 on Scale 1 to 10","1991","35-65 y.","667","0.110979048212954","0.103615519253024","0.118342577172884","9"
"0 Completely dissatisfied","1992","16-34 y.","37","0.00536876987438001","0.00333635121461288","0.00740118853414713","0"
"0 Completely dissatisfied","1992","35-65 y.","48","0.00645102932557703","0.00455818166539985","0.00834387698575421","0"
"0 Completely dissatisfied","1992","66 and older","9","","","","0"
"1 on Scale 1 to 10","1992","16-34 y.","33","0.00583590420459462","0.00371740723113925","0.00795440117805","1"
"1 on Scale 1 to 10","1992","35-65 y.","35","0.0048853414109643","0.00323683539150138","0.00653384743042722","1"
"1 on Scale 1 to 10","1992","66 and older","1","","","","1"
"10 Completely satisfied","1992","66 and older","142","0.101925571434849","0.0864328746394229","0.117418268230276","10"
"10 Completely satisfied","1992","16-34 y.","291","0.0612653226835411","0.0545953581189303","0.0679352872481518","10"
"10 Completely satisfied","1992","35-65 y.","389","0.0721003127792225","0.0659849024262561","0.0782157231321889","10"
"2 on Scale 1 to 10","1992","16-34 y.","91","0.01446162198511","0.0111412250334874","0.0177820189367326","2"
"2 on Scale 1 to 10","1992","35-65 y.","119","0.0161230324411855","0.0131451998658302","0.0191008650165408","2"
"2 on Scale 1 to 10","1992","66 and older","23","","","","2"
"3 on Scale 1 to 10","1992","35-65 y.","283","0.036288111316414","0.0318666858691097","0.0407095367637183","3"
"3 on Scale 1 to 10","1992","16-34 y.","176","0.0344039496088973","0.0293346655795746","0.0394732336382199","3"
"3 on Scale 1 to 10","1992","66 and older","49","0.0299352172722235","0.0212091038208644","0.0386613307235825","3"
"4 on Scale 1 to 10","1992","16-34 y.","278","0.0507586926837923","0.0446536562252477","0.0568637291423369","4"
"4 on Scale 1 to 10","1992","35-65 y.","398","0.0502257483138574","0.0450618233916292","0.0553896732360857","4"
"4 on Scale 1 to 10","1992","66 and older","84","0.0569325514443502","0.0450671897982924","0.068797913090408","4"
"5 on Scale 1 to 10","1992","66 and older","240","0.156651585674424","0.138039279304378","0.17526389204447","5"
"5 on Scale 1 to 10","1992","35-65 y.","1191","0.158121737335785","0.149495389769938","0.166748084901633","5"
"5 on Scale 1 to 10","1992","16-34 y.","700","0.125073809562156","0.115873262927683","0.13427435619663","5"
"6 on Scale 1 to 10","1992","16-34 y.","663","0.132069566663847","0.122653087098724","0.141486046228969","6"
"6 on Scale 1 to 10","1992","35-65 y.","873","0.111589134171168","0.104144825021633","0.119033443320703","6"
