"plh0162","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","1-pers.-HH","Urban Area","3","","","","0"
"0 Completely dissatisfied","1990","1-pers.-HH","Rural Area","6","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","Urban Area","3","","","","0"
"0 Completely dissatisfied","1990","(Married) couple without C. ","Rural Area","5","","","","0"
"0 Completely dissatisfied","1990","Single parent ","Urban Area","3","","","","0"
"0 Completely dissatisfied","1990","Single parent ","Rural Area","1","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","Urban Area","9","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE 16 ","Rural Area","12","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","Urban Area","2","","","","0"
"0 Completely dissatisfied","1990","Couple + C. GT 16 ","Rural Area","12","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE and GT 16","Urban Area","1","","","","0"
"0 Completely dissatisfied","1990","Couple + C. LE and GT 16","Rural Area","6","","","","0"
"1 on Scale 1 to 10","1990","1-pers.-HH","Urban Area","1","","","","1"
"1 on Scale 1 to 10","1990","(Married) couple without C. ","Rural Area","4","","","","1"
"1 on Scale 1 to 10","1990","Single parent ","Rural Area","","","","","1"
"1 on Scale 1 to 10","1990","Single parent ","Urban Area","3","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE 16 ","Rural Area","4","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. GT 16 ","Urban Area","1","","","","1"
"1 on Scale 1 to 10","1990","1-pers.-HH","Rural Area","2","","","","1"
"1 on Scale 1 to 10","1990","(Married) couple without C. ","Urban Area","","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE 16 ","Urban Area","2","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. GT 16 ","Rural Area","3","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Urban Area","1","","","","1"
"1 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Rural Area","","","","","1"
"10 Completely satisfied","1990","1-pers.-HH","Urban Area","14","","","","10"
"10 Completely satisfied","1990","1-pers.-HH","Rural Area","21","","","","10"
"10 Completely satisfied","1990","(Married) couple without C. ","Urban Area","30","0.0879485802504263","0.0572043680248025","0.11869279247605","10"
"10 Completely satisfied","1990","(Married) couple without C. ","Rural Area","66","0.1064431438391","0.0820490973163137","0.130837190361885","10"
"10 Completely satisfied","1990","Single parent ","Urban Area","5","","","","10"
"10 Completely satisfied","1990","Single parent ","Rural Area","10","","","","10"
"10 Completely satisfied","1990","Couple + C. LE 16 ","Urban Area","31","0.0576542403673462","0.0377726144862564","0.0775358662484359","10"
"10 Completely satisfied","1990","Couple + C. LE 16 ","Rural Area","62","0.0711677957892942","0.0544355268129149","0.0879000647656735","10"
"10 Completely satisfied","1990","Couple + C. GT 16 ","Urban Area","15","","","","10"
"10 Completely satisfied","1990","Couple + C. GT 16 ","Rural Area","40","0.0672000125812404","0.0465738318704373","0.0878261932920434","10"
"10 Completely satisfied","1990","Couple + C. LE and GT 16","Urban Area","1","","","","10"
"10 Completely satisfied","1990","Couple + C. LE and GT 16","Rural Area","21","","","","10"
"2 on Scale 1 to 10","1990","1-pers.-HH","Rural Area","4","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE 16 ","Urban Area","19","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE 16 ","Rural Area","19","","","","2"
"2 on Scale 1 to 10","1990","(Married) couple without C. ","Urban Area","9","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Rural Area","7","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. GT 16 ","Rural Area","5","","","","2"
"2 on Scale 1 to 10","1990","(Married) couple without C. ","Rural Area","9","","","","2"
"2 on Scale 1 to 10","1990","1-pers.-HH","Urban Area","10","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Urban Area","1","","","","2"
"2 on Scale 1 to 10","1990","Couple + C. GT 16 ","Urban Area","10","","","","2"
"2 on Scale 1 to 10","1990","Single parent ","Urban Area","3","","","","2"
"2 on Scale 1 to 10","1990","Single parent ","Rural Area","3","","","","2"
"3 on Scale 1 to 10","1990","Single parent ","Rural Area","7","","","","3"
"3 on Scale 1 to 10","1990","1-pers.-HH","Urban Area","18","","","","3"
"3 on Scale 1 to 10","1990","Couple + C. LE and GT 16","Rural Area","6","","","","3"
"3 on Scale 1 to 10","1990","1-pers.-HH","Rural Area","9","","","","3"
