"plh0162","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"0 Completely dissatisfied","1990","West Germany","Male","","","","","0"
"0 Completely dissatisfied","1990","West Germany","Female","","","","","0"
"0 Completely dissatisfied","1990","East Germany","Male","29","","","","0"
"0 Completely dissatisfied","1990","East Germany","Female","40","0.0193538390656329","0.0137588006119894","0.0249488775192763","0"
"1 on Scale 1 to 10","1990","West Germany","Male","","","","","1"
"1 on Scale 1 to 10","1990","West Germany","Female","","","","","1"
"1 on Scale 1 to 10","1990","East Germany","Male","12","","","","1"
"1 on Scale 1 to 10","1990","East Germany","Female","13","","","","1"
"10 Completely satisfied","1990","East Germany","Male","159","0.0824075766645185","0.0706604805553732","0.0941546727736637","10"
"10 Completely satisfied","1990","West Germany","Female","","","","","10"
"10 Completely satisfied","1990","West Germany","Male","","","","","10"
"10 Completely satisfied","1990","East Germany","Female","193","0.084547460841889","0.0732486809548778","0.0958462407289002","10"
"2 on Scale 1 to 10","1990","East Germany","Female","53","0.0262887936256935","0.0197910322318471","0.0327865550195398","2"
"2 on Scale 1 to 10","1990","West Germany","Female","","","","","2"
"2 on Scale 1 to 10","1990","East Germany","Male","59","0.026689391435343","0.0198041827957182","0.0335746000749678","2"
"2 on Scale 1 to 10","1990","West Germany","Male","","","","","2"
"3 on Scale 1 to 10","1990","West Germany","Male","","","","","3"
"3 on Scale 1 to 10","1990","West Germany","Female","","","","","3"
"3 on Scale 1 to 10","1990","East Germany","Male","99","0.0456722906735186","0.0367536800217729","0.0545909013252642","3"
"3 on Scale 1 to 10","1990","East Germany","Female","102","0.0478587257216706","0.0391892145990197","0.0565282368443214","3"
"4 on Scale 1 to 10","1990","West Germany","Male","","","","","4"
"4 on Scale 1 to 10","1990","West Germany","Female","","","","","4"
"4 on Scale 1 to 10","1990","East Germany","Male","111","0.0495793992349898","0.0403061786293755","0.058852619840604","4"
"4 on Scale 1 to 10","1990","East Germany","Female","116","0.0480205073703804","0.039337093210094","0.0567039215306667","4"
"5 on Scale 1 to 10","1990","East Germany","Female","534","0.230406353872254","0.213304574113946","0.247508133630563","5"
"5 on Scale 1 to 10","1990","West Germany","Male","","","","","5"
"5 on Scale 1 to 10","1990","West Germany","Female","","","","","5"
"5 on Scale 1 to 10","1990","East Germany","Male","464","0.222466297952591","0.204699311708595","0.240233284196587","5"
"6 on Scale 1 to 10","1990","East Germany","Male","289","0.137475035572729","0.12276479422204","0.152185276923418","6"
"6 on Scale 1 to 10","1990","East Germany","Female","321","0.140039446424045","0.125945656145865","0.154133236702224","6"
"6 on Scale 1 to 10","1990","West Germany","Female","","","","","6"
"6 on Scale 1 to 10","1990","West Germany","Male","","","","","6"
"7 on Scale 1 to 10","1990","East Germany","Male","336","0.158004788670687","0.142423191356385","0.173586385984989","7"
"7 on Scale 1 to 10","1990","West Germany","Female","","","","","7"
"7 on Scale 1 to 10","1990","West Germany","Male","","","","","7"
"7 on Scale 1 to 10","1990","East Germany","Female","361","0.147913174879292","0.133495052698642","0.162331297059943","7"
"8 on Scale 1 to 10","1990","East Germany","Female","468","0.197745803279693","0.181569734560092","0.213921871999295","8"
"8 on Scale 1 to 10","1990","West Germany","Female","","","","","8"
"8 on Scale 1 to 10","1990","East Germany","Male","426","0.200984863112323","0.183865751652908","0.218103974571738","8"
"8 on Scale 1 to 10","1990","West Germany","Male","","","","","8"
"9 on Scale 1 to 10","1990","East Germany","Male","121","0.0556011121285141","0.045812040335832","0.0653901839211962","9"
"9 on Scale 1 to 10","1990","East Germany","Female","128","0.0517431642251318","0.0427470941544442","0.0607392342958193","9"
"9 on Scale 1 to 10","1990","West Germany","Female","","","","","9"
"9 on Scale 1 to 10","1990","West Germany","Male","","","","","9"
"0 Completely dissatisfied","1991","West Germany","Male","22","","","","0"
"0 Completely dissatisfied","1991","West Germany","Female","21","","","","0"
"0 Completely dissatisfied","1991","East Germany","Male","42","0.0203455533001314","0.014119171462344","0.0265719351379188","0"
"0 Completely dissatisfied","1991","East Germany","Female","49","0.0227009658218824","0.0164426921939264","0.0289592394498384","0"
"1 on Scale 1 to 10","1991","West Germany","Male","24","","","","1"
"1 on Scale 1 to 10","1991","West Germany","Female","20","","","","1"
"1 on Scale 1 to 10","1991","East Germany","Male","17","","","","1"
"1 on Scale 1 to 10","1991","East Germany","Female","23","","","","1"
"10 Completely satisfied","1991","West Germany","Male","418","0.0972915568613124","0.0887855307401684","0.105797582982456","10"
"10 Completely satisfied","1991","West Germany","Female","511","0.109189156478907","0.100374544376492","0.118003768581321","10"
"10 Completely satisfied","1991","East Germany","Male","60","0.0346804062810985","0.0266109887023475","0.0427498238598495","10"
"10 Completely satisfied","1991","East Germany","Female","86","0.0402757026473785","0.0320150672606614","0.0485363380340956","10"
"2 on Scale 1 to 10","1991","East Germany","Male","61","0.0323592024840863","0.0245551437156211","0.0401632612525515","2"
"2 on Scale 1 to 10","1991","East Germany","Female","61","0.0256877413029078","0.0190406646293514","0.0323348179764641","2"
"2 on Scale 1 to 10","1991","West Germany","Male","42","0.00849167193409991","0.00585800912989072","0.0111253347383091","2"
"2 on Scale 1 to 10","1991","West Germany","Female","42","0.00761330393782658","0.00515662867244815","0.010069979203205","2"
"3 on Scale 1 to 10","1991","West Germany","Male","100","0.0190992350882417","0.0151706523227283","0.023027817853755","3"
"3 on Scale 1 to 10","1991","West Germany","Female","92","0.0202102312448695","0.0162330737080594","0.0241873887816797","3"
"3 on Scale 1 to 10","1991","East Germany","Male","152","0.0745094769557447","0.0629282042962358","0.0860907496152536","3"
"3 on Scale 1 to 10","1991","East Germany","Female","142","0.0659301490478214","0.0555033656548863","0.0763569324407565","3"
"4 on Scale 1 to 10","1991","West Germany","Male","165","0.0341694502204254","0.0289552842853017","0.0393836161555491","4"
"4 on Scale 1 to 10","1991","East Germany","Female","168","0.0749648099952303","0.0639004449746927","0.0860291750157679","4"
"4 on Scale 1 to 10","1991","West Germany","Female","175","0.0349482221492531","0.0297577298161803","0.0401387144823258","4"
"4 on Scale 1 to 10","1991","East Germany","Male","137","0.0706348690725759","0.0593351590053503","0.0819345791398015","4"
"5 on Scale 1 to 10","1991","East Germany","Male","433","0.222936469188884","0.204580244547888","0.24129269382988","5"
"5 on Scale 1 to 10","1991","East Germany","Female","538","0.2561859060505","0.237844675758661","0.274527136342338","5"
"5 on Scale 1 to 10","1991","West Germany","Male","532","0.107618372053817","0.09872361884712","0.116513125260514","5"
"5 on Scale 1 to 10","1991","West Germany","Female","596","0.124997581172121","0.115650497426272","0.13434466491797","5"
"6 on Scale 1 to 10","1991","East Germany","Female","328","0.146551289581185","0.131691858537198","0.161410720625171","6"
"6 on Scale 1 to 10","1991","East Germany","Male","318","0.167478047916735","0.151010029914188","0.183946065919281","6"
"6 on Scale 1 to 10","1991","West Germany","Male","505","0.101651971898455","0.0929784476578381","0.110325496139071","6"
"6 on Scale 1 to 10","1991","West Germany","Female","500","0.0969176984147811","0.0885561652999061","0.105279231529656","6"
"7 on Scale 1 to 10","1991","East Germany","Female","328","0.142559530852322","0.127869633439106","0.157249428265539","7"
"7 on Scale 1 to 10","1991","West Germany","Male","884","0.189272371088602","0.178029001639911","0.200515740537294","7"
"7 on Scale 1 to 10","1991","East Germany","Male","327","0.162936530790055","0.146649085566619","0.179223976013491","7"
"7 on Scale 1 to 10","1991","West Germany","Female","824","0.166194996421021","0.155673877652417","0.176716115189626","7"
"8 on Scale 1 to 10","1991","East Germany","Male","357","0.171150975902501","0.154540122470942","0.187761829334061","8"
"8 on Scale 1 to 10","1991","East Germany","Female","362","0.168736132134203","0.153000212018304","0.184472052250102","8"
"8 on Scale 1 to 10","1991","West Germany","Female","1399","0.294170346243658","0.281291703425755","0.30704898906156","8"
"8 on Scale 1 to 10","1991","West Germany","Male","1358","0.296344186724506","0.283237475544579","0.309450897904433","8"
"9 on Scale 1 to 10","1991","East Germany","Female","91","0.0425078977564064","0.0340313100617702","0.0509844854510427","9"
"9 on Scale 1 to 10","1991","East Germany","Male","71","0.0330462513006005","0.0251625802963657","0.0409299223048353","9"
"9 on Scale 1 to 10","1991","West Germany","Female","629","0.136861405871765","0.127147330499117","0.146575481244413","9"
"9 on Scale 1 to 10","1991","West Germany","Male","613","0.136484710479881","0.126631167834195","0.146338253125567","9"
"0 Completely dissatisfied","1992","West Germany","Male","24","","","","0"
"0 Completely dissatisfied","1992","West Germany","Female","30","0.00612513542551372","0.00391142110349768","0.00833884974752976","0"
"0 Completely dissatisfied","1992","East Germany","Male","20","","","","0"
"0 Completely dissatisfied","1992","East Germany","Female","20","","","","0"
"1 on Scale 1 to 10","1992","East Germany","Male","18","","","","1"
"1 on Scale 1 to 10","1992","East Germany","Female","16","","","","1"
"1 on Scale 1 to 10","1992","West Germany","Male","21","","","","1"
"1 on Scale 1 to 10","1992","West Germany","Female","14","","","","1"
"10 Completely satisfied","1992","West Germany","Female","407","0.090753515872287","0.0826032754852249","0.0989037562593492","10"
"10 Completely satisfied","1992","East Germany","Male","21","","","","10"
"10 Completely satisfied","1992","East Germany","Female","42","0.0225533506594883","0.0161864080047097","0.0289202933142668","10"
"10 Completely satisfied","1992","West Germany","Male","352","0.0850335586707967","0.0769385780193096","0.0931285393222839","10"
"2 on Scale 1 to 10","1992","West Germany","Male","53","0.013377936577679","0.0100437643257221","0.0167121088296358","2"
"2 on Scale 1 to 10","1992","East Germany","Male","66","0.0340664382883426","0.0258687634859846","0.0422641130907006","2"
"2 on Scale 1 to 10","1992","East Germany","Female","74","0.0362093530089723","0.0281984659817686","0.0442202400361759","2"
"2 on Scale 1 to 10","1992","West Germany","Female","40","0.00907354507668854","0.00638320559208367","0.0117638845612934","2"
"3 on Scale 1 to 10","1992","West Germany","Female","135","0.0307763750242102","0.0258761209094943","0.035676629138926","3"
"3 on Scale 1 to 10","1992","East Germany","Male","125","0.068353583661988","0.0569495130812276","0.0797576542427485","3"
"3 on Scale 1 to 10","1992","East Germany","Female","139","0.060398958949239","0.0501833245413115","0.0706145933571665","3"
"3 on Scale 1 to 10","1992","West Germany","Male","109","0.0230887424579148","0.0187301551309725","0.0274473297848571","3"
"4 on Scale 1 to 10","1992","East Germany","Male","180","0.102135533366923","0.088450447835114","0.115820618898732","4"
"4 on Scale 1 to 10","1992","East Germany","Female","175","0.0959905557826126","0.0833583378973065","0.108622773667919","4"
"4 on Scale 1 to 10","1992","West Germany","Female","200","0.0394792044877798","0.033954164113827","0.0450042448617326","4"
"4 on Scale 1 to 10","1992","West Germany","Male","205","0.040006678148257","0.0343192174705564","0.0456941388259575","4"
"5 on Scale 1 to 10","1992","East Germany","Male","457","0.242386333456558","0.223020702206443","0.261751964706674","5"
"5 on Scale 1 to 10","1992","East Germany","Female","505","0.248478333754104","0.229947545780657","0.267009121727552","5"
"5 on Scale 1 to 10","1992","West Germany","Male","537","0.116875896024665","0.1075521292637","0.126199662785631","5"
"5 on Scale 1 to 10","1992","West Germany","Female","632","0.128332543380656","0.118843079211604","0.137822007549708","5"
"6 on Scale 1 to 10","1992","East Germany","Male","308","0.160207592993243","0.14363153670541","0.176783649281076","6"
"6 on Scale 1 to 10","1992","East Germany","Female","367","0.16923698873549","0.153157764507391","0.185316212963588","6"
"6 on Scale 1 to 10","1992","West Germany","Male","478","0.0953484380510424","0.0868249861422564","0.103871889959828","6"
"6 on Scale 1 to 10","1992","West Germany","Female","558","0.117858263049429","0.108709822358516","0.127006703740342","6"
"7 on Scale 1 to 10","1992","West Germany","Female","940","0.186302655401567","0.175255795521493","0.197349515281642","7"
"7 on Scale 1 to 10","1992","East Germany","Male","344","0.180593062223866","0.163208888925921","0.197977235521812","7"
"7 on Scale 1 to 10","1992","East Germany","Female","393","0.182752439330605","0.166179967909012","0.199324910752199","7"
"7 on Scale 1 to 10","1992","West Germany","Male","943","0.203398383158669","0.191716512462135","0.215080253855203","7"
"8 on Scale 1 to 10","1992","East Germany","Male","279","0.145365061792352","0.129436592835717","0.161293530748986","8"
"8 on Scale 1 to 10","1992","East Germany","Female","292","0.137506667432478","0.1227387715209","0.152274563344056","8"
"8 on Scale 1 to 10","1992","West Germany","Female","1272","0.27621420222083","0.263528167239514","0.288900237202146","8"
"8 on Scale 1 to 10","1992","West Germany","Male","1315","0.298791701083892","0.285507793547236","0.312075608620548","8"
"9 on Scale 1 to 10","1992","East Germany","Male","63","0.0285945018833966","0.0210627632687084","0.0361262404980848","9"
"9 on Scale 1 to 10","1992","East Germany","Female","66","0.0287808014202165","0.0216113002183194","0.0359503026221136","9"
"9 on Scale 1 to 10","1992","West Germany","Female","544","0.112060843830168","0.103110980124307","0.121010707536029","9"
"9 on Scale 1 to 10","1992","West Germany","Male","524","0.11705115285489","0.107721324056204","0.126380981653575","9"
"0 Completely dissatisfied","1993","West Germany","Female","25","","","","0"
"0 Completely dissatisfied","1993","East Germany","Male","14","","","","0"
"0 Completely dissatisfied","1993","East Germany","Female","18","","","","0"
"0 Completely dissatisfied","1993","West Germany","Male","18","","","","0"
"1 on Scale 1 to 10","1993","West Germany","Female","21","","","","1"
"1 on Scale 1 to 10","1993","East Germany","Female","14","","","","1"
"1 on Scale 1 to 10","1993","West Germany","Male","14","","","","1"
"1 on Scale 1 to 10","1993","East Germany","Male","17","","","","1"
"10 Completely satisfied","1993","West Germany","Male","399","0.101224138753285","0.092459018723208","0.109989258783362","10"
"10 Completely satisfied","1993","West Germany","Female","520","0.125356896597655","0.115931434152208","0.134782359043103","10"
"10 Completely satisfied","1993","East Germany","Male","44","0.0256492558376622","0.0183844035775752","0.0329141080977491","10"
"10 Completely satisfied","1993","East Germany","Female","68","0.0396434095258762","0.0311091077273328","0.0481777113244196","10"
"2 on Scale 1 to 10","1993","West Germany","Female","57","0.0117814901826222","0.00871006657309625","0.0148529137921481","2"
"2 on Scale 1 to 10","1993","West Germany","Male","81","0.0169838232783621","0.0132290113741191","0.0207386351826051","2"
"2 on Scale 1 to 10","1993","East Germany","Male","61","0.0370161630235595","0.0283398154795175","0.0456925105676015","2"
"2 on Scale 1 to 10","1993","East Germany","Female","46","0.0280286520765475","0.0208093689470357","0.0352479352060594","2"
"3 on Scale 1 to 10","1993","West Germany","Female","125","0.0242495619642249","0.019870970361352","0.0286281535670978","3"
"3 on Scale 1 to 10","1993","East Germany","Male","95","0.054932231726343","0.0444615046650476","0.0654029587876384","3"
"3 on Scale 1 to 10","1993","East Germany","Female","104","0.0556612369190809","0.0456334159480865","0.0656890578900753","3"
"3 on Scale 1 to 10","1993","West Germany","Male","108","0.0200178929276024","0.0159477620290391","0.0240880238261657","3"
"4 on Scale 1 to 10","1993","East Germany","Female","121","0.0562089847510177","0.046134866910515","0.0662831025915204","4"
"4 on Scale 1 to 10","1993","East Germany","Male","108","0.0671310610448791","0.0556309028708764","0.0786312192188817","4"
"4 on Scale 1 to 10","1993","West Germany","Female","184","0.0341527720791277","0.0289828938709168","0.0393226502873386","4"
"4 on Scale 1 to 10","1993","West Germany","Male","188","0.0322492822352505","0.0271155655187969","0.037382998951704","4"
"5 on Scale 1 to 10","1993","East Germany","Male","347","0.180570366117773","0.16289327446541","0.198247457770135","5"
"5 on Scale 1 to 10","1993","East Germany","Female","394","0.197495153953067","0.180082366841022","0.214907941065112","5"
"5 on Scale 1 to 10","1993","West Germany","Male","517","0.100976680237448","0.0922210755442583","0.109732284930638","5"
"5 on Scale 1 to 10","1993","West Germany","Female","584","0.120956051395874","0.111674251355845","0.130237851435902","5"
"6 on Scale 1 to 10","1993","East Germany","Male","282","0.148048545172108","0.131727752871604","0.164369337472613","6"
"6 on Scale 1 to 10","1993","East Germany","Female","300","0.141998027018298","0.126731103318132","0.157264950718464","6"
"6 on Scale 1 to 10","1993","West Germany","Female","501","0.101558705424484","0.0929603272184175","0.110157083630551","6"
"6 on Scale 1 to 10","1993","West Germany","Male","523","0.111298561694644","0.102159263657276","0.120437859732013","6"
"7 on Scale 1 to 10","1993","West Germany","Female","831","0.165649993010225","0.155067622542035","0.176232363478414","7"
"7 on Scale 1 to 10","1993","East Germany","Male","399","0.225612814815901","0.206404347975518","0.244821281656285","7"
"7 on Scale 1 to 10","1993","East Germany","Female","390","0.18145113512774","0.164594597017328","0.198307673238152","7"
"7 on Scale 1 to 10","1993","West Germany","Male","913","0.198437298929382","0.186847643449359","0.210026954409405","7"
"8 on Scale 1 to 10","1993","East Germany","Male","364","0.19581535995472","0.177579216243062","0.214051503666379","8"
"8 on Scale 1 to 10","1993","East Germany","Female","444","0.224143618090717","0.205903817157662","0.242383419023771","8"
"8 on Scale 1 to 10","1993","West Germany","Male","1238","0.278248946870185","0.265226259931998","0.291271633808372","8"
"8 on Scale 1 to 10","1993","West Germany","Female","1256","0.267531270887252","0.254930563287756","0.280131978486748","8"
