"year","mean","median","n","ptile10","ptile25","ptile75","ptile90","lowerci_mean","upperci_mean","lowerci_median","upperci_median"
"2005","6.18","6","20670","5","6","7","7","6.17","6.19","6","6"
"2006","","","","","","","","","","",""
"2007","","","","","","","","","","",""
"2008","","","","","","","","","","",""
"2009","6.1","6","17973","5","6","7","7","6.08","6.12","6","6"
"2010","","","","","","","","","","",""
"2011","","","","","","","","","","",""
"2012","6.14","6","7128","5","6","7","7","6.12","6.16","6","6"
"2013","6.16","6","18843","5","6","7","7","6.15","6.17","6","6"
"2014","","","","","","","","","","",""
"2015","","","","","","","","","","",""
"2016","","","","","","","","","","",""
"2017","6.07","6","29209","5","6","7","7","6.06","6.08","6","6"
"2018","","","","","","","","","","",""
"2019","6.09","6","25747","5","6","7","7","6.08","6.1","6","6"
