"plb0219","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","1-pers.-HH","no migration background","656","0.57347318247237","0.544950732512852","0.601995632431888","1"
"No, never","2005","1-pers.-HH","direct migration background","50","0.653709251397281","0.54530533031339","0.762113172481172","1"
"No, never","2005","1-pers.-HH","indirect migration background","35","0.51586423928812","0.39708379987502","0.634644678701221","1"
"No, never","2005","(Married) couple without C. ","no migration background","1675","0.62846606374857","0.610078693289154","0.646853434207986","1"
"No, never","2005","(Married) couple without C. ","direct migration background","174","0.694348097483019","0.63689654207343","0.751799652892607","1"
"No, never","2005","(Married) couple without C. ","indirect migration background","56","0.654640454298049","0.550447044824875","0.758833863771223","1"
"No, never","2005","Single parent ","no migration background","297","0.646617008075319","0.603169187315855","0.690064828834783","1"
"No, never","2005","Single parent ","direct migration background","39","0.567980968811204","0.446620726349767","0.689341211272642","1"
"No, never","2005","Single parent ","indirect migration background","28","","","","1"
"No, never","2005","Couple + C. LE 16 ","no migration background","1281","0.569941648486255","0.54922079379282","0.590662503179689","1"
"No, never","2005","Couple + C. LE 16 ","direct migration background","235","0.690247760151963","0.641313755180964","0.739181765122963","1"
"No, never","2005","Couple + C. LE 16 ","indirect migration background","69","0.554597210754669","0.46213763245156","0.647056789057778","1"
"No, never","2005","Couple + C. GT 16 ","no migration background","1183","0.645928163303721","0.624106507160222","0.667749819447219","1"
"No, never","2005","Couple + C. GT 16 ","direct migration background","175","0.756521854335173","0.700443202560454","0.812600506109893","1"
"No, never","2005","Couple + C. GT 16 ","indirect migration background","76","0.819774890277323","0.743282685493029","0.896267095061617","1"
"No, never","2005","Couple + C. LE and GT 16","no migration background","492","0.592710313101387","0.558916046564208","0.626504579638567","1"
"No, never","2005","Couple + C. LE and GT 16","direct migration background","109","0.721869258087992","0.651555621092985","0.792182895082999","1"
"No, never","2005","Couple + C. LE and GT 16","indirect migration background","34","0.809039084908801","0.690166846446992","0.92791132337061","1"
"Rarely","2005","1-pers.-HH","no migration background","231","0.195495202320184","0.172623975023769","0.2183664296166","5"
"Rarely","2005","(Married) couple without C. ","indirect migration background","7","","","","5"
"Rarely","2005","(Married) couple without C. ","no migration background","500","0.177886757908644","0.163334945154649","0.192438570662639","5"
"Rarely","2005","(Married) couple without C. ","direct migration background","36","0.131887812829732","0.0896900065486642","0.1740856191108","5"
"Rarely","2005","1-pers.-HH","direct migration background","12","","","","5"
"Rarely","2005","1-pers.-HH","indirect migration background","13","","","","5"
"Rarely","2005","Single parent ","no migration background","74","0.144794002516768","0.112810039822385","0.176777965211152","5"
"Rarely","2005","Single parent ","direct migration background","7","","","","5"
"Rarely","2005","Single parent ","indirect migration background","4","","","","5"
"Rarely","2005","Couple + C. LE 16 ","no migration background","457","0.200026267907224","0.183284159314167","0.216768376500281","5"
"Rarely","2005","Couple + C. LE 16 ","indirect migration background","19","","","","5"
"Rarely","2005","Couple + C. GT 16 ","no migration background","336","0.183043237024874","0.165398049196878","0.20068842485287","5"
"Rarely","2005","Couple + C. GT 16 ","direct migration background","18","","","","5"
"Rarely","2005","Couple + C. LE 16 ","direct migration background","42","0.122556312719416","0.0878523953216007","0.157260230117231","5"
"Rarely","2005","Couple + C. GT 16 ","indirect migration background","4","","","","5"
"Rarely","2005","Couple + C. LE and GT 16","no migration background","146","0.169291852043966","0.14349822953604","0.195085474551891","5"
"Rarely","2005","Couple + C. LE and GT 16","direct migration background","13","","","","5"
"Rarely","2005","Couple + C. LE and GT 16","indirect migration background","4","","","","5"
"Yes, every 2 weeks","2005","1-pers.-HH","no migration background","118","0.0863280663327243","0.0701313025751152","0.102524830090333","3"
"Yes, every 2 weeks","2005","Single parent ","indirect migration background","4","","","","3"
"Yes, every 2 weeks","2005","Couple + C. LE 16 ","direct migration background","23","","","","3"
"Yes, every 2 weeks","2005","1-pers.-HH","direct migration background","7","","","","3"
"Yes, every 2 weeks","2005","1-pers.-HH","indirect migration background","9","","","","3"
"Yes, every 2 weeks","2005","(Married) couple without C. ","no migration background","210","0.0978853177059954","0.0865777520265084","0.109192883385482","3"
"Yes, every 2 weeks","2005","(Married) couple without C. ","direct migration background","15","","","","3"
"Yes, every 2 weeks","2005","(Married) couple without C. ","indirect migration background","6","","","","3"
