"plb0219","year","pgisced97","n","percent","lower_confidence","upper_confidence"
"No, never","2005","in school","28","","",""
"No, never","2005","inadequately","53","0.791806284464589","0.695304151001454","0.888308417927723"
"No, never","2005","general elemantary","638","0.710919995013644","0.680865338696889","0.740974651330398"
"No, never","2005","middle vocational","3437","0.637327459867342","0.624323796015074","0.65033112371961"
"No, never","2005","vocational + Abi","503","0.690468777239254","0.657272131133033","0.723665423345476"
"No, never","2005","higher vocational","525","0.536615275739969","0.505169529892138","0.5680610215878"
"No, never","2005","higher education","1529","0.511047204960418","0.492639960546503","0.529454449374333"
"Yes, every week","2005","in school","8","","",""
"Yes, every week","2005","inadequately","3","","",""
"Yes, every week","2005","general elemantary","48","0.0728962189639396","0.0556613076839546","0.0901311302439246"
"Yes, every week","2005","middle vocational","260","0.0561658771647406","0.0499384136462227","0.0623933406832584"
"Yes, every week","2005","vocational + Abi","23","","",""
"Yes, every week","2005","higher vocational","46","0.0447830647893258","0.0317403667278843","0.0578257628507672"
"Yes, every week","2005","higher education","253","0.0872338681471985","0.0768431126025803","0.0976246236918167"
"Yes, every 2 weeks","2005","in school","4","","",""
"Yes, every 2 weeks","2005","inadequately","4","","",""
"Yes, every 2 weeks","2005","general elemantary","73","0.0884446978018894","0.0696203565743901","0.107269039029389"
"Yes, every 2 weeks","2005","middle vocational","462","0.09033636172409","0.0825828437647156","0.0980898796834643"
"Yes, every 2 weeks","2005","vocational + Abi","53","0.0762592275694013","0.0572006180478584","0.0953178370909443"
"Yes, every 2 weeks","2005","higher vocational","110","0.134265424246496","0.11276564486733","0.155765203625661"
"Yes, every 2 weeks","2005","higher education","198","0.0801425218336728","0.0701444425220459","0.0901406011452998"
"Yes, every 3-4 weeks","2005","in school","3","","",""
"Yes, every 3-4 weeks","2005","inadequately","3","","",""
"Yes, every 3-4 weeks","2005","general elemantary","38","0.041631578813942","0.0283890763385865","0.0548740812892975"
"Yes, every 3-4 weeks","2005","middle vocational","245","0.055602063305089","0.0494040850163015","0.0618000415938764"
"Yes, every 3-4 weeks","2005","vocational + Abi","36","0.0465013603284268","0.0313809762702069","0.0616217443866467"
"Yes, every 3-4 weeks","2005","higher vocational","69","0.0716080761838249","0.0553486128198235","0.0878675395478263"
"Yes, every 3-4 weeks","2005","higher education","167","0.0631687835106078","0.0542108726341617","0.072126694387054"
"Rarely","2005","in school","5","","",""
"Rarely","2005","inadequately","5","","",""
"Rarely","2005","general elemantary","77","0.0861075094065854","0.067509757798224","0.104705261014947"
"Rarely","2005","middle vocational","847","0.160568237938738","0.150638229866501","0.170498246010976"
"Rarely","2005","vocational + Abi","130","0.158703736353459","0.132465296363223","0.184942176343695"
"Rarely","2005","higher vocational","216","0.212728159040385","0.186921345876184","0.238534972204585"
"Rarely","2005","higher education","686","0.258407621548103","0.242287805110741","0.274527437985465"
"No, never","2006","in school","","","",""
"No, never","2006","inadequately","","","",""
"No, never","2006","general elemantary","","","",""
"No, never","2006","middle vocational","","","",""
"No, never","2006","vocational + Abi","","","",""
"No, never","2006","higher vocational","","","",""
"No, never","2006","higher education","","","",""
"Yes, every week","2006","in school","","","",""
"Yes, every week","2006","inadequately","","","",""
"Yes, every week","2006","general elemantary","","","",""
"Yes, every week","2006","middle vocational","","","",""
