"plb0219","year","e11102","sampreg","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Not Employed","West Germany","86","0.728127087353528","0.646092795569917","0.810161379137139"
"No, never","2005","Not Employed","East Germany","42","0.813027430221285","0.70903714754086","0.917017712901711"
"No, never","2005","Employed","West Germany","5325","0.622679799511723","0.612320330161321","0.633039268862125"
"No, never","2005","Employed","East Germany","1364","0.561538130454899","0.54148060657258","0.581595654337218"
"Yes, every week","2005","Not Employed","West Germany","8","","",""
"Yes, every week","2005","Not Employed","East Germany","3","","",""
"Yes, every week","2005","Employed","West Germany","503","0.0620884477628185","0.0569309810115018","0.0672459145141353"
"Yes, every week","2005","Employed","East Germany","133","0.0560655357633467","0.0467664407253095","0.0653646308013839"
"Yes, every 2 weeks","2005","Not Employed","West Germany","4","","",""
"Yes, every 2 weeks","2005","Not Employed","East Germany","5","","",""
"Yes, every 2 weeks","2005","Employed","West Germany","652","0.0865935553181955","0.0805828572285082","0.0926042534078828"
"Yes, every 2 weeks","2005","Employed","East Germany","258","0.125655312902376","0.112256894301146","0.139053731503606"
"Yes, every 3-4 weeks","2005","Not Employed","West Germany","4","","",""
"Yes, every 3-4 weeks","2005","Not Employed","East Germany","2","","",""
"Yes, every 3-4 weeks","2005","Employed","West Germany","433","0.0557757034964648","0.0508710288093583","0.0606803781835713"
"Yes, every 3-4 weeks","2005","Employed","East Germany","131","0.0640733680246248","0.0541745929561354","0.0739721430931143"
"Rarely","2005","Not Employed","West Germany","11","","",""
"Rarely","2005","Not Employed","East Germany","2","","",""
"Rarely","2005","Employed","West Germany","1497","0.172862493910798","0.164781043035222","0.180943944786374"
"Rarely","2005","Employed","East Germany","465","0.192667652854754","0.176725302225362","0.208610003484146"
"No, never","2006","Not Employed","West Germany","","","",""
"No, never","2006","Not Employed","East Germany","","","",""
"No, never","2006","Employed","West Germany","","","",""
"No, never","2006","Employed","East Germany","","","",""
"Yes, every week","2006","Not Employed","West Germany","","","",""
"Yes, every week","2006","Not Employed","East Germany","","","",""
"Yes, every week","2006","Employed","West Germany","","","",""
"Yes, every week","2006","Employed","East Germany","","","",""
"Yes, every 2 weeks","2006","Not Employed","West Germany","","","",""
"Yes, every 2 weeks","2006","Not Employed","East Germany","","","",""
"Yes, every 2 weeks","2006","Employed","West Germany","","","",""
"Yes, every 2 weeks","2006","Employed","East Germany","","","",""
"Yes, every 3-4 weeks","2006","Not Employed","West Germany","","","",""
"Yes, every 3-4 weeks","2006","Not Employed","East Germany","","","",""
"Yes, every 3-4 weeks","2006","Employed","West Germany","","","",""
"Yes, every 3-4 weeks","2006","Employed","East Germany","","","",""
"Rarely","2006","Not Employed","West Germany","","","",""
"Rarely","2006","Not Employed","East Germany","","","",""
"Rarely","2006","Employed","West Germany","","","",""
"Rarely","2006","Employed","East Germany","","","",""
"No, never","2007","Not Employed","West Germany","104","0.694232931951444","0.618981493669096","0.769484370233791"
"No, never","2007","Not Employed","East Germany","51","0.784743561588527","0.682439187649579","0.887047935527475"
"No, never","2007","Employed","West Germany","5234","0.613688736636167","0.603308407876793","0.62406906539554"
"No, never","2007","Employed","East Germany","1394","0.546952140205717","0.527224889255867","0.566679391155567"
"Yes, every week","2007","Not Employed","West Germany","12","","",""
"Yes, every week","2007","Not Employed","East Germany","2","","",""
"Yes, every week","2007","Employed","West Germany","560","0.062667709803181","0.0575007266229384","0.0678346929834236"
"Yes, every week","2007","Employed","East Germany","153","0.0617569792197527","0.052217590233032","0.0712963682064734"
"Yes, every 2 weeks","2007","Not Employed","West Germany","9","","",""
"Yes, every 2 weeks","2007","Not Employed","East Germany","3","","",""
"Yes, every 2 weeks","2007","Employed","West Germany","656","0.0842809814125517","0.0783583561333956","0.0902036066917078"
"Yes, every 2 weeks","2007","Employed","East Germany","279","0.130642108447395","0.117286589878207","0.143997627016584"
"Yes, every 3-4 weeks","2007","Not Employed","West Germany","5","","",""
"Yes, every 3-4 weeks","2007","Not Employed","East Germany","","","",""
"Yes, every 3-4 weeks","2007","Employed","West Germany","450","0.0553364785901807","0.0504621738369997","0.0602107833433618"
"Yes, every 3-4 weeks","2007","Employed","East Germany","139","0.0628608889866719","0.0532422825392041","0.0724794954341397"
"Rarely","2007","Not Employed","West Germany","14","","",""
"Rarely","2007","Not Employed","East Germany","6","","",""
"Rarely","2007","Employed","West Germany","1552","0.18402609355792","0.175764835549627","0.192287351566212"
"Rarely","2007","Employed","East Germany","481","0.197787883140463","0.182002166072046","0.213573600208881"
"No, never","2008","Not Employed","West Germany","","","",""
"No, never","2008","Not Employed","East Germany","","","",""
"No, never","2008","Employed","West Germany","","","",""
"No, never","2008","Employed","East Germany","","","",""
"Yes, every week","2008","Not Employed","West Germany","","","",""
"Yes, every week","2008","Not Employed","East Germany","","","",""
"Yes, every week","2008","Employed","West Germany","","","",""
"Yes, every week","2008","Employed","East Germany","","","",""
"Yes, every 2 weeks","2008","Not Employed","West Germany","","","",""
"Yes, every 2 weeks","2008","Not Employed","East Germany","","","",""
"Yes, every 2 weeks","2008","Employed","West Germany","","","",""
"Yes, every 2 weeks","2008","Employed","East Germany","","","",""
"Yes, every 3-4 weeks","2008","Not Employed","West Germany","","","",""
"Yes, every 3-4 weeks","2008","Not Employed","East Germany","","","",""
"Yes, every 3-4 weeks","2008","Employed","West Germany","","","",""
"Yes, every 3-4 weeks","2008","Employed","East Germany","","","",""
"Rarely","2008","Not Employed","West Germany","","","",""
"Rarely","2008","Not Employed","East Germany","","","",""
"Rarely","2008","Employed","West Germany","","","",""
"Rarely","2008","Employed","East Germany","","","",""
"No, never","2009","Not Employed","West Germany","66","0.674706904744586","0.582885677979535","0.766528131509637"
"No, never","2009","Not Employed","East Germany","27","","",""
"No, never","2009","Employed","West Germany","4513","0.596909432945444","0.58576572760294","0.608053138287949"
"No, never","2009","Employed","East Germany","1269","0.542309423931364","0.52175108109328","0.562867766769449"
"Yes, every week","2009","Not Employed","West Germany","7","","",""
"Yes, every week","2009","Not Employed","East Germany","1","","",""
"Yes, every week","2009","Employed","West Germany","512","0.0714979277683788","0.0656444732585067","0.077351382278251"
"Yes, every week","2009","Employed","East Germany","171","0.0720194644896359","0.0613517122460682","0.0826872167332035"
"Yes, every 2 weeks","2009","Not Employed","West Germany","8","","",""
"Yes, every 2 weeks","2009","Not Employed","East Germany","4","","",""
"Yes, every 2 weeks","2009","Employed","West Germany","617","0.0809343683301901","0.0747383337157918","0.0871304029445883"
"Yes, every 2 weeks","2009","Employed","East Germany","221","0.101938432262561","0.0894530864964627","0.114423778028658"
"Yes, every 3-4 weeks","2009","Not Employed","West Germany","7","","",""
"Yes, every 3-4 weeks","2009","Not Employed","East Germany","2","","",""
"Yes, every 3-4 weeks","2009","Employed","West Germany","396","0.054861074193659","0.0496879362399309","0.0600342121473871"
"Yes, every 3-4 weeks","2009","Employed","East Germany","146","0.0810388687423573","0.0697779506484997","0.0922997868362148"
"Rarely","2009","Not Employed","West Germany","12","","",""
"Rarely","2009","Not Employed","East Germany","1","","",""
"Rarely","2009","Employed","West Germany","1405","0.195797196762328","0.186782313490662","0.204812080033993"
"Rarely","2009","Employed","East Germany","449","0.202693810574082","0.186105148709333","0.21928247243883"
"No, never","2010","Not Employed","West Germany","123","0.721231893629899","0.653428340274759","0.78903544698504"
"No, never","2010","Not Employed","East Germany","31","0.67481165508167","0.544967662209043","0.804655647954298"
"No, never","2010","Employed","West Germany","1987","0.574672682505478","0.558377325563227","0.590968039447728"
"No, never","2010","Employed","East Germany","406","0.542280369663327","0.507022008667012","0.577538730659642"
"Yes, every week","2010","Not Employed","West Germany","11","","",""
"Yes, every week","2010","Not Employed","East Germany","","","",""
"Yes, every week","2010","Employed","West Germany","255","0.0651556807554158","0.0570210517139011","0.0732903097969305"
"Yes, every week","2010","Employed","East Germany","53","0.0671373879107975","0.0494264535730954","0.0848483222484997"
"Yes, every 2 weeks","2010","Not Employed","West Germany","13","","",""
"Yes, every 2 weeks","2010","Not Employed","East Germany","7","","",""
"Yes, every 2 weeks","2010","Employed","West Germany","403","0.11291178588274","0.102480328076694","0.123343243688785"
"Yes, every 2 weeks","2010","Employed","East Germany","88","0.113241465453565","0.0908152578589973","0.135667673048132"
"Yes, every 3-4 weeks","2010","Not Employed","West Germany","4","","",""
"Yes, every 3-4 weeks","2010","Not Employed","East Germany","3","","",""
"Yes, every 3-4 weeks","2010","Employed","West Germany","225","0.0638849983357217","0.0558246091942366","0.0719453874772069"
"Yes, every 3-4 weeks","2010","Employed","East Germany","63","0.0841693412203928","0.0645205896301807","0.103818092810605"
"Rarely","2010","Not Employed","West Germany","17","","",""
"Rarely","2010","Not Employed","East Germany","9","","",""
"Rarely","2010","Employed","West Germany","666","0.183374852520645","0.170620065050959","0.196129639990332"
"Rarely","2010","Employed","East Germany","157","0.193171435751918","0.165232330386842","0.221110541116993"
"No, never","2011","Not Employed","West Germany","242","0.742465382184191","0.695428886180007","0.789501878188376"
"No, never","2011","Not Employed","East Germany","63","0.778628933809827","0.693328136164407","0.863929731455248"
"No, never","2011","Employed","West Germany","7707","0.6105651129502","0.602072072203463","0.619058153696936"
"No, never","2011","Employed","East Germany","1908","0.560468503200108","0.543740970168935","0.577196036231281"
