"plb0219","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Schleswig-Holstein","1-pers.-HH","18","","",""
"No, never","2005","Schleswig-Holstein","(Married) couple without C. ","66","0.578657054639414","0.487210453333278","0.670103655945551"
"No, never","2005","Schleswig-Holstein","Single parent ","8","","",""
"No, never","2005","Schleswig-Holstein","Couple + C. LE 16 ","37","0.556434439634086","0.442469157098861","0.67039972216931"
"No, never","2005","Schleswig-Holstein","Couple + C. GT 16 ","43","0.732957653701471","0.620068661780713","0.84584664562223"
"No, never","2005","Schleswig-Holstein","Couple + C. LE and GT 16","21","","",""
"No, never","2005","Hamburg","1-pers.-HH","22","","",""
"No, never","2005","Hamburg","(Married) couple without C. ","34","0.659064088249239","0.526339847520365","0.791788328978114"
"No, never","2005","Hamburg","Single parent ","4","","",""
"No, never","2005","Hamburg","Couple + C. LE 16 ","20","","",""
"No, never","2005","Hamburg","Couple + C. GT 16 ","16","","",""
"No, never","2005","Hamburg","Couple + C. LE and GT 16","7","","",""
"No, never","2005","Lower Saxony","1-pers.-HH","58","0.551890253315751","0.455381531808981","0.64839897482252"
"No, never","2005","Lower Saxony","(Married) couple without C. ","153","0.598590954643235","0.538189627273738","0.658992282012732"
"No, never","2005","Lower Saxony","Single parent ","30","0.651259372182414","0.520464334112415","0.782054410252412"
"No, never","2005","Lower Saxony","Couple + C. LE 16 ","127","0.477164530996366","0.414874834833754","0.539454227158978"
"No, never","2005","Lower Saxony","Couple + C. GT 16 ","119","0.666919229658339","0.598066170853271","0.735772288463406"
"No, never","2005","Lower Saxony","Couple + C. LE and GT 16","46","0.581711101756092","0.475590210184342","0.687831993327842"
"No, never","2005","Bremen","1-pers.-HH","8","","",""
"No, never","2005","Bremen","(Married) couple without C. ","9","","",""
"No, never","2005","Bremen","Single parent ","4","","",""
"No, never","2005","Bremen","Couple + C. LE 16 ","7","","",""
"No, never","2005","Bremen","Couple + C. GT 16 ","3","","",""
"No, never","2005","Bremen","Couple + C. LE and GT 16","3","","",""
"No, never","2005","North Rhine-Westphalia","1-pers.-HH","156","0.616228536906298","0.557455591113313","0.675001482699283"
"No, never","2005","North Rhine-Westphalia","(Married) couple without C. ","461","0.671289910810729","0.636316092398356","0.706263729223102"
"No, never","2005","North Rhine-Westphalia","Single parent ","64","0.677222731780865","0.582707588138346","0.771737875423385"
"No, never","2005","North Rhine-Westphalia","Couple + C. LE 16 ","364","0.576609193379661","0.537073991674486","0.616144395084836"
"No, never","2005","North Rhine-Westphalia","Couple + C. GT 16 ","285","0.713819833955619","0.670645950560647","0.756993717350591"
"No, never","2005","North Rhine-Westphalia","Couple + C. LE and GT 16","132","0.638913724687098","0.573323203737579","0.704504245636617"
"No, never","2005","Hesse","1-pers.-HH","60","0.524310589637423","0.42832910180431","0.620292077470536"
"No, never","2005","Hesse","(Married) couple without C. ","159","0.558124557005132","0.498105977044397","0.618143136965866"
"No, never","2005","Hesse","Single parent ","25","","",""
"No, never","2005","Hesse","Couple + C. LE 16 ","116","0.617593814544476","0.550073341560861","0.685114287528091"
"No, never","2005","Hesse","Couple + C. GT 16 ","74","0.743565664889153","0.665110351557773","0.822020978220534"
"No, never","2005","Hesse","Couple + C. LE and GT 16","30","0.637071593689774","0.501042415734877","0.773100771644671"
"No, never","2005","Rhineland-Palatinate,Saarland","1-pers.-HH","43","0.61796938029677","0.502484215200694","0.733454545392846"
"No, never","2005","Rhineland-Palatinate,Saarland","(Married) couple without C. ","91","0.650578363490761","0.571880446170667","0.729276280810855"
"No, never","2005","Rhineland-Palatinate,Saarland","Single parent ","27","","",""
"No, never","2005","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","103","0.570586327100631","0.497869201351676","0.643303452849586"
"No, never","2005","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","72","0.690274712140388","0.602664341717577","0.7778850825632"
"No, never","2005","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","62","0.685942816139749","0.590052409929525","0.781833222349972"
"No, never","2005","Baden-Württemberg","1-pers.-HH","100","0.598506639981157","0.524818549865179","0.672194730097136"
"No, never","2005","Baden-Württemberg","(Married) couple without C. ","241","0.698114260008997","0.649672144871049","0.746556375146944"
"No, never","2005","Baden-Württemberg","Single parent ","51","0.662234797636406","0.552224746155976","0.772244849116837"
"No, never","2005","Baden-Württemberg","Couple + C. LE 16 ","258","0.732667965941629","0.686565350585878","0.778770581297379"
"No, never","2005","Baden-Württemberg","Couple + C. GT 16 ","175","0.670556819607489","0.611941968359102","0.729171670855876"
"No, never","2005","Baden-Württemberg","Couple + C. LE and GT 16","107","0.634812942866407","0.559498400819486","0.710127484913328"
"No, never","2005","Bavaria","1-pers.-HH","115","0.59323609717442","0.523570815925508","0.662901378423333"
"No, never","2005","Bavaria","(Married) couple without C. ","276","0.681121155409407","0.636228741434073","0.726013569384741"
"No, never","2005","Bavaria","Single parent ","54","0.562003342212976","0.460621769333734","0.663384915092219"
"No, never","2005","Bavaria","Couple + C. LE 16 ","268","0.578645915938806","0.532665141898297","0.624626689979316"
"No, never","2005","Bavaria","Couple + C. GT 16 ","244","0.695487198590868","0.646206933523798","0.744767463657937"
"No, never","2005","Bavaria","Couple + C. LE and GT 16","97","0.682860932507678","0.607887354202128","0.757834510813227"
"No, never","2005","Berlin","1-pers.-HH","43","0.504526915887384","0.39823730141586","0.610816530358909"
"No, never","2005","Berlin","(Married) couple without C. ","57","0.539929511423143","0.441252548544427","0.638606474301859"
"No, never","2005","Berlin","Single parent ","16","","",""
"No, never","2005","Berlin","Couple + C. LE 16 ","32","0.550708516831463","0.436601684174863","0.664815349488064"
"No, never","2005","Berlin","Couple + C. GT 16 ","43","0.6812416845839","0.571289233739259","0.791194135428542"
"No, never","2005","Berlin","Couple + C. LE and GT 16","13","","",""
"No, never","2005","Brandenburg","1-pers.-HH","18","","",""
"No, never","2005","Brandenburg","(Married) couple without C. ","72","0.688939581143102","0.604696927052595","0.77318223523361"
"No, never","2005","Brandenburg","Single parent ","18","","",""
"No, never","2005","Brandenburg","Couple + C. LE 16 ","51","0.613024499639699","0.508241772898155","0.717807226381244"
"No, never","2005","Brandenburg","Couple + C. GT 16 ","59","0.419001411810614","0.323716363093156","0.514286460528072"
"No, never","2005","Brandenburg","Couple + C. LE and GT 16","23","","",""
"No, never","2005","Mecklenburg-Western Pomerania","1-pers.-HH","15","","",""
"No, never","2005","Mecklenburg-Western Pomerania","(Married) couple without C. ","36","0.581893916756222","0.46289547487717","0.700892358635275"
"No, never","2005","Mecklenburg-Western Pomerania","Single parent ","10","","",""
"No, never","2005","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","25","","",""
"No, never","2005","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","38","0.68544047947042","0.569858923239951","0.801022035700889"
"No, never","2005","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","12","","",""
"No, never","2005","Saxony","1-pers.-HH","36","0.471265971202223","0.359040104838171","0.583491837566276"
"No, never","2005","Saxony","(Married) couple without C. ","129","0.58018559119267","0.513115551529124","0.647255630856216"
"No, never","2005","Saxony","Single parent ","28","","",""
"No, never","2005","Saxony","Couple + C. LE 16 ","79","0.587500383081048","0.505662093747324","0.669338672414772"
"No, never","2005","Saxony","Couple + C. GT 16 ","117","0.607491013695924","0.536742507048963","0.678239520342885"
"No, never","2005","Saxony","Couple + C. LE and GT 16","41","0.624506395667594","0.509409568443078","0.73960322289211"
"No, never","2005","Saxony-Anhalt","1-pers.-HH","25","","",""
"No, never","2005","Saxony-Anhalt","(Married) couple without C. ","66","0.553914797989876","0.461021979412021","0.646807616567731"
"No, never","2005","Saxony-Anhalt","Single parent ","15","","",""
"No, never","2005","Saxony-Anhalt","Couple + C. LE 16 ","50","0.538123558841916","0.42887719123192","0.647369926451913"
"No, never","2005","Saxony-Anhalt","Couple + C. GT 16 ","69","0.472127000933901","0.386963154386525","0.557290847481277"
"No, never","2005","Saxony-Anhalt","Couple + C. LE and GT 16","19","","",""
"No, never","2005","Thuringia","1-pers.-HH","24","","",""
"No, never","2005","Thuringia","(Married) couple without C. ","55","0.665717565366766","0.567711066698023","0.76372406403551"
"No, never","2005","Thuringia","Single parent ","10","","",""
"No, never","2005","Thuringia","Couple + C. LE 16 ","48","0.448619752284775","0.346433565644631","0.55080593892492"
"No, never","2005","Thuringia","Couple + C. GT 16 ","77","0.718233265739878","0.63774453381868","0.798721997661076"
"No, never","2005","Thuringia","Couple + C. LE and GT 16","22","","",""
"Yes, every week","2005","Schleswig-Holstein","1-pers.-HH","1","","",""
"Yes, every week","2005","Schleswig-Holstein","(Married) couple without C. ","4","","",""
"Yes, every week","2005","Schleswig-Holstein","Single parent ","1","","",""
"Yes, every week","2005","Schleswig-Holstein","Couple + C. LE 16 ","2","","",""
"Yes, every week","2005","Schleswig-Holstein","Couple + C. GT 16 ","1","","",""
"Yes, every week","2005","Schleswig-Holstein","Couple + C. LE and GT 16","5","","",""
"Yes, every week","2005","Hamburg","1-pers.-HH","3","","",""
"Yes, every week","2005","Hamburg","(Married) couple without C. ","1","","",""
"Yes, every week","2005","Hamburg","Single parent ","1","","",""
"Yes, every week","2005","Hamburg","Couple + C. LE 16 ","","","",""
"Yes, every week","2005","Hamburg","Couple + C. GT 16 ","2","","",""
"Yes, every week","2005","Hamburg","Couple + C. LE and GT 16","2","","",""
"Yes, every week","2005","Lower Saxony","1-pers.-HH","13","","",""
"Yes, every week","2005","Lower Saxony","(Married) couple without C. ","20","","",""
"Yes, every week","2005","Lower Saxony","Single parent ","1","","",""
"Yes, every week","2005","Lower Saxony","Couple + C. LE 16 ","20","","",""
"Yes, every week","2005","Lower Saxony","Couple + C. GT 16 ","11","","",""
"Yes, every week","2005","Lower Saxony","Couple + C. LE and GT 16","9","","",""
"Yes, every week","2005","Bremen","1-pers.-HH","","","",""
"Yes, every week","2005","Bremen","(Married) couple without C. ","3","","",""
"Yes, every week","2005","Bremen","Single parent ","","","",""
"Yes, every week","2005","Bremen","Couple + C. LE 16 ","","","",""
"Yes, every week","2005","Bremen","Couple + C. GT 16 ","1","","",""
"Yes, every week","2005","Bremen","Couple + C. LE and GT 16","2","","",""
"Yes, every week","2005","North Rhine-Westphalia","1-pers.-HH","14","","",""
"Yes, every week","2005","North Rhine-Westphalia","(Married) couple without C. ","39","0.0595000545946419","0.0418876139236653","0.0771124952656186"
"Yes, every week","2005","North Rhine-Westphalia","Single parent ","3","","",""
"Yes, every week","2005","North Rhine-Westphalia","Couple + C. LE 16 ","29","","",""
"Yes, every week","2005","North Rhine-Westphalia","Couple + C. GT 16 ","15","","",""
"Yes, every week","2005","North Rhine-Westphalia","Couple + C. LE and GT 16","13","","",""
"Yes, every week","2005","Hesse","1-pers.-HH","8","","",""
"Yes, every week","2005","Hesse","(Married) couple without C. ","21","","",""
"Yes, every week","2005","Hesse","Single parent ","1","","",""
"Yes, every week","2005","Hesse","Couple + C. LE 16 ","14","","",""
"Yes, every week","2005","Hesse","Couple + C. GT 16 ","10","","",""
"Yes, every week","2005","Hesse","Couple + C. LE and GT 16","2","","",""
"Yes, every week","2005","Rhineland-Palatinate,Saarland","1-pers.-HH","5","","",""
"Yes, every week","2005","Rhineland-Palatinate,Saarland","(Married) couple without C. ","11","","",""
"Yes, every week","2005","Rhineland-Palatinate,Saarland","Single parent ","","","",""
"Yes, every week","2005","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","12","","",""
"Yes, every week","2005","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","4","","",""
"Yes, every week","2005","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","4","","",""
"Yes, every week","2005","Baden-Württemberg","1-pers.-HH","9","","",""
"Yes, every week","2005","Baden-Württemberg","(Married) couple without C. ","13","","",""
"Yes, every week","2005","Baden-Württemberg","Single parent ","3","","",""
"Yes, every week","2005","Baden-Württemberg","Couple + C. LE 16 ","21","","",""
"Yes, every week","2005","Baden-Württemberg","Couple + C. GT 16 ","15","","",""
"Yes, every week","2005","Baden-Württemberg","Couple + C. LE and GT 16","10","","",""
"Yes, every week","2005","Bavaria","1-pers.-HH","15","","",""
"Yes, every week","2005","Bavaria","(Married) couple without C. ","15","","",""
"Yes, every week","2005","Bavaria","Single parent ","8","","",""
"Yes, every week","2005","Bavaria","Couple + C. LE 16 ","27","","",""
"Yes, every week","2005","Bavaria","Couple + C. GT 16 ","24","","",""
"Yes, every week","2005","Bavaria","Couple + C. LE and GT 16","7","","",""
"Yes, every week","2005","Berlin","1-pers.-HH","7","","",""
"Yes, every week","2005","Berlin","(Married) couple without C. ","9","","",""
"Yes, every week","2005","Berlin","Single parent ","1","","",""
"Yes, every week","2005","Berlin","Couple + C. LE 16 ","3","","",""
"Yes, every week","2005","Berlin","Couple + C. GT 16 ","4","","",""
"Yes, every week","2005","Berlin","Couple + C. LE and GT 16","3","","",""
"Yes, every week","2005","Brandenburg","1-pers.-HH","3","","",""
"Yes, every week","2005","Brandenburg","(Married) couple without C. ","8","","",""
"Yes, every week","2005","Brandenburg","Single parent ","2","","",""
"Yes, every week","2005","Brandenburg","Couple + C. LE 16 ","3","","",""
"Yes, every week","2005","Brandenburg","Couple + C. GT 16 ","3","","",""
"Yes, every week","2005","Brandenburg","Couple + C. LE and GT 16","3","","",""
"Yes, every week","2005","Mecklenburg-Western Pomerania","1-pers.-HH","1","","",""
"Yes, every week","2005","Mecklenburg-Western Pomerania","(Married) couple without C. ","4","","",""
"Yes, every week","2005","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Yes, every week","2005","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","2","","",""
"Yes, every week","2005","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","3","","",""
"Yes, every week","2005","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","2","","",""
"Yes, every week","2005","Saxony","1-pers.-HH","5","","",""
"Yes, every week","2005","Saxony","(Married) couple without C. ","14","","",""
"Yes, every week","2005","Saxony","Single parent ","2","","",""
"Yes, every week","2005","Saxony","Couple + C. LE 16 ","8","","",""
"Yes, every week","2005","Saxony","Couple + C. GT 16 ","8","","",""
"Yes, every week","2005","Saxony","Couple + C. LE and GT 16","2","","",""
"Yes, every week","2005","Saxony-Anhalt","1-pers.-HH","2","","",""
"Yes, every week","2005","Saxony-Anhalt","(Married) couple without C. ","7","","",""
"Yes, every week","2005","Saxony-Anhalt","Single parent ","","","",""
"Yes, every week","2005","Saxony-Anhalt","Couple + C. LE 16 ","5","","",""
"Yes, every week","2005","Saxony-Anhalt","Couple + C. GT 16 ","7","","",""
"Yes, every week","2005","Saxony-Anhalt","Couple + C. LE and GT 16","2","","",""
"Yes, every week","2005","Thuringia","1-pers.-HH","1","","",""
"Yes, every week","2005","Thuringia","(Married) couple without C. ","7","","",""
"Yes, every week","2005","Thuringia","Single parent ","","","",""
"Yes, every week","2005","Thuringia","Couple + C. LE 16 ","7","","",""
"Yes, every week","2005","Thuringia","Couple + C. GT 16 ","12","","",""
"Yes, every week","2005","Thuringia","Couple + C. LE and GT 16","4","","",""
"Yes, every 2 weeks","2005","Schleswig-Holstein","1-pers.-HH","4","","",""
"Yes, every 2 weeks","2005","Schleswig-Holstein","(Married) couple without C. ","7","","",""
"Yes, every 2 weeks","2005","Schleswig-Holstein","Single parent ","1","","",""
"Yes, every 2 weeks","2005","Schleswig-Holstein","Couple + C. LE 16 ","10","","",""
"Yes, every 2 weeks","2005","Schleswig-Holstein","Couple + C. GT 16 ","1","","",""
"Yes, every 2 weeks","2005","Schleswig-Holstein","Couple + C. LE and GT 16","2","","",""
"Yes, every 2 weeks","2005","Hamburg","1-pers.-HH","2","","",""
"Yes, every 2 weeks","2005","Hamburg","(Married) couple without C. ","1","","",""
"Yes, every 2 weeks","2005","Hamburg","Single parent ","","","",""
"Yes, every 2 weeks","2005","Hamburg","Couple + C. LE 16 ","1","","",""
"Yes, every 2 weeks","2005","Hamburg","Couple + C. GT 16 ","1","","",""
"Yes, every 2 weeks","2005","Hamburg","Couple + C. LE and GT 16","","","",""
"Yes, every 2 weeks","2005","Lower Saxony","1-pers.-HH","8","","",""
"Yes, every 2 weeks","2005","Lower Saxony","(Married) couple without C. ","21","","",""
"Yes, every 2 weeks","2005","Lower Saxony","Single parent ","8","","",""
"Yes, every 2 weeks","2005","Lower Saxony","Couple + C. LE 16 ","25","","",""
"Yes, every 2 weeks","2005","Lower Saxony","Couple + C. GT 16 ","10","","",""
"Yes, every 2 weeks","2005","Lower Saxony","Couple + C. LE and GT 16","7","","",""
"Yes, every 2 weeks","2005","Bremen","1-pers.-HH","3","","",""
"Yes, every 2 weeks","2005","Bremen","(Married) couple without C. ","6","","",""
"Yes, every 2 weeks","2005","Bremen","Single parent ","","","",""
"Yes, every 2 weeks","2005","Bremen","Couple + C. LE 16 ","1","","",""
"Yes, every 2 weeks","2005","Bremen","Couple + C. GT 16 ","","","",""
"Yes, every 2 weeks","2005","Bremen","Couple + C. LE and GT 16","","","",""
"Yes, every 2 weeks","2005","North Rhine-Westphalia","1-pers.-HH","34","0.108644665495756","0.0710349667863895","0.146254364205123"
"Yes, every 2 weeks","2005","North Rhine-Westphalia","(Married) couple without C. ","49","0.0723971074389023","0.0531030694992592","0.0916911453785455"
"Yes, every 2 weeks","2005","North Rhine-Westphalia","Single parent ","8","","",""
"Yes, every 2 weeks","2005","North Rhine-Westphalia","Couple + C. LE 16 ","55","0.0904926893399067","0.0675374243485819","0.113447954331231"
"Yes, every 2 weeks","2005","North Rhine-Westphalia","Couple + C. GT 16 ","28","","",""
"Yes, every 2 weeks","2005","North Rhine-Westphalia","Couple + C. LE and GT 16","19","","",""
"Yes, every 2 weeks","2005","Hesse","1-pers.-HH","6","","",""
"Yes, every 2 weeks","2005","Hesse","(Married) couple without C. ","21","","",""
"Yes, every 2 weeks","2005","Hesse","Single parent ","8","","",""
"Yes, every 2 weeks","2005","Hesse","Couple + C. LE 16 ","16","","",""
"Yes, every 2 weeks","2005","Hesse","Couple + C. GT 16 ","4","","",""
