"plb0219","year","hgtyp1hh","sampreg","n","percent","lower_confidence","upper_confidence"
"Yes, every 2 weeks","2005","Couple + C. LE and GT 16","West Germany","63","0.0834476015815522","0.064283490652044","0.10261171251106"
"Yes, every 2 weeks","2005","Couple + C. LE and GT 16","East Germany","23","","",""
"Yes, every 3-4 weeks","2005","1-pers.-HH","West Germany","65","0.0685124615390541","0.0531442714200007","0.0838806516581076"
"Yes, every 3-4 weeks","2005","1-pers.-HH","East Germany","14","","",""
"Yes, every 3-4 weeks","2005","(Married) couple without C. ","West Germany","94","0.0445004039626278","0.0361669188691373","0.0528338890561184"
"Yes, every 3-4 weeks","2005","(Married) couple without C. ","East Germany","31","0.0601905060915484","0.041588825596792","0.0787921865863049"
"Yes, every 3-4 weeks","2005","Single parent ","West Germany","19","","",""
"Yes, every 3-4 weeks","2005","Single parent ","East Germany","12","","",""
"Yes, every 3-4 weeks","2005","Couple + C. LE 16 ","West Germany","132","0.0630902791923269","0.0528750352386487","0.0733055231460052"
"Yes, every 3-4 weeks","2005","Couple + C. LE 16 ","East Germany","29","","",""
"Yes, every 3-4 weeks","2005","Couple + C. GT 16 ","West Germany","75","0.0463326727035917","0.0357929655903235","0.0568723798168598"
"Yes, every 3-4 weeks","2005","Couple + C. GT 16 ","East Germany","33","0.0670011127356374","0.0476155133954219","0.086386712075853"
"Yes, every 3-4 weeks","2005","Couple + C. LE and GT 16","West Germany","46","0.0459458707973121","0.0314376936823907","0.0604540479122336"
"Yes, every 3-4 weeks","2005","Couple + C. LE and GT 16","East Germany","10","","",""
"Rarely","2005","1-pers.-HH","West Germany","198","0.187599911504744","0.163850617172352","0.211349205837137"
"Rarely","2005","1-pers.-HH","East Germany","58","0.219139195254818","0.168760716158504","0.269517674351132"
"Rarely","2005","(Married) couple without C. ","West Germany","430","0.173481060199163","0.158177873697148","0.188784246701178"
"Rarely","2005","(Married) couple without C. ","East Germany","113","0.155792739339994","0.127428808517027","0.184156670162962"
"Rarely","2005","Single parent ","West Germany","69","0.153253033831227","0.11916508966104","0.187340978001413"
"Rarely","2005","Single parent ","East Germany","16","","",""
"Rarely","2005","Couple + C. LE 16 ","West Germany","418","0.184949169492677","0.168636043689303","0.201262295296052"
"Rarely","2005","Couple + C. LE 16 ","East Germany","100","0.200607485319482","0.164442254349067","0.236772716289897"
"Rarely","2005","Couple + C. GT 16 ","West Germany","235","0.142489534579712","0.124962937110929","0.160016132048496"
"Rarely","2005","Couple + C. GT 16 ","East Germany","123","0.214076316286103","0.18227301806489","0.245879614507316"
"Rarely","2005","Couple + C. LE and GT 16","West Germany","122","0.151959095275228","0.127083421802212","0.176834768748244"
"Rarely","2005","Couple + C. LE and GT 16","East Germany","41","0.173432539823815","0.122223941581919","0.22464113806571"
"No, never","2006","1-pers.-HH","West Germany","","","",""
"No, never","2006","1-pers.-HH","East Germany","","","",""
"No, never","2006","(Married) couple without C. ","West Germany","","","",""
