"plb0219","year","e11103","pgisced97","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Full Time","in school","3","","",""
"No, never","2005","Full Time","inadequately","33","0.723984506227817","0.591899622119463","0.85606939033617"
"No, never","2005","Full Time","general elemantary","353","0.701180478167866","0.660856359614826","0.741504596720905"
"No, never","2005","Full Time","middle vocational","2064","0.588719412803379","0.57218198128114","0.605256844325618"
"No, never","2005","Full Time","vocational + Abi","328","0.68416922294518","0.643052704241565","0.725285741648794"
"No, never","2005","Full Time","higher vocational","372","0.516432415039767","0.479700072283884","0.553164757795649"
"No, never","2005","Full Time","higher education","1055","0.468090731951741","0.446759519796236","0.489421944107247"
"No, never","2005","Part Time","in school","21","","",""
"No, never","2005","Part Time","inadequately","17","","",""
"No, never","2005","Part Time","general elemantary","264","0.727448116001808","0.680732617941334","0.774163614062281"
"No, never","2005","Part Time","middle vocational","1320","0.731401216160796","0.710822224024779","0.751980208296814"
"No, never","2005","Part Time","vocational + Abi","167","0.702437739666996","0.645190059611647","0.759685419722344"
"No, never","2005","Part Time","higher vocational","145","0.59936064115921","0.53787494507548","0.66084633724294"
"No, never","2005","Part Time","higher education","453","0.624970112811486","0.589156997659232","0.660783227963739"
"No, never","2005","Not Working","in school","4","","",""
"No, never","2005","Not Working","inadequately","3","","",""
"No, never","2005","Not Working","general elemantary","21","","",""
"No, never","2005","Not Working","middle vocational","53","0.785547051826746","0.687992902389973","0.88310120126352"
"No, never","2005","Not Working","vocational + Abi","8","","",""
"No, never","2005","Not Working","higher vocational","8","","",""
"No, never","2005","Not Working","higher education","21","","",""
"Yes, every week","2005","Full Time","in school","","","",""
"Yes, every week","2005","Full Time","inadequately","2","","",""
"Yes, every week","2005","Full Time","general elemantary","27","","",""
"Yes, every week","2005","Full Time","middle vocational","189","0.0591738402785073","0.0512440017356166","0.067103678821398"
"Yes, every week","2005","Full Time","vocational + Abi","17","","",""
"Yes, every week","2005","Full Time","higher vocational","37","0.0474121494435016","0.0317910847122019","0.0630332141748012"
"Yes, every week","2005","Full Time","higher education","208","0.102378331995785","0.0894190057335884","0.115337658257982"
"Yes, every week","2005","Part Time","in school","8","","",""
"Yes, every week","2005","Part Time","inadequately","1","","",""
"Yes, every week","2005","Part Time","general elemantary","20","","",""
"Yes, every week","2005","Part Time","middle vocational","65","0.0490135124418435","0.0389895523851412","0.0590374724985458"
"Yes, every week","2005","Part Time","vocational + Abi","5","","",""
"Yes, every week","2005","Part Time","higher vocational","7","","",""
"Yes, every week","2005","Part Time","higher education","45","0.0484588024615997","0.0325740785193568","0.0643435264038426"
"Yes, every week","2005","Not Working","in school","","","",""
"Yes, every week","2005","Not Working","inadequately","","","",""
"Yes, every week","2005","Not Working","general elemantary","1","","",""
"Yes, every week","2005","Not Working","middle vocational","6","","",""
"Yes, every week","2005","Not Working","vocational + Abi","1","","",""
"Yes, every week","2005","Not Working","higher vocational","2","","",""
"Yes, every week","2005","Not Working","higher education","","","",""
"Yes, every 2 weeks","2005","Full Time","in school","","","",""
"Yes, every 2 weeks","2005","Full Time","inadequately","3","","",""
"Yes, every 2 weeks","2005","Full Time","general elemantary","41","0.100923694463988","0.0743873963319735","0.127459992596002"
"Yes, every 2 weeks","2005","Full Time","middle vocational","314","0.0961914874721015","0.0862819973509946","0.106100977593208"
"Yes, every 2 weeks","2005","Full Time","vocational + Abi","28","","",""
"Yes, every 2 weeks","2005","Full Time","higher vocational","76","0.131497841522638","0.106657471901654","0.156338211143621"
"Yes, every 2 weeks","2005","Full Time","higher education","149","0.0811857598372778","0.0695099900394237","0.0928615296351319"
"Yes, every 2 weeks","2005","Part Time","in school","4","","",""
"Yes, every 2 weeks","2005","Part Time","inadequately","1","","",""
"Yes, every 2 weeks","2005","Part Time","general elemantary","30","0.0702297556916122","0.0434205604225751","0.0970389509606494"
"Yes, every 2 weeks","2005","Part Time","middle vocational","143","0.0795225695296843","0.0669609389977414","0.0920842000616273"
"Yes, every 2 weeks","2005","Part Time","vocational + Abi","25","","",""
"Yes, every 2 weeks","2005","Part Time","higher vocational","34","0.149445981081466","0.104711103979786","0.194180858183147"
"Yes, every 2 weeks","2005","Part Time","higher education","47","0.0791568691016543","0.0591850940670112","0.0991286441362974"
"Yes, every 2 weeks","2005","Not Working","in school","","","",""
"Yes, every 2 weeks","2005","Not Working","inadequately","","","",""
"Yes, every 2 weeks","2005","Not Working","general elemantary","2","","",""
"Yes, every 2 weeks","2005","Not Working","middle vocational","5","","",""
"Yes, every 2 weeks","2005","Not Working","vocational + Abi","","","",""
"Yes, every 2 weeks","2005","Not Working","higher vocational","","","",""
"Yes, every 2 weeks","2005","Not Working","higher education","2","","",""
"Yes, every 3-4 weeks","2005","Full Time","in school","","","",""
"Yes, every 3-4 weeks","2005","Full Time","inadequately","3","","",""
"Yes, every 3-4 weeks","2005","Full Time","general elemantary","25","","",""
"Yes, every 3-4 weeks","2005","Full Time","middle vocational","187","0.0631067343604926","0.0549347469828256","0.0712787217381596"
"Yes, every 3-4 weeks","2005","Full Time","vocational + Abi","25","","",""
"Yes, every 3-4 weeks","2005","Full Time","higher vocational","50","0.0731026187014188","0.0539690673819718","0.0922361700208657"
"Yes, every 3-4 weeks","2005","Full Time","higher education","138","0.0710332695456947","0.0600517429424538","0.0820147961489355"
"Yes, every 3-4 weeks","2005","Part Time","in school","2","","",""
"Yes, every 3-4 weeks","2005","Part Time","inadequately","","","",""
"Yes, every 3-4 weeks","2005","Part Time","general elemantary","10","","",""
"Yes, every 3-4 weeks","2005","Part Time","middle vocational","58","0.0424212869783343","0.033063494654033","0.0517790793026356"
"Yes, every 3-4 weeks","2005","Part Time","vocational + Abi","11","","",""
"Yes, every 3-4 weeks","2005","Part Time","higher vocational","19","","",""
"Yes, every 3-4 weeks","2005","Part Time","higher education","27","","",""
"Yes, every 3-4 weeks","2005","Not Working","in school","1","","",""
"Yes, every 3-4 weeks","2005","Not Working","inadequately","","","",""
"Yes, every 3-4 weeks","2005","Not Working","general elemantary","3","","",""
"Yes, every 3-4 weeks","2005","Not Working","middle vocational","","","",""
"Yes, every 3-4 weeks","2005","Not Working","vocational + Abi","","","",""
"Yes, every 3-4 weeks","2005","Not Working","higher vocational","","","",""
"Yes, every 3-4 weeks","2005","Not Working","higher education","2","","",""
"Rarely","2005","Full Time","in school","","","",""
"Rarely","2005","Full Time","inadequately","3","","",""
"Rarely","2005","Full Time","general elemantary","49","0.0924262831723547","0.06691195183905","0.117940614505659"
"Rarely","2005","Full Time","middle vocational","647","0.192808525085519","0.179549970696239","0.2060670794748"
"Rarely","2005","Full Time","vocational + Abi","93","0.185160507907878","0.150803323860547","0.219517691955208"
"Rarely","2005","Full Time","higher vocational","176","0.231554975292676","0.200548903331282","0.262561047254069"
"Rarely","2005","Full Time","higher education","552","0.277311906669501","0.258174131712068","0.296449681626934"
"Rarely","2005","Part Time","in school","5","","",""
"Rarely","2005","Part Time","inadequately","2","","",""
"Rarely","2005","Part Time","general elemantary","25","","",""
"Rarely","2005","Part Time","middle vocational","196","0.0976414148893414","0.0838597764994262","0.111423053279257"
"Rarely","2005","Part Time","vocational + Abi","37","0.112091470040845","0.072587981899067","0.151594958182623"
"Rarely","2005","Part Time","higher vocational","39","0.15062546863066","0.105745556222733","0.195505381038587"
"Rarely","2005","Part Time","higher education","130","0.204863396601772","0.175007329882902","0.234719463320642"
"Rarely","2005","Not Working","in school","","","",""
"Rarely","2005","Not Working","inadequately","","","",""
"Rarely","2005","Not Working","general elemantary","3","","",""
"Rarely","2005","Not Working","middle vocational","4","","",""
"Rarely","2005","Not Working","vocational + Abi","","","",""
"Rarely","2005","Not Working","higher vocational","1","","",""
"Rarely","2005","Not Working","higher education","4","","",""
"No, never","2006","Full Time","in school","","","",""
"No, never","2006","Full Time","inadequately","","","",""
"No, never","2006","Full Time","general elemantary","","","",""
"No, never","2006","Full Time","middle vocational","","","",""
"No, never","2006","Full Time","vocational + Abi","","","",""
"No, never","2006","Full Time","higher vocational","","","",""
"No, never","2006","Full Time","higher education","","","",""
"No, never","2006","Part Time","in school","","","",""
"No, never","2006","Part Time","inadequately","","","",""
"No, never","2006","Part Time","general elemantary","","","",""
"No, never","2006","Part Time","middle vocational","","","",""
"No, never","2006","Part Time","vocational + Abi","","","",""
"No, never","2006","Part Time","higher vocational","","","",""
"No, never","2006","Part Time","higher education","","","",""
"No, never","2006","Not Working","in school","","","",""
"No, never","2006","Not Working","inadequately","","","",""
"No, never","2006","Not Working","general elemantary","","","",""
"No, never","2006","Not Working","middle vocational","","","",""
"No, never","2006","Not Working","vocational + Abi","","","",""
"No, never","2006","Not Working","higher vocational","","","",""
"No, never","2006","Not Working","higher education","","","",""
"Yes, every week","2006","Full Time","in school","","","",""
"Yes, every week","2006","Full Time","inadequately","","","",""
"Yes, every week","2006","Full Time","general elemantary","","","",""
"Yes, every week","2006","Full Time","middle vocational","","","",""
"Yes, every week","2006","Full Time","vocational + Abi","","","",""
"Yes, every week","2006","Full Time","higher vocational","","","",""
"Yes, every week","2006","Full Time","higher education","","","",""
"Yes, every week","2006","Part Time","in school","","","",""
"Yes, every week","2006","Part Time","inadequately","","","",""
"Yes, every week","2006","Part Time","general elemantary","","","",""
"Yes, every week","2006","Part Time","middle vocational","","","",""
"Yes, every week","2006","Part Time","vocational + Abi","","","",""
"Yes, every week","2006","Part Time","higher vocational","","","",""
"Yes, every week","2006","Part Time","higher education","","","",""
"Yes, every week","2006","Not Working","in school","","","",""
"Yes, every week","2006","Not Working","inadequately","","","",""
"Yes, every week","2006","Not Working","general elemantary","","","",""
"Yes, every week","2006","Not Working","middle vocational","","","",""
"Yes, every week","2006","Not Working","vocational + Abi","","","",""
"Yes, every week","2006","Not Working","higher vocational","","","",""
"Yes, every week","2006","Not Working","higher education","","","",""
"Yes, every 2 weeks","2006","Full Time","in school","","","",""
"Yes, every 2 weeks","2006","Full Time","inadequately","","","",""
"Yes, every 2 weeks","2006","Full Time","general elemantary","","","",""
"Yes, every 2 weeks","2006","Full Time","middle vocational","","","",""
