"plb0219","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Full Time","lower secondary degree","1099","0.611551563405836","0.588928279337316","0.634174847474357"
"No, never","2005","Full Time","secondary school degree","1529","0.563820652660712","0.544769816322522","0.582871488998902"
"No, never","2005","Full Time","college entrance qualification","1283","0.522019577886894","0.502093220837521","0.541945934936267"
"No, never","2005","Full Time","Other degree","234","0.633389576821397","0.582833514814976","0.683945638827818"
"No, never","2005","Full Time","no degree/no degree yet","32","0.678375889305162","0.547590402826609","0.809161375783715"
"No, never","2005","Part Time","lower secondary degree","657","0.71889144617589","0.689324239526841","0.748458652824939"
"No, never","2005","Part Time","secondary school degree","872","0.719013935373582","0.693593227960217","0.744434642786948"
"No, never","2005","Part Time","college entrance qualification","654","0.628539241937768","0.598915131902997","0.658163351972538"
"No, never","2005","Part Time","Other degree","152","0.802256143902173","0.74620877222108","0.858303515583265"
"No, never","2005","Part Time","no degree/no degree yet","42","0.710781741029136","0.600558697739344","0.821004784318928"
"No, never","2005","Not Working","lower secondary degree","30","0.777273850248768","0.646690315353211","0.907857385144325"
"No, never","2005","Not Working","secondary school degree","39","0.740628041579762","0.620339408645312","0.860916674514212"
"No, never","2005","Not Working","college entrance qualification","38","0.737419056992812","0.615449381291502","0.859388732694123"
"No, never","2005","Not Working","Other degree","7","","",""
"No, never","2005","Not Working","no degree/no degree yet","4","","",""
"Yes, every week","2005","Full Time","lower secondary degree","110","0.0686647759682248","0.056926821041549","0.0804027308949007"
"Yes, every week","2005","Full Time","secondary school degree","130","0.0493922743062555","0.0410680995572507","0.0577164490552602"
"Yes, every week","2005","Full Time","college entrance qualification","211","0.0843284515358647","0.0732434340871325","0.0954134689845968"
"Yes, every week","2005","Full Time","Other degree","25","","",""
"Yes, every week","2005","Full Time","no degree/no degree yet","3","","",""
"Yes, every week","2005","Part Time","lower secondary degree","39","0.0633229020365712","0.0473045820871408","0.0793412219860015"
"Yes, every week","2005","Part Time","secondary school degree","39","0.0430864636936554","0.0316027234122199","0.0545702039750909"
"Yes, every week","2005","Part Time","college entrance qualification","57","0.0534312530485267","0.0396434077057879","0.0672190983912655"
"Yes, every week","2005","Part Time","Other degree","6","","",""
"Yes, every week","2005","Part Time","no degree/no degree yet","9","","",""
"Yes, every week","2005","Not Working","lower secondary degree","2","","",""
"Yes, every week","2005","Not Working","secondary school degree","3","","",""
"Yes, every week","2005","Not Working","college entrance qualification","3","","",""
"Yes, every week","2005","Not Working","Other degree","1","","",""
"Yes, every week","2005","Not Working","no degree/no degree yet","1","","",""
"Yes, every 2 weeks","2005","Full Time","lower secondary degree","158","0.0918825930113368","0.078474715274523","0.10529047074815"
"Yes, every 2 weeks","2005","Full Time","secondary school degree","258","0.109904063762855","0.0978887174832326","0.121919410042477"
"Yes, every 2 weeks","2005","Full Time","college entrance qualification","160","0.0757271750729344","0.0651734584598602","0.0862808916860086"
"Yes, every 2 weeks","2005","Full Time","Other degree","28","","",""
"Yes, every 2 weeks","2005","Full Time","no degree/no degree yet","4","","",""
"Yes, every 2 weeks","2005","Part Time","lower secondary degree","70","0.0754897367195778","0.058114071839327","0.0928654015998286"
"Yes, every 2 weeks","2005","Part Time","secondary school degree","108","0.0895399756941744","0.0733920956574597","0.105687855730889"
"Yes, every 2 weeks","2005","Part Time","college entrance qualification","84","0.0982271704921944","0.0799803569964944","0.116473983987894"
"Yes, every 2 weeks","2005","Part Time","Other degree","17","","",""
"Yes, every 2 weeks","2005","Part Time","no degree/no degree yet","5","","",""
"Yes, every 2 weeks","2005","Not Working","lower secondary degree","3","","",""
"Yes, every 2 weeks","2005","Not Working","secondary school degree","4","","",""
"Yes, every 2 weeks","2005","Not Working","college entrance qualification","2","","",""
