"plb0219","year","migback","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","no migration background","5691","0.602469575246963","0.59253240364478","0.612406746849145","1"
"No, never","2005","direct migration background","815","0.689811850054476","0.66315803756241","0.716465662546542","1"
"No, never","2005","indirect migration background","311","0.645249910925238","0.60124051597773","0.689259305872746","1"
"Rarely","2005","direct migration background","137","0.124022685516661","0.105030348564927","0.143015022468395","5"
"Rarely","2005","indirect migration background","53","0.115691991938507","0.0862698969769277","0.145114086900087","5"
"Rarely","2005","no migration background","1785","0.185431683426722","0.177540070588068","0.193323296265375","5"
"Yes, every 2 weeks","2005","direct migration background","88","0.0838128652179772","0.0678456621022075","0.0997800683337469","3"
"Yes, every 2 weeks","2005","indirect migration background","39","0.0944451503453049","0.0675442152828813","0.121346085407729","3"
"Yes, every 2 weeks","2005","no migration background","792","0.0932129432759647","0.0873095623163136","0.0991163242356159","3"
"Yes, every 3-4 weeks","2005","no migration background","487","0.0557849099053652","0.0511247171571827","0.0604451026535477","4"
"Yes, every 3-4 weeks","2005","direct migration background","60","0.0535739311813405","0.0405991059591366","0.0665487564035445","4"
"Yes, every 3-4 weeks","2005","indirect migration background","23","","","","4"
"Yes, every week","2005","direct migration background","57","0.0487786680295459","0.036366799387763","0.0611905366713287","2"
"Yes, every week","2005","no migration background","562","0.0631008881449858","0.0581637623503133","0.0680380139396582","2"
"Yes, every week","2005","indirect migration background","28","","","","2"
"No, never","2006","direct migration background","","","","","1"
"No, never","2006","indirect migration background","","","","","1"
"No, never","2006","no migration background","","","","","1"
"Rarely","2006","direct migration background","","","","","5"
"Rarely","2006","indirect migration background","","","","","5"
"Rarely","2006","no migration background","","","","","5"
"Yes, every 2 weeks","2006","direct migration background","","","","","3"
"Yes, every 2 weeks","2006","no migration background","","","","","3"
"Yes, every 2 weeks","2006","indirect migration background","","","","","3"
"Yes, every 3-4 weeks","2006","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2006","no migration background","","","","","4"
"Yes, every 3-4 weeks","2006","direct migration background","","","","","4"
"Yes, every week","2006","no migration background","","","","","2"
"Yes, every week","2006","direct migration background","","","","","2"
"Yes, every week","2006","indirect migration background","","","","","2"
"No, never","2007","no migration background","5719","0.587798744246071","0.577935802003221","0.597661686488921","1"
"No, never","2007","direct migration background","724","0.681610881113309","0.653513651675634","0.709708110550984","1"
"No, never","2007","indirect migration background","340","0.708367005775853","0.667706295294037","0.74902771625767","1"
"Rarely","2007","no migration background","1861","0.19493341902536","0.186995684731916","0.202871153318805","5"
"Rarely","2007","direct migration background","129","0.13184095553532","0.111435751113479","0.152246159957162","5"
"Rarely","2007","indirect migration background","63","0.140125935443809","0.109072892796372","0.171178978091246","5"
"Yes, every 2 weeks","2007","direct migration background","89","0.0959633915705076","0.0781985256156219","0.113728257525393","3"
"Yes, every 2 weeks","2007","indirect migration background","29","","","","3"
"Yes, every 2 weeks","2007","no migration background","829","0.0945242484752138","0.0886622252265336","0.100386271723894","3"
"Yes, every 3-4 weeks","2007","no migration background","503","0.0558639189044563","0.0512621955692934","0.0604656422396192","4"
"Yes, every 3-4 weeks","2007","direct migration background","66","0.0513091081619063","0.0380022437901684","0.0646159725336441","4"
"Yes, every 3-4 weeks","2007","indirect migration background","25","","","","4"
"Yes, every week","2007","no migration background","656","0.0668796693488985","0.0618741010412743","0.0718852376565227","2"
"Yes, every week","2007","direct migration background","48","0.039275663618957","0.0275597194383746","0.0509916077995395","2"
"Yes, every week","2007","indirect migration background","23","","","","2"
"No, never","2008","no migration background","","","","","1"
"No, never","2008","direct migration background","","","","","1"
"No, never","2008","indirect migration background","","","","","1"
"Rarely","2008","direct migration background","","","","","5"
"Rarely","2008","indirect migration background","","","","","5"
"Rarely","2008","no migration background","","","","","5"
"Yes, every 2 weeks","2008","indirect migration background","","","","","3"
"Yes, every 2 weeks","2008","no migration background","","","","","3"
"Yes, every 2 weeks","2008","direct migration background","","","","","3"
"Yes, every 3-4 weeks","2008","no migration background","","","","","4"
"Yes, every 3-4 weeks","2008","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2008","indirect migration background","","","","","4"
"Yes, every week","2008","direct migration background","","","","","2"
"Yes, every week","2008","no migration background","","","","","2"
"Yes, every week","2008","indirect migration background","","","","","2"
"No, never","2009","direct migration background","565","0.642726323059623","0.610606097459513","0.674846548659734","1"
"No, never","2009","indirect migration background","293","0.646838551114051","0.602381444041152","0.69129565818695","1"
"No, never","2009","no migration background","5017","0.576389331363619","0.565906279370817","0.586872383356421","1"
"Rarely","2009","no migration background","1693","0.20754432152583","0.198940542515927","0.216148100535733","5"
"Rarely","2009","direct migration background","115","0.132577917078209","0.109847057108159","0.155308777048259","5"
"Rarely","2009","indirect migration background","59","0.142454059111771","0.109943628788196","0.174964489435346","5"
"Yes, every 2 weeks","2009","direct migration background","69","0.0821520676647151","0.0637460578239072","0.100558077505523","3"
"Yes, every 2 weeks","2009","indirect migration background","36","0.0694814730421177","0.0458302487432405","0.0931326973409949","3"
"Yes, every 2 weeks","2009","no migration background","745","0.0866173073022539","0.0806500459875857","0.0925845686169222","3"
"Yes, every 3-4 weeks","2009","no migration background","477","0.058442021833276","0.0534654247783951","0.0634186188881569","4"
"Yes, every 3-4 weeks","2009","direct migration background","48","0.0625509313477484","0.0463195394053702","0.0787823232901265","4"
"Yes, every 3-4 weeks","2009","indirect migration background","26","","","","4"
"Yes, every week","2009","no migration background","603","0.0710070179750208","0.0655581889331468","0.0764558470168947","2"
"Yes, every week","2009","direct migration background","58","0.0799927608497045","0.0618089041982016","0.0981766175012075","2"
"Yes, every week","2009","indirect migration background","30","0.0565855721182605","0.035094369511666","0.0780767747248551","2"
"No, never","2010","no migration background","2014","0.585446173151239","0.56923590363923","0.601656442663247","1"
"No, never","2010","direct migration background","392","0.557127308120022","0.520718057170187","0.593536559069856","1"
"No, never","2010","indirect migration background","141","0.544577696819775","0.483809645321072","0.605345748318478","1"
"Rarely","2010","no migration background","689","0.186628921696699","0.173808859808165","0.199448983585233","5"
"Rarely","2010","direct migration background","120","0.166747746543152","0.139425695063313","0.194069798022991","5"
"Rarely","2010","indirect migration background","40","0.163211162898568","0.118116919291781","0.208305406505355","5"
