"plb0219","year","e11103","sex","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","Full Time","Male","2687","0.547286939283488","0.533331420823804","0.561242457743172","1"
"No, never","2005","Full Time","Female","1567","0.625250759378718","0.605984841080522","0.644516677676913","1"
"No, never","2005","Part Time","Male","538","0.626185302442414","0.593389023342813","0.658981581542014","1"
"No, never","2005","Part Time","Female","1897","0.730426295829297","0.713412338113613","0.747440253544981","1"
"No, never","2005","Not Working","Male","58","0.76617120116973","0.671631409784305","0.860710992555154","1"
"No, never","2005","Not Working","Female","70","0.729271592795909","0.637472497989349","0.821070687602469","1"
"Rarely","2005","Full Time","Male","1189","0.239746642143762","0.227776967061391","0.251716317226132","5"
"Rarely","2005","Full Time","Female","336","0.126254348189735","0.11303506503012","0.13947363134935","5"
"Rarely","2005","Part Time","Male","149","0.179333298365696","0.15332818049341","0.205338416237982","5"
"Rarely","2005","Part Time","Female","288","0.0915663543724971","0.0805079376103424","0.102624771134652","5"
"Rarely","2005","Not Working","Male","7","","","","5"
"Rarely","2005","Not Working","Female","6","","","","5"
"Yes, every 2 weeks","2005","Part Time","Male","65","0.0707529545678675","0.053371631300753","0.088134277834982","3"
"Yes, every 2 weeks","2005","Full Time","Male","364","0.0812380522900699","0.0735784155672395","0.0888976890129003","3"
"Yes, every 2 weeks","2005","Full Time","Female","255","0.129796881350128","0.116420622447546","0.14317314025271","3"
"Yes, every 2 weeks","2005","Part Time","Female","226","0.0897879725105105","0.0788267560657164","0.100749188955305","3"
"Yes, every 2 weeks","2005","Not Working","Male","2","","","","3"
"Yes, every 2 weeks","2005","Not Working","Female","7","","","","3"
"Yes, every 3-4 weeks","2005","Full Time","Male","316","0.0677863955195077","0.0607385575593399","0.0748342334796755","4"
"Yes, every 3-4 weeks","2005","Part Time","Male","32","0.0446706761288132","0.0306672994993092","0.0586740527583172","4"
"Yes, every 3-4 weeks","2005","Full Time","Female","116","0.0526953587688686","0.0438028718510911","0.061587845686646","4"
"Yes, every 3-4 weeks","2005","Not Working","Male","2","","","","4"
"Yes, every 3-4 weeks","2005","Part Time","Female","100","0.0441706897595492","0.0362923329020881","0.0520490466170103","4"
"Yes, every 3-4 weeks","2005","Not Working","Female","4","","","","4"
"Yes, every week","2005","Part Time","Male","52","0.0790577684952096","0.0607669381064992","0.09734859888392","2"
"Yes, every week","2005","Full Time","Male","331","0.0639419707631728","0.057082804710932","0.0708011368154137","2"
