"plb0219","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","West Germany","Male","2658","0.575864583371659","0.561504569914054","0.590224596829264","1"
"No, never","2005","West Germany","Female","2753","0.683886269719202","0.669428462465086","0.698344076973318","1"
"No, never","2005","East Germany","Male","625","0.493118206546642","0.465402755589264","0.520833657504021","1"
"No, never","2005","East Germany","Female","781","0.661438326313974","0.634147249399777","0.688729403228171","1"
"Rarely","2005","East Germany","Female","131","0.0797224695454706","0.0641015397795249","0.0953433993114163","5"
"Rarely","2005","West Germany","Male","1009","0.219969917065484","0.207933985373243","0.232005848757725","5"
"Rarely","2005","West Germany","Female","499","0.113112718659528","0.103264022432576","0.122961414886481","5"
"Rarely","2005","East Germany","Male","336","0.274876694154348","0.250127106028138","0.299626282280557","5"
"Yes, every 2 weeks","2005","West Germany","Male","304","0.0736138710268122","0.0660260296664571","0.0812017123871673","3"
"Yes, every 2 weeks","2005","West Germany","Female","352","0.101192758506377","0.0918150483117067","0.110570468701047","3"
"Yes, every 2 weeks","2005","East Germany","Male","127","0.105281772509283","0.0882675220703759","0.122296022948189","3"
"Yes, every 2 weeks","2005","East Germany","Female","136","0.150186920670549","0.129583712013165","0.170790129327932","3"
"Yes, every 3-4 weeks","2005","West Germany","Male","269","0.0618646370047795","0.0548646637497782","0.0688646102597808","4"
"Yes, every 3-4 weeks","2005","West Germany","Female","168","0.0475736647652394","0.0409547344293149","0.0541925951011639","4"
"Yes, every 3-4 weeks","2005","East Germany","Male","81","0.0713088205968291","0.0570428813026554","0.0855747598910027","4"
"Yes, every 3-4 weeks","2005","East Germany","Female","52","0.0524761137865425","0.039616349302193","0.0653358782708919","4"
"Yes, every week","2005","West Germany","Male","310","0.0686869915312648","0.0613380046064364","0.0760359784560932","2"
"Yes, every week","2005","West Germany","Female","201","0.0542345883496534","0.0471922206638217","0.0612769560354851","2"
"Yes, every week","2005","East Germany","Male","81","0.0554145061928985","0.0427314050981979","0.0680976072875991","2"
"Yes, every week","2005","East Germany","Female","55","0.0561761696834639","0.0428967642627783","0.0694555751041496","2"
"No, never","2006","West Germany","Male","","","","","1"
"No, never","2006","West Germany","Female","","","","","1"
"No, never","2006","East Germany","Male","","","","","1"
"No, never","2006","East Germany","Female","","","","","1"
"Rarely","2006","West Germany","Male","","","","","5"
"Rarely","2006","West Germany","Female","","","","","5"
"Rarely","2006","East Germany","Male","","","","","5"
"Rarely","2006","East Germany","Female","","","","","5"
"Yes, every 2 weeks","2006","West Germany","Male","","","","","3"
"Yes, every 2 weeks","2006","East Germany","Male","","","","","3"
"Yes, every 2 weeks","2006","East Germany","Female","","","","","3"
"Yes, every 2 weeks","2006","West Germany","Female","","","","","3"
"Yes, every 3-4 weeks","2006","West Germany","Male","","","","","4"
"Yes, every 3-4 weeks","2006","West Germany","Female","","","","","4"
"Yes, every 3-4 weeks","2006","East Germany","Male","","","","","4"
"Yes, every 3-4 weeks","2006","East Germany","Female","","","","","4"
"Yes, every week","2006","West Germany","Male","","","","","2"
"Yes, every week","2006","West Germany","Female","","","","","2"
"Yes, every week","2006","East Germany","Male","","","","","2"
"Yes, every week","2006","East Germany","Female","","","","","2"
"No, never","2007","East Germany","Female","791","0.625358603208357","0.598297556180128","0.652419650236586","1"
"No, never","2007","West Germany","Male","2641","0.577411856126552","0.563093390447014","0.591730321806091","1"
"No, never","2007","West Germany","Female","2697","0.66150469375042","0.646884204847001","0.676125182653839","1"
"No, never","2007","East Germany","Male","654","0.494570419781764","0.467170000067586","0.521970839495941","1"
"Rarely","2007","West Germany","Male","998","0.218424609889599","0.206448074488301","0.230401145290897","5"
"Rarely","2007","West Germany","Female","568","0.138740456725392","0.128060052534589","0.149420860916195","5"
"Rarely","2007","East Germany","Male","307","0.233258039344152","0.210081118115558","0.256434960572747","5"
"Rarely","2007","East Germany","Female","180","0.150183571368505","0.130210450751535","0.170156691985475","5"
"Yes, every 2 weeks","2007","East Germany","Female","142","0.131640929024353","0.112738514123868","0.150543343924839","3"
"Yes, every 2 weeks","2007","West Germany","Male","324","0.0752941958849605","0.0676456738584978","0.0829427179114232","3"
"Yes, every 2 weeks","2007","West Germany","Female","341","0.0967661603358261","0.0876317406975502","0.105900579974102","3"
"Yes, every 2 weeks","2007","East Germany","Male","140","0.124273982443524","0.106194455908726","0.142353508978322","3"
"Yes, every 3-4 weeks","2007","East Germany","Female","49","0.0379553463046931","0.0272720261365346","0.0486386664728516","4"
"Yes, every 3-4 weeks","2007","West Germany","Male","270","0.0627888649740661","0.0557572510689761","0.0698204788791562","4"
"Yes, every 3-4 weeks","2007","West Germany","Female","185","0.0450730468046243","0.0386629787723153","0.0514831148369332","4"
"Yes, every 3-4 weeks","2007","East Germany","Male","90","0.080179947280091","0.065296719152746","0.0950631754074359","4"
"Yes, every week","2007","West Germany","Male","339","0.0660804731248222","0.0588795814121044","0.0732813648375399","2"
"Yes, every week","2007","West Germany","Female","233","0.0579156423837375","0.0506985553892994","0.0651327293781756","2"
"Yes, every week","2007","East Germany","Female","67","0.0548615500940919","0.0421308026548016","0.0675922975333822","2"
"Yes, every week","2007","East Germany","Male","88","0.0677176111504691","0.053947502291377","0.0814877200095613","2"
"No, never","2008","East Germany","Female","","","","","1"
"No, never","2008","West Germany","Male","","","","","1"
"No, never","2008","West Germany","Female","","","","","1"
"No, never","2008","East Germany","Male","","","","","1"
"Rarely","2008","East Germany","Female","","","","","5"
"Rarely","2008","West Germany","Male","","","","","5"
"Rarely","2008","West Germany","Female","","","","","5"
"Rarely","2008","East Germany","Male","","","","","5"
"Yes, every 2 weeks","2008","East Germany","Female","","","","","3"
"Yes, every 2 weeks","2008","West Germany","Male","","","","","3"
"Yes, every 2 weeks","2008","West Germany","Female","","","","","3"
"Yes, every 2 weeks","2008","East Germany","Male","","","","","3"
"Yes, every 3-4 weeks","2008","East Germany","Female","","","","","4"
"Yes, every 3-4 weeks","2008","West Germany","Male","","","","","4"
"Yes, every 3-4 weeks","2008","West Germany","Female","","","","","4"
"Yes, every 3-4 weeks","2008","East Germany","Male","","","","","4"
"Yes, every week","2008","East Germany","Female","","","","","2"
"Yes, every week","2008","West Germany","Male","","","","","2"
"Yes, every week","2008","West Germany","Female","","","","","2"
"Yes, every week","2008","East Germany","Male","","","","","2"
"No, never","2009","East Germany","Female","696","0.599686721708931","0.570901954394155","0.628471489023706","1"
"No, never","2009","East Germany","Male","600","0.496405379379403","0.467853531141307","0.524957227617498","1"
"No, never","2009","West Germany","Male","2219","0.553890959077365","0.538306079025351","0.569475839129378","1"
"No, never","2009","West Germany","Female","2360","0.650093757273175","0.634589187253994","0.665598327292356","1"
"Rarely","2009","East Germany","Female","150","0.147065197128592","0.126258009599856","0.167872384657328","5"
"Rarely","2009","West Germany","Male","865","0.226854659816882","0.21372434203398","0.239984977599784","5"
"Rarely","2009","West Germany","Female","552","0.154983455207201","0.143219017920888","0.166747892493514","5"
"Rarely","2009","East Germany","Male","300","0.239282093964752","0.214918443201598","0.263645744727905","5"
"Yes, every 2 weeks","2009","East Germany","Female","121","0.106158923253047","0.0880618261876523","0.124256020318441","3"
"Yes, every 2 weeks","2009","East Germany","Male","104","0.105620416838907","0.0880690750880947","0.12317175858972","3"
"Yes, every 2 weeks","2009","West Germany","Male","295","0.0765749729299777","0.0682378719860303","0.0849120738739251","3"
"Yes, every 2 weeks","2009","West Germany","Female","330","0.0858543550779136","0.0767471577671262","0.094961552388701","3"
