"plb0219","year","education","sampreg","n","percent","lower_confidence","upper_confidence"
"No, never","2005","lower secondary degree","West Germany","1656","0.6485469323016","0.629775851963979","0.66731801263922"
"No, never","2005","lower secondary degree","East Germany","130","0.644704590722734","0.582168315348315","0.707240866097153"
"No, never","2005","secondary school degree","West Germany","1600","0.633704864604097","0.614572504561956","0.652837224646237"
"No, never","2005","secondary school degree","East Germany","840","0.558611538395125","0.532775713505491","0.584447363284759"
"No, never","2005","college entrance qualification","West Germany","1583","0.559207877947082","0.540791936028353","0.57762381986581"
"No, never","2005","college entrance qualification","East Germany","392","0.548125758394854","0.511098866809852","0.585152649979856"
"No, never","2005","Other degree","West Germany","383","0.693589440521835","0.654670876416755","0.732508004626916"
"No, never","2005","Other degree","East Germany","10","","",""
"No, never","2005","no degree/no degree yet","West Germany","73","0.719170023693221","0.634413383358144","0.803926664028298"
"No, never","2005","no degree/no degree yet","East Germany","5","","",""
"Yes, every week","2005","lower secondary degree","West Germany","130","0.0663584515250583","0.0565720484045502","0.0761448546455664"
"Yes, every week","2005","lower secondary degree","East Germany","21","","",""
"Yes, every week","2005","secondary school degree","West Germany","102","0.0459139421219688","0.0376025166486183","0.0542253675953194"
"Yes, every week","2005","secondary school degree","East Germany","70","0.051484489776582","0.0399866217806264","0.0629823577725375"
"Yes, every week","2005","college entrance qualification","West Germany","229","0.0767934011425859","0.0669169303117944","0.0866698719733773"
"Yes, every week","2005","college entrance qualification","East Germany","42","0.0596723085688205","0.0420487182488075","0.0772958988888334"
"Yes, every week","2005","Other degree","West Germany","32","0.0537662115032245","0.0347244267130367","0.0728079962934122"
"Yes, every week","2005","Other degree","East Germany","","","",""
"Yes, every week","2005","no degree/no degree yet","West Germany","12","","",""
"Yes, every week","2005","no degree/no degree yet","East Germany","1","","",""
"Yes, every 2 weeks","2005","lower secondary degree","West Germany","202","0.0842271173012836","0.0733075670136537","0.0951466675889136"
"Yes, every 2 weeks","2005","lower secondary degree","East Germany","29","","",""
"Yes, every 2 weeks","2005","secondary school degree","West Germany","209","0.0925609113413854","0.0810520594404542","0.104069763242317"
"Yes, every 2 weeks","2005","secondary school degree","East Germany","161","0.131374585018085","0.113798229116592","0.148950940919579"
"Yes, every 2 weeks","2005","college entrance qualification","West Germany","181","0.0769215536761412","0.0670375314561495","0.0868055758961328"
"Yes, every 2 weeks","2005","college entrance qualification","East Germany","65","0.112304745386003","0.0888138614716427","0.135795629300364"
"Yes, every 2 weeks","2005","Other degree","West Germany","43","0.091106113596608","0.0668129508312251","0.115399276361991"
"Yes, every 2 weeks","2005","Other degree","East Germany","2","","",""
"Yes, every 2 weeks","2005","no degree/no degree yet","West Germany","7","","",""
"Yes, every 2 weeks","2005","no degree/no degree yet","East Germany","2","","",""
"Yes, every 3-4 weeks","2005","lower secondary degree","West Germany","115","0.0547436131416152","0.0457997234615665","0.063687502821664"
"Yes, every 3-4 weeks","2005","lower secondary degree","East Germany","13","","",""
"Yes, every 3-4 weeks","2005","secondary school degree","West Germany","123","0.0574097583880096","0.0481720600025195","0.0666474567734997"
"Yes, every 3-4 weeks","2005","secondary school degree","East Germany","73","0.0683736562209997","0.0552419192371101","0.0815053932048894"
"Yes, every 3-4 weeks","2005","college entrance qualification","West Germany","152","0.0544802679291846","0.0460615627734515","0.0628989730849177"
"Yes, every 3-4 weeks","2005","college entrance qualification","East Germany","44","0.0571270742182763","0.0398601123669341","0.0743940360696186"
"Yes, every 3-4 weeks","2005","Other degree","West Germany","30","0.0443973524182786","0.0270085001941174","0.0617862046424398"
"Yes, every 3-4 weeks","2005","Other degree","East Germany","","","",""
"Yes, every 3-4 weeks","2005","no degree/no degree yet","West Germany","6","","",""
"Yes, every 3-4 weeks","2005","no degree/no degree yet","East Germany","1","","",""
"Rarely","2005","lower secondary degree","West Germany","382","0.146123885730443","0.132235782586473","0.160011988874413"
"Rarely","2005","lower secondary degree","East Germany","32","0.11959073330238","0.0771924864655608","0.161988980139198"
"Rarely","2005","secondary school degree","West Germany","402","0.170410523544539","0.155479510615109","0.18534153647397"
"Rarely","2005","secondary school degree","East Germany","275","0.190155730589208","0.169737770104706","0.21057369107371"
"Rarely","2005","college entrance qualification","West Germany","647","0.232596899305007","0.216925631967652","0.248268166642361"
"Rarely","2005","college entrance qualification","East Germany","151","0.222770113432046","0.191812208317386","0.253728018546705"
"Rarely","2005","Other degree","West Germany","51","0.117140881960054","0.0899918932731631","0.144289870646944"
"Rarely","2005","Other degree","East Germany","1","","",""
"Rarely","2005","no degree/no degree yet","West Germany","10","","",""
"Rarely","2005","no degree/no degree yet","East Germany","3","","",""
"No, never","2006","lower secondary degree","West Germany","","","",""
"No, never","2006","lower secondary degree","East Germany","","","",""
"No, never","2006","secondary school degree","West Germany","","","",""
"No, never","2006","secondary school degree","East Germany","","","",""
"No, never","2006","college entrance qualification","West Germany","","","",""
"No, never","2006","college entrance qualification","East Germany","","","",""
"No, never","2006","Other degree","West Germany","","","",""
"No, never","2006","Other degree","East Germany","","","",""
"No, never","2006","no degree/no degree yet","West Germany","","","",""
"No, never","2006","no degree/no degree yet","East Germany","","","",""
"Yes, every week","2006","lower secondary degree","West Germany","","","",""
"Yes, every week","2006","lower secondary degree","East Germany","","","",""
"Yes, every week","2006","secondary school degree","West Germany","","","",""
"Yes, every week","2006","secondary school degree","East Germany","","","",""
"Yes, every week","2006","college entrance qualification","West Germany","","","",""
"Yes, every week","2006","college entrance qualification","East Germany","","","",""
"Yes, every week","2006","Other degree","West Germany","","","",""
"Yes, every week","2006","Other degree","East Germany","","","",""
"Yes, every week","2006","no degree/no degree yet","West Germany","","","",""
"Yes, every week","2006","no degree/no degree yet","East Germany","","","",""
"Yes, every 2 weeks","2006","lower secondary degree","West Germany","","","",""
"Yes, every 2 weeks","2006","lower secondary degree","East Germany","","","",""
"Yes, every 2 weeks","2006","secondary school degree","West Germany","","","",""
"Yes, every 2 weeks","2006","secondary school degree","East Germany","","","",""
"Yes, every 2 weeks","2006","college entrance qualification","West Germany","","","",""
"Yes, every 2 weeks","2006","college entrance qualification","East Germany","","","",""
"Yes, every 2 weeks","2006","Other degree","West Germany","","","",""
"Yes, every 2 weeks","2006","Other degree","East Germany","","","",""
"Yes, every 2 weeks","2006","no degree/no degree yet","West Germany","","","",""
"Yes, every 2 weeks","2006","no degree/no degree yet","East Germany","","","",""
"Yes, every 3-4 weeks","2006","lower secondary degree","West Germany","","","",""
"Yes, every 3-4 weeks","2006","lower secondary degree","East Germany","","","",""
"Yes, every 3-4 weeks","2006","secondary school degree","West Germany","","","",""
"Yes, every 3-4 weeks","2006","secondary school degree","East Germany","","","",""
