"plb0219","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","West Germany","5411","0.624064024451997","0.613780940901516","0.634347108002478","1"
"No, never","2005","East Germany","1406","0.567157845930901","0.547355926110096","0.586959765751706","1"
"Rarely","2005","West Germany","1508","0.172290072279438","0.164272902965561","0.180307241593315","5"
"Rarely","2005","East Germany","467","0.189033430530671","0.173385340562377","0.204681520498965","5"
"Yes, every 2 weeks","2005","West Germany","656","0.0859196126522092","0.079969979377231","0.0918692459271874","3"
"Yes, every 2 weeks","2005","East Germany","263","0.125034378323446","0.111815312505262","0.13825344414163","3"
"Yes, every 3-4 weeks","2005","West Germany","437","0.0554879834111271","0.0506277731117411","0.0603481937105131","4"
"Yes, every 3-4 weeks","2005","East Germany","133","0.0630248030783617","0.053312765666569","0.0727368404901544","4"
"Yes, every week","2005","West Germany","511","0.0622383072052289","0.0571093747848576","0.0673672396256002","2"
"Yes, every week","2005","East Germany","136","0.0557495421366203","0.0465798489385945","0.0649192353346462","2"
"No, never","2006","West Germany","","","","","1"
"No, never","2006","East Germany","","","","","1"
"Rarely","2006","West Germany","","","","","5"
"Rarely","2006","East Germany","","","","","5"
"Yes, every 2 weeks","2006","West Germany","","","","","3"
"Yes, every 2 weeks","2006","East Germany","","","","","3"
"Yes, every 3-4 weeks","2006","West Germany","","","","","4"
"Yes, every 3-4 weeks","2006","East Germany","","","","","4"
"Yes, every week","2006","West Germany","","","","","2"
"Yes, every week","2006","East Germany","","","","","2"
"No, never","2007","West Germany","5338","0.615213241505166","0.604927803661483","0.625498679348848","1"
"No, never","2007","East Germany","1445","0.553923189193609","0.534468964758997","0.573377413628222","1"
"Rarely","2007","West Germany","1566","0.1826050149343","0.174437833147619","0.190772196720982","5"
"Rarely","2007","East Germany","487","0.195558152300933","0.180035368276396","0.211080936325471","5"
"Yes, every 2 weeks","2007","West Germany","665","0.0849462664533662","0.0790524672725395","0.0908400656341929","3"
