"plb0219","year","e11102","sex","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","Not Employed","Male","58","0.76617120116973","0.671631409784305","0.860710992555154","1"
"No, never","2005","Not Employed","Female","70","0.729271592795909","0.637472497989349","0.821070687602469","1"
"No, never","2005","Employed","Male","3225","0.559820986404022","0.546959964672493","0.572682008135551","1"
"No, never","2005","Employed","Female","3464","0.67961243792137","0.666727346846808","0.692497528995932","1"
"Rarely","2005","Employed","Female","624","0.108325297073668","0.0997433234249707","0.116907270722366","5"
"Rarely","2005","Not Employed","Male","7","","","","5"
"Rarely","2005","Not Employed","Female","6","","","","5"
"Rarely","2005","Employed","Male","1338","0.230149184512124","0.219243718581211","0.241054650443038","5"
"Yes, every 2 weeks","2005","Not Employed","Male","2","","","","3"
"Yes, every 2 weeks","2005","Not Employed","Female","7","","","","3"
"Yes, every 2 weeks","2005","Employed","Male","429","0.0795723560239918","0.0725608364066533","0.0865838756413304","3"
"Yes, every 2 weeks","2005","Employed","Female","481","0.109117629172474","0.100508154502332","0.117727103842616","3"
"Yes, every 3-4 weeks","2005","Not Employed","Male","2","","","","4"
"Yes, every 3-4 weeks","2005","Not Employed","Female","4","","","","4"
"Yes, every 3-4 weeks","2005","Employed","Male","348","0.0641141581692296","0.0577677992675803","0.0704605170708788","4"
"Yes, every 3-4 weeks","2005","Employed","Female","216","0.0482892455983892","0.0423695863507757","0.0542089048460027","4"
"Yes, every week","2005","Not Employed","Male","8","","","","2"
"Yes, every week","2005","Not Employed","Female","3","","","","2"
"Yes, every week","2005","Employed","Male","383","0.0663433148906319","0.0598952647276997","0.072791365053564","2"
"Yes, every week","2005","Employed","Female","253","0.0546553902340986","0.048378701599455","0.0609320788687421","2"
"No, never","2006","Not Employed","Male","","","","","1"
"No, never","2006","Not Employed","Female","","","","","1"
"No, never","2006","Employed","Male","","","","","1"
"No, never","2006","Employed","Female","","","","","1"
"Rarely","2006","Not Employed","Male","","","","","5"
"Rarely","2006","Not Employed","Female","","","","","5"
"Rarely","2006","Employed","Male","","","","","5"
"Rarely","2006","Employed","Female","","","","","5"
"Yes, every 2 weeks","2006","Not Employed","Male","","","","","3"
"Yes, every 2 weeks","2006","Employed","Male","","","","","3"
"Yes, every 2 weeks","2006","Employed","Female","","","","","3"
"Yes, every 2 weeks","2006","Not Employed","Female","","","","","3"
"Yes, every 3-4 weeks","2006","Not Employed","Male","","","","","4"
"Yes, every 3-4 weeks","2006","Not Employed","Female","","","","","4"
"Yes, every 3-4 weeks","2006","Employed","Male","","","","","4"
"Yes, every 3-4 weeks","2006","Employed","Female","","","","","4"
"Yes, every week","2006","Not Employed","Male","","","","","2"
"Yes, every week","2006","Not Employed","Female","","","","","2"
"Yes, every week","2006","Employed","Male","","","","","2"
"Yes, every week","2006","Employed","Female","","","","","2"
"No, never","2007","Employed","Female","3390","0.654549690072421","0.641522160899976","0.667577219244866","1"
"No, never","2007","Not Employed","Male","57","0.778967934825807","0.682450371806516","0.875485497845099","1"
"No, never","2007","Not Employed","Female","98","0.680513185141971","0.601858255177208","0.759168115106733","1"
"No, never","2007","Employed","Male","3238","0.560456001479289","0.547660535361523","0.573251467597054","1"
"Rarely","2007","Not Employed","Male","6","","","","5"
"Rarely","2007","Not Employed","Female","14","","","","5"
"Rarely","2007","Employed","Male","1299","0.222218285161844","0.211500552198739","0.23293601812495","5"
"Rarely","2007","Employed","Female","734","0.141829646521553","0.132271620377335","0.151387672665772","5"
"Yes, every 2 weeks","2007","Employed","Female","473","0.101875206744746","0.0935881455747889","0.110162267914704","3"
"Yes, every 2 weeks","2007","Not Employed","Male","2","","","","3"
"Yes, every 2 weeks","2007","Not Employed","Female","10","","","","3"
"Yes, every 2 weeks","2007","Employed","Male","462","0.0842067864178495","0.0770477193813935","0.0913658534543055","3"
"Yes, every 3-4 weeks","2007","Employed","Female","230","0.0443474353957851","0.0387073949303444","0.0499874758612257","4"
"Yes, every 3-4 weeks","2007","Not Employed","Male","1","","","","4"
"Yes, every 3-4 weeks","2007","Not Employed","Female","4","","","","4"
"Yes, every 3-4 weeks","2007","Employed","Male","359","0.0664815442633672","0.0600591616446053","0.0729039268821292","4"
"Yes, every week","2007","Not Employed","Male","5","","","","2"
"Yes, every week","2007","Not Employed","Female","9","","","","2"
"Yes, every week","2007","Employed","Female","291","0.0573980212654939","0.0510255104062847","0.0637705321247031","2"
"Yes, every week","2007","Employed","Male","422","0.0666373826776505","0.0602080138741105","0.0730667514811904","2"
"No, never","2008","Employed","Female","","","","","1"
"No, never","2008","Not Employed","Male","","","","","1"
"No, never","2008","Not Employed","Female","","","","","1"
"No, never","2008","Employed","Male","","","","","1"
"Rarely","2008","Employed","Female","","","","","5"
"Rarely","2008","Not Employed","Male","","","","","5"
"Rarely","2008","Not Employed","Female","","","","","5"
"Rarely","2008","Employed","Male","","","","","5"
"Yes, every 2 weeks","2008","Employed","Female","","","","","3"
"Yes, every 2 weeks","2008","Not Employed","Male","","","","","3"
"Yes, every 2 weeks","2008","Not Employed","Female","","","","","3"
"Yes, every 2 weeks","2008","Employed","Male","","","","","3"
"Yes, every 3-4 weeks","2008","Employed","Female","","","","","4"
"Yes, every 3-4 weeks","2008","Not Employed","Male","","","","","4"
"Yes, every 3-4 weeks","2008","Not Employed","Female","","","","","4"
"Yes, every 3-4 weeks","2008","Employed","Male","","","","","4"
"Yes, every week","2008","Employed","Female","","","","","2"
"Yes, every week","2008","Not Employed","Male","","","","","2"
"Yes, every week","2008","Not Employed","Female","","","","","2"
"Yes, every week","2008","Employed","Male","","","","","2"
"No, never","2009","Employed","Female","2988","0.640749253485331","0.62697257161426","0.654525935356401","1"
"No, never","2009","Employed","Male","2794","0.543693413019185","0.529942288093718","0.557444537944651","1"
"No, never","2009","Not Employed","Male","25","","","","1"
"No, never","2009","Not Employed","Female","68","0.696171765601187","0.600622939549219","0.791720591653155","1"
"Rarely","2009","Employed","Female","695","0.155828954692426","0.145414391955716","0.166243517429136","5"
"Rarely","2009","Not Employed","Male","6","","","","5"
"Rarely","2009","Not Employed","Female","7","","","","5"
"Rarely","2009","Employed","Male","1159","0.231166061259922","0.219527182813382","0.242804939706463","5"
"Yes, every 2 weeks","2009","Employed","Female","443","0.0889607319686624","0.0807860764989262","0.0971353874383987","3"
"Yes, every 2 weeks","2009","Employed","Male","395","0.0806961530711951","0.0731766562972088","0.0882156498451815","3"
"Yes, every 2 weeks","2009","Not Employed","Male","4","","","","3"
"Yes, every 2 weeks","2009","Not Employed","Female","8","","","","3"
"Yes, every 3-4 weeks","2009","Employed","Female","228","0.0525580540639347","0.0461504203380055","0.0589656877898639","4"
"Yes, every 3-4 weeks","2009","Employed","Male","314","0.0648033796838484","0.0580069142068256","0.0715998451608711","4"
"Yes, every 3-4 weeks","2009","Not Employed","Male","5","","","","4"
"Yes, every 3-4 weeks","2009","Not Employed","Female","4","","","","4"
"Yes, every week","2009","Employed","Female","305","0.0619030057896465","0.0549833980355663","0.0688226135437266","2"
"Yes, every week","2009","Not Employed","Male","6","","","","2"
"Yes, every week","2009","Employed","Male","378","0.0796409929658492","0.0721665335296339","0.0871154524020645","2"
"Yes, every week","2009","Not Employed","Female","2","","","","2"
"No, never","2010","Employed","Female","1118","0.60749101620148","0.585358947057283","0.629623085345678","1"
"No, never","2010","Employed","Male","1275","0.541491448938709","0.521692298400106","0.561290599477313","1"
"No, never","2010","Not Employed","Male","32","0.787011433871172","0.66319105980591","0.910831807936435","1"
"No, never","2010","Not Employed","Female","122","0.688205970262369","0.619769930092629","0.756642010432109","1"
"Rarely","2010","Employed","Female","286","0.151177418617582","0.134941412256826","0.167413424978337","5"
"Rarely","2010","Employed","Male","537","0.210022378619908","0.193837210410536","0.226207546829281","5"
"Rarely","2010","Not Employed","Male","3","","","","5"
"Rarely","2010","Not Employed","Female","23","","","","5"
"Yes, every 2 weeks","2010","Employed","Male","261","0.106210182712419","0.0939674655642987","0.118452899860538","3"
"Yes, every 2 weeks","2010","Employed","Female","230","0.122015306505499","0.10718063555348","0.136849977457518","3"
"Yes, every 2 weeks","2010","Not Employed","Male","4","","","","3"
"Yes, every 2 weeks","2010","Not Employed","Female","16","","","","3"
"Yes, every 3-4 weeks","2010","Employed","Female","102","0.0490203074610389","0.0392344040540043","0.0588062108680734","4"
"Yes, every 3-4 weeks","2010","Employed","Male","186","0.0804219500395141","0.0696161075093185","0.0912277925697096","4"
"Yes, every 3-4 weeks","2010","Not Employed","Male","2","","","","4"
"Yes, every 3-4 weeks","2010","Not Employed","Female","5","","","","4"
"Yes, every week","2010","Employed","Female","134","0.0702959512144005","0.0587091166849631","0.081882785743838","2"
"Yes, every week","2010","Employed","Male","174","0.0618540396894498","0.0522821810251356","0.071425898353764","2"
"Yes, every week","2010","Not Employed","Male","1","","","","2"
"Yes, every week","2010","Not Employed","Female","10","","","","2"
"No, never","2011","Employed","Female","5037","0.650708000208449","0.64017977755989","0.661236222857007","1"
"No, never","2011","Employed","Male","4578","0.560278231826218","0.549514048541547","0.571042415110889","1"
"No, never","2011","Not Employed","Female","245","0.737020755959146","0.690224702533919","0.783816809384373","1"
