"plb0219","year","age_gr","migback","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","16-34 y.","no migration background","1559","0.628917380020704","0.609665982482236","0.648168777559171","1"
"No, never","2005","16-34 y.","direct migration background","187","0.673561007826331","0.61752574229409","0.729596273358573","1"
"No, never","2005","16-34 y.","indirect migration background","240","0.660775539240478","0.610524915042266","0.711026163438691","1"
"No, never","2005","35-65 y.","no migration background","4051","0.590889223458666","0.579188554910546","0.602589892006786","1"
"No, never","2005","35-65 y.","direct migration background","616","0.692467282229899","0.661873183268443","0.723061381191356","1"
"No, never","2005","35-65 y.","indirect migration background","71","0.586226250383323","0.495418489396191","0.677034011370455","1"
"No, never","2005","66 and older","no migration background","81","0.649640475740031","0.562445256761519","0.736835694718543","1"
"No, never","2005","66 and older","direct migration background","12","","","","1"
"No, never","2005","66 and older","indirect migration background","","","","","1"
"Rarely","2005","16-34 y.","no migration background","369","0.154602032360303","0.140195204868611","0.169008859851995","5"
"Rarely","2005","16-34 y.","direct migration background","30","0.143380529361383","0.101500110987099","0.185260947735666","5"
"Rarely","2005","16-34 y.","indirect migration background","31","0.087934998593767","0.0578766804045065","0.117993316783027","5"
"Rarely","2005","35-65 y.","no migration background","1400","0.199697632100285","0.190183904967823","0.209211359232747","5"
"Rarely","2005","35-65 y.","direct migration background","106","0.117635115801042","0.0962759161682939","0.13899431543379","5"
"Rarely","2005","35-65 y.","indirect migration background","22","","","","5"
"Rarely","2005","66 and older","no migration background","16","","","","5"
"Rarely","2005","66 and older","direct migration background","1","","","","5"
"Rarely","2005","66 and older","indirect migration background","","","","","5"
"Yes, every 2 weeks","2005","16-34 y.","no migration background","233","0.104914130244119","0.092702335396495","0.117125925091742","3"
"Yes, every 2 weeks","2005","16-34 y.","direct migration background","22","","","","3"
"Yes, every 2 weeks","2005","35-65 y.","indirect migration background","10","","","","3"
"Yes, every 2 weeks","2005","66 and older","no migration background","5","","","","3"
"Yes, every 2 weeks","2005","16-34 y.","indirect migration background","29","","","","3"
"Yes, every 2 weeks","2005","35-65 y.","no migration background","554","0.0898705025735891","0.0830644176657989","0.0966765874813793","3"
"Yes, every 2 weeks","2005","35-65 y.","direct migration background","66","0.0935497946178212","0.0742440849922159","0.112855504243426","3"
"Yes, every 2 weeks","2005","66 and older","indirect migration background","","","","","3"
"Yes, every 2 weeks","2005","66 and older","direct migration background","","","","","3"
"Yes, every 3-4 weeks","2005","16-34 y.","no migration background","126","0.0533789341278866","0.0444210964582855","0.0623367717974878","4"
"Yes, every 3-4 weeks","2005","35-65 y.","direct migration background","46","0.0495919403002605","0.0351988854560726","0.0639849951444485","4"
"Yes, every 3-4 weeks","2005","35-65 y.","indirect migration background","4","","","","4"
"Yes, every 3-4 weeks","2005","16-34 y.","direct migration background","14","","","","4"
"Yes, every 3-4 weeks","2005","16-34 y.","indirect migration background","19","","","","4"
"Yes, every 3-4 weeks","2005","35-65 y.","no migration background","361","0.0579400299912296","0.0523801449064761","0.063499915075983","4"
"Yes, every 3-4 weeks","2005","66 and older","no migration background","","","","","4"
"Yes, every 3-4 weeks","2005","66 and older","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2005","66 and older","indirect migration background","","","","","4"
"Yes, every week","2005","16-34 y.","direct migration background","16","","","","2"
"Yes, every week","2005","16-34 y.","no migration background","132","0.058187523246988","0.0488586903784388","0.0675163561155371","2"
"Yes, every week","2005","35-65 y.","no migration background","417","0.0616026118762302","0.0558808452440686","0.0673243785083917","2"
"Yes, every week","2005","35-65 y.","direct migration background","40","0.0467558670509774","0.0327595908986358","0.0607521432033189","2"
"Yes, every week","2005","16-34 y.","indirect migration background","22","","","","2"
"Yes, every week","2005","66 and older","no migration background","13","","","","2"
"Yes, every week","2005","66 and older","direct migration background","1","","","","2"
"Yes, every week","2005","35-65 y.","indirect migration background","6","","","","2"
"Yes, every week","2005","66 and older","indirect migration background","","","","","2"
"No, never","2006","35-65 y.","direct migration background","","","","","1"
"No, never","2006","35-65 y.","indirect migration background","","","","","1"
"No, never","2006","16-34 y.","no migration background","","","","","1"
"No, never","2006","16-34 y.","direct migration background","","","","","1"
"No, never","2006","16-34 y.","indirect migration background","","","","","1"
"No, never","2006","35-65 y.","no migration background","","","","","1"
"No, never","2006","66 and older","no migration background","","","","","1"
"No, never","2006","66 and older","direct migration background","","","","","1"
"No, never","2006","66 and older","indirect migration background","","","","","1"
"Rarely","2006","16-34 y.","direct migration background","","","","","5"
"Rarely","2006","35-65 y.","indirect migration background","","","","","5"
"Rarely","2006","16-34 y.","no migration background","","","","","5"
"Rarely","2006","35-65 y.","direct migration background","","","","","5"
"Rarely","2006","35-65 y.","no migration background","","","","","5"
"Rarely","2006","16-34 y.","indirect migration background","","","","","5"
"Rarely","2006","66 and older","direct migration background","","","","","5"
"Rarely","2006","66 and older","indirect migration background","","","","","5"
"Rarely","2006","66 and older","no migration background","","","","","5"
"Yes, every 2 weeks","2006","35-65 y.","indirect migration background","","","","","3"
"Yes, every 2 weeks","2006","66 and older","direct migration background","","","","","3"
"Yes, every 2 weeks","2006","66 and older","indirect migration background","","","","","3"
"Yes, every 2 weeks","2006","16-34 y.","no migration background","","","","","3"
"Yes, every 2 weeks","2006","16-34 y.","direct migration background","","","","","3"
"Yes, every 2 weeks","2006","35-65 y.","no migration background","","","","","3"
"Yes, every 2 weeks","2006","35-65 y.","direct migration background","","","","","3"
"Yes, every 2 weeks","2006","66 and older","no migration background","","","","","3"
"Yes, every 2 weeks","2006","16-34 y.","indirect migration background","","","","","3"
"Yes, every 3-4 weeks","2006","16-34 y.","no migration background","","","","","4"
"Yes, every 3-4 weeks","2006","16-34 y.","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2006","35-65 y.","no migration background","","","","","4"
"Yes, every 3-4 weeks","2006","35-65 y.","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2006","35-65 y.","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2006","66 and older","no migration background","","","","","4"
"Yes, every 3-4 weeks","2006","66 and older","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2006","66 and older","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2006","16-34 y.","direct migration background","","","","","4"
"Yes, every week","2006","16-34 y.","no migration background","","","","","2"
"Yes, every week","2006","16-34 y.","direct migration background","","","","","2"
"Yes, every week","2006","16-34 y.","indirect migration background","","","","","2"
"Yes, every week","2006","35-65 y.","no migration background","","","","","2"
"Yes, every week","2006","35-65 y.","direct migration background","","","","","2"
"Yes, every week","2006","66 and older","indirect migration background","","","","","2"
"Yes, every week","2006","35-65 y.","indirect migration background","","","","","2"
"Yes, every week","2006","66 and older","no migration background","","","","","2"
"Yes, every week","2006","66 and older","direct migration background","","","","","2"
"No, never","2007","16-34 y.","no migration background","1459","0.60573674486982","0.58578219364728","0.625691296092361","1"
"No, never","2007","35-65 y.","direct migration background","545","0.670208110056367","0.637568590646367","0.702847629466368","1"
"No, never","2007","35-65 y.","indirect migration background","87","0.708711387797093","0.631201415044027","0.786221360550159","1"
"No, never","2007","16-34 y.","direct migration background","172","0.709203370288211","0.652796955424144","0.765609785152278","1"
"No, never","2007","16-34 y.","indirect migration background","253","0.70918014632071","0.661397118711364","0.756963173930056","1"
"No, never","2007","35-65 y.","no migration background","4164","0.580631368837478","0.569159805692992","0.592102931981963","1"
"No, never","2007","66 and older","no migration background","96","0.609028781184528","0.532455528704217","0.685602033664839","1"
"No, never","2007","66 and older","direct migration background","7","","","","1"
"No, never","2007","66 and older","indirect migration background","","","","","1"
"Rarely","2007","35-65 y.","indirect migration background","17","","","","5"
"Rarely","2007","16-34 y.","no migration background","356","0.160449666483893","0.1454631866982","0.175436146269586","5"
"Rarely","2007","35-65 y.","direct migration background","100","0.134349461980324","0.110673469260484","0.158025454700165","5"
"Rarely","2007","16-34 y.","direct migration background","27","","","","5"
"Rarely","2007","35-65 y.","no migration background","1475","0.208097481201263","0.198660270415137","0.21753469198739","5"
"Rarely","2007","16-34 y.","indirect migration background","45","0.146205965546281","0.109031694749471","0.183380236343092","5"
"Rarely","2007","66 and older","no migration background","30","0.178360000838722","0.118287555427368","0.238432446250075","5"
"Rarely","2007","66 and older","direct migration background","2","","","","5"
"Rarely","2007","66 and older","indirect migration background","1","","","","5"
"Yes, every 2 weeks","2007","35-65 y.","direct migration background","63","0.0960130170679571","0.0755596375333904","0.116466396602524","3"
"Yes, every 2 weeks","2007","35-65 y.","no migration background","590","0.0853815254329568","0.0788850721298809","0.0918779787360326","3"
"Yes, every 2 weeks","2007","16-34 y.","no migration background","234","0.124154989587342","0.110690106941023","0.137619872233661","3"
"Yes, every 2 weeks","2007","16-34 y.","indirect migration background","19","","","","3"
"Yes, every 2 weeks","2007","35-65 y.","indirect migration background","10","","","","3"
"Yes, every 2 weeks","2007","66 and older","no migration background","5","","","","3"
"Yes, every 2 weeks","2007","66 and older","direct migration background","1","","","","3"
"Yes, every 2 weeks","2007","66 and older","indirect migration background","","","","","3"
"Yes, every 2 weeks","2007","16-34 y.","direct migration background","25","","","","3"
"Yes, every 3-4 weeks","2007","16-34 y.","no migration background","124","0.056392200380834","0.0469730412298869","0.0658113595317811","4"
"Yes, every 3-4 weeks","2007","35-65 y.","direct migration background","54","0.0587114815295853","0.0423906669516685","0.0750322961075021","4"
"Yes, every 3-4 weeks","2007","66 and older","no migration background","9","","","","4"
"Yes, every 3-4 weeks","2007","66 and older","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2007","66 and older","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2007","35-65 y.","indirect migration background","8","","","","4"
"Yes, every 3-4 weeks","2007","16-34 y.","direct migration background","12","","","","4"
"Yes, every 3-4 weeks","2007","16-34 y.","indirect migration background","17","","","","4"
"Yes, every 3-4 weeks","2007","35-65 y.","no migration background","370","0.0559512125326364","0.0506083210661836","0.0612941039990893","4"
"Yes, every week","2007","16-34 y.","no migration background","131","0.0532663986781103","0.044096861473985","0.0624359358822356","2"
"Yes, every week","2007","16-34 y.","direct migration background","13","","","","2"
"Yes, every week","2007","16-34 y.","indirect migration background","13","","","","2"
"Yes, every week","2007","35-65 y.","no migration background","509","0.0699384119956659","0.064009320953074","0.0758675030382578","2"
"Yes, every week","2007","35-65 y.","direct migration background","35","0.0407179293657661","0.0269969555247502","0.054438903206782","2"
"Yes, every week","2007","66 and older","no migration background","16","","","","2"
"Yes, every week","2007","66 and older","indirect migration background","","","","","2"
"Yes, every week","2007","66 and older","direct migration background","","","","","2"
"Yes, every week","2007","35-65 y.","indirect migration background","10","","","","2"
"No, never","2008","16-34 y.","no migration background","","","","","1"
"No, never","2008","16-34 y.","direct migration background","","","","","1"
"No, never","2008","16-34 y.","indirect migration background","","","","","1"
"No, never","2008","35-65 y.","no migration background","","","","","1"
"No, never","2008","35-65 y.","direct migration background","","","","","1"
"No, never","2008","35-65 y.","indirect migration background","","","","","1"
"No, never","2008","66 and older","no migration background","","","","","1"
"No, never","2008","66 and older","direct migration background","","","","","1"
"No, never","2008","66 and older","indirect migration background","","","","","1"
"Rarely","2008","35-65 y.","direct migration background","","","","","5"
"Rarely","2008","16-34 y.","indirect migration background","","","","","5"
"Rarely","2008","35-65 y.","no migration background","","","","","5"
"Rarely","2008","16-34 y.","no migration background","","","","","5"
"Rarely","2008","16-34 y.","direct migration background","","","","","5"
"Rarely","2008","35-65 y.","indirect migration background","","","","","5"
"Rarely","2008","66 and older","no migration background","","","","","5"
"Rarely","2008","66 and older","direct migration background","","","","","5"
"Rarely","2008","66 and older","indirect migration background","","","","","5"
"Yes, every 2 weeks","2008","16-34 y.","no migration background","","","","","3"
"Yes, every 2 weeks","2008","35-65 y.","indirect migration background","","","","","3"
"Yes, every 2 weeks","2008","16-34 y.","indirect migration background","","","","","3"
"Yes, every 2 weeks","2008","35-65 y.","no migration background","","","","","3"
"Yes, every 2 weeks","2008","35-65 y.","direct migration background","","","","","3"
"Yes, every 2 weeks","2008","66 and older","direct migration background","","","","","3"
"Yes, every 2 weeks","2008","66 and older","indirect migration background","","","","","3"
"Yes, every 2 weeks","2008","16-34 y.","direct migration background","","","","","3"
"Yes, every 2 weeks","2008","66 and older","no migration background","","","","","3"
"Yes, every 3-4 weeks","2008","16-34 y.","no migration background","","","","","4"
"Yes, every 3-4 weeks","2008","16-34 y.","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2008","35-65 y.","no migration background","","","","","4"
"Yes, every 3-4 weeks","2008","16-34 y.","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2008","35-65 y.","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2008","35-65 y.","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2008","66 and older","no migration background","","","","","4"
"Yes, every 3-4 weeks","2008","66 and older","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2008","66 and older","indirect migration background","","","","","4"
"Yes, every week","2008","16-34 y.","no migration background","","","","","2"
"Yes, every week","2008","16-34 y.","direct migration background","","","","","2"
"Yes, every week","2008","16-34 y.","indirect migration background","","","","","2"
"Yes, every week","2008","35-65 y.","no migration background","","","","","2"
"Yes, every week","2008","35-65 y.","direct migration background","","","","","2"
"Yes, every week","2008","35-65 y.","indirect migration background","","","","","2"
"Yes, every week","2008","66 and older","no migration background","","","","","2"
"Yes, every week","2008","66 and older","direct migration background","","","","","2"
"Yes, every week","2008","66 and older","indirect migration background","","","","","2"
"No, never","2009","35-65 y.","direct migration background","441","0.656344084054555","0.620000824881676","0.692687343227434","1"
"No, never","2009","35-65 y.","indirect migration background","91","0.609304251154366","0.530162052712254","0.688446449596478","1"
"No, never","2009","16-34 y.","no migration background","1242","0.594584638087813","0.573279225448794","0.615890050726833","1"
"No, never","2009","16-34 y.","direct migration background","118","0.623952397952725","0.55433965288752","0.693565143017929","1"
"No, never","2009","16-34 y.","indirect migration background","202","0.662016779811799","0.608220538279237","0.715813021344362","1"
"No, never","2009","35-65 y.","no migration background","3661","0.56817410138158","0.5559486144032","0.580399588359959","1"
"No, never","2009","66 and older","no migration background","114","0.615486113216617","0.54613038552175","0.684841840911484","1"
"No, never","2009","66 and older","direct migration background","6","","","","1"
"No, never","2009","66 and older","indirect migration background","","","","","1"
"Rarely","2009","16-34 y.","no migration background","354","0.184754435156371","0.167913171844395","0.201595698468347","5"
"Rarely","2009","35-65 y.","indirect migration background","21","","","","5"
"Rarely","2009","16-34 y.","direct migration background","29","","","","5"
"Rarely","2009","35-65 y.","direct migration background","83","0.119044897155938","0.0942633480308402","0.143826446281036","5"
"Rarely","2009","35-65 y.","no migration background","1296","0.216960949644504","0.206787842821196","0.227134056467812","5"
"Rarely","2009","16-34 y.","indirect migration background","37","0.140246766910809","0.100755305597978","0.17973822822364","5"
"Rarely","2009","66 and older","direct migration background","3","","","","5"
"Rarely","2009","66 and older","indirect migration background","1","","","","5"
"Rarely","2009","66 and older","no migration background","43","0.186301751607505","0.130793525514662","0.241809977700348","5"
"Yes, every 2 weeks","2009","35-65 y.","no migration background","522","0.080576151246743","0.0738582711243767","0.0872940313691092","3"
"Yes, every 2 weeks","2009","16-34 y.","no migration background","212","0.104598851237678","0.0913186306640226","0.117879071811333","3"
"Yes, every 2 weeks","2009","66 and older","indirect migration background","","","","","3"
"Yes, every 2 weeks","2009","35-65 y.","indirect migration background","14","","","","3"
"Yes, every 2 weeks","2009","66 and older","direct migration background","1","","","","3"
"Yes, every 2 weeks","2009","16-34 y.","indirect migration background","22","","","","3"
"Yes, every 2 weeks","2009","16-34 y.","direct migration background","15","","","","3"
"Yes, every 2 weeks","2009","66 and older","no migration background","11","","","","3"
"Yes, every 2 weeks","2009","35-65 y.","direct migration background","53","0.0798606120087276","0.0591167650715009","0.100604458945954","3"
"Yes, every 3-4 weeks","2009","16-34 y.","no migration background","110","0.0579410396086127","0.047802738368501","0.0680793408487245","4"
"Yes, every 3-4 weeks","2009","16-34 y.","indirect migration background","16","","","","4"
"Yes, every 3-4 weeks","2009","16-34 y.","direct migration background","11","","","","4"
"Yes, every 3-4 weeks","2009","35-65 y.","no migration background","361","0.0579369854644486","0.0521707943578644","0.0637031765710329","4"
"Yes, every 3-4 weeks","2009","35-65 y.","direct migration background","35","0.0689673749538211","0.0495763632161227","0.0883583866915195","4"
"Yes, every 3-4 weeks","2009","35-65 y.","indirect migration background","10","","","","4"
"Yes, every 3-4 weeks","2009","66 and older","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2009","66 and older","no migration background","6","","","","4"
"Yes, every 3-4 weeks","2009","66 and older","direct migration background","2","","","","4"
"Yes, every week","2009","16-34 y.","no migration background","122","0.0581210359095251","0.0479679694453754","0.0682741023736748","2"
"Yes, every week","2009","35-65 y.","no migration background","466","0.0763518122627247","0.069797395177179","0.0829062293482705","2"
"Yes, every week","2009","35-65 y.","direct migration background","44","0.0757830318269583","0.055530975428105","0.0960350882258117","2"
"Yes, every week","2009","16-34 y.","direct migration background","13","","","","2"
"Yes, every week","2009","16-34 y.","indirect migration background","20","","","","2"
"Yes, every week","2009","35-65 y.","indirect migration background","10","","","","2"
"Yes, every week","2009","66 and older","no migration background","15","","","","2"
"Yes, every week","2009","66 and older","direct migration background","1","","","","2"
"Yes, every week","2009","66 and older","indirect migration background","","","","","2"
"No, never","2010","16-34 y.","no migration background","574","0.584580670736919","0.554052791995034","0.615108549478803","1"
"No, never","2010","35-65 y.","direct migration background","237","0.558813973881079","0.512099901502376","0.605528046259782","1"
"No, never","2010","35-65 y.","indirect migration background","65","0.546960732350278","0.458265269714605","0.63565619498595","1"
"No, never","2010","66 and older","no migration background","1","","","","1"
"No, never","2010","66 and older","direct migration background","","","","","1"
"No, never","2010","66 and older","indirect migration background","","","","","1"
"No, never","2010","16-34 y.","direct migration background","155","0.554795040624726","0.496686333484203","0.612903747765249","1"
"No, never","2010","16-34 y.","indirect migration background","76","0.543026822541032","0.459611889964724","0.62644175511734","1"
"No, never","2010","35-65 y.","no migration background","1439","0.585786123987857","0.566648586280183","0.604923661695531","1"
"Rarely","2010","35-65 y.","direct migration background","77","0.172361331871874","0.136827378060272","0.207895285683477","5"
"Rarely","2010","35-65 y.","indirect migration background","19","","","","5"
"Rarely","2010","16-34 y.","no migration background","179","0.167667530195205","0.144525366866791","0.19080969352362","5"
"Rarely","2010","35-65 y.","no migration background","509","0.1951927689007","0.179794142050931","0.21059139575047","5"
"Rarely","2010","16-34 y.","indirect migration background","21","","","","5"
"Rarely","2010","16-34 y.","direct migration background","43","0.158985460204901","0.116231594641688","0.201739325768114","5"
"Rarely","2010","66 and older","no migration background","1","","","","5"
"Rarely","2010","66 and older","direct migration background","","","","","5"
"Rarely","2010","66 and older","indirect migration background","","","","","5"
"Yes, every 2 weeks","2010","66 and older","no migration background","","","","","3"
"Yes, every 2 weeks","2010","66 and older","direct migration background","","","","","3"
"Yes, every 2 weeks","2010","35-65 y.","indirect migration background","19","","","","3"
"Yes, every 2 weeks","2010","66 and older","indirect migration background","","","","","3"
"Yes, every 2 weeks","2010","16-34 y.","indirect migration background","20","","","","3"
"Yes, every 2 weeks","2010","35-65 y.","direct migration background","47","0.0956790774439554","0.0680050093470016","0.123353145540909","3"
"Yes, every 2 weeks","2010","16-34 y.","no migration background","128","0.140297829545732","0.118783365084878","0.161812294006586","3"
"Yes, every 2 weeks","2010","16-34 y.","direct migration background","39","0.145469501061649","0.104246017424071","0.186692984699227","3"
"Yes, every 2 weeks","2010","35-65 y.","no migration background","258","0.0956535704541775","0.0842268341669578","0.107080306741397","3"
"Yes, every 3-4 weeks","2010","16-34 y.","indirect migration background","8","","","","4"
"Yes, every 3-4 weeks","2010","35-65 y.","no migration background","174","0.0628405465321663","0.053412300225673","0.0722687928386597","4"
"Yes, every 3-4 weeks","2010","16-34 y.","no migration background","52","0.0462372845779537","0.0332281806500914","0.0592463885058161","4"
"Yes, every 3-4 weeks","2010","16-34 y.","direct migration background","16","","","","4"
"Yes, every 3-4 weeks","2010","35-65 y.","indirect migration background","8","","","","4"
"Yes, every 3-4 weeks","2010","66 and older","no migration background","","","","","4"
"Yes, every 3-4 weeks","2010","66 and older","direct migration background","","","","","4"
"Yes, every 3-4 weeks","2010","66 and older","indirect migration background","","","","","4"
"Yes, every 3-4 weeks","2010","35-65 y.","direct migration background","37","0.107243927589737","0.0781330037484892","0.136354851430985","4"
"Yes, every week","2010","35-65 y.","direct migration background","36","0.0659016892133541","0.0425591663438055","0.0892442120829027","2"
"Yes, every week","2010","35-65 y.","no migration background","165","0.0605269901250988","0.0512625134864347","0.0697914667637628","2"
"Yes, every week","2010","16-34 y.","indirect migration background","12","","","","2"
"Yes, every week","2010","16-34 y.","no migration background","68","0.0612166849441899","0.0463659263925814","0.0760674434957985","2"
"Yes, every week","2010","16-34 y.","direct migration background","28","","","","2"
"Yes, every week","2010","35-65 y.","indirect migration background","10","","","","2"
"Yes, every week","2010","66 and older","no migration background","","","","","2"
"Yes, every week","2010","66 and older","direct migration background","","","","","2"
"Yes, every week","2010","66 and older","indirect migration background","","","","","2"
"No, never","2011","16-34 y.","no migration background","2006","0.624974126027185","0.608197577947125","0.641750674107245","1"
"No, never","2011","16-34 y.","direct migration background","317","0.717467633969893","0.675961323154051","0.758973944785735","1"
"No, never","2011","16-34 y.","indirect migration background","264","0.617558445499924","0.571190971660821","0.663925919339027","1"
"No, never","2011","35-65 y.","no migration background","6173","0.583829952341536","0.574407512900398","0.593252391782674","1"
"No, never","2011","35-65 y.","direct migration background","822","0.660779805782005","0.634833110649901","0.68672650091411","1"
