"plb0219","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"No, never","2005","no migration background","Male","2699","0.543593888922658","0.529695593887277","0.557492183958039"
"No, never","2005","no migration background","Female","2992","0.6773028410938","0.663462353981497","0.691143328206104"
"No, never","2005","direct migration background","Male","428","0.680242652645571","0.643531802470789","0.716953502820354"
"No, never","2005","direct migration background","Female","387","0.700305030660903","0.661557476167685","0.739052585154122"
"No, never","2005","indirect migration background","Male","156","0.61881111981342","0.558119363742402","0.679502875884438"
"No, never","2005","indirect migration background","Female","155","0.677799649793553","0.614291406820925","0.741307892766182"
"Yes, every week","2005","no migration background","Male","326","0.06525324722116","0.0583620200741967","0.0721444743681233"
"Yes, every week","2005","no migration background","Female","236","0.0603651568270018","0.0533144106808974","0.0674159029731061"
"Yes, every week","2005","direct migration background","Male","42","0.0671170892897937","0.0474208926287026","0.0868132859508847"
"Yes, every week","2005","direct migration background","Female","15","","",""
"Yes, every week","2005","indirect migration background","Male","23","","",""
"Yes, every week","2005","indirect migration background","Female","5","","",""
"Yes, every 2 weeks","2005","no migration background","Male","391","0.0860475407219358","0.0782226270917465","0.0938724543521251"
"Yes, every 2 weeks","2005","no migration background","Female","401","0.102320446010993","0.0933481367466825","0.111292755275303"
"Yes, every 2 weeks","2005","direct migration background","Male","24","","",""
"Yes, every 2 weeks","2005","direct migration background","Female","64","0.139089567073174","0.109821960309645","0.168357173836704"
"Yes, every 2 weeks","2005","indirect migration background","Male","16","","",""
"Yes, every 2 weeks","2005","indirect migration background","Female","23","","",""
"Yes, every 3-4 weeks","2005","no migration background","Male","302","0.0631294264712984","0.0563435767203419","0.0699152762222549"
"Yes, every 3-4 weeks","2005","no migration background","Female","185","0.0464497463597966","0.0402192044431909","0.0526802882764023"
"Yes, every 3-4 weeks","2005","direct migration background","Male","35","0.0657863125172655","0.0462724549297143","0.0853001701048167"
"Yes, every 3-4 weeks","2005","direct migration background","Female","25","","",""
"Yes, every 3-4 weeks","2005","indirect migration background","Male","13","","",""
"Yes, every 3-4 weeks","2005","indirect migration background","Female","10","","",""
"Rarely","2005","no migration background","Male","1216","0.241975896662948","0.230025671724798","0.253926121601097"
"Rarely","2005","no migration background","Female","569","0.113561809708409","0.104168843989812","0.122954775427005"
"Rarely","2005","direct migration background","Male","91","0.153450359651385","0.125080158414319","0.181820560888451"
"Rarely","2005","direct migration background","Female","46","0.0917535320727757","0.0673375497001313","0.11616951444542"
"Rarely","2005","indirect migration background","Male","38","0.17145104341475","0.124352259799751","0.218549827029749"
"Rarely","2005","indirect migration background","Female","15","","",""
"No, never","2006","no migration background","Male","","","",""
"No, never","2006","no migration background","Female","","","",""
"No, never","2006","direct migration background","Male","","","",""
"No, never","2006","direct migration background","Female","","","",""
"No, never","2006","indirect migration background","Male","","","",""
"No, never","2006","indirect migration background","Female","","","",""
"Yes, every week","2006","no migration background","Male","","","",""
"Yes, every week","2006","no migration background","Female","","","",""
"Yes, every week","2006","direct migration background","Male","","","",""
"Yes, every week","2006","direct migration background","Female","","","",""
"Yes, every week","2006","indirect migration background","Male","","","",""
"Yes, every week","2006","indirect migration background","Female","","","",""
"Yes, every 2 weeks","2006","no migration background","Male","","","",""
"Yes, every 2 weeks","2006","no migration background","Female","","","",""
"Yes, every 2 weeks","2006","direct migration background","Male","","","",""
"Yes, every 2 weeks","2006","direct migration background","Female","","","",""
"Yes, every 2 weeks","2006","indirect migration background","Male","","","",""
"Yes, every 2 weeks","2006","indirect migration background","Female","","","",""
"Yes, every 3-4 weeks","2006","no migration background","Male","","","",""
"Yes, every 3-4 weeks","2006","no migration background","Female","","","",""
"Yes, every 3-4 weeks","2006","direct migration background","Male","","","",""
"Yes, every 3-4 weeks","2006","direct migration background","Female","","","",""
"Yes, every 3-4 weeks","2006","indirect migration background","Male","","","",""
"Yes, every 3-4 weeks","2006","indirect migration background","Female","","","",""
"Rarely","2006","no migration background","Male","","","",""
"Rarely","2006","no migration background","Female","","","",""
"Rarely","2006","direct migration background","Male","","","",""
"Rarely","2006","direct migration background","Female","","","",""
"Rarely","2006","indirect migration background","Male","","","",""
"Rarely","2006","indirect migration background","Female","","","",""
"No, never","2007","no migration background","Male","2739","0.540399888528543","0.526627420066296","0.554172356990791"
"No, never","2007","no migration background","Female","2980","0.645989184357561","0.63207567341336","0.659902695301762"
"No, never","2007","direct migration background","Male","382","0.686438969712546","0.648352328920021","0.724525610505071"
"No, never","2007","direct migration background","Female","342","0.675702346576397","0.634084503046808","0.717320190105987"
"No, never","2007","indirect migration background","Male","174","0.663887906292478","0.605449188489012","0.722326624095944"
"No, never","2007","indirect migration background","Female","166","0.757677940154064","0.702180986129339","0.813174894178788"
"Yes, every week","2007","no migration background","Male","376","0.0692843614497512","0.0622667355394127","0.0763019873600897"
"Yes, every week","2007","no migration background","Female","280","0.0639274864414639","0.0568102006327288","0.071044772250199"
"Yes, every week","2007","direct migration background","Male","35","0.0484267034077306","0.0308039307252471","0.0660494760902141"
"Yes, every week","2007","direct migration background","Female","13","","",""
"Yes, every week","2007","indirect migration background","Male","16","","",""
"Yes, every week","2007","indirect migration background","Female","7","","",""
"Yes, every 2 weeks","2007","no migration background","Male","415","0.0883120417675438","0.0804705774481066","0.0961535060869811"
"Yes, every 2 weeks","2007","no migration background","Female","414","0.102150825887486","0.0933395564805072","0.110962095294466"
"Yes, every 2 weeks","2007","direct migration background","Male","36","0.0658441135278868","0.04548406456356","0.0862041624922136"
"Yes, every 2 weeks","2007","direct migration background","Female","53","0.132822863157211","0.102649738650812","0.16299598766361"
"Yes, every 2 weeks","2007","indirect migration background","Male","13","","",""
"Yes, every 2 weeks","2007","indirect migration background","Female","16","","",""
"Yes, every 3-4 weeks","2007","no migration background","Male","308","0.0663556016255655","0.0594771032031285","0.0732341000480024"
"Yes, every 3-4 weeks","2007","no migration background","Female","195","0.0429835312704212","0.0370825179258305","0.0488845446150118"
"Yes, every 3-4 weeks","2007","direct migration background","Male","41","0.0586356405449378","0.0393483876088701","0.0779228934810056"
"Yes, every 3-4 weeks","2007","direct migration background","Female","25","","",""
"Yes, every 3-4 weeks","2007","indirect migration background","Male","11","","",""
