"plb0219","year","e11103","sampreg","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Full Time","West Germany","3347","0.584320469090375","0.571420529316627","0.597220408864122"
"No, never","2005","Full Time","East Germany","907","0.508497641985775","0.484767891380716","0.532227392590835"
"No, never","2005","Part Time","West Germany","1978","0.702587125149782","0.685664547397118","0.719509702902447"
"No, never","2005","Part Time","East Germany","457","0.694975969045476","0.659471440190156","0.730480497900796"
"No, never","2005","Not Working","West Germany","86","0.728127087353528","0.646092795569917","0.810161379137139"
"No, never","2005","Not Working","East Germany","42","0.813027430221285","0.70903714754086","0.917017712901711"
"Yes, every week","2005","Full Time","West Germany","372","0.0656967483645457","0.0592119170949226","0.0721815796341688"
"Yes, every week","2005","Full Time","East Germany","110","0.0589728886233762","0.0477910513504844","0.0701547258962679"
"Yes, every week","2005","Part Time","West Germany","131","0.0545719022961711","0.0461630767747942","0.0629807278175479"
"Yes, every week","2005","Part Time","East Germany","23","","",""
"Yes, every week","2005","Not Working","West Germany","8","","",""
"Yes, every week","2005","Not Working","East Germany","3","","",""
"Yes, every 2 weeks","2005","Full Time","West Germany","424","0.0896013993618933","0.0821256281823381","0.0970771705414486"
"Yes, every 2 weeks","2005","Full Time","East Germany","195","0.131806983348791","0.115750026001901","0.14786394069568"
"Yes, every 2 weeks","2005","Part Time","West Germany","228","0.0803278366305071","0.0702657952678365","0.0903898779931777"
"Yes, every 2 weeks","2005","Part Time","East Germany","63","0.110179105352571","0.0860337971893027","0.13432441351584"
"Yes, every 2 weeks","2005","Not Working","West Germany","4","","",""
"Yes, every 2 weeks","2005","Not Working","East Germany","5","","",""
"Yes, every 3-4 weeks","2005","Full Time","West Germany","325","0.0613445574993649","0.0550636277881045","0.0676254872106253"
"Yes, every 3-4 weeks","2005","Full Time","East Germany","107","0.0716018428366738","0.0593637108069361","0.0838399748664115"
"Yes, every 3-4 weeks","2005","Part Time","West Germany","108","0.0441750779028311","0.0365680610358483","0.0517820947698138"
"Yes, every 3-4 weeks","2005","Part Time","East Germany","24","","",""
"Yes, every 3-4 weeks","2005","Not Working","West Germany","4","","",""
"Yes, every 3-4 weeks","2005","Not Working","East Germany","2","","",""
"Rarely","2005","Full Time","West Germany","1139","0.199036825683821","0.188585874819102","0.209487776548541"
"Rarely","2005","Full Time","East Germany","386","0.229120643205384","0.209172098550773","0.249069187859995"
"Rarely","2005","Part Time","West Germany","358","0.118338058020708","0.106380298688954","0.130295817352463"
"Rarely","2005","Part Time","East Germany","79","0.10096019723087","0.077727673634461","0.124192720827279"
"Rarely","2005","Not Working","West Germany","11","","",""
"Rarely","2005","Not Working","East Germany","2","","",""
"No, never","2006","Full Time","West Germany","","","",""
"No, never","2006","Full Time","East Germany","","","",""
"No, never","2006","Part Time","West Germany","","","",""
"No, never","2006","Part Time","East Germany","","","",""
"No, never","2006","Not Working","West Germany","","","",""
"No, never","2006","Not Working","East Germany","","","",""
"Yes, every week","2006","Full Time","West Germany","","","",""
"Yes, every week","2006","Full Time","East Germany","","","",""
"Yes, every week","2006","Part Time","West Germany","","","",""
"Yes, every week","2006","Part Time","East Germany","","","",""
"Yes, every week","2006","Not Working","West Germany","","","",""
"Yes, every week","2006","Not Working","East Germany","","","",""
"Yes, every 2 weeks","2006","Full Time","West Germany","","","",""
"Yes, every 2 weeks","2006","Full Time","East Germany","","","",""
"Yes, every 2 weeks","2006","Part Time","West Germany","","","",""
"Yes, every 2 weeks","2006","Part Time","East Germany","","","",""
"Yes, every 2 weeks","2006","Not Working","West Germany","","","",""
"Yes, every 2 weeks","2006","Not Working","East Germany","","","",""
"Yes, every 3-4 weeks","2006","Full Time","West Germany","","","",""
"Yes, every 3-4 weeks","2006","Full Time","East Germany","","","",""
"Yes, every 3-4 weeks","2006","Part Time","West Germany","","","",""
"Yes, every 3-4 weeks","2006","Part Time","East Germany","","","",""
"Yes, every 3-4 weeks","2006","Not Working","West Germany","","","",""
"Yes, every 3-4 weeks","2006","Not Working","East Germany","","","",""
"Rarely","2006","Full Time","West Germany","","","",""
"Rarely","2006","Full Time","East Germany","","","",""
"Rarely","2006","Part Time","West Germany","","","",""
"Rarely","2006","Part Time","East Germany","","","",""
"Rarely","2006","Not Working","West Germany","","","",""
"Rarely","2006","Not Working","East Germany","","","",""
"No, never","2007","Full Time","West Germany","3207","0.574345711170841","0.561380668413768","0.587310753927913"
"No, never","2007","Full Time","East Germany","930","0.504827657014141","0.481548567405018","0.528106746623264"
"No, never","2007","Part Time","West Germany","2027","0.695499455665117","0.678648357376433","0.712350553953801"
"No, never","2007","Part Time","East Germany","464","0.661170779163917","0.625438115051479","0.696903443276354"
"No, never","2007","Not Working","West Germany","104","0.694232931951444","0.618981493669096","0.769484370233791"
"No, never","2007","Not Working","East Germany","51","0.784743561588527","0.682439187649579","0.887047935527475"
"Yes, every week","2007","Full Time","West Germany","434","0.0691317831387328","0.0624799440342406","0.0757836222432249"
"Yes, every week","2007","Full Time","East Germany","116","0.0642846382211567","0.0528652795480068","0.0757039968943065"
"Yes, every week","2007","Part Time","West Germany","126","0.049226179031649","0.0413044050206149","0.0571479530426831"
"Yes, every week","2007","Part Time","East Germany","37","0.054903345678949","0.0377062280964914","0.0721004632614066"
"Yes, every week","2007","Not Working","West Germany","12","","",""
"Yes, every week","2007","Not Working","East Germany","2","","",""
"Yes, every 2 weeks","2007","Full Time","West Germany","453","0.0851433856896679","0.0778250769143988","0.092461694464937"
"Yes, every 2 weeks","2007","Full Time","East Germany","218","0.142717053671564","0.126430985057623","0.159003122285504"
"Yes, every 2 weeks","2007","Part Time","West Germany","203","0.0824876797238776","0.0724140432611657","0.0925613161865895"
"Yes, every 2 weeks","2007","Part Time","East Germany","61","0.097901438307254","0.0754657357308045","0.120337140883703"
"Yes, every 2 weeks","2007","Not Working","West Germany","9","","",""
"Yes, every 2 weeks","2007","Not Working","East Germany","3","","",""
"Yes, every 3-4 weeks","2007","Full Time","West Germany","331","0.0610087349785757","0.0547326973114567","0.0672847726456947"
"Yes, every 3-4 weeks","2007","Full Time","East Germany","109","0.0646165025968841","0.0531697365150359","0.0760632686787323"
"Yes, every 3-4 weeks","2007","Part Time","West Germany","119","0.0435414687208934","0.0360688919129611","0.0510140455288257"
"Yes, every 3-4 weeks","2007","Part Time","East Germany","30","0.058100621752461","0.0404398048582783","0.0757614386466436"
"Yes, every 3-4 weeks","2007","Not Working","West Germany","5","","",""
"Yes, every 3-4 weeks","2007","Not Working","East Germany","","","",""
"Rarely","2007","Full Time","West Germany","1162","0.210370385022183","0.199683213728442","0.221057556315924"
"Rarely","2007","Full Time","East Germany","399","0.223554148496255","0.204155870186014","0.242952426806496"
"Rarely","2007","Part Time","West Germany","390","0.129245216858463","0.116961184492923","0.141529249224004"
"Rarely","2007","Part Time","East Germany","82","0.127923815097419","0.10270811343013","0.153139516764709"
"Rarely","2007","Not Working","West Germany","14","","",""
"Rarely","2007","Not Working","East Germany","6","","",""
"No, never","2008","Full Time","West Germany","","","",""
"No, never","2008","Full Time","East Germany","","","",""
"No, never","2008","Part Time","West Germany","","","",""
"No, never","2008","Part Time","East Germany","","","",""
"No, never","2008","Not Working","West Germany","","","",""
"No, never","2008","Not Working","East Germany","","","",""
"Yes, every week","2008","Full Time","West Germany","","","",""
"Yes, every week","2008","Full Time","East Germany","","","",""
"Yes, every week","2008","Part Time","West Germany","","","",""
"Yes, every week","2008","Part Time","East Germany","","","",""
"Yes, every week","2008","Not Working","West Germany","","","",""
"Yes, every week","2008","Not Working","East Germany","","","",""
"Yes, every 2 weeks","2008","Full Time","West Germany","","","",""
"Yes, every 2 weeks","2008","Full Time","East Germany","","","",""
"Yes, every 2 weeks","2008","Part Time","West Germany","","","",""
"Yes, every 2 weeks","2008","Part Time","East Germany","","","",""
"Yes, every 2 weeks","2008","Not Working","West Germany","","","",""
"Yes, every 2 weeks","2008","Not Working","East Germany","","","",""
"Yes, every 3-4 weeks","2008","Full Time","West Germany","","","",""
