"plb0219","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","16-34 y.","Male","969","0.609406413249492","0.585164920525579","0.633647905973404","1"
"No, never","2005","16-34 y.","Female","1017","0.671259436547491","0.647270081771927","0.695248791323054","1"
"No, never","2005","35-65 y.","Male","2254","0.540061088408804","0.524908673918736","0.555213502898872","1"
"No, never","2005","35-65 y.","Female","2484","0.684488636171719","0.669337519550096","0.699639752793342","1"
"No, never","2005","66 and older","Male","60","0.674218679155478","0.576298942898985","0.772138415411971","1"
"No, never","2005","66 and older","Female","33","0.682699020484507","0.540234569455537","0.825163471513478","1"
"Rarely","2005","16-34 y.","Male","280","0.186675184312364","0.167314593740529","0.2060357748842","5"
"Rarely","2005","16-34 y.","Female","150","0.0974130203171701","0.0822704445897348","0.112555596044605","5"
"Rarely","2005","35-65 y.","Male","1049","0.248780157775909","0.235636939626448","0.261923375925369","5"
"Rarely","2005","35-65 y.","Female","479","0.114452022899331","0.104072633605212","0.124831412193449","5"
"Rarely","2005","66 and older","Male","16","","","","5"
"Rarely","2005","66 and older","Female","1","","","","5"
"Yes, every 2 weeks","2005","35-65 y.","Male","313","0.0799432221810998","0.0716978842340498","0.0881885601281499","3"
"Yes, every 2 weeks","2005","16-34 y.","Male","115","0.0781611798260658","0.0648239282136139","0.0914984314385177","3"
"Yes, every 2 weeks","2005","16-34 y.","Female","169","0.123898560305395","0.107073483920727","0.140723636690062","3"
"Yes, every 2 weeks","2005","35-65 y.","Female","317","0.103609582429588","0.0936737883701726","0.113545376489003","3"
"Yes, every 2 weeks","2005","66 and older","Male","3","","","","3"
"Yes, every 2 weeks","2005","66 and older","Female","2","","","","3"
"Yes, every 3-4 weeks","2005","16-34 y.","Male","90","0.054815204966782","0.0435054764729372","0.0661249334606269","4"
"Yes, every 3-4 weeks","2005","35-65 y.","Male","260","0.0684389171999824","0.0607623411810584","0.0761154932189064","4"
"Yes, every 3-4 weeks","2005","16-34 y.","Female","69","0.0639380985617588","0.0514447498900082","0.0764314472335093","4"
"Yes, every 3-4 weeks","2005","66 and older","Male","","","","","4"
"Yes, every 3-4 weeks","2005","35-65 y.","Female","151","0.0421765770576744","0.0356236941329147","0.048729459982434","4"
"Yes, every 3-4 weeks","2005","66 and older","Female","","","","","4"
"Yes, every week","2005","35-65 y.","Male","280","0.062776614434205","0.0554021442336271","0.0701510846347829","2"
"Yes, every week","2005","16-34 y.","Male","102","0.0709420176452961","0.0581859600278758","0.0836980752627164","2"
"Yes, every week","2005","16-34 y.","Female","68","0.0434908842681859","0.0330751379650103","0.0539066305713616","2"
"Yes, every week","2005","35-65 y.","Female","183","0.0552731814416882","0.047823042533055","0.0627233203503213","2"
"Yes, every week","2005","66 and older","Male","9","","","","2"
"Yes, every week","2005","66 and older","Female","5","","","","2"
"No, never","2006","35-65 y.","Male","","","","","1"
"No, never","2006","35-65 y.","Female","","","","","1"
"No, never","2006","16-34 y.","Male","","","","","1"
"No, never","2006","16-34 y.","Female","","","","","1"
"No, never","2006","66 and older","Male","","","","","1"
"No, never","2006","66 and older","Female","","","","","1"
"Rarely","2006","16-34 y.","Male","","","","","5"
"Rarely","2006","16-34 y.","Female","","","","","5"
"Rarely","2006","35-65 y.","Male","","","","","5"
"Rarely","2006","35-65 y.","Female","","","","","5"
"Rarely","2006","66 and older","Male","","","","","5"
"Rarely","2006","66 and older","Female","","","","","5"
"Yes, every 2 weeks","2006","16-34 y.","Female","","","","","3"
"Yes, every 2 weeks","2006","35-65 y.","Male","","","","","3"
"Yes, every 2 weeks","2006","35-65 y.","Female","","","","","3"
"Yes, every 2 weeks","2006","66 and older","Male","","","","","3"
"Yes, every 2 weeks","2006","66 and older","Female","","","","","3"
"Yes, every 2 weeks","2006","16-34 y.","Male","","","","","3"
"Yes, every 3-4 weeks","2006","16-34 y.","Male","","","","","4"
"Yes, every 3-4 weeks","2006","16-34 y.","Female","","","","","4"
"Yes, every 3-4 weeks","2006","35-65 y.","Male","","","","","4"
"Yes, every 3-4 weeks","2006","35-65 y.","Female","","","","","4"
"Yes, every 3-4 weeks","2006","66 and older","Male","","","","","4"
"Yes, every 3-4 weeks","2006","66 and older","Female","","","","","4"
"Yes, every week","2006","16-34 y.","Male","","","","","2"
"Yes, every week","2006","16-34 y.","Female","","","","","2"
"Yes, every week","2006","35-65 y.","Male","","","","","2"
"Yes, every week","2006","35-65 y.","Female","","","","","2"
"Yes, every week","2006","66 and older","Male","","","","","2"
"Yes, every week","2006","66 and older","Female","","","","","2"
"No, never","2007","16-34 y.","Male","948","0.609742621536515","0.585023608160992","0.634461634912039","1"
"No, never","2007","16-34 y.","Female","936","0.654119595084944","0.629239267388756","0.678999922781133","1"
"No, never","2007","35-65 y.","Male","2279","0.544557458133984","0.529563846160019","0.55955107010795","1"
"No, never","2007","35-65 y.","Female","2517","0.654645851109518","0.639525948526492","0.669765753692544","1"
"No, never","2007","66 and older","Male","68","0.560856222189944","0.470930424663566","0.650782019716321","1"
"No, never","2007","66 and older","Female","35","0.710263772557666","0.584523522047971","0.83600402306736","1"
"Rarely","2007","16-34 y.","Male","237","0.165601513725536","0.146764970820104","0.184438056630968","5"
"Rarely","2007","35-65 y.","Female","551","0.141612906401731","0.130526100307744","0.152699712495718","5"
"Rarely","2007","16-34 y.","Female","191","0.142066611642195","0.123805074405335","0.160328148879055","5"
"Rarely","2007","35-65 y.","Male","1041","0.242770273386944","0.229861671829034","0.255678874944854","5"
"Rarely","2007","66 and older","Male","27","","","","5"
"Rarely","2007","66 and older","Female","6","","","","5"
"Yes, every 2 weeks","2007","16-34 y.","Male","129","0.0987838983818478","0.0836643142477043","0.113903482515991","3"
"Yes, every 2 weeks","2007","35-65 y.","Male","329","0.0784144732450209","0.0703210257739163","0.0865079207161256","3"
"Yes, every 2 weeks","2007","66 and older","Male","6","","","","3"
"Yes, every 2 weeks","2007","16-34 y.","Female","149","0.125244855519658","0.107931241243164","0.142558469796152","3"
"Yes, every 2 weeks","2007","35-65 y.","Female","334","0.0954347866416506","0.0860917782528618","0.104777795030439","3"
"Yes, every 2 weeks","2007","66 and older","Female","","","","","3"
"Yes, every 3-4 weeks","2007","16-34 y.","Male","92","0.0663626693936466","0.0537492358949365","0.0789761028923567","4"
"Yes, every 3-4 weeks","2007","16-34 y.","Female","61","0.0423413149188865","0.0318083149364729","0.0528743149013","4"
"Yes, every 3-4 weeks","2007","35-65 y.","Male","262","0.0658541074079496","0.0583867592055887","0.0733214556103105","4"
"Yes, every 3-4 weeks","2007","35-65 y.","Female","170","0.0448091198152021","0.0382303947875186","0.0513878448428855","4"
"Yes, every 3-4 weeks","2007","66 and older","Male","6","","","","4"
"Yes, every 3-4 weeks","2007","66 and older","Female","3","","","","4"
"Yes, every week","2007","16-34 y.","Male","90","0.0595092969624544","0.0475211527842209","0.071497441140688","2"
"Yes, every week","2007","35-65 y.","Male","327","0.0684036878261012","0.0608035537592663","0.0760038218929362","2"
"Yes, every week","2007","16-34 y.","Female","67","0.0362276228343157","0.0264536372684373","0.0460016084001942","2"
"Yes, every week","2007","35-65 y.","Female","227","0.063497336031898","0.0557429805678363","0.0712516914959597","2"
"Yes, every week","2007","66 and older","Male","10","","","","2"
"Yes, every week","2007","66 and older","Female","6","","","","2"
"No, never","2008","16-34 y.","Male","","","","","1"
"No, never","2008","16-34 y.","Female","","","","","1"
"No, never","2008","35-65 y.","Male","","","","","1"
"No, never","2008","35-65 y.","Female","","","","","1"
"No, never","2008","66 and older","Male","","","","","1"
"No, never","2008","66 and older","Female","","","","","1"
"Rarely","2008","16-34 y.","Male","","","","","5"
"Rarely","2008","35-65 y.","Male","","","","","5"
"Rarely","2008","16-34 y.","Female","","","","","5"
"Rarely","2008","35-65 y.","Female","","","","","5"
"Rarely","2008","66 and older","Male","","","","","5"
"Rarely","2008","66 and older","Female","","","","","5"
"Yes, every 2 weeks","2008","16-34 y.","Male","","","","","3"
"Yes, every 2 weeks","2008","16-34 y.","Female","","","","","3"
"Yes, every 2 weeks","2008","35-65 y.","Male","","","","","3"
"Yes, every 2 weeks","2008","66 and older","Male","","","","","3"
"Yes, every 2 weeks","2008","35-65 y.","Female","","","","","3"
"Yes, every 2 weeks","2008","66 and older","Female","","","","","3"
"Yes, every 3-4 weeks","2008","16-34 y.","Male","","","","","4"
"Yes, every 3-4 weeks","2008","16-34 y.","Female","","","","","4"
"Yes, every 3-4 weeks","2008","35-65 y.","Male","","","","","4"
"Yes, every 3-4 weeks","2008","35-65 y.","Female","","","","","4"
"Yes, every 3-4 weeks","2008","66 and older","Male","","","","","4"
"Yes, every 3-4 weeks","2008","66 and older","Female","","","","","4"
"Yes, every week","2008","16-34 y.","Male","","","","","2"
"Yes, every week","2008","16-34 y.","Female","","","","","2"
"Yes, every week","2008","35-65 y.","Male","","","","","2"
