"plb0219","year","hgtyp1hh","regtyp","n","percent","lower_confidence","upper_confidence"
"No, never","2005","1-pers.-HH","Urban Area","564","0.583173652880928","0.552146726693641","0.614200579068215"
"No, never","2005","1-pers.-HH","Rural Area","177","0.551705947232819","0.497803369298949","0.605608525166689"
"No, never","2005","(Married) couple without C. ","Urban Area","1354","0.64387664802496","0.623332486074342","0.664420809975579"
"No, never","2005","(Married) couple without C. ","Rural Area","551","0.618987195316417","0.587135468684129","0.650838921948706"
"No, never","2005","Single parent ","Urban Area","247","0.645097806555122","0.596539805583648","0.693655807526596"
"No, never","2005","Single parent ","Rural Area","117","0.599871074876917","0.530751927719576","0.668990222034257"
"No, never","2005","Couple + C. LE 16 ","Urban Area","1123","0.597270925617061","0.574824840549407","0.619717010684715"
"No, never","2005","Couple + C. LE 16 ","Rural Area","462","0.564395239265796","0.530312005137506","0.598478473394086"
"No, never","2005","Couple + C. GT 16 ","Urban Area","903","0.686250406917756","0.661516504768811","0.710984309066701"
"No, never","2005","Couple + C. GT 16 ","Rural Area","531","0.642346025096145","0.609439249075611","0.675252801116679"
"No, never","2005","Couple + C. LE and GT 16","Urban Area","430","0.629533323880369","0.593047471609326","0.666019176151412"
"No, never","2005","Couple + C. LE and GT 16","Rural Area","205","0.615075028216845","0.563125066542625","0.667024989891066"
"Yes, every week","2005","1-pers.-HH","Urban Area","59","0.068324599298784","0.0524470640708301","0.0842021345267378"
"Yes, every week","2005","1-pers.-HH","Rural Area","28","","",""
"Yes, every week","2005","(Married) couple without C. ","Urban Area","122","0.0544087452036988","0.0446773985132252","0.0641400918941724"
"Yes, every week","2005","(Married) couple without C. ","Rural Area","54","0.0508631013252306","0.03645229740836","0.0652739052421011"
"Yes, every week","2005","Single parent ","Urban Area","12","","",""
"Yes, every week","2005","Single parent ","Rural Area","11","","",""
"Yes, every week","2005","Couple + C. LE 16 ","Urban Area","103","0.0559998303724877","0.0454771151481237","0.0665225455968517"
"Yes, every week","2005","Couple + C. LE 16 ","Rural Area","50","0.077408999230099","0.0590392532164988","0.0957787452436993"
"Yes, every week","2005","Couple + C. GT 16 ","Urban Area","70","0.0407463715300293","0.0302080622312566","0.0512846808288019"
"Yes, every week","2005","Couple + C. GT 16 ","Rural Area","50","0.0664090296353702","0.0493143417781995","0.083503717492541"
"Yes, every week","2005","Couple + C. LE and GT 16","Urban Area","41","0.067852203508466","0.0488517080611571","0.0868526989557748"
"Yes, every week","2005","Couple + C. LE and GT 16","Rural Area","29","","",""
"Yes, every 2 weeks","2005","1-pers.-HH","Urban Area","98","0.0842533735896861","0.066773288702645","0.101733458476727"
"Yes, every 2 weeks","2005","1-pers.-HH","Rural Area","36","0.101815863541229","0.0690392085759855","0.134592518506473"
"Yes, every 2 weeks","2005","(Married) couple without C. ","Urban Area","152","0.0878194766420385","0.0756765691537472","0.0999623841303297"
"Yes, every 2 weeks","2005","(Married) couple without C. ","Rural Area","79","0.10385212328472","0.0838433763342618","0.123860870235179"
"Yes, every 2 weeks","2005","Single parent ","Urban Area","42","0.131868809491505","0.0975322009079812","0.166205418075029"
"Yes, every 2 weeks","2005","Single parent ","Rural Area","21","","",""
"Yes, every 2 weeks","2005","Couple + C. LE 16 ","Urban Area","150","0.0962382078810231","0.0827408371314053","0.109735578630641"
"Yes, every 2 weeks","2005","Couple + C. LE 16 ","Rural Area","80","0.108611949704031","0.0872237107732109","0.130000188634852"
"Yes, every 2 weeks","2005","Couple + C. GT 16 ","Urban Area","90","0.0797827707052947","0.0653397018192206","0.0942258395913688"
"Yes, every 2 weeks","2005","Couple + C. GT 16 ","Rural Area","57","0.0547159724427472","0.0391022121531004","0.070329732732394"
"Yes, every 2 weeks","2005","Couple + C. LE and GT 16","Urban Area","56","0.0954154541225812","0.0732194650839825","0.11761144316118"
"Yes, every 2 weeks","2005","Couple + C. LE and GT 16","Rural Area","30","0.0719811364450503","0.0443867404640184","0.0995755324260822"
"Yes, every 3-4 weeks","2005","1-pers.-HH","Urban Area","49","0.0525385889787943","0.0384981013349969","0.0665790766225918"
"Yes, every 3-4 weeks","2005","1-pers.-HH","Rural Area","30","0.10270411746937","0.0698010809366893","0.13560715400205"
"Yes, every 3-4 weeks","2005","(Married) couple without C. ","Urban Area","84","0.0459918595026652","0.0370050943785646","0.0549786246267658"
"Yes, every 3-4 weeks","2005","(Married) couple without C. ","Rural Area","41","0.0486462778051375","0.034536564798648","0.0627559908116269"
"Yes, every 3-4 weeks","2005","Single parent ","Urban Area","20","","",""
"Yes, every 3-4 weeks","2005","Single parent ","Rural Area","11","","",""
"Yes, every 3-4 weeks","2005","Couple + C. LE 16 ","Urban Area","111","0.0694676001413663","0.0578315569963632","0.0811036432863694"
"Yes, every 3-4 weeks","2005","Couple + C. LE 16 ","Rural Area","50","0.0470324209179947","0.0324798223994508","0.0615850194365386"
"Yes, every 3-4 weeks","2005","Couple + C. GT 16 ","Urban Area","66","0.0456218595683937","0.0344992554815169","0.0567444636552705"
"Yes, every 3-4 weeks","2005","Couple + C. GT 16 ","Rural Area","42","0.0600905882573596","0.0437745199946396","0.0764066565200795"
"Yes, every 3-4 weeks","2005","Couple + C. LE and GT 16","Urban Area","36","0.0439234216681505","0.0284411394119216","0.0594057039243794"
"Yes, every 3-4 weeks","2005","Couple + C. LE and GT 16","Rural Area","20","","",""
"Rarely","2005","1-pers.-HH","Urban Area","200","0.211709785251808","0.186001343284115","0.2374182272195"
"Rarely","2005","1-pers.-HH","Rural Area","56","0.131395051836094","0.0947787171102024","0.168011386561985"
"Rarely","2005","(Married) couple without C. ","Urban Area","375","0.167903270626637","0.151867000915895","0.183939540337379"
"Rarely","2005","(Married) couple without C. ","Rural Area","168","0.177651302268494","0.152582443491314","0.202720161045675"
"Rarely","2005","Single parent ","Urban Area","52","0.137642732089959","0.10267931015208","0.172606154027838"
"Rarely","2005","Single parent ","Rural Area","33","0.164260724872424","0.111988412784101","0.216533036960747"
"Rarely","2005","Couple + C. LE 16 ","Urban Area","347","0.181023435988062","0.163401583382022","0.198645288594102"
"Rarely","2005","Couple + C. LE 16 ","Rural Area","171","0.202551390882079","0.174925150553306","0.230177631210853"
"Rarely","2005","Couple + C. GT 16 ","Urban Area","223","0.147598591278527","0.128691577928696","0.166505604628357"
"Rarely","2005","Couple + C. GT 16 ","Rural Area","135","0.176438384568378","0.150267773006573","0.202608996130183"
"Rarely","2005","Couple + C. LE and GT 16","Urban Area","110","0.163275596820433","0.135350646023208","0.191200547617658"
"Rarely","2005","Couple + C. LE and GT 16","Rural Area","53","0.139356018452346","0.102381053294372","0.17633098361032"
"No, never","2006","1-pers.-HH","Urban Area","","","",""
"No, never","2006","1-pers.-HH","Rural Area","","","",""
"No, never","2006","(Married) couple without C. ","Urban Area","","","",""
"No, never","2006","(Married) couple without C. ","Rural Area","","","",""
"No, never","2006","Single parent ","Urban Area","","","",""
"No, never","2006","Single parent ","Rural Area","","","",""
"No, never","2006","Couple + C. LE 16 ","Urban Area","","","",""
"No, never","2006","Couple + C. LE 16 ","Rural Area","","","",""
"No, never","2006","Couple + C. GT 16 ","Urban Area","","","",""
"No, never","2006","Couple + C. GT 16 ","Rural Area","","","",""
"No, never","2006","Couple + C. LE and GT 16","Urban Area","","","",""
"No, never","2006","Couple + C. LE and GT 16","Rural Area","","","",""
"Yes, every week","2006","1-pers.-HH","Urban Area","","","",""
"Yes, every week","2006","1-pers.-HH","Rural Area","","","",""
"Yes, every week","2006","(Married) couple without C. ","Urban Area","","","",""
"Yes, every week","2006","(Married) couple without C. ","Rural Area","","","",""
"Yes, every week","2006","Single parent ","Urban Area","","","",""
"Yes, every week","2006","Single parent ","Rural Area","","","",""
"Yes, every week","2006","Couple + C. LE 16 ","Urban Area","","","",""
"Yes, every week","2006","Couple + C. LE 16 ","Rural Area","","","",""
"Yes, every week","2006","Couple + C. GT 16 ","Urban Area","","","",""
"Yes, every week","2006","Couple + C. GT 16 ","Rural Area","","","",""
"Yes, every week","2006","Couple + C. LE and GT 16","Urban Area","","","",""
"Yes, every week","2006","Couple + C. LE and GT 16","Rural Area","","","",""
"Yes, every 2 weeks","2006","1-pers.-HH","Urban Area","","","",""
"Yes, every 2 weeks","2006","1-pers.-HH","Rural Area","","","",""
"Yes, every 2 weeks","2006","(Married) couple without C. ","Urban Area","","","",""
"Yes, every 2 weeks","2006","(Married) couple without C. ","Rural Area","","","",""
"Yes, every 2 weeks","2006","Single parent ","Urban Area","","","",""
"Yes, every 2 weeks","2006","Single parent ","Rural Area","","","",""
"Yes, every 2 weeks","2006","Couple + C. LE 16 ","Urban Area","","","",""
"Yes, every 2 weeks","2006","Couple + C. LE 16 ","Rural Area","","","",""
"Yes, every 2 weeks","2006","Couple + C. GT 16 ","Urban Area","","","",""
"Yes, every 2 weeks","2006","Couple + C. GT 16 ","Rural Area","","","",""
"Yes, every 2 weeks","2006","Couple + C. LE and GT 16","Urban Area","","","",""
"Yes, every 2 weeks","2006","Couple + C. LE and GT 16","Rural Area","","","",""
"Yes, every 3-4 weeks","2006","1-pers.-HH","Urban Area","","","",""
"Yes, every 3-4 weeks","2006","1-pers.-HH","Rural Area","","","",""
"Yes, every 3-4 weeks","2006","(Married) couple without C. ","Urban Area","","","",""
"Yes, every 3-4 weeks","2006","(Married) couple without C. ","Rural Area","","","",""
"Yes, every 3-4 weeks","2006","Single parent ","Urban Area","","","",""
"Yes, every 3-4 weeks","2006","Single parent ","Rural Area","","","",""
"Yes, every 3-4 weeks","2006","Couple + C. LE 16 ","Urban Area","","","",""
"Yes, every 3-4 weeks","2006","Couple + C. LE 16 ","Rural Area","","","",""
