"plb0219","year","hgtyp1hh","sex","n","percent","lower_confidence","upper_confidence"
"No, never","2005","1-pers.-HH","Male","379","0.531237121936767","0.494811978363271","0.567662265510263"
"No, never","2005","1-pers.-HH","Female","362","0.642469491192944","0.603329596088458","0.68160938629743"
"No, never","2005","(Married) couple without C. ","Male","839","0.560317259142324","0.535063975907094","0.585570542377554"
"No, never","2005","(Married) couple without C. ","Female","1066","0.71952886218325","0.696764761798433","0.742292962568067"
"No, never","2005","Single parent ","Male","97","0.627598656350336","0.550743516132894","0.704453796567777"
"No, never","2005","Single parent ","Female","267","0.633525246599008","0.587110934906056","0.679939558291959"
"No, never","2005","Couple + C. LE 16 ","Male","848","0.537364730351406","0.512677774445917","0.562051686256894"
"No, never","2005","Couple + C. LE 16 ","Female","737","0.672950032909648","0.644970872542579","0.700929193276718"
"No, never","2005","Couple + C. GT 16 ","Male","713","0.626939050456146","0.599286721526249","0.654591379386043"
"No, never","2005","Couple + C. GT 16 ","Female","721","0.726058695098708","0.698305890339953","0.753811499857464"
"No, never","2005","Couple + C. LE and GT 16","Male","329","0.601325605891027","0.560627451456628","0.642023760325425"
"No, never","2005","Couple + C. LE and GT 16","Female","306","0.65541325125756","0.611698595810414","0.699127906704705"
"Yes, every week","2005","1-pers.-HH","Male","49","0.0771500211508319","0.0576733811633638","0.0966266611383"
"Yes, every week","2005","1-pers.-HH","Female","38","0.0817329669190336","0.0593601855920196","0.104105748246048"
"Yes, every week","2005","(Married) couple without C. ","Male","101","0.0610219209524074","0.0488431964920184","0.0732006454127964"
"Yes, every week","2005","(Married) couple without C. ","Female","75","0.0448853061532498","0.0343932126235015","0.0553773996829981"
"Yes, every week","2005","Single parent ","Male","4","","",""
"Yes, every week","2005","Single parent ","Female","19","","",""
"Yes, every week","2005","Couple + C. LE 16 ","Male","103","0.0648559301810949","0.0526624493155705","0.0770494110466194"
"Yes, every week","2005","Couple + C. LE 16 ","Female","50","0.0573747938441127","0.0435051181391172","0.0712444695491083"
"Yes, every week","2005","Couple + C. GT 16 ","Male","75","0.0568500891582558","0.0436101772116187","0.070090001104893"
"Yes, every week","2005","Couple + C. GT 16 ","Female","45","0.041034189688114","0.028689881731326","0.053378497644902"
"Yes, every week","2005","Couple + C. LE and GT 16","Male","48","0.0930189763667531","0.0688757351471368","0.117162217586369"
"Yes, every week","2005","Couple + C. LE and GT 16","Female","22","","",""
"Yes, every 2 weeks","2005","1-pers.-HH","Male","65","0.0766617858385861","0.0572417364678846","0.0960818352092876"
"Yes, every 2 weeks","2005","1-pers.-HH","Female","69","0.106366830315951","0.08118892486323","0.131544735768673"
"Yes, every 2 weeks","2005","(Married) couple without C. ","Male","109","0.0847569599632843","0.0705863989730284","0.0989275209535402"
"Yes, every 2 weeks","2005","(Married) couple without C. ","Female","122","0.101455817538642","0.0861558506824718","0.116755784394813"
"Yes, every 2 weeks","2005","Single parent ","Male","11","","",""
"Yes, every 2 weeks","2005","Single parent ","Female","52","0.139436042068063","0.106068284589867","0.17280379954626"
"Yes, every 2 weeks","2005","Couple + C. LE 16 ","Male","122","0.0906261553013908","0.0764123094820596","0.104840001120722"
"Yes, every 2 weeks","2005","Couple + C. LE 16 ","Female","108","0.115059067482209","0.0960284105592033","0.134089724405215"
"Yes, every 2 weeks","2005","Couple + C. GT 16 ","Male","73","0.0583092763067789","0.0449109012860073","0.0717076513275505"
"Yes, every 2 weeks","2005","Couple + C. GT 16 ","Female","74","0.0867897247712769","0.0692706242222737","0.10430882532028"
"Yes, every 2 weeks","2005","Couple + C. LE and GT 16","Male","37","0.0706309780292248","0.049334764072026","0.0919271919864236"
"Yes, every 2 weeks","2005","Couple + C. LE and GT 16","Female","49","0.109833688466968","0.081071394150764","0.138595982783172"
"Yes, every 3-4 weeks","2005","1-pers.-HH","Male","50","0.0694363977421734","0.0508819906664119","0.0879908048179349"
"Yes, every 3-4 weeks","2005","1-pers.-HH","Female","29","","",""
"Yes, every 3-4 weeks","2005","(Married) couple without C. ","Male","80","0.0601717202312886","0.0480726608332076","0.0722707796293697"
"Yes, every 3-4 weeks","2005","(Married) couple without C. ","Female","45","0.0321477447119809","0.0232092974333959","0.0410861919905659"
"Yes, every 3-4 weeks","2005","Single parent ","Male","11","","",""
"Yes, every 3-4 weeks","2005","Single parent ","Female","20","","",""
"Yes, every 3-4 weeks","2005","Couple + C. LE 16 ","Male","111","0.0704414278869102","0.0577717361514377","0.0831111196223828"
"Yes, every 3-4 weeks","2005","Couple + C. LE 16 ","Female","50","0.0508005590875542","0.0377042415635988","0.0638968766115095"
"Yes, every 3-4 weeks","2005","Couple + C. GT 16 ","Male","59","0.0480380625497379","0.0358107309150256","0.0602653941844501"
"Yes, every 3-4 weeks","2005","Couple + C. GT 16 ","Female","49","0.054238914669987","0.0401447782612984","0.0683330510786756"
"Yes, every 3-4 weeks","2005","Couple + C. LE and GT 16","Male","33","0.050889493835009","0.0326218241013893","0.0691571635686287"
"Yes, every 3-4 weeks","2005","Couple + C. LE and GT 16","Female","23","","",""
