"plb0219","year","education","n","percent","lower_confidence","upper_confidence"
"No, never","2005","lower secondary degree","1786","0.648327076155837","0.630349547427904","0.66630460488377"
"No, never","2005","secondary school degree","2440","0.611598994713835","0.596213571257603","0.626984418170068"
"No, never","2005","college entrance qualification","1975","0.557655809995615","0.541168580659876","0.574143039331354"
"No, never","2005","Other degree","393","0.694106480639362","0.655667068272929","0.732545893005794"
"No, never","2005","no degree/no degree yet","78","0.694385911560076","0.611963635388726","0.776808187731426"
"Yes, every week","2005","lower secondary degree","151","0.0667394323472837","0.0573431478448293","0.076135716849738"
"Yes, every week","2005","secondary school degree","172","0.0475537922642797","0.0408356575774711","0.0542719269510883"
"Yes, every week","2005","college entrance qualification","271","0.0743955656967036","0.0656845130571111","0.0831066183362961"
"Yes, every week","2005","Other degree","32","0.0529541827979419","0.034272577917134","0.0716357876787498"
"Yes, every week","2005","no degree/no degree yet","13","","",""
"Yes, every 2 weeks","2005","lower secondary degree","231","0.0858654795525467","0.0753172930434889","0.0964136660616046"
"Yes, every 2 weeks","2005","secondary school degree","370","0.103986827112815","0.0943511495103123","0.113622504715317"
"Yes, every 2 weeks","2005","college entrance qualification","246","0.0818770242984051","0.0727754639579759","0.0909785846388343"
"Yes, every 2 weeks","2005","Other degree","45","0.0925799346001271","0.0684007764330737","0.116759092767181"
"Yes, every 2 weeks","2005","no degree/no degree yet","9","","",""
"Yes, every 3-4 weeks","2005","lower secondary degree","128","0.0544623349696767","0.0459185365969578","0.0630061333423956"
"Yes, every 3-4 weeks","2005","secondary school degree","196","0.0606372955237563","0.0531033501300959","0.0681712409174166"
"Yes, every 3-4 weeks","2005","college entrance qualification","196","0.0548509572360162","0.0472926132240496","0.0624093012479828"
"Yes, every 3-4 weeks","2005","Other degree","30","0.0437268211758081","0.0266682169668201","0.0607854253847961"
"Yes, every 3-4 weeks","2005","no degree/no degree yet","7","","",""
"Rarely","2005","lower secondary degree","414","0.144605676974656","0.131364112518428","0.157847241430883"
"Rarely","2005","secondary school degree","677","0.176223090385314","0.164195680444719","0.188250500325909"
"Rarely","2005","college entrance qualification","798","0.23122064277326","0.217224816004844","0.245216469541677"
"Rarely","2005","Other degree","52","0.116632580786761","0.089855749414118","0.143409412159404"
"Rarely","2005","no degree/no degree yet","13","","",""
"No, never","2006","lower secondary degree","","","",""
"No, never","2006","secondary school degree","","","",""
"No, never","2006","college entrance qualification","","","",""
"No, never","2006","Other degree","","","",""
"No, never","2006","no degree/no degree yet","","","",""
"Yes, every week","2006","lower secondary degree","","","",""
"Yes, every week","2006","secondary school degree","","","",""
"Yes, every week","2006","college entrance qualification","","","",""
"Yes, every week","2006","Other degree","","","",""
"Yes, every week","2006","no degree/no degree yet","","","",""
"Yes, every 2 weeks","2006","lower secondary degree","","","",""
"Yes, every 2 weeks","2006","secondary school degree","","","",""
"Yes, every 2 weeks","2006","college entrance qualification","","","",""
"Yes, every 2 weeks","2006","Other degree","","","",""
"Yes, every 2 weeks","2006","no degree/no degree yet","","","",""
"Yes, every 3-4 weeks","2006","lower secondary degree","","","",""
"Yes, every 3-4 weeks","2006","secondary school degree","","","",""
"Yes, every 3-4 weeks","2006","college entrance qualification","","","",""
"Yes, every 3-4 weeks","2006","Other degree","","","",""
"Yes, every 3-4 weeks","2006","no degree/no degree yet","","","",""
"Rarely","2006","lower secondary degree","","","",""
"Rarely","2006","secondary school degree","","","",""
"Rarely","2006","college entrance qualification","","","",""
"Rarely","2006","Other degree","","","",""
"Rarely","2006","no degree/no degree yet","","","",""
"No, never","2007","lower secondary degree","1803","0.665979056375265","0.648159028571574","0.683799084178957"
"No, never","2007","secondary school degree","2405","0.594666402991111","0.579238166294326","0.610094639687897"
"No, never","2007","college entrance qualification","1977","0.526472953064202","0.51030590289795","0.542640003230453"
"No, never","2007","Other degree","351","0.68007747365531","0.63967437110829","0.720480576202329"
"No, never","2007","no degree/no degree yet","57","0.707332230036901","0.613850537318792","0.80081392275501"
"Yes, every week","2007","lower secondary degree","152","0.0558994803588425","0.0472197897303792","0.0645791709873058"
"Yes, every week","2007","secondary school degree","197","0.0551480571891615","0.0479747359641159","0.0623213784142071"
"Yes, every week","2007","college entrance qualification","335","0.0830349311703259","0.0741002888846134","0.0919695734560384"
"Yes, every week","2007","Other degree","25","","",""
"Yes, every week","2007","no degree/no degree yet","5","","",""
"Yes, every 2 weeks","2007","lower secondary degree","209","0.0833167275475846","0.072875128867107","0.0937583262280622"
"Yes, every 2 weeks","2007","secondary school degree","385","0.108591900385792","0.0988147950306094","0.118369005740974"
"Yes, every 2 weeks","2007","college entrance qualification","277","0.0853686064264683","0.0763208165422207","0.0944163963107159"
"Yes, every 2 weeks","2007","Other degree","44","0.0826638155393527","0.058811250073095","0.10651638100561"
"Yes, every 2 weeks","2007","no degree/no degree yet","12","","",""
"Yes, every 3-4 weeks","2007","lower secondary degree","119","0.0425150228553139","0.0348919787080137","0.050138067002614"
"Yes, every 3-4 weeks","2007","secondary school degree","212","0.0611451700035889","0.0536158875218214","0.0686744524853565"
"Yes, every 3-4 weeks","2007","college entrance qualification","222","0.0675786178128068","0.0594506659466853","0.0757065696789282"
"Yes, every 3-4 weeks","2007","Other degree","27","","",""
"Yes, every 3-4 weeks","2007","no degree/no degree yet","5","","",""
"Rarely","2007","lower secondary degree","408","0.152289712862994","0.138714387326501","0.165865038399486"
"Rarely","2007","secondary school degree","691","0.180448469430346","0.168363709577731","0.192533229282962"
"Rarely","2007","college entrance qualification","853","0.237544891526197","0.22376485574022","0.251324927312175"
"Rarely","2007","Other degree","65","0.145113290062635","0.114604780768089","0.175621799357181"
"Rarely","2007","no degree/no degree yet","12","","",""
"No, never","2008","lower secondary degree","","","",""
"No, never","2008","secondary school degree","","","",""
"No, never","2008","college entrance qualification","","","",""
"No, never","2008","Other degree","","","",""
"No, never","2008","no degree/no degree yet","","","",""
"Yes, every week","2008","lower secondary degree","","","",""
"Yes, every week","2008","secondary school degree","","","",""
"Yes, every week","2008","college entrance qualification","","","",""
