"plb0219","year","n","percent","lower_confidence","upper_confidence","value"
"No, never","2005","6817","0.615077877646712","0.605955054889031","0.624200700404394","1"
"Rarely","2005","1975","0.174934043095424","0.167811103708122","0.182056982482725","5"
"Yes, every 2 weeks","2005","919","0.0920962886425981","0.0866747980553066","0.0975177792298896","3"
"Yes, every 3-4 weeks","2005","570","0.0566781348100586","0.0523428715696768","0.0610133980504403","4"
"Yes, every week","2005","647","0.0612136558052073","0.0567191154076652","0.0657081962027495","2"
"No, never","2006","","","","","1"
"Rarely","2006","","","","","5"
"Yes, every 2 weeks","2006","","","","","3"
"Yes, every 3-4 weeks","2006","","","","","4"
"Yes, every week","2006","","","","","2"
"No, never","2007","6783","0.604796050416071","0.595702709451271","0.613889391380872","1"
"Rarely","2007","2053","0.184806600706582","0.177587261780536","0.192025939632628","5"
"Yes, every 2 weeks","2007","947","0.0921988446456108","0.086817801559339","0.0975798877318826","3"
"Yes, every 3-4 weeks","2007","594","0.0558778206081464","0.0516057128946093","0.0601499283216836","4"
"Yes, every week","2007","727","0.0623206836235897","0.0578244213436304","0.066816945903549","2"
"No, never","2008","","","","","1"
"Rarely","2008","","","","","5"
"Yes, every 2 weeks","2008","","","","","3"
"Yes, every 3-4 weeks","2008","","","","","4"
"Yes, every week","2008","","","","","2"
"No, never","2009","5875","0.588562037797219","0.578836104369918","0.598287971224521","1"
"Rarely","2009","1867","0.194664693169337","0.186839141675001","0.202490244663674","5"
"Yes, every 2 weeks","2009","850","0.0850499137954343","0.0795365248755428","0.0905633027153257","3"
"Yes, every 3-4 weeks","2009","551","0.0605138380465223","0.0558012928094479","0.0652263832835968","4"
"Yes, every week","2009","691","0.0712095171914867","0.0661266251221233","0.0762924092608501","2"
"No, never","2010","2547","0.576859224958372","0.562457709425397","0.591260740491348","1"
"Rarely","2010","849","0.180915372918832","0.169694336785491","0.192136409052173","5"
"Yes, every 2 weeks","2010","511","0.113049226602963","0.103818956844112","0.122279496361815","3"
"Yes, every 3-4 weeks","2010","295","0.0650860407361759","0.0578955159692573","0.0722765655030946","4"
"Yes, every week","2010","319","0.0640901347836561","0.0569510351586135","0.0712292344086987","2"
"No, never","2011","9920","0.604643149370176","0.597175707260966","0.612110591479387","1"
"Rarely","2011","2784","0.175443742609737","0.169634670742799","0.181252814476676","5"
"Yes, every 2 weeks","2011","1611","0.0958577414397862","0.0913613962827671","0.100354086596805","3"
"Yes, every 3-4 weeks","2011","962","0.053080216999552","0.049656084185148","0.0565043498139561","4"
"Yes, every week","2011","1191","0.0709751495807481","0.0670532679150965","0.0748970312463998","2"
"No, never","2012","3171","0.630831324057653","0.61765777469109","0.644004873424216","1"
"Rarely","2012","762","0.140381913662763","0.130898993207685","0.149864834117841","5"
"Yes, every 2 weeks","2012","526","0.0989989967971203","0.0908461029010944","0.107151890693146","3"
"Yes, every 3-4 weeks","2012","301","0.0582137615470022","0.0518219677255541","0.0646055553684503","4"
"Yes, every week","2012","395","0.0715740039354622","0.0645370443181917","0.0786109635527326","2"
"No, never","2013","9312","0.597354828328077","0.589586060967512","0.605123595688642","1"
"Rarely","2013","2687","0.190209571380609","0.183992624128449","0.196426518632768","5"
"Yes, every 2 weeks","2013","1500","0.0970907869666586","0.0924006477677322","0.101780926165585","3"
"Yes, every 3-4 weeks","2013","802","0.0540851538688844","0.0505022122217497","0.0576680955160192","4"
"Yes, every week","2013","1008","0.0612596594557709","0.0574609619709147","0.0650583569406271","2"
"No, never","2014","","","","","1"
"Rarely","2014","","","","","5"
"Yes, every 2 weeks","2014","","","","","3"
"Yes, every 3-4 weeks","2014","","","","","4"
"Yes, every week","2014","","","","","2"
"No, never","2015","9198","0.595126865932847","0.58729651177271","0.602957220092984","1"
"Rarely","2015","2556","0.181426873229464","0.175279399282962","0.187574347175966","5"
"Yes, every 2 weeks","2015","1513","0.101064862120278","0.0962566743479257","0.10587304989263","3"
"Yes, every 3-4 weeks","2015","809","0.0575825281593506","0.053866455677503","0.0612986006411982","4"
"Yes, every week","2015","1020","0.064798870558061","0.0608719385950191","0.0687258025211028","2"
"No, never","2016","","","","","1"
"Rarely","2016","","","","","5"
"Yes, every 2 weeks","2016","","","","","3"
"Yes, every 3-4 weeks","2016","","","","","4"
"Yes, every week","2016","","","","","2"
"No, never","2017","10468","0.626022810122307","0.61865735378768","0.633388266456934","1"
"Rarely","2017","2323","0.153568787561957","0.148080595061795","0.159056980062119","5"
"Yes, every 2 weeks","2017","1626","0.0961954234574874","0.0917069723705107","0.100683874544464","3"
"Yes, every 3-4 weeks","2017","1037","0.0586217438529976","0.0550457771069311","0.0621977105990642","4"
"Yes, every week","2017","1124","0.0655912350052503","0.0618226928362583","0.0693597771742423","2"
"No, never","2018","","","","","1"
"Rarely","2018","","","","","5"
"Yes, every 2 weeks","2018","","","","","3"
"Yes, every 3-4 weeks","2018","","","","","4"
"Yes, every week","2018","","","","","2"
"No, never","2019","10214","0.628359111822794","0.621030587160445","0.635687636485143","1"
"Rarely","2019","2631","0.152948341582698","0.147489780366542","0.158406902798854","5"
"Yes, every 2 weeks","2019","1625","0.0970270848522464","0.0925382388749054","0.101515930829588","3"
"Yes, every 3-4 weeks","2019","1030","0.0562370834855965","0.0527433184074451","0.059730848563748","4"
"Yes, every week","2019","1203","0.0654283782566652","0.0616783009287915","0.0691784555845389","2"
