"plb0219","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Full Time","no migration background","3570","0.562056912405986","0.54979115320009","0.574322671611883"
"No, never","2005","Full Time","direct migration background","485","0.622503308479593","0.587362090540737","0.65764452641845"
"No, never","2005","Full Time","indirect migration background","199","0.63605000821495","0.581238882248456","0.690861134181443"
"No, never","2005","Part Time","no migration background","2025","0.685087453888422","0.668202745520633","0.701972162256211"
"No, never","2005","Part Time","direct migration background","313","0.806776062002399","0.768180085722235","0.845372038282563"
"No, never","2005","Part Time","indirect migration background","97","0.66800018480373","0.589991800048977","0.746008569558483"
"No, never","2005","Not Working","no migration background","96","0.782655911274928","0.710353557499928","0.854958265049929"
"No, never","2005","Not Working","direct migration background","17","","",""
"No, never","2005","Not Working","indirect migration background","15","","",""
"Yes, every week","2005","Full Time","no migration background","421","0.065822360710278","0.0596918463943088","0.0719528750262473"
"Yes, every week","2005","Full Time","direct migration background","43","0.0600065536644329","0.0427898042767606","0.0772233030521051"
"Yes, every week","2005","Full Time","indirect migration background","18","","",""
"Yes, every week","2005","Part Time","no migration background","132","0.0569447769139859","0.0485207240128263","0.0653688298151454"
"Yes, every week","2005","Part Time","direct migration background","12","","",""
"Yes, every week","2005","Part Time","indirect migration background","10","","",""
"Yes, every week","2005","Not Working","no migration background","9","","",""
"Yes, every week","2005","Not Working","direct migration background","2","","",""
"Yes, every week","2005","Not Working","indirect migration background","","","",""
"Yes, every 2 weeks","2005","Full Time","no migration background","532","0.095597021528812","0.088327620591065","0.102866422466559"
"Yes, every 2 weeks","2005","Full Time","direct migration background","60","0.0957405297761231","0.0744108739095313","0.117070185642715"
"Yes, every 2 weeks","2005","Full Time","indirect migration background","27","","",""
"Yes, every 2 weeks","2005","Part Time","no migration background","254","0.0901511544937229","0.0797400730068191","0.100562235980627"
"Yes, every 2 weeks","2005","Part Time","direct migration background","25","","",""
"Yes, every 2 weeks","2005","Part Time","indirect migration background","12","","",""
"Yes, every 2 weeks","2005","Not Working","no migration background","6","","",""
"Yes, every 2 weeks","2005","Not Working","direct migration background","3","","",""
"Yes, every 2 weeks","2005","Not Working","indirect migration background","","","",""
"Yes, every 3-4 weeks","2005","Full Time","no migration background","372","0.0619119472327567","0.0559538925582293","0.0678700019072842"
"Yes, every 3-4 weeks","2005","Full Time","direct migration background","46","0.0755325345181081","0.0563766483627799","0.0946884206734362"
"Yes, every 3-4 weeks","2005","Full Time","indirect migration background","14","","",""
"Yes, every 3-4 weeks","2005","Part Time","no migration background","112","0.0440993523345828","0.0366357574445122","0.0515629472246533"
"Yes, every 3-4 weeks","2005","Part Time","direct migration background","13","","",""
"Yes, every 3-4 weeks","2005","Part Time","indirect migration background","7","","",""
"Yes, every 3-4 weeks","2005","Not Working","no migration background","3","","",""
"Yes, every 3-4 weeks","2005","Not Working","direct migration background","1","","",""
"Yes, every 3-4 weeks","2005","Not Working","indirect migration background","2","","",""
"Rarely","2005","Full Time","no migration background","1390","0.214611758122167","0.204461796415958","0.224761719828376"
"Rarely","2005","Full Time","direct migration background","97","0.146217073561743","0.120603971552027","0.171830175571459"
"Rarely","2005","Full Time","indirect migration background","38","0.142766293183984","0.102912955694022","0.182619630673947"
