"plb0219","year","e11103","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Full Time","1-pers.-HH","530","0.558332365989391","0.52691956492313","0.589745167055652"
"No, never","2005","Full Time","(Married) couple without C. ","1288","0.593458651779635","0.572701131055991","0.61421617250328"
"No, never","2005","Full Time","Single parent ","189","0.603871593278623","0.549250168220729","0.658493018336517"
"No, never","2005","Full Time","Couple + C. LE 16 ","909","0.52562545631293","0.501790289885794","0.549460622740067"
"No, never","2005","Full Time","Couple + C. GT 16 ","892","0.615557207035139","0.590440299157769","0.640674114912509"
"No, never","2005","Full Time","Couple + C. LE and GT 16","349","0.579998200342949","0.540473045637528","0.61952335504837"
"No, never","2005","Part Time","1-pers.-HH","197","0.628461800508144","0.57526816922169","0.681655431794598"
"No, never","2005","Part Time","(Married) couple without C. ","592","0.733993192770178","0.703392995634351","0.764593389906005"
"No, never","2005","Part Time","Single parent ","159","0.649812223911465","0.589460886364422","0.710163561458508"
"No, never","2005","Part Time","Couple + C. LE 16 ","653","0.711777101342611","0.682588487464284","0.740965715220937"
"No, never","2005","Part Time","Couple + C. GT 16 ","518","0.766380246456787","0.734899480716611","0.797861012196964"
"No, never","2005","Part Time","Couple + C. LE and GT 16","267","0.682810082141547","0.636383780531784","0.729236383751311"
"No, never","2005","Not Working","1-pers.-HH","14","","",""
"No, never","2005","Not Working","(Married) couple without C. ","25","","",""
"No, never","2005","Not Working","Single parent ","16","","",""
"No, never","2005","Not Working","Couple + C. LE 16 ","23","","",""
"No, never","2005","Not Working","Couple + C. GT 16 ","24","","",""
"No, never","2005","Not Working","Couple + C. LE and GT 16","19","","",""
"Yes, every week","2005","Full Time","1-pers.-HH","68","0.0813191813538744","0.0640293284753918","0.098609034232357"
"Yes, every week","2005","Full Time","(Married) couple without C. ","137","0.0539645536714216","0.0444160375640255","0.0635130697788177"
"Yes, every week","2005","Full Time","Single parent ","14","","",""
"Yes, every week","2005","Full Time","Couple + C. LE 16 ","115","0.0671168815658912","0.0551729087076941","0.0790608544240884"
"Yes, every week","2005","Full Time","Couple + C. GT 16 ","95","0.060341542478621","0.0480470864524553","0.0726359985047867"
"Yes, every week","2005","Full Time","Couple + C. LE and GT 16","45","0.0807993484494082","0.0589748751761302","0.102623821722686"
"Yes, every week","2005","Part Time","1-pers.-HH","17","","",""
"Yes, every week","2005","Part Time","(Married) couple without C. ","39","0.0534381557495133","0.03786301210318","0.0690132993958465"
"Yes, every week","2005","Part Time","Single parent ","8","","",""
"Yes, every week","2005","Part Time","Couple + C. LE 16 ","34","0.048748874410909","0.0348715061659034","0.0626262426559146"
"Yes, every week","2005","Part Time","Couple + C. GT 16 ","22","","",""
"Yes, every week","2005","Part Time","Couple + C. LE and GT 16","24","","",""
"Yes, every week","2005","Not Working","1-pers.-HH","2","","",""
"Yes, every week","2005","Not Working","(Married) couple without C. ","","","",""
"Yes, every week","2005","Not Working","Single parent ","1","","",""
"Yes, every week","2005","Not Working","Couple + C. LE 16 ","4","","",""
"Yes, every week","2005","Not Working","Couple + C. GT 16 ","3","","",""
"Yes, every week","2005","Not Working","Couple + C. LE and GT 16","1","","",""
"Yes, every 2 weeks","2005","Full Time","1-pers.-HH","96","0.0889941444347061","0.0709824830039916","0.107005805865421"
"Yes, every 2 weeks","2005","Full Time","(Married) couple without C. ","175","0.101553817213577","0.0887887811553393","0.114318853271814"
"Yes, every 2 weeks","2005","Full Time","Single parent ","34","0.133759189322521","0.0957442880424446","0.171774090602596"
"Yes, every 2 weeks","2005","Full Time","Couple + C. LE 16 ","149","0.104049503950531","0.089475418214807","0.118623589686256"
"Yes, every 2 weeks","2005","Full Time","Couple + C. GT 16 ","103","0.0751863947144775","0.0615715454992775","0.0888012439296775"
"Yes, every 2 weeks","2005","Full Time","Couple + C. LE and GT 16","48","0.0892777236913917","0.0664428184424355","0.112112628940348"
"Yes, every 2 weeks","2005","Part Time","1-pers.-HH","37","0.0894598550852","0.058041596906323","0.120878113264077"
"Yes, every 2 weeks","2005","Part Time","(Married) couple without C. ","56","0.073871929216331","0.0557582331056623","0.0919856253269996"
"Yes, every 2 weeks","2005","Part Time","Single parent ","29","","",""
"Yes, every 2 weeks","2005","Part Time","Couple + C. LE 16 ","76","0.088602928861428","0.0702901151286077","0.106915742594248"
"Yes, every 2 weeks","2005","Part Time","Couple + C. GT 16 ","42","0.0643186012611627","0.0460670135720709","0.0825701889502544"
"Yes, every 2 weeks","2005","Part Time","Couple + C. LE and GT 16","37","0.0883483912105781","0.060036543548033","0.116660238873123"
"Yes, every 2 weeks","2005","Not Working","1-pers.-HH","1","","",""
