"plb0219","year","e11103","pgcasmin","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Full Time","(0) in school","3","","",""
"No, never","2005","Full Time","(1a) inadequately completed","29","","",""
"No, never","2005","Full Time","(1b) general elementary school","219","0.683823142003861","0.632061960518957","0.735584323488766"
"No, never","2005","Full Time","(1c) basic vocational qualification","993","0.605577920807079","0.581771709069874","0.629384132544284"
"No, never","2005","Full Time","(2b) intermediate general qualification","143","0.746307766161372","0.68507839589399","0.807537136428755"
"No, never","2005","Full Time","(2a) intermediate vocational","1220","0.551989423983387","0.530780890183635","0.57319795778314"
"No, never","2005","Full Time","(2c_gen) general maturity certificate","90","0.588000283373311","0.508162423003187","0.667838143743435"
"No, never","2005","Full Time","(2c_voc) vocational maturity certificate","428","0.646182040558146","0.610110592001283","0.682253489115009"
"No, never","2005","Full Time","(3a) lower tertiary education","436","0.53264771441895","0.497789676000595","0.567505752837305"
"No, never","2005","Full Time","(3b) higher tertiary education","619","0.422122929222576","0.395428390695188","0.448817467749963"
"No, never","2005","Part Time","(0) in school","21","","",""
"No, never","2005","Part Time","(1a) inadequately completed","21","","",""
"No, never","2005","Part Time","(1b) general elementary school","183","0.74340115876576","0.687913222226887","0.798889095304634"
"No, never","2005","Part Time","(1c) basic vocational qualification","563","0.735864355878074","0.704354126838278","0.767374584917869"
"No, never","2005","Part Time","(2b) intermediate general qualification","85","0.7063165036497","0.623075248748346","0.789557758551053"
"No, never","2005","Part Time","(2a) intermediate vocational","701","0.714311139863032","0.685955715721658","0.742666564004406"
"No, never","2005","Part Time","(2c_gen) general maturity certificate","137","0.653579898091734","0.588602043704904","0.718557752478564"
"No, never","2005","Part Time","(2c_voc) vocational maturity certificate","214","0.683437877266352","0.632395399714754","0.734480354817949"
"No, never","2005","Part Time","(3a) lower tertiary education","184","0.663860703070217","0.607092467348993","0.72062893879144"
"No, never","2005","Part Time","(3b) higher tertiary education","269","0.600862418124952","0.55489462248034","0.646830213769565"
"No, never","2005","Not Working","(0) in school","4","","",""
"No, never","2005","Not Working","(1a) inadequately completed","","","",""
"No, never","2005","Not Working","(1b) general elementary school","17","","",""
"No, never","2005","Not Working","(1c) basic vocational qualification","19","","",""
"No, never","2005","Not Working","(2b) intermediate general qualification","7","","",""
"No, never","2005","Not Working","(2a) intermediate vocational","28","","",""
"No, never","2005","Not Working","(2c_gen) general maturity certificate","11","","",""
"No, never","2005","Not Working","(2c_voc) vocational maturity certificate","11","","",""
"No, never","2005","Not Working","(3a) lower tertiary education","10","","",""
"No, never","2005","Not Working","(3b) higher tertiary education","11","","",""
"Yes, every week","2005","Full Time","(0) in school","","","",""
"Yes, every week","2005","Full Time","(1a) inadequately completed","3","","",""
"Yes, every week","2005","Full Time","(1b) general elementary school","14","","",""
"Yes, every week","2005","Full Time","(1c) basic vocational qualification","108","0.0714891795820914","0.0589393361489208","0.084039023015262"
"Yes, every week","2005","Full Time","(2b) intermediate general qualification","13","","",""
"Yes, every week","2005","Full Time","(2a) intermediate vocational","98","0.048482763932596","0.0393226020436206","0.0576429258215713"
"Yes, every week","2005","Full Time","(2c_gen) general maturity certificate","12","","",""
"Yes, every week","2005","Full Time","(2c_voc) vocational maturity certificate","24","","",""
"Yes, every week","2005","Full Time","(3a) lower tertiary education","47","0.0578032571309664","0.0414987498285576","0.0741077644333751"
"Yes, every week","2005","Full Time","(3b) higher tertiary education","161","0.134118016375621","0.115699352305055","0.152536680446186"
"Yes, every week","2005","Part Time","(0) in school","8","","",""
"Yes, every week","2005","Part Time","(1a) inadequately completed","1","","",""
"Yes, every week","2005","Part Time","(1b) general elementary school","14","","",""
"Yes, every week","2005","Part Time","(1c) basic vocational qualification","27","","",""
"Yes, every week","2005","Part Time","(2b) intermediate general qualification","6","","",""
"Yes, every week","2005","Part Time","(2a) intermediate vocational","27","","",""
"Yes, every week","2005","Part Time","(2c_gen) general maturity certificate","15","","",""
"Yes, every week","2005","Part Time","(2c_voc) vocational maturity certificate","7","","",""
"Yes, every week","2005","Part Time","(3a) lower tertiary education","14","","",""
"Yes, every week","2005","Part Time","(3b) higher tertiary education","31","0.053689982406908","0.0325322950195719","0.0748476697942441"
"Yes, every week","2005","Not Working","(0) in school","","","",""
"Yes, every week","2005","Not Working","(1a) inadequately completed","1","","",""
"Yes, every week","2005","Not Working","(1b) general elementary school","1","","",""
"Yes, every week","2005","Not Working","(1c) basic vocational qualification","1","","",""
"Yes, every week","2005","Not Working","(2b) intermediate general qualification","","","",""
"Yes, every week","2005","Not Working","(2a) intermediate vocational","3","","",""
"Yes, every week","2005","Not Working","(2c_gen) general maturity certificate","2","","",""
"Yes, every week","2005","Not Working","(2c_voc) vocational maturity certificate","2","","",""
"Yes, every week","2005","Not Working","(3a) lower tertiary education","","","",""
