"plb0219","year","e11103","regtyp","n","percent","lower_confidence","upper_confidence"
"No, never","2005","Full Time","Urban Area","2963","0.583898926021947","0.570199350274872","0.597598501769022"
"No, never","2005","Full Time","Rural Area","1291","0.54400736348491","0.523823035992926","0.564191690976894"
"No, never","2005","Part Time","Urban Area","1693","0.703569769840618","0.685276099483043","0.721863440198194"
"No, never","2005","Part Time","Rural Area","742","0.696377125400086","0.668630424442737","0.724123826357435"
"No, never","2005","Not Working","Urban Area","71","0.709649191270364","0.616894143494543","0.802404239046185"
"No, never","2005","Not Working","Rural Area","57","0.798982839595528","0.70828378669612","0.889681892494936"
"Yes, every week","2005","Full Time","Urban Area","301","0.0556306876120245","0.0492602831275997","0.0620010920964493"
"Yes, every week","2005","Full Time","Rural Area","181","0.0853101876142005","0.0739895640426875","0.0966308111857135"
"Yes, every week","2005","Part Time","Urban Area","108","0.0518287569784033","0.042948719385552","0.0607087945712547"
"Yes, every week","2005","Part Time","Rural Area","46","0.0585961260279304","0.0444236965708711","0.0727685554849897"
"Yes, every week","2005","Not Working","Urban Area","7","","",""
"Yes, every week","2005","Not Working","Rural Area","4","","",""
"Yes, every 2 weeks","2005","Full Time","Urban Area","398","0.0955669040106776","0.0873957980400066","0.103738009981348"
"Yes, every 2 weeks","2005","Full Time","Rural Area","221","0.0987901417455305","0.086698013311725","0.110882270179336"
"Yes, every 2 weeks","2005","Part Time","Urban Area","208","0.0877139236650536","0.0763824652186572","0.09904538211145"
"Yes, every 2 weeks","2005","Part Time","Rural Area","83","0.0764653540516053","0.060429916704146","0.0925007913990646"
"Yes, every 2 weeks","2005","Not Working","Urban Area","4","","",""
"Yes, every 2 weeks","2005","Not Working","Rural Area","5","","",""
"Yes, every 3-4 weeks","2005","Full Time","Urban Area","283","0.0613431032459877","0.0546738813038427","0.0680123251881327"
"Yes, every 3-4 weeks","2005","Full Time","Rural Area","149","0.06693331893391","0.0568056265665978","0.0770610113012222"
"Yes, every 3-4 weeks","2005","Part Time","Urban Area","85","0.0391802792606908","0.0314081370996332","0.0469524214217483"
"Yes, every 3-4 weeks","2005","Part Time","Rural Area","47","0.0571859079453013","0.0431745765783981","0.0711972393122046"
"Yes, every 3-4 weeks","2005","Not Working","Urban Area","4","","",""
"Yes, every 3-4 weeks","2005","Not Working","Rural Area","2","","",""
"Rarely","2005","Full Time","Urban Area","1028","0.203560379109363","0.192369558978918","0.214751199239809"
"Rarely","2005","Full Time","Rural Area","497","0.204958988221449","0.188599819542896","0.221318156900001"
"Rarely","2005","Part Time","Urban Area","300","0.117707270255234","0.104798228298852","0.130616312211616"
"Rarely","2005","Part Time","Rural Area","137","0.111375486575077","0.0923920072727441","0.130358965877409"
"Rarely","2005","Not Working","Urban Area","6","","",""
"Rarely","2005","Not Working","Rural Area","7","","",""
"No, never","2006","Full Time","Urban Area","","","",""
"No, never","2006","Full Time","Rural Area","","","",""
"No, never","2006","Part Time","Urban Area","","","",""
"No, never","2006","Part Time","Rural Area","","","",""
"No, never","2006","Not Working","Urban Area","","","",""
"No, never","2006","Not Working","Rural Area","","","",""
"Yes, every week","2006","Full Time","Urban Area","","","",""
"Yes, every week","2006","Full Time","Rural Area","","","",""
"Yes, every week","2006","Part Time","Urban Area","","","",""
"Yes, every week","2006","Part Time","Rural Area","","","",""
"Yes, every week","2006","Not Working","Urban Area","","","",""
"Yes, every week","2006","Not Working","Rural Area","","","",""
"Yes, every 2 weeks","2006","Full Time","Urban Area","","","",""
"Yes, every 2 weeks","2006","Full Time","Rural Area","","","",""
"Yes, every 2 weeks","2006","Part Time","Urban Area","","","",""
"Yes, every 2 weeks","2006","Part Time","Rural Area","","","",""
"Yes, every 2 weeks","2006","Not Working","Urban Area","","","",""
"Yes, every 2 weeks","2006","Not Working","Rural Area","","","",""
"Yes, every 3-4 weeks","2006","Full Time","Urban Area","","","",""
"Yes, every 3-4 weeks","2006","Full Time","Rural Area","","","",""
"Yes, every 3-4 weeks","2006","Part Time","Urban Area","","","",""
"Yes, every 3-4 weeks","2006","Part Time","Rural Area","","","",""
"Yes, every 3-4 weeks","2006","Not Working","Urban Area","","","",""
"Yes, every 3-4 weeks","2006","Not Working","Rural Area","","","",""
"Rarely","2006","Full Time","Urban Area","","","",""
"Rarely","2006","Full Time","Rural Area","","","",""
"Rarely","2006","Part Time","Urban Area","","","",""
"Rarely","2006","Part Time","Rural Area","","","",""
"Rarely","2006","Not Working","Urban Area","","","",""
"Rarely","2006","Not Working","Rural Area","","","",""
"No, never","2007","Full Time","Urban Area","2826","0.581811805204929","0.567983796594379","0.595639813815479"
"No, never","2007","Full Time","Rural Area","1311","0.519893210158108","0.500194503404893","0.539591916911323"
"No, never","2007","Part Time","Urban Area","1698","0.6881315779304","0.669674546431291","0.706588609429508"
"No, never","2007","Part Time","Rural Area","793","0.696379185498329","0.669437689394142","0.723320681602516"
"No, never","2007","Not Working","Urban Area","93","0.681894253654227","0.601210261456789","0.762578245851664"
"No, never","2007","Not Working","Rural Area","62","0.775176500709175","0.68253151031822","0.86782149110013"
"Yes, every week","2007","Full Time","Urban Area","349","0.0650421046504227","0.0581289573276275","0.0719552519732178"
"Yes, every week","2007","Full Time","Rural Area","201","0.075023293284065","0.0646366509080176","0.0854099356601125"
"Yes, every week","2007","Part Time","Urban Area","111","0.0483972611038032","0.0398470144728774","0.056947507734729"
"Yes, every week","2007","Part Time","Rural Area","52","0.053988924507324","0.0407475369696604","0.0672303120449876"
"Yes, every week","2007","Not Working","Urban Area","8","","",""
"Yes, every week","2007","Not Working","Rural Area","6","","",""
"Yes, every 2 weeks","2007","Full Time","Urban Area","405","0.0858944670345316","0.0780391583498489","0.0937497757192143"
"Yes, every 2 weeks","2007","Full Time","Rural Area","266","0.115667786451263","0.103057479637883","0.128278093264643"
"Yes, every 2 weeks","2007","Part Time","Urban Area","181","0.0862861493892769","0.075099087094509","0.0974732116840449"
"Yes, every 2 weeks","2007","Part Time","Rural Area","83","0.0809173885063941","0.0649390634657017","0.0968957135470864"
"Yes, every 2 weeks","2007","Not Working","Urban Area","11","","",""
"Yes, every 2 weeks","2007","Not Working","Rural Area","1","","",""
"Yes, every 3-4 weeks","2007","Full Time","Urban Area","279","0.0566391099816019","0.0501590408936297","0.0631191790695742"
"Yes, every 3-4 weeks","2007","Full Time","Rural Area","161","0.0722029511227257","0.0619978882186924","0.082408014026759"
"Yes, every 3-4 weeks","2007","Part Time","Urban Area","102","0.047907892714987","0.0393987966906377","0.0564169887393364"
"Yes, every 3-4 weeks","2007","Part Time","Rural Area","47","0.0401917986575678","0.0286839538330505","0.051699643482085"
"Yes, every 3-4 weeks","2007","Not Working","Urban Area","4","","",""
"Yes, every 3-4 weeks","2007","Not Working","Rural Area","1","","",""
"Rarely","2007","Full Time","Urban Area","1029","0.210612513128515","0.199181895518221","0.222043130738808"
"Rarely","2007","Full Time","Rural Area","532","0.217212758983838","0.200954417036932","0.233471100930745"
"Rarely","2007","Part Time","Urban Area","328","0.129277118861533","0.115909895072397","0.142644342650668"
"Rarely","2007","Part Time","Rural Area","144","0.128522702830385","0.108913903065571","0.148131502595199"
"Rarely","2007","Not Working","Urban Area","12","","",""
"Rarely","2007","Not Working","Rural Area","8","","",""
"No, never","2008","Full Time","Urban Area","","","",""
"No, never","2008","Full Time","Rural Area","","","",""
"No, never","2008","Part Time","Urban Area","","","",""
"No, never","2008","Part Time","Rural Area","","","",""
"No, never","2008","Not Working","Urban Area","","","",""
"No, never","2008","Not Working","Rural Area","","","",""
"Yes, every week","2008","Full Time","Urban Area","","","",""
"Yes, every week","2008","Full Time","Rural Area","","","",""
"Yes, every week","2008","Part Time","Urban Area","","","",""
"Yes, every week","2008","Part Time","Rural Area","","","",""
"Yes, every week","2008","Not Working","Urban Area","","","",""
"Yes, every week","2008","Not Working","Rural Area","","","",""
"Yes, every 2 weeks","2008","Full Time","Urban Area","","","",""
"Yes, every 2 weeks","2008","Full Time","Rural Area","","","",""
"Yes, every 2 weeks","2008","Part Time","Urban Area","","","",""
"Yes, every 2 weeks","2008","Part Time","Rural Area","","","",""
"Yes, every 2 weeks","2008","Not Working","Urban Area","","","",""
"Yes, every 2 weeks","2008","Not Working","Rural Area","","","",""
"Yes, every 3-4 weeks","2008","Full Time","Urban Area","","","",""
"Yes, every 3-4 weeks","2008","Full Time","Rural Area","","","",""
"Yes, every 3-4 weeks","2008","Part Time","Urban Area","","","",""
