"plb0219","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"No, never","2005","16-34 y.","1-pers.-HH","284","0.589317940026389","0.546495460708471","0.632140419344307"
"No, never","2005","16-34 y.","(Married) couple without C. ","492","0.636110912544061","0.601815334103636","0.670406490984486"
"No, never","2005","16-34 y.","Single parent ","120","0.64515733891554","0.576023620847831","0.714291056983248"
"No, never","2005","16-34 y.","Couple + C. LE 16 ","402","0.585712623050926","0.547608346602225","0.623816899499628"
"No, never","2005","16-34 y.","Couple + C. GT 16 ","472","0.738218658581486","0.704266529710671","0.772170787452302"
"No, never","2005","16-34 y.","Couple + C. LE and GT 16","161","0.75587415112325","0.69818556175926","0.813562740487239"
"No, never","2005","35-65 y.","1-pers.-HH","440","0.566311480537392","0.53121606798064","0.601406893094145"
"No, never","2005","35-65 y.","(Married) couple without C. ","1345","0.632364384561603","0.611892922723506","0.652835846399701"
"No, never","2005","35-65 y.","Single parent ","243","0.624688252900836","0.57606843233452","0.673308073467151"
"No, never","2005","35-65 y.","Couple + C. LE 16 ","1183","0.588808179385837","0.567270443187002","0.610345915584672"
"No, never","2005","35-65 y.","Couple + C. GT 16 ","957","0.638707410435508","0.61452614664154","0.662888674229477"
"No, never","2005","35-65 y.","Couple + C. LE and GT 16","473","0.579922295884764","0.545634365175817","0.614210226593711"
"No, never","2005","66 and older","1-pers.-HH","17","","",""
"No, never","2005","66 and older","(Married) couple without C. ","68","0.714009361093305","0.622168810529251","0.805849911657359"
"No, never","2005","66 and older","Single parent ","1","","",""
"No, never","2005","66 and older","Couple + C. LE 16 ","","","",""
"No, never","2005","66 and older","Couple + C. GT 16 ","5","","",""
"No, never","2005","66 and older","Couple + C. LE and GT 16","1","","",""
"Yes, every week","2005","16-34 y.","1-pers.-HH","31","0.0600925230270293","0.0394055531124633","0.0807794929415953"
"Yes, every week","2005","16-34 y.","(Married) couple without C. ","37","0.0491521638826252","0.0337417598408805","0.0645625679243699"
"Yes, every week","2005","16-34 y.","Single parent ","8","","",""
"Yes, every week","2005","16-34 y.","Couple + C. LE 16 ","48","0.074108212907454","0.0538456739354457","0.0943707518794623"
"Yes, every week","2005","16-34 y.","Couple + C. GT 16 ","25","","",""
"Yes, every week","2005","16-34 y.","Couple + C. LE and GT 16","16","","",""
"Yes, every week","2005","35-65 y.","1-pers.-HH","51","0.080898845621958","0.0615886566323957","0.10020903461152"
"Yes, every week","2005","35-65 y.","(Married) couple without C. ","132","0.0509330471923282","0.0415982557025627","0.0602678386820938"
"Yes, every week","2005","35-65 y.","Single parent ","15","","",""
"Yes, every week","2005","35-65 y.","Couple + C. LE 16 ","105","0.0575064691741249","0.0473161346015229","0.0676968037467268"
"Yes, every week","2005","35-65 y.","Couple + C. GT 16 ","93","0.0511652804875233","0.0400740059850624","0.0622565549899841"
"Yes, every week","2005","35-65 y.","Couple + C. LE and GT 16","54","0.0710444438922665","0.0531979016200111","0.0888909861645219"
"Yes, every week","2005","66 and older","1-pers.-HH","5","","",""
"Yes, every week","2005","66 and older","(Married) couple without C. ","7","","",""
"Yes, every week","2005","66 and older","Single parent ","","","",""
"Yes, every week","2005","66 and older","Couple + C. LE 16 ","","","",""
"Yes, every week","2005","66 and older","Couple + C. GT 16 ","2","","",""
"Yes, every week","2005","66 and older","Couple + C. LE and GT 16","","","",""
"Yes, every 2 weeks","2005","16-34 y.","1-pers.-HH","67","0.104366211977343","0.0777534894247045","0.130978934529981"
"Yes, every 2 weeks","2005","16-34 y.","(Married) couple without C. ","67","0.102642508280864","0.0810086705471471","0.12427634601458"
"Yes, every 2 weeks","2005","16-34 y.","Single parent ","23","","",""
"Yes, every 2 weeks","2005","16-34 y.","Couple + C. LE 16 ","58","0.115494867345083","0.0907712451833993","0.140218489506767"
