"year","bula_h","education","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","Baden-Württemberg","college entrance qualification","4.81","4.67","604","4.72","4.9","3","4","5.66666650772095","6.33333349227905"
"2005","Baden-Württemberg","lower secondary degree","4.68","4.67","858","4.6","4.76","3.33333325386047","4","5.33333349227905","6"
"2005","Baden-Württemberg","no degree/no degree yet","4.91","5","155","4.71","5.11","3.33333325386047","4.33333349227905","5.66666650772095","6.33333349227905"
"2005","Baden-Württemberg","Other degree","4.37","4.33","266","4.23","4.51","3","3.66666674613953","5","6"
"2005","Baden-Württemberg","secondary school degree","4.78","4.67","583","4.69","4.87","3.33333325386047","4","5.33333349227905","6.33333349227905"
"2005","Bavaria","college entrance qualification","4.84","5","710","4.76","4.92","3.33333325386047","4.33333349227905","5.66666650772095","6"
"2005","Bavaria","lower secondary degree","4.71","4.67","1186","4.65","4.77","3.33333325386047","4","5.66666650772095","6"
"2005","Bavaria","no degree/no degree yet","4.59","4.67","111","4.38","4.8","3.33333325386047","3.66666674613953","5","6"
"2005","Bavaria","Other degree","4.5","4.33","146","4.31","4.69","3","3.66666674613953","5","6.33333349227905"
"2005","Bavaria","secondary school degree","4.77","4.67","709","4.69","4.85","3.33333325386047","4.33333349227905","5.33333349227905","6"
"2005","Berlin","college entrance qualification","4.86","4.67","280","4.73","4.99","3.33333325386047","4.33333349227905","5.66666650772095","6.33333349227905"
"2005","Berlin","lower secondary degree","4.74","4.67","136","4.56","4.92","3.33333325386047","4","5.33333349227905","6"
"2005","Berlin","no degree/no degree yet","4.86","4.8","35","4.47","5.25","3.33333325386047","4.33333349227905","5.66666650772095","6.33333349227905"
"2005","Berlin","Other degree","5.1","5","32","4.69","5.51","3.66666674613953","4.33333349227905","6","6.33333349227905"
"2005","Berlin","secondary school degree","4.8","4.71","252","4.66","4.94","3.33333325386047","4","5.33333349227905","6.33333349227905"
"2005","Brandenburg","college entrance qualification","4.74","4.67","209","4.58","4.9","3.33333325386047","4","5.66666650772095","6"
"2005","Brandenburg","lower secondary degree","4.76","4.67","236","4.63","4.89","3.33333325386047","4","5.33333349227905","6"
"2005","Brandenburg","no degree/no degree yet","4.4","4.67","30","4.03","4.77","2.66666674613953","3.33333325386047","5.33333349227905","6.33333349227905"
"2005","Brandenburg","Other degree","","","","","","","","",""
"2005","Brandenburg","secondary school degree","4.8","4.67","387","4.69","4.91","3.33333325386047","4","5.66666650772095","6.33333349227905"
