"year","bula_h","sampreg","mean","median","n","ptile10","ptile25","ptile75","ptile90","ptile99","lowerci_mean","upperci_mean","min","max","lowerci_median","upperci_median"
"2005","Baden-Württemberg","East Germany","","","","","","","","","","","","","",""
"2005","Baden-Württemberg","West Germany","4.71","4.67","2523","3.33","4","5.67","6.33","7","4.67","4.75","1","7","4.66666650772095","5"
"2005","Bavaria","East Germany","","","","","","","","","","","","","",""
"2005","Bavaria","West Germany","4.73","4.67","2906","3.33","4","5.67","6","7","4.69","4.77","1","7","4.66666650772095","4.66666650772095"
"2005","Berlin","East Germany","4.77","4.67","344","3.33","4","5.67","6","7","4.65","4.89","2","7","4.66666650772095","5"
"2005","Berlin","West Germany","4.91","5","415","3.33","4.33","5.67","6.33","7","4.8","5.02","1.67","7","4.66666650772095","5"
"2005","Brandenburg","East Germany","4.77","4.67","888","3.33","4","5.67","6.33","7","4.7","4.84","1","7","4.66666650772095","5"
"2005","Brandenburg","West Germany","","","","","","","","","","","","","",""
"2005","Bremen","East Germany","","","","","","","","","","","","","",""
"2005","Bremen","West Germany","4.93","5","147","3.33","4","5.67","6.67","7","4.75","5.11","2.33","7","5","5.33333349227905"
"2005","Hamburg","East Germany","","","","","","","","","","","","","",""
"2005","Hamburg","West Germany","4.89","5","292","3.33","4","5.67","6.33","7","4.77","5.01","1.67","7","4.66666650772095","5"
"2005","Hesse","East Germany","","","","","","","","","","","","","",""
"2005","Hesse","West Germany","4.86","5","1369","3.33","4","5.67","6.33","7","4.8","4.92","1","7","4.66666650772095","5"
"2005","Lower Saxony","East Germany","","","","","","","","","","","","","",""
"2005","Lower Saxony","West Germany","4.81","5","1791","3.33","4","5.67","6.33","7","4.76","4.86","1","7","4.66666650772095","5"
"2005","Mecklenburg-Western Pomerania","East Germany","4.84","5","505","3.33","4","5.67","6.33","7","4.74","4.94","1.67","7","4.66666650772095","5"
"2005","Mecklenburg-Western Pomerania","West Germany","","","","","","","","","","","","","",""
"2005","North Rhine-Westphalia","East Germany","","","","","","","","","","","","","",""
"2005","North Rhine-Westphalia","West Germany","4.85","5","4363","3.33","4","5.67","6.33","7","4.82","4.88","1","7","5","5"
"2005","Rhineland-Palatinate,Saarland","East Germany","","","","","","","","","","","","","",""
"2005","Rhineland-Palatinate,Saarland","West Germany","4.84","5","1237","3.33","4","5.67","6.33","7","4.77","4.91","1","7","4.66666650772095","5"
"2005","Saxony","East Germany","4.77","4.67","1525","3.33","4","5.67","6.33","7","4.71","4.83","1","7","4.66666650772095","5"
"2005","Saxony","West Germany","","","","","","","","","","","","","",""
"2005","Saxony-Anhalt","East Germany","4.9","5","895","3.33","4.33","5.67","6.33","7","4.83","4.97","1","7","5","5"
"2005","Saxony-Anhalt","West Germany","","","","","","","","","","","","","",""
"2005","Schleswig-Holstein","East Germany","","","","","","","","","","","","","",""
"2005","Schleswig-Holstein","West Germany","4.74","4.67","649","3.33","4","5.33","6","7","4.66","4.82","1","7","4.66666650772095","5"
"2005","Thuringia","East Germany","4.84","4.67","892","3.33","4","5.67","6.33","7","4.77","4.91","1.33","7","4.66666650772095","5"
"2005","Thuringia","West Germany","","","","","","","","","","","","","",""
"2006","Baden-Württemberg","East Germany","","","","","","","","","","","","","",""
"2006","Baden-Württemberg","West Germany","","","","","","","","","","","","","",""
"2006","Bavaria","East Germany","","","","","","","","","","","","","",""
"2006","Bavaria","West Germany","","","","","","","","","","","","","",""
"2006","Berlin","East Germany","","","","","","","","","","","","","",""
"2006","Berlin","West Germany","","","","","","","","","","","","","",""
