"year","age_gr","sampreg","mean","median","n","lowerci_mean","upperci_mean","ptile10","ptile25","ptile75","ptile90"
"2005","16-34 y.","Ostdeutschland, neue Bundeslaender","4.88","5","1352","4.82","4.94","3","4","5.66666650772095","6.66666650772095"
"2005","16-34 y.","Westdeutschland, alte Bundeslaender","4.97","5","3975","4.93","5.01","3.33333325386047","4.33333349227905","5.66666650772095","6.33333349227905"
"2005","35-65 y.","Ostdeutschland, neue Bundeslaender","4.82","5","2732","4.78","4.86","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2005","35-65 y.","Westdeutschland, alte Bundeslaender","4.8","4.67","8890","4.78","4.82","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2005","66 and older","Ostdeutschland, neue Bundeslaender","4.7","4.67","965","4.63","4.77","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2005","66 and older","Westdeutschland, alte Bundeslaender","4.61","4.67","2827","4.57","4.65","3","4","5.33333349227905","6"
"2006","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2006","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2006","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2007","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2007","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2008","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2008","66 and older","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2009","16-34 y.","Ostdeutschland, neue Bundeslaender","4.85","5","1040","4.78","4.92","3","4","5.66666650772095","6.33333349227905"
"2009","16-34 y.","Westdeutschland, alte Bundeslaender","4.94","5","2956","4.9","4.98","3.33333325386047","4","6","6.33333349227905"
"2009","35-65 y.","Ostdeutschland, neue Bundeslaender","4.66","4.67","2390","4.62","4.7","3.33333325386047","4","5.33333349227905","6"
"2009","35-65 y.","Westdeutschland, alte Bundeslaender","4.73","4.67","7488","4.7","4.76","3.33333325386047","4","5.66666650772095","6.33333349227905"
"2009","66 and older","Ostdeutschland, neue Bundeslaender","4.59","4.67","1123","4.53","4.65","3","4","5.33333349227905","6"
"2009","66 and older","Westdeutschland, alte Bundeslaender","4.52","4.67","3046","4.48","4.56","3","4","5.33333349227905","6"
"2010","16-34 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","16-34 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","35-65 y.","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
"2010","35-65 y.","Westdeutschland, alte Bundeslaender","","","","","","","","",""
"2010","66 and older","Ostdeutschland, neue Bundeslaender","","","","","","","","",""
