"plh0106","year","age_gr","e11103","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","16-34 y.","Full Time","836","0.592899655488116","0.567310391286015","0.618488919690216","2"
"Important","1990","16-34 y.","Part Time","350","0.561127416692195","0.5220656199179","0.600189213466489","2"
"Important","1990","16-34 y.","Not Working","272","0.467276998820894","0.426567279257468","0.50798671838432","2"
"Important","1990","35-65 y.","Not Working","508","0.482017258912254","0.451531488020093","0.512503029804415","2"
"Important","1990","66 and older","Part Time","9","","","","2"
"Important","1990","35-65 y.","Part Time","386","0.552541922598858","0.515306044602994","0.589777800594723","2"
"Important","1990","35-65 y.","Full Time","970","0.551752233620073","0.528471950907202","0.575032516332944","2"
"Important","1990","66 and older","Full Time","3","","","","2"
"Important","1990","66 and older","Not Working","413","0.42668441701283","0.395623170750329","0.457745663275331","2"
"Less important","1990","16-34 y.","Part Time","87","0.136462074967026","0.10944122914296","0.163482920791093","3"
"Less important","1990","35-65 y.","Part Time","183","0.257150475004162","0.224420407900325","0.289880542107998","3"
"Less important","1990","16-34 y.","Full Time","186","0.123427738507779","0.106295397426502","0.140560079589056","3"
"Less important","1990","35-65 y.","Full Time","445","0.256341947581928","0.235903231293943","0.276780663869912","3"
"Less important","1990","16-34 y.","Not Working","98","0.170490636694522","0.139805992125821","0.201175281263223","3"
"Less important","1990","66 and older","Part Time","14","","","","3"
"Less important","1990","66 and older","Not Working","366","0.370720688414356","0.340387801149165","0.401053575679547","3"
"Less important","1990","35-65 y.","Not Working","332","0.323722762493021","0.295175974726389","0.352269550259653","3"
"Less important","1990","66 and older","Full Time","5","","","","3"
"Quite unimportant","1990","16-34 y.","Part Time","4","","","","4"
"Quite unimportant","1990","16-34 y.","Not Working","8","","","","4"
"Quite unimportant","1990","35-65 y.","Full Time","49","0.0289260914751831","0.0210804555074277","0.0367717274429385","4"
"Quite unimportant","1990","35-65 y.","Part Time","27","","","","4"
"Quite unimportant","1990","66 and older","Part Time","3","","","","4"
"Quite unimportant","1990","16-34 y.","Full Time","8","","","","4"
"Quite unimportant","1990","35-65 y.","Not Working","71","0.0707579270949862","0.0551134797613521","0.0864023744286202","4"
"Quite unimportant","1990","66 and older","Not Working","146","0.15482342109975","0.132105914167452","0.177540928032048","4"
"Quite unimportant","1990","66 and older","Full Time","1","","","","4"
"Very important","1990","16-34 y.","Full Time","386","0.279331883624831","0.255962655203184","0.302701112046478","1"
"Very important","1990","16-34 y.","Part Time","179","0.296700740624507","0.260743890363648","0.332657590885366","1"
"Very important","1990","16-34 y.","Not Working","199","0.349671782694738","0.310762181693315","0.388581383696162","1"
"Very important","1990","35-65 y.","Full Time","289","0.162979727322816","0.145689849882344","0.180269604763288","1"
"Very important","1990","35-65 y.","Part Time","89","0.147913269727297","0.121327558996001","0.174498980458594","1"
"Very important","1990","35-65 y.","Not Working","121","0.123502051499739","0.103428658830255","0.143575444169223","1"
"Very important","1990","66 and older","Full Time","5","","","","1"
"Very important","1990","66 and older","Part Time","3","","","","1"
"Very important","1990","66 and older","Not Working","49","0.0477714734730639","0.0343770654320457","0.0611658815140822","1"
"Important","1991","66 and older","Part Time","","","","","2"
"Important","1991","16-34 y.","Full Time","","","","","2"
"Important","1991","16-34 y.","Part Time","","","","","2"
"Important","1991","16-34 y.","Not Working","","","","","2"
"Important","1991","35-65 y.","Full Time","","","","","2"
"Important","1991","35-65 y.","Part Time","","","","","2"
"Important","1991","35-65 y.","Not Working","","","","","2"
"Important","1991","66 and older","Full Time","","","","","2"
"Important","1991","66 and older","Not Working","","","","","2"
"Less important","1991","16-34 y.","Part Time","","","","","3"
"Less important","1991","16-34 y.","Full Time","","","","","3"
"Less important","1991","35-65 y.","Full Time","","","","","3"
"Less important","1991","35-65 y.","Part Time","","","","","3"
"Less important","1991","66 and older","Part Time","","","","","3"
"Less important","1991","66 and older","Not Working","","","","","3"
"Less important","1991","16-34 y.","Not Working","","","","","3"
"Less important","1991","35-65 y.","Not Working","","","","","3"
"Less important","1991","66 and older","Full Time","","","","","3"
"Quite unimportant","1991","16-34 y.","Full Time","","","","","4"
"Quite unimportant","1991","16-34 y.","Not Working","","","","","4"
"Quite unimportant","1991","16-34 y.","Part Time","","","","","4"
"Quite unimportant","1991","35-65 y.","Full Time","","","","","4"
"Quite unimportant","1991","35-65 y.","Part Time","","","","","4"
"Quite unimportant","1991","66 and older","Part Time","","","","","4"
"Quite unimportant","1991","66 and older","Not Working","","","","","4"
"Quite unimportant","1991","35-65 y.","Not Working","","","","","4"
"Quite unimportant","1991","66 and older","Full Time","","","","","4"
"Very important","1991","16-34 y.","Full Time","","","","","1"
"Very important","1991","16-34 y.","Part Time","","","","","1"
"Very important","1991","16-34 y.","Not Working","","","","","1"
"Very important","1991","35-65 y.","Full Time","","","","","1"
"Very important","1991","35-65 y.","Part Time","","","","","1"
"Very important","1991","35-65 y.","Not Working","","","","","1"
"Very important","1991","66 and older","Full Time","","","","","1"
"Very important","1991","66 and older","Part Time","","","","","1"
"Very important","1991","66 and older","Not Working","","","","","1"
"Important","1992","16-34 y.","Full Time","1211","0.570137938042354","0.549318322298476","0.590957553786231","2"
"Important","1992","66 and older","Part Time","10","","","","2"
"Important","1992","16-34 y.","Part Time","515","0.527025813757052","0.495377264437754","0.55867436307635","2"
"Important","1992","16-34 y.","Not Working","433","0.554143955736012","0.51987104102593","0.588416870446093","2"
"Important","1992","35-65 y.","Full Time","1725","0.529006631924765","0.511539210995632","0.546474052853898","2"
"Important","1992","35-65 y.","Part Time","630","0.548032666723374","0.519104253987342","0.576961079459406","2"
"Important","1992","35-65 y.","Not Working","587","0.437173067218559","0.410494457822101","0.463851676615016","2"
"Important","1992","66 and older","Full Time","4","","","","2"
"Important","1992","66 and older","Not Working","501","0.368484288771324","0.342799262696903","0.394169314845744","2"
"Less important","1992","16-34 y.","Full Time","277","0.123800868211832","0.109949858460864","0.1376518779628","3"
"Less important","1992","16-34 y.","Part Time","157","0.157615935736809","0.134517940977649","0.180713930495969","3"
"Less important","1992","16-34 y.","Not Working","107","0.138512756928092","0.114694404184668","0.162331109671515","3"
"Less important","1992","35-65 y.","Full Time","710","0.246959688076667","0.231868863230752","0.262050512922581","3"
"Less important","1992","35-65 y.","Part Time","279","0.247221974886726","0.222146748608753","0.2722972011647","3"
"Less important","1992","66 and older","Part Time","6","","","","3"
