"plh0106","year","n","percent","lower_confidence","upper_confidence"
"Very important","1990","1320","0.178690272605374","0.169779346225839","0.187601198984908"
"Important","1990","3747","0.519304600468705","0.507683025595808","0.530926175341603"
"Less important","1990","1716","0.249890429940864","0.239819812882647","0.259961046999081"
"Quite unimportant","1990","317","0.0521146969850577","0.0469448591576982","0.0572845348124171"
"Very important","1991","","","",""
"Important","1991","","","",""
"Less important","1991","","","",""
"Quite unimportant","1991","","","",""
"Very important","1992","2231","0.185166496843882","0.177882780706667","0.192450212981096"
"Important","1992","5616","0.497580397959514","0.488204728510573","0.506956067408455"
"Less important","1992","2520","0.24933678384601","0.241224313684533","0.257449254007486"
"Quite unimportant","1992","558","0.0679163213505949","0.0631983869600893","0.0726342557411005"
"Very important","1993","","","",""
"Important","1993","","","",""
"Less important","1993","","","",""
"Quite unimportant","1993","","","",""
"Very important","1994","","","",""
"Important","1994","","","",""
"Less important","1994","","","",""
"Quite unimportant","1994","","","",""
"Very important","1995","2295","0.187341639073772","0.180112529543737","0.194570748603807"
"Important","1995","6047","0.513313755640385","0.504053358116005","0.522574153164764"
"Less important","1995","2388","0.240227526532352","0.232312236999911","0.248142816064793"
"Quite unimportant","1995","461","0.0591170787534917","0.0547475166268544","0.0634866408801289"
"Very important","1996","","","",""
"Important","1996","","","",""
"Less important","1996","","","",""
"Quite unimportant","1996","","","",""
"Very important","1997","","","",""
"Important","1997","","","",""
"Less important","1997","","","",""
"Quite unimportant","1997","","","",""
"Very important","1998","","","",""
"Important","1998","","","",""
"Less important","1998","","","",""
"Quite unimportant","1998","","","",""
"Very important","1999","","","",""
"Important","1999","","","",""
"Less important","1999","","","",""
"Quite unimportant","1999","","","",""
"Very important","2000","","","",""
"Important","2000","","","",""
"Less important","2000","","","",""
"Quite unimportant","2000","","","",""
"Very important","2001","","","",""
"Important","2001","","","",""
"Less important","2001","","","",""
"Quite unimportant","2001","","","",""
"Very important","2002","","","",""
"Important","2002","","","",""
"Less important","2002","","","",""
"Quite unimportant","2002","","","",""
"Very important","2003","","","",""
"Important","2003","","","",""
"Less important","2003","","","",""
"Quite unimportant","2003","","","",""
"Very important","2004","3818","0.17240427364835","0.167357895147586","0.177450652149114"
"Important","2004","11376","0.518602240288587","0.511927015197258","0.525277465379915"
"Less important","2004","5498","0.261600674035166","0.255729002359418","0.267472345710914"
"Quite unimportant","2004","831","0.0473928120278975","0.0445541750600838","0.0502314489957112"
"Very important","2005","","","",""
"Important","2005","","","",""
"Less important","2005","","","",""
"Quite unimportant","2005","","","",""
"Very important","2006","","","",""
"Important","2006","","","",""
"Less important","2006","","","",""
"Quite unimportant","2006","","","",""
"Very important","2007","","","",""
"Important","2007","","","",""
"Less important","2007","","","",""
"Quite unimportant","2007","","","",""
"Very important","2008","2945","0.154600754912331","0.149499539221223","0.159701970603439"
"Important","2008","9903","0.504462690640753","0.497407810184677","0.51151757109683"
"Less important","2008","5425","0.278591489904465","0.272265747430143","0.284917232378787"
"Quite unimportant","2008","1021","0.0623450645424512","0.0589334534694128","0.0657566756154896"
"Very important","2009","","","",""
"Important","2009","","","",""
"Less important","2009","","","",""
"Quite unimportant","2009","","","",""
"Very important","2010","1525","0.21818265898051","0.208702463195011","0.227662854766008"
"Important","2010","4021","0.553676272272745","0.542265698428656","0.565086846116833"
"Less important","2010","1605","0.209794047775862","0.200448144728739","0.219139950822985"
"Quite unimportant","2010","140","0.0183470209708836","0.0152665557135016","0.0214274862282656"
"Very important","2011","","","",""
"Important","2011","","","",""
"Less important","2011","","","",""
"Quite unimportant","2011","","","",""
"Very important","2012","5013","0.180407914614089","0.175868872048129","0.184946957180049"
"Important","2012","14800","0.52087180403647","0.514974834648748","0.526768773424192"
"Less important","2012","6835","0.257106394443494","0.251947491784643","0.262265297102344"
"Quite unimportant","2012","921","0.0416138869059478","0.0392565210891756","0.04397125272272"
"Very important","2013","","","",""
"Important","2013","","","",""
"Less important","2013","","","",""
"Quite unimportant","2013","","","",""
"Very important","2014","","","",""
"Important","2014","","","",""
"Less important","2014","","","",""
"Quite unimportant","2014","","","",""
"Very important","2015","","","",""
"Important","2015","","","",""
"Less important","2015","","","",""
"Quite unimportant","2015","","","",""
"Very important","2016","4380","0.176356910848623","0.171561622079261","0.181152199617985"
"Important","2016","12848","0.521628365588526","0.515343263964736","0.527913467212316"
"Less important","2016","6291","0.26616302225545","0.260602409520809","0.271723634990092"
"Quite unimportant","2016","747","0.0358517013074009","0.0335124558285724","0.0381909467862295"
