"plh0106","year","bula_h","e11102","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Schleswig-Holstein","Not Employed","15","","",""
"Very important","1990","Schleswig-Holstein","Employed","32","0.195612658912928","0.133955910063303","0.257269407762553"
"Very important","1990","Hamburg","Not Employed","5","","",""
"Very important","1990","Hamburg","Employed","15","","",""
"Very important","1990","Lower Saxony","Not Employed","42","0.112508296144055","0.0777232258954059","0.147293366392705"
"Very important","1990","Lower Saxony","Employed","95","0.164078324098821","0.132459101894761","0.195697546302881"
"Very important","1990","Bremen","Not Employed","12","","",""
"Very important","1990","Bremen","Employed","9","","",""
"Very important","1990","North Rhine-Westphalia","Not Employed","114","0.145206772836211","0.119925283759764","0.170488261912658"
"Very important","1990","North Rhine-Westphalia","Employed","258","0.219748316934211","0.196132483445178","0.243364150423244"
"Very important","1990","Hesse","Not Employed","35","0.13482640351697","0.0917955944748428","0.177857212559097"
"Very important","1990","Hesse","Employed","80","0.20370625458364","0.164910272097994","0.242502237069286"
"Very important","1990","Rhineland-Palatinate,Saarland","Not Employed","32","0.122580990817372","0.0801972528217536","0.16496472881299"
"Very important","1990","Rhineland-Palatinate,Saarland","Employed","70","0.223403227069495","0.178048965773006","0.268757488365983"
"Very important","1990","Baden-Württemberg","Not Employed","46","0.106353193210162","0.0749404799596077","0.137765906460716"
"Very important","1990","Baden-Württemberg","Employed","178","0.229830884041377","0.200361948187902","0.259299819894853"
"Very important","1990","Bavaria","Not Employed","59","0.123406655208104","0.0917243848451658","0.155088925571042"
"Very important","1990","Bavaria","Employed","178","0.216083644144278","0.18844771285518","0.243719575433376"
"Very important","1990","Berlin","Not Employed","9","","",""
"Very important","1990","Berlin","Employed","36","0.214783316100782","0.151348135010086","0.278218497191479"
"Very important","1990","Brandenburg","Not Employed","","","",""
"Very important","1990","Brandenburg","Employed","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Very important","1990","Mecklenburg-Western Pomerania","Employed","","","",""
"Very important","1990","Saxony","Not Employed","","","",""
"Very important","1990","Saxony","Employed","","","",""
"Very important","1990","Saxony-Anhalt","Not Employed","","","",""
"Very important","1990","Saxony-Anhalt","Employed","","","",""
"Very important","1990","Thuringia","Not Employed","","","",""
"Very important","1990","Thuringia","Employed","","","",""
"Important","1990","Schleswig-Holstein","Not Employed","43","0.409063460166331","0.309671803280547","0.508455117052114"
"Important","1990","Schleswig-Holstein","Employed","87","0.534438678111423","0.456905619697038","0.611971736525807"
"Important","1990","Hamburg","Not Employed","24","","",""
"Important","1990","Hamburg","Employed","50","0.663300738527176","0.558424497738748","0.768176979315604"
"Important","1990","Lower Saxony","Not Employed","160","0.501229604683761","0.446188498818169","0.556270710549353"
"Important","1990","Lower Saxony","Employed","318","0.620320957423039","0.578886722577132","0.661755192268946"
"Important","1990","Bremen","Not Employed","19","","",""
"Important","1990","Bremen","Employed","19","","",""
"Important","1990","North Rhine-Westphalia","Not Employed","373","0.499889277256844","0.464009588175446","0.535768966338243"
"Important","1990","North Rhine-Westphalia","Employed","654","0.549738551298056","0.521363698237983","0.57811340435813"
"Important","1990","Hesse","Not Employed","104","0.430436763905176","0.368053791895269","0.492819735915083"
"Important","1990","Hesse","Employed","245","0.576365127119322","0.52876669799203","0.623963556246615"
"Important","1990","Rhineland-Palatinate,Saarland","Not Employed","105","0.451859661176564","0.387541763395805","0.516177558957322"
"Important","1990","Rhineland-Palatinate,Saarland","Employed","190","0.563987593541886","0.509991817827152","0.617983369256621"
"Important","1990","Baden-Württemberg","Not Employed","164","0.439370362084187","0.388799467690409","0.489941256477964"
"Important","1990","Baden-Württemberg","Employed","430","0.549534716898478","0.514685306080975","0.58438412771598"
"Important","1990","Bavaria","Not Employed","166","0.386847782809543","0.33993381905149","0.433761746567595"
"Important","1990","Bavaria","Employed","474","0.551420573631094","0.518024958135755","0.584816189126432"
"Important","1990","Berlin","Not Employed","35","0.45229480642349","0.337329692819349","0.56725992002763"
"Important","1990","Berlin","Employed","87","0.534538244783203","0.457489326466968","0.611587163099439"
"Important","1990","Brandenburg","Not Employed","","","",""
"Important","1990","Brandenburg","Employed","","","",""
"Important","1990","Mecklenburg-Western Pomerania","Not Employed","","","",""
"Important","1990","Mecklenburg-Western Pomerania","Employed","","","",""
"Important","1990","Saxony","Not Employed","","","",""
"Important","1990","Saxony","Employed","","","",""
"Important","1990","Saxony-Anhalt","Not Employed","","","",""
"Important","1990","Saxony-Anhalt","Employed","","","",""
"Important","1990","Thuringia","Not Employed","","","",""
"Important","1990","Thuringia","Employed","","","",""
"Less important","1990","Schleswig-Holstein","Not Employed","28","","",""
"Less important","1990","Schleswig-Holstein","Employed","36","0.238996214801046","0.172707675586719","0.305284754015374"
"Less important","1990","Hamburg","Not Employed","18","","",""
"Less important","1990","Hamburg","Employed","12","","",""
"Less important","1990","Lower Saxony","Not Employed","95","0.314823484522188","0.263696137827365","0.365950831217011"
"Less important","1990","Lower Saxony","Employed","101","0.186342614776133","0.153098125808327","0.219587103743939"
"Less important","1990","Bremen","Not Employed","13","","",""
"Less important","1990","Bremen","Employed","9","","",""
