"plh0106","year","e11102","e11103","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","Not Employed","Full Time","","","","","2"
"Important","1990","Not Employed","Part Time","","","","","2"
"Important","1990","Employed","Full Time","1809","0.567670458266361","0.550460279757134","0.584880636775587","2"
"Important","1990","Not Employed","Not Working","1193","0.454426927746637","0.435225019929217","0.473628835564057","2"
"Important","1990","Employed","Part Time","745","0.550409424204342","0.523714929385271","0.577103919023412","2"
"Important","1990","Employed","Not Working","","","","","2"
"Less important","1990","Employed","Full Time","636","0.202103879269354","0.188153363212055","0.216054395326653","3"
"Less important","1990","Not Employed","Part Time","","","","","3"
"Less important","1990","Not Employed","Full Time","","","","","3"
"Less important","1990","Not Employed","Not Working","796","0.317566813576284","0.299613959009567","0.335519668143002","3"
"Less important","1990","Employed","Part Time","284","0.210951263848772","0.189057866647182","0.232844661050361","3"
"Less important","1990","Employed","Not Working","","","","","3"
"Quite unimportant","1990","Not Employed","Full Time","","","","","4"
"Quite unimportant","1990","Not Employed","Part Time","","","","","4"
"Quite unimportant","1990","Not Employed","Not Working","225","0.0982877173499558","0.0868069873046134","0.109768447395298","4"
"Quite unimportant","1990","Employed","Full Time","58","0.0187867872854487","0.0140700930391532","0.0235034815317441","4"
"Quite unimportant","1990","Employed","Part Time","34","0.0273136815459675","0.0185669318082597","0.0360604312836754","4"
"Quite unimportant","1990","Employed","Not Working","","","","","4"
"Very important","1990","Not Employed","Full Time","","","","","1"
"Very important","1990","Not Employed","Part Time","","","","","1"
"Very important","1990","Not Employed","Not Working","369","0.129718541327123","0.11676117367397","0.142675908980276","1"
"Very important","1990","Employed","Full Time","680","0.211438875178837","0.197253531144981","0.225624219212693","1"
"Very important","1990","Employed","Part Time","271","0.211325630400919","0.189418014071142","0.233233246730696","1"
"Very important","1990","Employed","Not Working","","","","","1"
"Important","1991","Not Employed","Part Time","","","","","2"
"Important","1991","Not Employed","Full Time","","","","","2"
"Important","1991","Not Employed","Not Working","","","","","2"
"Important","1991","Employed","Full Time","","","","","2"
"Important","1991","Employed","Part Time","","","","","2"
"Important","1991","Employed","Not Working","","","","","2"
"Less important","1991","Not Employed","Full Time","","","","","3"
"Less important","1991","Not Employed","Part Time","","","","","3"
"Less important","1991","Not Employed","Not Working","","","","","3"
"Less important","1991","Employed","Full Time","","","","","3"
"Less important","1991","Employed","Part Time","","","","","3"
"Less important","1991","Employed","Not Working","","","","","3"
"Quite unimportant","1991","Not Employed","Part Time","","","","","4"
"Quite unimportant","1991","Not Employed","Full Time","","","","","4"
"Quite unimportant","1991","Not Employed","Not Working","","","","","4"
"Quite unimportant","1991","Employed","Full Time","","","","","4"
"Quite unimportant","1991","Employed","Part Time","","","","","4"
"Quite unimportant","1991","Employed","Not Working","","","","","4"
"Very important","1991","Not Employed","Full Time","","","","","1"
"Very important","1991","Not Employed","Part Time","","","","","1"
"Very important","1991","Not Employed","Not Working","","","","","1"
"Very important","1991","Employed","Full Time","","","","","1"
"Very important","1991","Employed","Part Time","","","","","1"
"Very important","1991","Employed","Not Working","","","","","1"
"Important","1992","Not Employed","Part Time","","","","","2"
"Important","1992","Not Employed","Full Time","","","","","2"
"Important","1992","Not Employed","Not Working","1521","0.423972173539807","0.407578979661319","0.440365367418296","2"
"Important","1992","Employed","Full Time","2940","0.544746395407821","0.531362029419015","0.558130761396628","2"
"Important","1992","Employed","Part Time","1155","0.537689388055089","0.516446042033136","0.558932734077042","2"
"Important","1992","Employed","Not Working","","","","","2"
"Less important","1992","Not Employed","Full Time","","","","","3"
