"plh0106","year","age_gr","sex","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","16-34 y.","Male","727","0.549032180505911","0.522178898688776","0.575885462323045","2"
"Important","1990","16-34 y.","Female","731","0.566579563405976","0.539579418298945","0.593579708513008","2"
"Important","1990","35-65 y.","Female","958","0.531187262676209","0.508011199882071","0.554363325470347","2"
"Important","1990","35-65 y.","Male","906","0.530431956489222","0.506630837623544","0.5542330753549","2"
"Important","1990","66 and older","Male","167","0.435932042945145","0.387214916233062","0.484649169657229","2"
"Important","1990","66 and older","Female","258","0.416243489903668","0.377411257154714","0.455075722652622","2"
"Less important","1990","35-65 y.","Female","512","0.285735273709103","0.264754202327987","0.306716345090219","3"
"Less important","1990","16-34 y.","Female","207","0.157159398953962","0.137329346795206","0.176989451112717","3"
"Less important","1990","16-34 y.","Male","164","0.117744605019971","0.100350849431845","0.135138360608096","3"
"Less important","1990","35-65 y.","Male","448","0.267883650207466","0.246763528180444","0.289003772234488","3"
"Less important","1990","66 and older","Male","144","0.349675315098383","0.302825901206626","0.39652472899014","3"
"Less important","1990","66 and older","Female","241","0.386955898598401","0.348586997483946","0.425324799712857","3"
"Quite unimportant","1990","16-34 y.","Male","12","","","","4"
"Quite unimportant","1990","16-34 y.","Female","8","","","","4"
"Quite unimportant","1990","35-65 y.","Male","58","0.0372618620365991","0.0282291195085284","0.0462946045646698","4"
"Quite unimportant","1990","35-65 y.","Female","89","0.0509749603541225","0.0407600769162317","0.0611898437920133","4"
"Quite unimportant","1990","66 and older","Male","58","0.145011856394362","0.110418846007697","0.179604866781027","4"
"Quite unimportant","1990","66 and older","Female","92","0.155183557413375","0.126659795868055","0.183707318958695","4"
"Very important","1990","16-34 y.","Male","416","0.325174097884117","0.29989395424382","0.350454241524415","1"
"Very important","1990","16-34 y.","Female","348","0.271424985578976","0.247195566518407","0.295654404639545","1"
"Very important","1990","35-65 y.","Male","277","0.164422531266713","0.146745582975079","0.182099479558347","1"
"Very important","1990","35-65 y.","Female","222","0.132102503260565","0.116376952210143","0.147828054310988","1"
"Very important","1990","66 and older","Male","29","","","","1"
"Very important","1990","66 and older","Female","28","","","","1"
"Important","1991","16-34 y.","Female","","","","","2"
"Important","1991","16-34 y.","Male","","","","","2"
"Important","1991","35-65 y.","Male","","","","","2"
"Important","1991","35-65 y.","Female","","","","","2"
"Important","1991","66 and older","Male","","","","","2"
"Important","1991","66 and older","Female","","","","","2"
"Less important","1991","16-34 y.","Male","","","","","3"
"Less important","1991","16-34 y.","Female","","","","","3"
"Less important","1991","35-65 y.","Male","","","","","3"
"Less important","1991","35-65 y.","Female","","","","","3"
"Less important","1991","66 and older","Male","","","","","3"
"Less important","1991","66 and older","Female","","","","","3"
"Quite unimportant","1991","16-34 y.","Female","","","","","4"
"Quite unimportant","1991","16-34 y.","Male","","","","","4"
"Quite unimportant","1991","35-65 y.","Male","","","","","4"
"Quite unimportant","1991","35-65 y.","Female","","","","","4"
"Quite unimportant","1991","66 and older","Male","","","","","4"
"Quite unimportant","1991","66 and older","Female","","","","","4"
"Very important","1991","16-34 y.","Male","","","","","1"
"Very important","1991","16-34 y.","Female","","","","","1"
"Very important","1991","35-65 y.","Male","","","","","1"
"Very important","1991","35-65 y.","Female","","","","","1"
"Very important","1991","66 and older","Male","","","","","1"
"Very important","1991","66 and older","Female","","","","","1"
"Important","1992","16-34 y.","Female","1095","0.544062738147758","0.522262163705586","0.56586331258993","2"
"Important","1992","16-34 y.","Male","1064","0.56806029905856","0.545966737320764","0.590153860796356","2"
"Important","1992","35-65 y.","Male","1448","0.509829995998047","0.491094918967312","0.528565073028781","2"
"Important","1992","35-65 y.","Female","1494","0.506912770209529","0.488612279368531","0.525213261050528","2"
"Important","1992","66 and older","Male","195","0.368630449038425","0.32740241382967","0.40985848424718","2"
"Important","1992","66 and older","Female","320","0.371092060551783","0.33882340394961","0.403360717153957","2"
"Less important","1992","16-34 y.","Male","252","0.124632095962935","0.109899909299881","0.139364282625988","3"
"Less important","1992","16-34 y.","Female","289","0.14600055317042","0.130544558907807","0.161456547433033","3"
"Less important","1992","35-65 y.","Male","698","0.273730415541439","0.257020283472326","0.290440547610551","3"
"Less important","1992","35-65 y.","Female","770","0.281869510866187","0.26540078584095","0.298338235891423","3"
"Less important","1992","66 and older","Male","197","0.372403759271604","0.331089267574678","0.41371825096853","3"
"Less important","1992","66 and older","Female","314","0.358711380857614","0.326674822114722","0.390747939600506","3"
"Quite unimportant","1992","16-34 y.","Male","16","","","","4"
"Quite unimportant","1992","16-34 y.","Female","22","","","","4"
"Quite unimportant","1992","35-65 y.","Male","102","0.0448609445706982","0.0371031739508691","0.0526187151905273","4"
"Quite unimportant","1992","35-65 y.","Female","139","0.0570361096678847","0.0485471059579617","0.0655251133778077","4"
"Quite unimportant","1992","66 and older","Male","94","0.18604397606771","0.152788474984299","0.219299477151121","4"
"Quite unimportant","1992","66 and older","Female","185","0.228038996884018","0.200013794524879","0.256064199243158","4"
"Very important","1992","16-34 y.","Male","599","0.301601333652843","0.281130982928185","0.322071684377501","1"
"Very important","1992","16-34 y.","Female","599","0.298295010653645","0.278269150480551","0.318320870826739","1"
"Very important","1992","35-65 y.","Male","487","0.171578643889817","0.157449147452707","0.185708140326926","1"
"Very important","1992","35-65 y.","Female","464","0.154181609256399","0.140962898686516","0.167400319826283","1"
"Very important","1992","66 and older","Male","40","0.0729218156222605","0.0507019137661921","0.0951417174783289","1"
"Very important","1992","66 and older","Female","42","0.0421575617065839","0.0287351271550746","0.0555799962580932","1"
"Important","1993","16-34 y.","Male","","","","","2"
"Important","1993","16-34 y.","Female","","","","","2"
"Important","1993","35-65 y.","Male","","","","","2"
"Important","1993","35-65 y.","Female","","","","","2"
"Important","1993","66 and older","Male","","","","","2"
"Important","1993","66 and older","Female","","","","","2"
"Less important","1993","16-34 y.","Female","","","","","3"
"Less important","1993","16-34 y.","Male","","","","","3"
"Less important","1993","35-65 y.","Male","","","","","3"
"Less important","1993","35-65 y.","Female","","","","","3"
"Less important","1993","66 and older","Male","","","","","3"
"Less important","1993","66 and older","Female","","","","","3"
"Quite unimportant","1993","16-34 y.","Male","","","","","4"
"Quite unimportant","1993","16-34 y.","Female","","","","","4"
"Quite unimportant","1993","35-65 y.","Male","","","","","4"
"Quite unimportant","1993","35-65 y.","Female","","","","","4"
"Quite unimportant","1993","66 and older","Male","","","","","4"
"Quite unimportant","1993","66 and older","Female","","","","","4"
"Very important","1993","16-34 y.","Male","","","","","1"
"Very important","1993","16-34 y.","Female","","","","","1"
"Very important","1993","35-65 y.","Male","","","","","1"
"Very important","1993","35-65 y.","Female","","","","","1"
"Very important","1993","66 and older","Male","","","","","1"
"Very important","1993","66 and older","Female","","","","","1"
"Important","1994","16-34 y.","Male","","","","","2"
"Important","1994","16-34 y.","Female","","","","","2"
"Important","1994","35-65 y.","Male","","","","","2"
"Important","1994","35-65 y.","Female","","","","","2"
"Important","1994","66 and older","Male","","","","","2"
"Important","1994","66 and older","Female","","","","","2"
"Less important","1994","16-34 y.","Male","","","","","3"
"Less important","1994","16-34 y.","Female","","","","","3"
"Less important","1994","35-65 y.","Female","","","","","3"
"Less important","1994","35-65 y.","Male","","","","","3"
"Less important","1994","66 and older","Male","","","","","3"
"Less important","1994","66 and older","Female","","","","","3"
"Quite unimportant","1994","16-34 y.","Male","","","","","4"
"Quite unimportant","1994","16-34 y.","Female","","","","","4"
"Quite unimportant","1994","35-65 y.","Male","","","","","4"
"Quite unimportant","1994","35-65 y.","Female","","","","","4"
"Quite unimportant","1994","66 and older","Male","","","","","4"
"Quite unimportant","1994","66 and older","Female","","","","","4"
"Very important","1994","16-34 y.","Male","","","","","1"
"Very important","1994","16-34 y.","Female","","","","","1"
"Very important","1994","35-65 y.","Male","","","","","1"
"Very important","1994","35-65 y.","Female","","","","","1"
"Very important","1994","66 and older","Male","","","","","1"
"Very important","1994","66 and older","Female","","","","","1"
"Important","1995","16-34 y.","Male","1104","0.559311103028691","0.537303766485594","0.581318439571788","2"
"Important","1995","16-34 y.","Female","1113","0.541184826446059","0.519497510446831","0.562872142445286","2"
"Important","1995","35-65 y.","Female","1623","0.528038411353882","0.509984046994751","0.546092775713013","2"
"Important","1995","35-65 y.","Male","1612","0.548525639425402","0.530145585647057","0.566905693203748","2"
"Important","1995","66 and older","Male","220","0.381049739788239","0.340164442744809","0.42193503683167","2"
"Important","1995","66 and older","Female","375","0.39929474887324","0.367526723870638","0.431062773875843","2"
"Less important","1995","16-34 y.","Male","218","0.121006626371283","0.106549829221629","0.135463423520937","3"
"Less important","1995","16-34 y.","Female","271","0.144885129668123","0.129565853269852","0.160204406066394","3"
"Less important","1995","35-65 y.","Male","641","0.247340999642642","0.231405013211716","0.263276986073568","3"
"Less important","1995","35-65 y.","Female","725","0.260222222062411","0.244354340545174","0.276090103579649","3"
"Less important","1995","66 and older","Male","207","0.378769800721646","0.337931994858082","0.41960760658521","3"
"Less important","1995","66 and older","Female","326","0.358367586340597","0.327263302189349","0.389471870491845","3"
