"plh0106","year","pgcasmin","sampreg","n","percent","lower_confidence","upper_confidence"
"Very important","1990","(0) in school","West Germany","46","0.419498923715937","0.326858233486634","0.512139613945241"
"Very important","1990","(0) in school","East Germany","","","",""
"Very important","1990","(1a) inadequately completed","West Germany","8","","",""
"Very important","1990","(1a) inadequately completed","East Germany","","","",""
"Very important","1990","(1b) general elementary school","West Germany","164","0.11697395427452","0.0997725047800964","0.134175403768943"
"Very important","1990","(1b) general elementary school","East Germany","","","",""
"Very important","1990","(1c) basic vocational qualification","West Germany","401","0.138728745766239","0.125800159704754","0.151657331827723"
"Very important","1990","(1c) basic vocational qualification","East Germany","","","",""
"Very important","1990","(2b) intermediate general qualification","West Germany","84","0.275178032501838","0.224471663428386","0.32588440157529"
"Very important","1990","(2b) intermediate general qualification","East Germany","","","",""
"Very important","1990","(2a) intermediate vocational","West Germany","238","0.177692245469732","0.156286444783448","0.199098046156015"
"Very important","1990","(2a) intermediate vocational","East Germany","","","",""
"Very important","1990","(2c_gen) general maturity certificate","West Germany","102","0.432821082039327","0.371403554425299","0.494238609653355"
"Very important","1990","(2c_gen) general maturity certificate","East Germany","","","",""
"Very important","1990","(2c_voc) vocational maturity certificate","West Germany","84","0.291472503905803","0.241367430816339","0.341577576995267"
"Very important","1990","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Very important","1990","(3a) lower tertiary education","West Germany","51","0.202247137123484","0.150222899229367","0.254271375017601"
"Very important","1990","(3a) lower tertiary education","East Germany","","","",""
"Very important","1990","(3b) higher tertiary education","West Germany","114","0.268946589761059","0.226790414578761","0.311102764943356"
"Very important","1990","(3b) higher tertiary education","East Germany","","","",""
"Important","1990","(0) in school","West Germany","53","0.483707275264965","0.389891870978856","0.577522679551074"
"Important","1990","(0) in school","East Germany","","","",""
"Important","1990","(1a) inadequately completed","West Germany","33","0.563248074100963","0.438782156392207","0.687713991809718"
"Important","1990","(1a) inadequately completed","East Germany","","","",""
"Important","1990","(1b) general elementary school","West Germany","664","0.477259800198733","0.45052640741238","0.503993192985087"
"Important","1990","(1b) general elementary school","East Germany","","","",""
"Important","1990","(1c) basic vocational qualification","West Germany","1483","0.534430910565238","0.5157741740423","0.553087647088176"
"Important","1990","(1c) basic vocational qualification","East Germany","","","",""
"Important","1990","(2b) intermediate general qualification","West Germany","145","0.476450469428994","0.419744637566164","0.533156301291824"
"Important","1990","(2b) intermediate general qualification","East Germany","","","",""
"Important","1990","(2a) intermediate vocational","West Germany","687","0.545071606918396","0.517186112560191","0.572957101276601"
"Important","1990","(2a) intermediate vocational","East Germany","","","",""
"Important","1990","(2c_gen) general maturity certificate","West Germany","124","0.48411009409157","0.422161897066777","0.546058291116363"
"Important","1990","(2c_gen) general maturity certificate","East Germany","","","",""
"Important","1990","(2c_voc) vocational maturity certificate","West Germany","162","0.499488633937093","0.444360368637256","0.554616899236931"
"Important","1990","(2c_voc) vocational maturity certificate","East Germany","","","",""
"Important","1990","(3a) lower tertiary education","West Germany","123","0.561807159223656","0.497544806238575","0.626069512208738"
"Important","1990","(3a) lower tertiary education","East Germany","","","",""
"Important","1990","(3b) higher tertiary education","West Germany","224","0.538751870738662","0.491358747442349","0.586144994034976"
"Important","1990","(3b) higher tertiary education","East Germany","","","",""
"Less important","1990","(0) in school","West Germany","10","","",""
"Less important","1990","(0) in school","East Germany","","","",""
"Less important","1990","(1a) inadequately completed","West Germany","16","","",""
"Less important","1990","(1a) inadequately completed","East Germany","","","",""
"Less important","1990","(1b) general elementary school","West Germany","395","0.306857163043986","0.2821732956495","0.331541030438473"
"Less important","1990","(1b) general elementary school","East Germany","","","",""
"Less important","1990","(1c) basic vocational qualification","West Germany","744","0.277617669788444","0.260868050734772","0.294367288842115"
"Less important","1990","(1c) basic vocational qualification","East Germany","","","",""
