"plh0106","year","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Very important","1990","(0) in school","46","0.419498923715937","0.326858233486634","0.512139613945241"
"Very important","1990","(1a) inadequately completed","8","","",""
"Very important","1990","(1b) general elementary school","164","0.11697395427452","0.0997725047800964","0.134175403768943"
"Very important","1990","(1c) basic vocational qualification","401","0.138728745766239","0.125800159704754","0.151657331827723"
"Very important","1990","(2b) intermediate general qualification","84","0.275178032501838","0.224471663428386","0.32588440157529"
"Very important","1990","(2a) intermediate vocational","238","0.177692245469732","0.156286444783448","0.199098046156015"
"Very important","1990","(2c_gen) general maturity certificate","102","0.432821082039327","0.371403554425299","0.494238609653355"
"Very important","1990","(2c_voc) vocational maturity certificate","84","0.291472503905803","0.241367430816339","0.341577576995267"
"Very important","1990","(3a) lower tertiary education","51","0.202247137123484","0.150222899229367","0.254271375017601"
"Very important","1990","(3b) higher tertiary education","114","0.268946589761059","0.226790414578761","0.311102764943356"
"Important","1990","(0) in school","53","0.483707275264965","0.389891870978856","0.577522679551074"
"Important","1990","(1a) inadequately completed","33","0.563248074100963","0.438782156392207","0.687713991809718"
"Important","1990","(1b) general elementary school","664","0.477259800198733","0.45052640741238","0.503993192985087"
"Important","1990","(1c) basic vocational qualification","1483","0.534430910565238","0.5157741740423","0.553087647088176"
"Important","1990","(2b) intermediate general qualification","145","0.476450469428994","0.419744637566164","0.533156301291824"
"Important","1990","(2a) intermediate vocational","687","0.545071606918396","0.517186112560191","0.572957101276601"
"Important","1990","(2c_gen) general maturity certificate","124","0.48411009409157","0.422161897066777","0.546058291116363"
"Important","1990","(2c_voc) vocational maturity certificate","162","0.499488633937093","0.444360368637256","0.554616899236931"
"Important","1990","(3a) lower tertiary education","123","0.561807159223656","0.497544806238575","0.626069512208738"
"Important","1990","(3b) higher tertiary education","224","0.538751870738662","0.491358747442349","0.586144994034976"
"Less important","1990","(0) in school","10","","",""
"Less important","1990","(1a) inadequately completed","16","","",""
"Less important","1990","(1b) general elementary school","395","0.306857163043986","0.2821732956495","0.331541030438473"
"Less important","1990","(1c) basic vocational qualification","744","0.277617669788444","0.260868050734772","0.294367288842115"
"Less important","1990","(2b) intermediate general qualification","61","0.199222644048094","0.153873906563221","0.244571381532966"
"Less important","1990","(2a) intermediate vocational","262","0.239428808053508","0.215532094143954","0.263325521963061"
"Less important","1990","(2c_gen) general maturity certificate","23","","",""
"Less important","1990","(2c_voc) vocational maturity certificate","63","0.181235979402281","0.138763644754603","0.22370831404996"
"Less important","1990","(3a) lower tertiary education","49","0.207974489924391","0.155408485328236","0.260540494520546"
"Less important","1990","(3b) higher tertiary education","73","0.15817504905802","0.123482715628527","0.192867382487514"
"Quite unimportant","1990","(0) in school","","","",""
"Quite unimportant","1990","(1a) inadequately completed","4","","",""
"Quite unimportant","1990","(1b) general elementary school","118","0.0989090824827608","0.0829305792512159","0.114887585714306"
