"plh0106","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Important","1990","16-34 y.","Urban Area","1103","0.5546203609653","0.532832992509462","0.576407729421138","2"
"Important","1990","16-34 y.","Rural Area","355","0.56744159707907","0.528254159483568","0.606629034674572","2"
"Important","1990","35-65 y.","Rural Area","428","0.541094648494809","0.506011753770334","0.576177543219284","2"
"Important","1990","35-65 y.","Urban Area","1436","0.527823151262468","0.508975151458996","0.546671151065941","2"
"Important","1990","66 and older","Urban Area","314","0.419308952868153","0.384523474760451","0.454094430975855","2"
"Important","1990","66 and older","Rural Area","111","0.435144045703123","0.372937146183244","0.497350945223002","2"
"Less important","1990","35-65 y.","Rural Area","203","0.269192779198202","0.237965772401923","0.300419785994482","3"
"Less important","1990","16-34 y.","Rural Area","85","0.137408634044859","0.110177014552832","0.164640253536886","3"
"Less important","1990","16-34 y.","Urban Area","286","0.136784988048996","0.121721678371185","0.151848297726807","3"
"Less important","1990","35-65 y.","Urban Area","757","0.279111376406754","0.262176128383432","0.296046624430077","3"
"Less important","1990","66 and older","Urban Area","301","0.382111252012424","0.347857480171991","0.416365023852858","3"
"Less important","1990","66 and older","Rural Area","84","0.348170372468068","0.288395847676284","0.407944897259853","3"
"Quite unimportant","1990","16-34 y.","Urban Area","15","","","","4"
"Quite unimportant","1990","16-34 y.","Rural Area","5","","","","4"
"Quite unimportant","1990","35-65 y.","Urban Area","105","0.0401688016613099","0.0327555187344425","0.0475820845881774","4"
"Quite unimportant","1990","35-65 y.","Rural Area","42","0.0579348464122629","0.04148705310853","0.0743826397159958","4"
"Quite unimportant","1990","66 and older","Urban Area","109","0.141280999773831","0.116726801412155","0.165835198135507","4"
"Quite unimportant","1990","66 and older","Rural Area","41","0.183883003798298","0.135275850873015","0.232490156723582","4"
"Very important","1990","16-34 y.","Urban Area","595","0.302494307288739","0.2823582621923","0.322630352385179","1"
"Very important","1990","16-34 y.","Rural Area","169","0.28737795939105","0.251583133114205","0.323172785667896","1"
"Very important","1990","35-65 y.","Urban Area","397","0.152896670669468","0.139309284618694","0.166484056720241","1"
"Very important","1990","35-65 y.","Rural Area","102","0.131777725894726","0.107963651513863","0.155591800275588","1"
"Very important","1990","66 and older","Urban Area","49","0.057298795345592","0.0409148639492144","0.0736827267419695","1"
"Very important","1990","66 and older","Rural Area","8","","","","1"
"Important","1991","16-34 y.","Rural Area","","","","","2"
"Important","1991","16-34 y.","Urban Area","","","","","2"
"Important","1991","35-65 y.","Urban Area","","","","","2"
"Important","1991","35-65 y.","Rural Area","","","","","2"
"Important","1991","66 and older","Urban Area","","","","","2"
"Important","1991","66 and older","Rural Area","","","","","2"
"Less important","1991","16-34 y.","Urban Area","","","","","3"
"Less important","1991","16-34 y.","Rural Area","","","","","3"
"Less important","1991","35-65 y.","Urban Area","","","","","3"
"Less important","1991","35-65 y.","Rural Area","","","","","3"
"Less important","1991","66 and older","Urban Area","","","","","3"
"Less important","1991","66 and older","Rural Area","","","","","3"
"Quite unimportant","1991","16-34 y.","Rural Area","","","","","4"
"Quite unimportant","1991","16-34 y.","Urban Area","","","","","4"
"Quite unimportant","1991","35-65 y.","Urban Area","","","","","4"
"Quite unimportant","1991","35-65 y.","Rural Area","","","","","4"
"Quite unimportant","1991","66 and older","Urban Area","","","","","4"
"Quite unimportant","1991","66 and older","Rural Area","","","","","4"
"Very important","1991","16-34 y.","Urban Area","","","","","1"
