"plh0106","year","e11103","migback","n","percent","lower_confidence","upper_confidence"
"Very important","1990","Full Time","no migration background","629","0.208365475551845","0.193803072793564","0.222927878310125"
"Very important","1990","Full Time","direct migration background","44","0.242173586461783","0.179763173040981","0.304583999882584"
"Very important","1990","Full Time","indirect migration background","7","","",""
"Very important","1990","Part Time","no migration background","245","0.207263929352641","0.184638713760004","0.229889144945278"
"Very important","1990","Part Time","direct migration background","21","","",""
"Very important","1990","Part Time","indirect migration background","5","","",""
"Very important","1990","Not Working","no migration background","338","0.127379020188966","0.113995919588448","0.140762120789485"
"Very important","1990","Not Working","direct migration background","27","","",""
"Very important","1990","Not Working","indirect migration background","4","","",""
"Important","1990","Full Time","no migration background","1698","0.569703413186409","0.551950641991385","0.587456184381434"
"Important","1990","Full Time","direct migration background","104","0.544182944662377","0.471626406670103","0.616739482654651"
"Important","1990","Full Time","indirect migration background","7","","",""
"Important","1990","Part Time","no migration background","687","0.549223521184325","0.521450588584109","0.576996453784541"
"Important","1990","Part Time","direct migration background","47","0.560108300845587","0.453321412274158","0.666895189417017"
"Important","1990","Part Time","indirect migration background","11","","",""
"Important","1990","Not Working","no migration background","1101","0.453962432056555","0.433976878383001","0.473947985730109"
"Important","1990","Not Working","direct migration background","80","0.448767850612215","0.375287724165738","0.522247977058693"
"Important","1990","Not Working","indirect migration background","12","","",""
"Less important","1990","Full Time","no migration background","605","0.20257230305554","0.188161324059069","0.216983282052011"
"Less important","1990","Full Time","direct migration background","31","0.203316116289953","0.144683709456609","0.261948523123297"
"Less important","1990","Full Time","indirect migration background","","","",""
"Less important","1990","Part Time","no migration background","267","0.214261206881351","0.19135899523086","0.237163418531842"
"Less important","1990","Part Time","direct migration background","15","","",""
"Less important","1990","Part Time","indirect migration background","2","","",""
"Less important","1990","Not Working","no migration background","736","0.31864796292919","0.299943884363759","0.337352041494621"
"Less important","1990","Not Working","direct migration background","55","0.318612700426427","0.249775957025299","0.387449443827555"
"Less important","1990","Not Working","indirect migration background","5","","",""
"Quite unimportant","1990","Full Time","no migration background","56","0.0193588082062058","0.014418521326046","0.0242990950863657"
"Quite unimportant","1990","Full Time","direct migration background","2","","",""
"Quite unimportant","1990","Full Time","indirect migration background","","","",""
"Quite unimportant","1990","Part Time","no migration background","34","0.0292513425816833","0.0198456050811569","0.0386570800822098"
"Quite unimportant","1990","Part Time","direct migration background","","","",""
"Quite unimportant","1990","Part Time","indirect migration background","","","",""
"Quite unimportant","1990","Not Working","no migration background","209","0.100010584825289","0.0879675303792836","0.112053639271295"
"Quite unimportant","1990","Not Working","direct migration background","14","","",""
"Quite unimportant","1990","Not Working","indirect migration background","2","","",""
"Very important","1991","Full Time","no migration background","","","",""
"Very important","1991","Full Time","direct migration background","","","",""
"Very important","1991","Full Time","indirect migration background","","","",""
"Very important","1991","Part Time","no migration background","","","",""
"Very important","1991","Part Time","direct migration background","","","",""
"Very important","1991","Part Time","indirect migration background","","","",""
"Very important","1991","Not Working","no migration background","","","",""
"Very important","1991","Not Working","direct migration background","","","",""
"Very important","1991","Not Working","indirect migration background","","","",""
"Important","1991","Full Time","no migration background","","","",""
"Important","1991","Full Time","direct migration background","","","",""
"Important","1991","Full Time","indirect migration background","","","",""
"Important","1991","Part Time","no migration background","","","",""
"Important","1991","Part Time","direct migration background","","","",""
"Important","1991","Part Time","indirect migration background","","","",""
"Important","1991","Not Working","no migration background","","","",""
"Important","1991","Not Working","direct migration background","","","",""
"Important","1991","Not Working","indirect migration background","","","",""
"Less important","1991","Full Time","no migration background","","","",""
"Less important","1991","Full Time","direct migration background","","","",""
"Less important","1991","Full Time","indirect migration background","","","",""
"Less important","1991","Part Time","no migration background","","","",""
"Less important","1991","Part Time","direct migration background","","","",""
