"pli0096_h","year","age_gr","hgtyp1hh","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","16-34 y.","1-pers.-HH","","","","","1"
"Daily","1985","16-34 y.","(Married) couple without C. ","","","","","1"
"Daily","1985","16-34 y.","Single parent ","","","","","1"
"Daily","1985","16-34 y.","Couple + C. LE 16 ","","","","","1"
"Daily","1985","16-34 y.","Couple + C. GT 16 ","","","","","1"
"Daily","1985","16-34 y.","Couple + C. LE and GT 16","","","","","1"
"Daily","1985","35-65 y.","1-pers.-HH","","","","","1"
"Daily","1985","35-65 y.","(Married) couple without C. ","","","","","1"
"Daily","1985","35-65 y.","Single parent ","","","","","1"
"Daily","1985","35-65 y.","Couple + C. LE 16 ","","","","","1"
"Daily","1985","35-65 y.","Couple + C. GT 16 ","","","","","1"
"Daily","1985","35-65 y.","Couple + C. LE and GT 16","","","","","1"
"Daily","1985","66 and older","1-pers.-HH","","","","","1"
"Daily","1985","66 and older","(Married) couple without C. ","","","","","1"
"Daily","1985","66 and older","Single parent ","","","","","1"
"Daily","1985","66 and older","Couple + C. LE 16 ","","","","","1"
"Daily","1985","66 and older","Couple + C. GT 16 ","","","","","1"
"Daily","1985","66 and older","Couple + C. LE and GT 16","","","","","1"
"Min 1x per month","1985","66 and older","Single parent ","1","","","","3"
"Min 1x per month","1985","66 and older","(Married) couple without C. ","19","","","","3"
"Min 1x per month","1985","66 and older","Couple + C. GT 16 ","3","","","","3"
"Min 1x per month","1985","66 and older","Couple + C. LE and GT 16","","","","","3"
"Min 1x per month","1985","16-34 y.","1-pers.-HH","17","","","","3"
"Min 1x per month","1985","16-34 y.","(Married) couple without C. ","31","0.0606699957029676","0.0413251069072673","0.0800148844986679","3"
"Min 1x per month","1985","16-34 y.","Single parent ","12","","","","3"
"Min 1x per month","1985","16-34 y.","Couple + C. LE 16 ","56","0.0553637263187749","0.0425886344990488","0.0681388181385011","3"
"Min 1x per month","1985","16-34 y.","Couple + C. GT 16 ","44","0.0550406378465272","0.0395160842552764","0.070565191437778","3"
"Min 1x per month","1985","35-65 y.","(Married) couple without C. ","60","0.0522081126009813","0.0402125071663117","0.064203718035651","3"
"Min 1x per month","1985","35-65 y.","Single parent ","15","","","","3"
"Min 1x per month","1985","35-65 y.","Couple + C. LE 16 ","110","0.0987487551889441","0.0831939074707341","0.114303602907154","3"
"Min 1x per month","1985","35-65 y.","Couple + C. GT 16 ","97","0.0956276656120265","0.0784431521314491","0.112812179092604","3"
"Min 1x per month","1985","35-65 y.","Couple + C. LE and GT 16","68","0.114774734504454","0.0933715526053252","0.136177916403583","3"
"Min 1x per month","1985","66 and older","1-pers.-HH","12","","","","3"
"Min 1x per month","1985","66 and older","Couple + C. LE 16 ","","","","","3"
"Min 1x per month","1985","16-34 y.","Couple + C. LE and GT 16","25","","","","3"
"Min 1x per month","1985","35-65 y.","1-pers.-HH","21","","","","3"
"Min 1x per week","1985","16-34 y.","Couple + C. LE and GT 16","60","0.125589780383994","0.0994204567679003","0.151759104000088","2"
"Min 1x per week","1985","16-34 y.","1-pers.-HH","32","0.09698502513762","0.0647613253009852","0.129208724974255","2"
"Min 1x per week","1985","35-65 y.","Couple + C. LE 16 ","125","0.111461273316074","0.095052459371007","0.127870087261141","2"
"Min 1x per week","1985","66 and older","1-pers.-HH","13","","","","2"
"Min 1x per week","1985","16-34 y.","(Married) couple without C. ","47","0.0856435618748945","0.0629671006275352","0.108320023122254","2"
"Min 1x per week","1985","16-34 y.","Couple + C. GT 16 ","84","0.11062130220267","0.0892695475434837","0.131973056861856","2"
"Min 1x per week","1985","35-65 y.","Single parent ","17","","","","2"
"Min 1x per week","1985","35-65 y.","Couple + C. GT 16 ","92","0.097967677853223","0.0805966991975617","0.115338656508884","2"
"Min 1x per week","1985","35-65 y.","Couple + C. LE and GT 16","79","0.124568590039956","0.10239461111441","0.146742568965502","2"
"Min 1x per week","1985","66 and older","(Married) couple without C. ","26","","","","2"
"Min 1x per week","1985","66 and older","Couple + C. GT 16 ","2","","","","2"
"Min 1x per week","1985","66 and older","Couple + C. LE and GT 16","","","","","2"
"Min 1x per week","1985","35-65 y.","(Married) couple without C. ","89","0.0769373695155357","0.0625665698999034","0.0913081691311679","2"
"Min 1x per week","1985","16-34 y.","Single parent ","18","","","","2"
"Min 1x per week","1985","16-34 y.","Couple + C. LE 16 ","64","0.0598697311361264","0.046616653676165","0.0731228085960877","2"
"Min 1x per week","1985","35-65 y.","1-pers.-HH","29","","","","2"
"Min 1x per week","1985","66 and older","Single parent ","1","","","","2"
"Min 1x per week","1985","66 and older","Couple + C. LE 16 ","1","","","","2"
"Never","1985","16-34 y.","Couple + C. LE and GT 16","475","0.721865175156223","0.686480642410103","0.757249707902342","5"
"Never","1985","35-65 y.","Couple + C. LE 16 ","1062","0.694330111706546","0.670309374093951","0.718350849319142","5"
"Never","1985","35-65 y.","Single parent ","193","0.784236200468183","0.731865708771503","0.836606692164863","5"
"Never","1985","16-34 y.","1-pers.-HH","255","0.785350257452825","0.740643572559331","0.83005694234632","5"
"Never","1985","16-34 y.","(Married) couple without C. ","461","0.774662721478962","0.740806147480134","0.80851929547779","5"
"Never","1985","16-34 y.","Couple + C. LE 16 ","1015","0.792728369531486","0.770084471176002","0.815372267886969","5"
"Never","1985","35-65 y.","1-pers.-HH","377","0.819095979054392","0.783370984713964","0.854820973394821","5"
"Never","1985","35-65 y.","(Married) couple without C. ","1056","0.77599749719103","0.753514548059283","0.798480446322777","5"
"Never","1985","16-34 y.","Couple + C. GT 16 ","625","0.73179168142945","0.70163381025563","0.76194955260327","5"
"Never","1985","16-34 y.","Single parent ","221","0.782309159316455","0.733798745560088","0.830819573072823","5"
"Never","1985","35-65 y.","Couple + C. GT 16 ","846","0.718058069976951","0.691765596305886","0.744350543648016","5"
"Never","1985","35-65 y.","Couple + C. LE and GT 16","640","0.660314480498589","0.628513374739919","0.692115586257259","5"
"Never","1985","66 and older","1-pers.-HH","355","0.908307726095561","0.879775563416672","0.936839888774451","5"
"Never","1985","66 and older","(Married) couple without C. ","420","0.8607450654644","0.83005935174461","0.891430779184189","5"
"Never","1985","66 and older","Single parent ","26","","","","5"
"Never","1985","66 and older","Couple + C. LE 16 ","1","","","","5"
"Never","1985","66 and older","Couple + C. GT 16 ","35","0.778863999541453","0.65893347983093","0.898794519251977","5"
"Never","1985","66 and older","Couple + C. LE and GT 16","","","","","5"
"Rarely","1985","35-65 y.","Couple + C. LE 16 ","116","0.095459859788436","0.0801383582833154","0.110781361293557","4"
"Rarely","1985","66 and older","Couple + C. LE 16 ","","","","","4"
"Rarely","1985","16-34 y.","(Married) couple without C. ","46","0.079023720943176","0.0571625652210513","0.100884876665301","4"
"Rarely","1985","16-34 y.","Couple + C. LE and GT 16","56","0.0999516071140484","0.0762659435559523","0.123637270672144","4"
"Rarely","1985","66 and older","Couple + C. LE and GT 16","","","","","4"
"Rarely","1985","35-65 y.","Couple + C. GT 16 ","90","0.0883465865577994","0.0717628802407234","0.104930292874875","4"
"Rarely","1985","66 and older","Single parent ","","","","","4"
"Rarely","1985","35-65 y.","1-pers.-HH","19","","","","4"
"Rarely","1985","16-34 y.","1-pers.-HH","20","","","","4"
"Rarely","1985","66 and older","Couple + C. GT 16 ","6","","","","4"
"Rarely","1985","16-34 y.","Single parent ","27","","","","4"
"Rarely","1985","16-34 y.","Couple + C. LE 16 ","96","0.0920381730136129","0.0758894995026709","0.108186846524555","4"
"Rarely","1985","16-34 y.","Couple + C. GT 16 ","76","0.102546378521353","0.0818955729992668","0.123197184043439","4"
"Rarely","1985","35-65 y.","(Married) couple without C. ","116","0.0948570206924529","0.0790558226670552","0.110658218717851","4"
"Rarely","1985","35-65 y.","Single parent ","12","","","","4"
"Rarely","1985","35-65 y.","Couple + C. LE and GT 16","65","0.100342194957001","0.0801674167904737","0.120516973123529","4"
"Rarely","1985","66 and older","1-pers.-HH","13","","","","4"
"Rarely","1985","66 and older","(Married) couple without C. ","24","","","","4"
