"pli0096_h","year","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1985","1-pers.-HH","","","",""
"Daily","1985","(Married) couple without C. ","","","",""
"Daily","1985","Single parent ","","","",""
"Daily","1985","Couple + C. LE 16 ","","","",""
"Daily","1985","Couple + C. GT 16 ","","","",""
"Daily","1985","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1985","1-pers.-HH","74","0.0611693140371732","0.0473966270646268","0.0749420010097196"
"Min 1x per week","1985","(Married) couple without C. ","162","0.0721104554701799","0.0617508648902498","0.0824700460501101"
"Min 1x per week","1985","Single parent ","36","0.0742790574638515","0.0522233286735821","0.0963347862541209"
"Min 1x per week","1985","Couple + C. LE 16 ","190","0.0884066509920514","0.0775899153813026","0.0992233866028001"
"Min 1x per week","1985","Couple + C. GT 16 ","178","0.101734671985091","0.0884860744861556","0.114983269484026"
"Min 1x per week","1985","Couple + C. LE and GT 16","139","0.1250149574576","0.1080962817348","0.141933633180399"
"Min 1x per month","1985","1-pers.-HH","50","0.0412718642386487","0.0298395800133603","0.0527041484639371"
"Min 1x per month","1985","(Married) couple without C. ","110","0.0496562260033737","0.0409561598766191","0.0583562921301282"
"Min 1x per month","1985","Single parent ","28","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","166","0.0788468372263829","0.0685782373047408","0.089115437148025"
"Min 1x per month","1985","Couple + C. GT 16 ","144","0.0771872402717358","0.0654905592790479","0.0888839212644237"
"Min 1x per month","1985","Couple + C. LE and GT 16","93","0.0875949778601529","0.0731333060885368","0.102056649631769"
"Rarely","1985","1-pers.-HH","52","0.0454075906670644","0.0334420741287363","0.0573731072053924"
"Rarely","1985","(Married) couple without C. ","186","0.0797191716272718","0.0688714905570638","0.0905668526974799"
"Rarely","1985","Single parent ","39","0.0784741487495777","0.0558555735408732","0.101092723958282"
"Rarely","1985","Couple + C. LE 16 ","212","0.0937838047520536","0.0826758780664485","0.104891731437659"
"Rarely","1985","Couple + C. GT 16 ","172","0.0954522559867377","0.0825744481798625","0.108330063793613"
"Rarely","1985","Couple + C. LE and GT 16","121","0.100171467053198","0.0848133858163599","0.115529548290036"
"Never","1985","1-pers.-HH","987","0.852151231057114","0.83175145368468","0.872551008429547"
"Never","1985","(Married) couple without C. ","1937","0.798514146899175","0.782449953695152","0.814578340103198"
"Never","1985","Single parent ","440","0.794305275612793","0.760307267254453","0.828303283971132"
"Never","1985","Couple + C. LE 16 ","2078","0.738962707029512","0.72222809260524","0.755697321453784"
"Never","1985","Couple + C. GT 16 ","1506","0.725625831756436","0.706070685378884","0.745180978133988"
"Never","1985","Couple + C. LE and GT 16","1115","0.687218597629049","0.663501967728576","0.710935227529523"
"Daily","1986","1-pers.-HH","","","",""
"Daily","1986","(Married) couple without C. ","","","",""
"Daily","1986","Single parent ","","","",""
"Daily","1986","Couple + C. LE 16 ","","","",""
"Daily","1986","Couple + C. GT 16 ","","","",""
"Daily","1986","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1986","1-pers.-HH","76","0.0645641317108368","0.0500806426997994","0.0790476207218742"
"Min 1x per week","1986","(Married) couple without C. ","159","0.0730564411136502","0.0625351251886623","0.0835777570386381"
"Min 1x per week","1986","Single parent ","34","0.0725926645102531","0.0499850642942579","0.0952002647262482"
"Min 1x per week","1986","Couple + C. LE 16 ","164","0.0818590169086617","0.0708703185523489","0.0928477152649744"
"Min 1x per week","1986","Couple + C. GT 16 ","170","0.0912308043453511","0.0788626390980382","0.103598969592664"
"Min 1x per week","1986","Couple + C. LE and GT 16","145","0.145610829446366","0.127028303351502","0.164193355541229"
"Min 1x per month","1986","1-pers.-HH","53","0.0482093050950744","0.0355850229966252","0.0608335871935235"
"Min 1x per month","1986","(Married) couple without C. ","113","0.0515873130011698","0.0426442911651776","0.060530334837162"
"Min 1x per month","1986","Single parent ","29","","",""
"Min 1x per month","1986","Couple + C. LE 16 ","167","0.0839667804079092","0.0728502908279499","0.0950832699878685"
"Min 1x per month","1986","Couple + C. GT 16 ","131","0.0738412826613706","0.0626081715719529","0.0850743937507883"
"Min 1x per month","1986","Couple + C. LE and GT 16","90","0.0896464927672141","0.0745959648899887","0.10469702064444"
"Rarely","1986","1-pers.-HH","66","0.0557143125498428","0.042196524920396","0.0692321001792896"
