"pli0096_h","year","e11103","education","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Full Time","lower secondary degree","","","",""
"Daily","1985","Full Time","secondary school degree","","","",""
"Daily","1985","Full Time","college entrance qualification","","","",""
"Daily","1985","Full Time","Other degree","","","",""
"Daily","1985","Full Time","no degree/no degree yet","","","",""
"Daily","1985","Part Time","lower secondary degree","","","",""
"Daily","1985","Part Time","secondary school degree","","","",""
"Daily","1985","Part Time","college entrance qualification","","","",""
"Daily","1985","Part Time","Other degree","","","",""
"Daily","1985","Part Time","no degree/no degree yet","","","",""
"Daily","1985","Not Working","lower secondary degree","","","",""
"Daily","1985","Not Working","secondary school degree","","","",""
"Daily","1985","Not Working","college entrance qualification","","","",""
"Daily","1985","Not Working","Other degree","","","",""
"Daily","1985","Not Working","no degree/no degree yet","","","",""
"Min 1x per week","1985","Full Time","lower secondary degree","208","0.0990448550162855","0.0866046146740921","0.111485095358479"
"Min 1x per week","1985","Full Time","secondary school degree","116","0.130240560166652","0.108053760511547","0.152427359821757"
"Min 1x per week","1985","Full Time","college entrance qualification","69","0.130302153812556","0.102194002287613","0.158410305337499"
"Min 1x per week","1985","Full Time","Other degree","30","0.0432025826571261","0.028952756485949","0.0574524088283033"
"Min 1x per week","1985","Full Time","no degree/no degree yet","8","","",""
"Min 1x per week","1985","Part Time","lower secondary degree","59","0.0671373133547136","0.0508863263643229","0.0833883003451044"
"Min 1x per week","1985","Part Time","secondary school degree","37","0.112292582088744","0.0791683486855797","0.145416815491909"
"Min 1x per week","1985","Part Time","college entrance qualification","36","0.141744545614439","0.100446046018838","0.183043045210039"
"Min 1x per week","1985","Part Time","Other degree","7","","",""
"Min 1x per week","1985","Part Time","no degree/no degree yet","4","","",""
"Min 1x per week","1985","Not Working","lower secondary degree","109","0.0470593053296493","0.0383497653569276","0.0557688453023709"
"Min 1x per week","1985","Not Working","secondary school degree","58","0.0803178462755725","0.0590781806671856","0.10155751188396"
"Min 1x per week","1985","Not Working","college entrance qualification","38","0.0973805371507607","0.0678425404049354","0.126918533896586"
"Min 1x per week","1985","Not Working","Other degree","6","","",""
"Min 1x per week","1985","Not Working","no degree/no degree yet","27","","",""
"Min 1x per month","1985","Full Time","lower secondary degree","182","0.0834836889794525","0.0719642284595216","0.0950031494993834"
"Min 1x per month","1985","Full Time","secondary school degree","83","0.0937239509360221","0.0745117330270532","0.112936168844991"
"Min 1x per month","1985","Full Time","college entrance qualification","73","0.126491748993627","0.0987370260651594","0.154246471922094"
"Min 1x per month","1985","Full Time","Other degree","22","","",""
"Min 1x per month","1985","Full Time","no degree/no degree yet","3","","",""
"Min 1x per month","1985","Part Time","lower secondary degree","54","0.0592439725869736","0.0439137135424027","0.0745742316315445"
"Min 1x per month","1985","Part Time","secondary school degree","13","","",""
"Min 1x per month","1985","Part Time","college entrance qualification","17","","",""
"Min 1x per month","1985","Part Time","Other degree","3","","",""
"Min 1x per month","1985","Part Time","no degree/no degree yet","5","","",""
"Min 1x per month","1985","Not Working","lower secondary degree","80","0.0338401386351507","0.026403441649099","0.0412768356212023"
"Min 1x per month","1985","Not Working","secondary school degree","40","0.0645467171579109","0.0453436367906347","0.0837497975251871"
"Min 1x per month","1985","Not Working","college entrance qualification","27","","",""
"Min 1x per month","1985","Not Working","Other degree","8","","",""
"Min 1x per month","1985","Not Working","no degree/no degree yet","9","","",""
"Rarely","1985","Full Time","lower secondary degree","205","0.092461761570193","0.0803982214257327","0.104525301714653"
"Rarely","1985","Full Time","secondary school degree","82","0.0940996312561534","0.0748529374365154","0.113346325075791"
"Rarely","1985","Full Time","college entrance qualification","64","0.114401611440191","0.0878245615686548","0.140978661311727"
"Rarely","1985","Full Time","Other degree","33","0.0399966942097993","0.0262628180304072","0.0537305703891913"
"Rarely","1985","Full Time","no degree/no degree yet","12","","",""
"Rarely","1985","Part Time","lower secondary degree","79","0.0860011516310433","0.0677951800602603","0.104207123201826"
"Rarely","1985","Part Time","secondary school degree","37","0.110601052091118","0.0776959447147913","0.143506159467444"
"Rarely","1985","Part Time","college entrance qualification","35","0.126992425963524","0.0875675146329406","0.166417337294108"
"Rarely","1985","Part Time","Other degree","4","","",""
"Rarely","1985","Part Time","no degree/no degree yet","1","","",""
"Rarely","1985","Not Working","lower secondary degree","148","0.0579890830683771","0.0483764887818406","0.0676016773549136"
"Rarely","1985","Not Working","secondary school degree","62","0.0882958832990082","0.0661231132008282","0.110468653397188"
"Rarely","1985","Not Working","college entrance qualification","39","0.104137956297816","0.073706852736203","0.13456905985943"
