"pli0096_h","year","hgtyp1hh","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1985","1-pers.-HH","no migration background","","","",""
"Daily","1985","1-pers.-HH","direct migration background","","","",""
"Daily","1985","1-pers.-HH","indirect migration background","","","",""
"Daily","1985","(Married) couple without C. ","no migration background","","","",""
"Daily","1985","(Married) couple without C. ","direct migration background","","","",""
"Daily","1985","(Married) couple without C. ","indirect migration background","","","",""
"Daily","1985","Single parent ","no migration background","","","",""
"Daily","1985","Single parent ","direct migration background","","","",""
"Daily","1985","Single parent ","indirect migration background","","","",""
"Daily","1985","Couple + C. LE 16 ","no migration background","","","",""
"Daily","1985","Couple + C. LE 16 ","direct migration background","","","",""
"Daily","1985","Couple + C. LE 16 ","indirect migration background","","","",""
"Daily","1985","Couple + C. GT 16 ","no migration background","","","",""
"Daily","1985","Couple + C. GT 16 ","direct migration background","","","",""
"Daily","1985","Couple + C. GT 16 ","indirect migration background","","","",""
"Daily","1985","Couple + C. LE and GT 16","no migration background","","","",""
"Daily","1985","Couple + C. LE and GT 16","direct migration background","","","",""
"Daily","1985","Couple + C. LE and GT 16","indirect migration background","","","",""
"Min 1x per week","1985","1-pers.-HH","no migration background","66","0.0616988020079495","0.0464467370570184","0.0769508669588805"
"Min 1x per week","1985","1-pers.-HH","direct migration background","8","","",""
"Min 1x per week","1985","1-pers.-HH","indirect migration background","","","",""
"Min 1x per week","1985","(Married) couple without C. ","no migration background","149","0.0739381926565836","0.0624298477075427","0.0854465376056246"
"Min 1x per week","1985","(Married) couple without C. ","direct migration background","12","","",""
"Min 1x per week","1985","(Married) couple without C. ","indirect migration background","1","","",""
"Min 1x per week","1985","Single parent ","no migration background","29","","",""
"Min 1x per week","1985","Single parent ","direct migration background","5","","",""
"Min 1x per week","1985","Single parent ","indirect migration background","2","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","no migration background","161","0.0979491475309566","0.083675780504335","0.112222514557578"
"Min 1x per week","1985","Couple + C. LE 16 ","direct migration background","28","","",""
"Min 1x per week","1985","Couple + C. LE 16 ","indirect migration background","1","","",""
"Min 1x per week","1985","Couple + C. GT 16 ","no migration background","158","0.104205751286204","0.0889264863095009","0.119485016262907"
"Min 1x per week","1985","Couple + C. GT 16 ","direct migration background","16","","",""
"Min 1x per week","1985","Couple + C. GT 16 ","indirect migration background","4","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","no migration background","112","0.138473678367542","0.114569226119319","0.162378130615765"
"Min 1x per week","1985","Couple + C. LE and GT 16","direct migration background","25","","",""
"Min 1x per week","1985","Couple + C. LE and GT 16","indirect migration background","2","","",""
"Min 1x per month","1985","1-pers.-HH","no migration background","44","0.0428919791081702","0.0300483526638756","0.0557356055524648"
"Min 1x per month","1985","1-pers.-HH","direct migration background","6","","",""
"Min 1x per month","1985","1-pers.-HH","indirect migration background","","","",""
"Min 1x per month","1985","(Married) couple without C. ","no migration background","105","0.052701849908077","0.0428749904826935","0.0625287093334606"
"Min 1x per month","1985","(Married) couple without C. ","direct migration background","5","","",""
"Min 1x per month","1985","(Married) couple without C. ","indirect migration background","","","",""
"Min 1x per month","1985","Single parent ","no migration background","22","","",""
"Min 1x per month","1985","Single parent ","direct migration background","5","","",""
"Min 1x per month","1985","Single parent ","indirect migration background","1","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","no migration background","141","0.0869606294671434","0.0734300410902511","0.100491217844036"
"Min 1x per month","1985","Couple + C. LE 16 ","direct migration background","25","","",""
"Min 1x per month","1985","Couple + C. LE 16 ","indirect migration background","","","",""
"Min 1x per month","1985","Couple + C. GT 16 ","no migration background","130","0.0811977275117395","0.0675382071176248","0.0948572479058542"
"Min 1x per month","1985","Couple + C. GT 16 ","direct migration background","13","","",""
"Min 1x per month","1985","Couple + C. GT 16 ","indirect migration background","1","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","no migration background","74","0.0910866432169329","0.0711730560971645","0.111000230336701"
"Min 1x per month","1985","Couple + C. LE and GT 16","direct migration background","17","","",""
"Min 1x per month","1985","Couple + C. LE and GT 16","indirect migration background","2","","",""
"Rarely","1985","1-pers.-HH","no migration background","45","0.0436357789321844","0.0306863036377205","0.0565852542266482"
"Rarely","1985","1-pers.-HH","direct migration background","7","","",""
"Rarely","1985","1-pers.-HH","indirect migration background","","","",""
"Rarely","1985","(Married) couple without C. ","no migration background","169","0.0825311776007698","0.0704290104392248","0.0946333447623148"
"Rarely","1985","(Married) couple without C. ","direct migration background","17","","",""
"Rarely","1985","(Married) couple without C. ","indirect migration background","","","",""
"Rarely","1985","Single parent ","no migration background","34","0.0829428673725048","0.056376288008706","0.109509446736304"
