"pli0096_h","year","migback","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","no migration background","","","","","1"
"Daily","1985","direct migration background","","","","","1"
"Daily","1985","indirect migration background","","","","","1"
"Min 1x per month","1985","no migration background","545","0.0656878104248786","0.0602165972360301","0.0711590236137272","3"
"Min 1x per month","1985","direct migration background","74","0.0305310856400683","0.0242813009459875","0.0367808703341491","3"
"Min 1x per month","1985","indirect migration background","4","","","","3"
"Min 1x per week","1985","no migration background","711","0.0867389083671363","0.0805230703109886","0.092954746423284","2"
"Min 1x per week","1985","direct migration background","97","0.0493868237220232","0.0415157414655162","0.0572579059785301","2"
"Min 1x per week","1985","indirect migration background","10","","","","2"
"Never","1985","no migration background","5900","0.761442678930011","0.752030065571566","0.770855292288456","5"
"Never","1985","indirect migration background","118","0.837764366918855","0.776695742257568","0.898832991580142","5"
"Never","1985","direct migration background","2619","0.865893465657885","0.853514504816061","0.87827242649971","5"
"Rarely","1985","no migration background","720","0.0861306022779738","0.0799345361148814","0.0923266684410662","4"
"Rarely","1985","direct migration background","121","0.0541886249800231","0.0459646208403769","0.0624126291196693","4"
"Rarely","1985","indirect migration background","8","","","","4"
"Daily","1986","no migration background","","","","","1"
"Daily","1986","direct migration background","","","","","1"
"Daily","1986","indirect migration background","","","","","1"
"Min 1x per month","1986","no migration background","535","0.0679367266819531","0.0622508333985374","0.0736226199653689","3"
"Min 1x per month","1986","direct migration background","77","0.038728105664145","0.0316181340498811","0.0458380772784089","3"
"Min 1x per month","1986","indirect migration background","7","","","","3"
"Min 1x per week","1986","no migration background","652","0.0845047174740224","0.0782199063565516","0.0907895285914932","2"
"Min 1x per week","1986","direct migration background","112","0.048735512072412","0.0408012776800303","0.0566697464647938","2"
"Min 1x per week","1986","indirect migration background","11","","","","2"
"Never","1986","no migration background","5697","0.767555709151582","0.758011540771178","0.777099877531985","5"
"Never","1986","direct migration background","2524","0.865617931865044","0.853049954210738","0.87818590951935","5"
"Never","1986","indirect migration background","126","0.846855968688741","0.790161974363513","0.903549963013969","5"
"Rarely","1986","no migration background","640","0.0800028466924427","0.0738727170450522","0.0861329763398331","4"
"Rarely","1986","direct migration background","116","0.046918450398399","0.0391260999066408","0.0547108008901572","4"
"Rarely","1986","indirect migration background","11","","","","4"
"Daily","1987","no migration background","","","","","1"
"Daily","1987","direct migration background","","","","","1"
"Daily","1987","indirect migration background","","","","","1"
"Min 1x per month","1987","no migration background","","","","","3"
"Min 1x per month","1987","direct migration background","","","","","3"
"Min 1x per month","1987","indirect migration background","","","","","3"
"Min 1x per week","1987","no migration background","","","","","2"
"Min 1x per week","1987","indirect migration background","","","","","2"
"Min 1x per week","1987","direct migration background","","","","","2"
"Never","1987","no migration background","","","","","5"
"Never","1987","direct migration background","","","","","5"
"Never","1987","indirect migration background","","","","","5"
"Rarely","1987","no migration background","","","","","4"
"Rarely","1987","direct migration background","","","","","4"
"Rarely","1987","indirect migration background","","","","","4"
"Daily","1988","no migration background","","","","","1"
"Daily","1988","direct migration background","","","","","1"
"Daily","1988","indirect migration background","","","","","1"
"Min 1x per month","1988","no migration background","531","0.0702769303962595","0.064297885698173","0.076255975094346","3"
"Min 1x per month","1988","direct migration background","61","0.0249967698945669","0.0190618402342694","0.0309316995548645","3"
"Min 1x per month","1988","indirect migration background","8","","","","3"
"Min 1x per week","1988","no migration background","680","0.0933284550271976","0.0865241991707077","0.100132710883687","2"
"Min 1x per week","1988","direct migration background","115","0.0592495080183053","0.0502741825942118","0.0682248334423989","2"
"Min 1x per week","1988","indirect migration background","14","","","","2"
"Never","1988","no migration background","5109","0.740569059947021","0.730316265014676","0.750821854879366","5"
"Never","1988","indirect migration background","184","0.770740558217675","0.715445117262186","0.826035999173164","5"
"Never","1988","direct migration background","2357","0.853374895045059","0.839927297539551","0.866822492550566","5"
"Rarely","1988","no migration background","701","0.0958255546295217","0.0889403731873823","0.102710736071661","4"
"Rarely","1988","direct migration background","125","0.0623788270420689","0.0531848607386724","0.0715727933454655","4"
"Rarely","1988","indirect migration background","16","","","","4"
"Daily","1989","no migration background","","","","","1"
"Daily","1989","direct migration background","","","","","1"
"Daily","1989","indirect migration background","","","","","1"
"Min 1x per month","1989","no migration background","","","","","3"
"Min 1x per month","1989","direct migration background","","","","","3"
"Min 1x per month","1989","indirect migration background","","","","","3"
"Min 1x per week","1989","no migration background","","","","","2"
"Min 1x per week","1989","direct migration background","","","","","2"
"Min 1x per week","1989","indirect migration background","","","","","2"
"Never","1989","no migration background","","","","","5"
"Never","1989","direct migration background","","","","","5"
"Never","1989","indirect migration background","","","","","5"
"Rarely","1989","no migration background","","","","","4"
"Rarely","1989","direct migration background","","","","","4"
"Rarely","1989","indirect migration background","","","","","4"
"Daily","1990","no migration background","80","0.0101037978044619","0.00822096970982619","0.0119866258990975","1"
"Daily","1990","direct migration background","11","","","","1"
"Daily","1990","indirect migration background","5","","","","1"
"Min 1x per month","1990","no migration background","997","0.0815287506035489","0.0763769185802196","0.0866805826268782","3"
"Min 1x per month","1990","direct migration background","88","0.0457872813862981","0.0378588460245853","0.053715716748011","3"
"Min 1x per month","1990","indirect migration background","3","","","","3"
"Min 1x per week","1990","no migration background","805","0.0727710984212611","0.0678806749983646","0.0776615218441575","2"
"Min 1x per week","1990","indirect migration background","6","","","","2"
"Min 1x per week","1990","direct migration background","89","0.0502642282798354","0.0419767315913401","0.0585517249683308","2"
"Never","1990","no migration background","7638","0.716501860952766","0.708016754695864","0.724986967209667","5"
"Never","1990","direct migration background","2297","0.811101606061731","0.796254417514939","0.825948794608523","5"
"Never","1990","indirect migration background","259","0.8411742526283","0.79960489574094","0.882743609515661","5"
