"pli0096_h","year","bula_h","hgtyp1hh","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Schleswig-Holstein","1-pers.-HH","","","",""
"Daily","1985","Schleswig-Holstein","(Married) couple without C. ","","","",""
"Daily","1985","Schleswig-Holstein","Single parent ","","","",""
"Daily","1985","Schleswig-Holstein","Couple + C. LE 16 ","","","",""
"Daily","1985","Schleswig-Holstein","Couple + C. GT 16 ","","","",""
"Daily","1985","Schleswig-Holstein","Couple + C. LE and GT 16","","","",""
"Daily","1985","Hamburg","1-pers.-HH","","","",""
"Daily","1985","Hamburg","(Married) couple without C. ","","","",""
"Daily","1985","Hamburg","Single parent ","","","",""
"Daily","1985","Hamburg","Couple + C. LE 16 ","","","",""
"Daily","1985","Hamburg","Couple + C. GT 16 ","","","",""
"Daily","1985","Hamburg","Couple + C. LE and GT 16","","","",""
"Daily","1985","Lower Saxony","1-pers.-HH","","","",""
"Daily","1985","Lower Saxony","(Married) couple without C. ","","","",""
"Daily","1985","Lower Saxony","Single parent ","","","",""
"Daily","1985","Lower Saxony","Couple + C. LE 16 ","","","",""
"Daily","1985","Lower Saxony","Couple + C. GT 16 ","","","",""
"Daily","1985","Lower Saxony","Couple + C. LE and GT 16","","","",""
"Daily","1985","Bremen","1-pers.-HH","","","",""
"Daily","1985","Bremen","(Married) couple without C. ","","","",""
"Daily","1985","Bremen","Single parent ","","","",""
"Daily","1985","Bremen","Couple + C. LE 16 ","","","",""
"Daily","1985","Bremen","Couple + C. GT 16 ","","","",""
"Daily","1985","Bremen","Couple + C. LE and GT 16","","","",""
"Daily","1985","North Rhine-Westphalia","1-pers.-HH","","","",""
"Daily","1985","North Rhine-Westphalia","(Married) couple without C. ","","","",""
"Daily","1985","North Rhine-Westphalia","Single parent ","","","",""
"Daily","1985","North Rhine-Westphalia","Couple + C. LE 16 ","","","",""
"Daily","1985","North Rhine-Westphalia","Couple + C. GT 16 ","","","",""
"Daily","1985","North Rhine-Westphalia","Couple + C. LE and GT 16","","","",""
"Daily","1985","Hesse","1-pers.-HH","","","",""
"Daily","1985","Hesse","(Married) couple without C. ","","","",""
"Daily","1985","Hesse","Single parent ","","","",""
"Daily","1985","Hesse","Couple + C. LE 16 ","","","",""
"Daily","1985","Hesse","Couple + C. GT 16 ","","","",""
"Daily","1985","Hesse","Couple + C. LE and GT 16","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","1-pers.-HH","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","(Married) couple without C. ","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","Single parent ","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","","","",""
"Daily","1985","Baden-Württemberg","1-pers.-HH","","","",""
"Daily","1985","Baden-Württemberg","(Married) couple without C. ","","","",""
"Daily","1985","Baden-Württemberg","Single parent ","","","",""
"Daily","1985","Baden-Württemberg","Couple + C. LE 16 ","","","",""
"Daily","1985","Baden-Württemberg","Couple + C. GT 16 ","","","",""
"Daily","1985","Baden-Württemberg","Couple + C. LE and GT 16","","","",""
"Daily","1985","Bavaria","1-pers.-HH","","","",""
"Daily","1985","Bavaria","(Married) couple without C. ","","","",""
"Daily","1985","Bavaria","Single parent ","","","",""
"Daily","1985","Bavaria","Couple + C. LE 16 ","","","",""
"Daily","1985","Bavaria","Couple + C. GT 16 ","","","",""
"Daily","1985","Bavaria","Couple + C. LE and GT 16","","","",""
"Daily","1985","Berlin","1-pers.-HH","","","",""
"Daily","1985","Berlin","(Married) couple without C. ","","","",""
"Daily","1985","Berlin","Single parent ","","","",""
"Daily","1985","Berlin","Couple + C. LE 16 ","","","",""
"Daily","1985","Berlin","Couple + C. GT 16 ","","","",""
"Daily","1985","Berlin","Couple + C. LE and GT 16","","","",""
"Daily","1985","Brandenburg","1-pers.-HH","","","",""
"Daily","1985","Brandenburg","(Married) couple without C. ","","","",""
"Daily","1985","Brandenburg","Single parent ","","","",""
"Daily","1985","Brandenburg","Couple + C. LE 16 ","","","",""
"Daily","1985","Brandenburg","Couple + C. GT 16 ","","","",""
"Daily","1985","Brandenburg","Couple + C. LE and GT 16","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Daily","1985","Saxony","1-pers.-HH","","","",""
"Daily","1985","Saxony","(Married) couple without C. ","","","",""
"Daily","1985","Saxony","Single parent ","","","",""
"Daily","1985","Saxony","Couple + C. LE 16 ","","","",""
"Daily","1985","Saxony","Couple + C. GT 16 ","","","",""
"Daily","1985","Saxony","Couple + C. LE and GT 16","","","",""
"Daily","1985","Saxony-Anhalt","1-pers.-HH","","","",""
"Daily","1985","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Daily","1985","Saxony-Anhalt","Single parent ","","","",""
"Daily","1985","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Daily","1985","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Daily","1985","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Daily","1985","Thuringia","1-pers.-HH","","","",""
"Daily","1985","Thuringia","(Married) couple without C. ","","","",""
"Daily","1985","Thuringia","Single parent ","","","",""
"Daily","1985","Thuringia","Couple + C. LE 16 ","","","",""
"Daily","1985","Thuringia","Couple + C. GT 16 ","","","",""
"Daily","1985","Thuringia","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1985","Schleswig-Holstein","1-pers.-HH","2","","",""
"Min 1x per week","1985","Schleswig-Holstein","(Married) couple without C. ","5","","",""
"Min 1x per week","1985","Schleswig-Holstein","Single parent ","1","","",""
"Min 1x per week","1985","Schleswig-Holstein","Couple + C. LE 16 ","6","","",""
"Min 1x per week","1985","Schleswig-Holstein","Couple + C. GT 16 ","1","","",""
"Min 1x per week","1985","Schleswig-Holstein","Couple + C. LE and GT 16","4","","",""
"Min 1x per week","1985","Hamburg","1-pers.-HH","4","","",""
"Min 1x per week","1985","Hamburg","(Married) couple without C. ","3","","",""
"Min 1x per week","1985","Hamburg","Single parent ","","","",""
"Min 1x per week","1985","Hamburg","Couple + C. LE 16 ","2","","",""
"Min 1x per week","1985","Hamburg","Couple + C. GT 16 ","2","","",""
"Min 1x per week","1985","Hamburg","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1985","Lower Saxony","1-pers.-HH","8","","",""
"Min 1x per week","1985","Lower Saxony","(Married) couple without C. ","20","","",""
"Min 1x per week","1985","Lower Saxony","Single parent ","7","","",""
"Min 1x per week","1985","Lower Saxony","Couple + C. LE 16 ","20","","",""
"Min 1x per week","1985","Lower Saxony","Couple + C. GT 16 ","17","","",""
"Min 1x per week","1985","Lower Saxony","Couple + C. LE and GT 16","17","","",""
"Min 1x per week","1985","Bremen","1-pers.-HH","","","",""
"Min 1x per week","1985","Bremen","(Married) couple without C. ","1","","",""
"Min 1x per week","1985","Bremen","Single parent ","","","",""
"Min 1x per week","1985","Bremen","Couple + C. LE 16 ","1","","",""
"Min 1x per week","1985","Bremen","Couple + C. GT 16 ","","","",""
"Min 1x per week","1985","Bremen","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1985","North Rhine-Westphalia","1-pers.-HH","27","","",""
"Min 1x per week","1985","North Rhine-Westphalia","(Married) couple without C. ","38","0.069189607849032","0.0491328108274999","0.089246404870564"
"Min 1x per week","1985","North Rhine-Westphalia","Single parent ","7","","",""
"Min 1x per week","1985","North Rhine-Westphalia","Couple + C. LE 16 ","44","0.0721072147961107","0.0534198766910311","0.0907945529011903"
"Min 1x per week","1985","North Rhine-Westphalia","Couple + C. GT 16 ","39","0.0867122704870884","0.0629549312687381","0.110469609705439"
"Min 1x per week","1985","North Rhine-Westphalia","Couple + C. LE and GT 16","34","0.118708685365483","0.0876271532551672","0.149790217475798"
"Min 1x per week","1985","Hesse","1-pers.-HH","3","","",""
"Min 1x per week","1985","Hesse","(Married) couple without C. ","16","","",""
"Min 1x per week","1985","Hesse","Single parent ","3","","",""
"Min 1x per week","1985","Hesse","Couple + C. LE 16 ","20","","",""
"Min 1x per week","1985","Hesse","Couple + C. GT 16 ","26","","",""
"Min 1x per week","1985","Hesse","Couple + C. LE and GT 16","12","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","1-pers.-HH","2","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","(Married) couple without C. ","17","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Single parent ","2","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","10","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","18","","",""
"Min 1x per week","1985","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","11","","",""
"Min 1x per week","1985","Baden-Württemberg","1-pers.-HH","8","","",""
"Min 1x per week","1985","Baden-Württemberg","(Married) couple without C. ","25","","",""
"Min 1x per week","1985","Baden-Württemberg","Single parent ","5","","",""
"Min 1x per week","1985","Baden-Württemberg","Couple + C. LE 16 ","39","0.097291969462462","0.0725021097428745","0.12208182918205"
"Min 1x per week","1985","Baden-Württemberg","Couple + C. GT 16 ","42","0.121794840402568","0.0904047547292574","0.153184926075878"
"Min 1x per week","1985","Baden-Württemberg","Couple + C. LE and GT 16","27","","",""
"Min 1x per week","1985","Bavaria","1-pers.-HH","15","","",""
"Min 1x per week","1985","Bavaria","(Married) couple without C. ","30","0.075585696097003","0.0506881078819873","0.100483284312019"
"Min 1x per week","1985","Bavaria","Single parent ","11","","",""
"Min 1x per week","1985","Bavaria","Couple + C. LE 16 ","41","0.0902201598320339","0.0642080796960025","0.116232239968065"
"Min 1x per week","1985","Bavaria","Couple + C. GT 16 ","32","0.107540658951204","0.0739626623294561","0.141118655572953"
"Min 1x per week","1985","Bavaria","Couple + C. LE and GT 16","31","0.118994047139016","0.0807956104534127","0.157192483824618"
"Min 1x per week","1985","Berlin","1-pers.-HH","5","","",""
"Min 1x per week","1985","Berlin","(Married) couple without C. ","7","","",""
"Min 1x per week","1985","Berlin","Single parent ","","","",""
"Min 1x per week","1985","Berlin","Couple + C. LE 16 ","7","","",""
"Min 1x per week","1985","Berlin","Couple + C. GT 16 ","1","","",""
"Min 1x per week","1985","Berlin","Couple + C. LE and GT 16","3","","",""
"Min 1x per week","1985","Brandenburg","1-pers.-HH","","","",""
"Min 1x per week","1985","Brandenburg","(Married) couple without C. ","","","",""
"Min 1x per week","1985","Brandenburg","Single parent ","","","",""
"Min 1x per week","1985","Brandenburg","Couple + C. LE 16 ","","","",""
"Min 1x per week","1985","Brandenburg","Couple + C. GT 16 ","","","",""
"Min 1x per week","1985","Brandenburg","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","1-pers.-HH","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","(Married) couple without C. ","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Single parent ","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Couple + C. LE 16 ","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Couple + C. GT 16 ","","","",""
"Min 1x per week","1985","Mecklenburg-Western Pomerania","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1985","Saxony","1-pers.-HH","","","",""
"Min 1x per week","1985","Saxony","(Married) couple without C. ","","","",""
"Min 1x per week","1985","Saxony","Single parent ","","","",""
"Min 1x per week","1985","Saxony","Couple + C. LE 16 ","","","",""
"Min 1x per week","1985","Saxony","Couple + C. GT 16 ","","","",""
"Min 1x per week","1985","Saxony","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1985","Saxony-Anhalt","1-pers.-HH","","","",""
"Min 1x per week","1985","Saxony-Anhalt","(Married) couple without C. ","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Single parent ","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Couple + C. LE 16 ","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Couple + C. GT 16 ","","","",""
"Min 1x per week","1985","Saxony-Anhalt","Couple + C. LE and GT 16","","","",""
"Min 1x per week","1985","Thuringia","1-pers.-HH","","","",""
"Min 1x per week","1985","Thuringia","(Married) couple without C. ","","","",""
"Min 1x per week","1985","Thuringia","Single parent ","","","",""
"Min 1x per week","1985","Thuringia","Couple + C. LE 16 ","","","",""
"Min 1x per week","1985","Thuringia","Couple + C. GT 16 ","","","",""
"Min 1x per week","1985","Thuringia","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1985","Schleswig-Holstein","1-pers.-HH","3","","",""
"Min 1x per month","1985","Schleswig-Holstein","(Married) couple without C. ","5","","",""
"Min 1x per month","1985","Schleswig-Holstein","Single parent ","","","",""
"Min 1x per month","1985","Schleswig-Holstein","Couple + C. LE 16 ","6","","",""
"Min 1x per month","1985","Schleswig-Holstein","Couple + C. GT 16 ","2","","",""
"Min 1x per month","1985","Schleswig-Holstein","Couple + C. LE and GT 16","4","","",""
"Min 1x per month","1985","Hamburg","1-pers.-HH","2","","",""
"Min 1x per month","1985","Hamburg","(Married) couple without C. ","1","","",""
"Min 1x per month","1985","Hamburg","Single parent ","","","",""
"Min 1x per month","1985","Hamburg","Couple + C. LE 16 ","6","","",""
"Min 1x per month","1985","Hamburg","Couple + C. GT 16 ","1","","",""
"Min 1x per month","1985","Hamburg","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1985","Lower Saxony","1-pers.-HH","1","","",""
"Min 1x per month","1985","Lower Saxony","(Married) couple without C. ","11","","",""
"Min 1x per month","1985","Lower Saxony","Single parent ","2","","",""
"Min 1x per month","1985","Lower Saxony","Couple + C. LE 16 ","20","","",""
"Min 1x per month","1985","Lower Saxony","Couple + C. GT 16 ","15","","",""
"Min 1x per month","1985","Lower Saxony","Couple + C. LE and GT 16","8","","",""
"Min 1x per month","1985","Bremen","1-pers.-HH","","","",""
"Min 1x per month","1985","Bremen","(Married) couple without C. ","2","","",""
"Min 1x per month","1985","Bremen","Single parent ","","","",""
"Min 1x per month","1985","Bremen","Couple + C. LE 16 ","2","","",""
"Min 1x per month","1985","Bremen","Couple + C. GT 16 ","","","",""
"Min 1x per month","1985","Bremen","Couple + C. LE and GT 16","","","",""
"Min 1x per month","1985","North Rhine-Westphalia","1-pers.-HH","15","","",""
"Min 1x per month","1985","North Rhine-Westphalia","(Married) couple without C. ","19","","",""
"Min 1x per month","1985","North Rhine-Westphalia","Single parent ","11","","",""
"Min 1x per month","1985","North Rhine-Westphalia","Couple + C. LE 16 ","52","0.0851570508469236","0.064992304528424","0.105321797165423"
"Min 1x per month","1985","North Rhine-Westphalia","Couple + C. GT 16 ","43","0.0884807171407365","0.0645055879742725","0.112455846307201"
"Min 1x per month","1985","North Rhine-Westphalia","Couple + C. LE and GT 16","15","","",""
"Min 1x per month","1985","Hesse","1-pers.-HH","6","","",""
"Min 1x per month","1985","Hesse","(Married) couple without C. ","13","","",""
"Min 1x per month","1985","Hesse","Single parent ","3","","",""
"Min 1x per month","1985","Hesse","Couple + C. LE 16 ","11","","",""
"Min 1x per month","1985","Hesse","Couple + C. GT 16 ","19","","",""
"Min 1x per month","1985","Hesse","Couple + C. LE and GT 16","9","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","1-pers.-HH","1","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","(Married) couple without C. ","11","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Single parent ","3","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Couple + C. LE 16 ","7","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Couple + C. GT 16 ","15","","",""
"Min 1x per month","1985","Rhineland-Palatinate,Saarland","Couple + C. LE and GT 16","10","","",""
"Min 1x per month","1985","Baden-Württemberg","1-pers.-HH","8","","",""
"Min 1x per month","1985","Baden-Württemberg","(Married) couple without C. ","9","","",""
"Min 1x per month","1985","Baden-Württemberg","Single parent ","4","","",""
"Min 1x per month","1985","Baden-Württemberg","Couple + C. LE 16 ","19","","",""
"Min 1x per month","1985","Baden-Württemberg","Couple + C. GT 16 ","24","","",""
"Min 1x per month","1985","Baden-Württemberg","Couple + C. LE and GT 16","24","","",""
"Min 1x per month","1985","Bavaria","1-pers.-HH","10","","",""
"Min 1x per month","1985","Bavaria","(Married) couple without C. ","33","0.0783840228008721","0.0530681494337926","0.103699896167952"
"Min 1x per month","1985","Bavaria","Single parent ","4","","",""
"Min 1x per month","1985","Bavaria","Couple + C. LE 16 ","39","0.105448397180742","0.0775629365283127","0.133333857833172"
"Min 1x per month","1985","Bavaria","Couple + C. GT 16 ","21","","",""
"Min 1x per month","1985","Bavaria","Couple + C. LE and GT 16","21","","",""
"Min 1x per month","1985","Berlin","1-pers.-HH","4","","",""
"Min 1x per month","1985","Berlin","(Married) couple without C. ","6","","",""
