"pli0096_h","year","bula_h","regtyp","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Schleswig-Holstein","Urban Area","","","",""
"Daily","1985","Schleswig-Holstein","Rural Area","","","",""
"Daily","1985","Hamburg","Urban Area","","","",""
"Daily","1985","Hamburg","Rural Area","","","",""
"Daily","1985","Lower Saxony","Urban Area","","","",""
"Daily","1985","Lower Saxony","Rural Area","","","",""
"Daily","1985","Bremen","Urban Area","","","",""
"Daily","1985","Bremen","Rural Area","","","",""
"Daily","1985","North Rhine-Westphalia","Urban Area","","","",""
"Daily","1985","North Rhine-Westphalia","Rural Area","","","",""
"Daily","1985","Hesse","Urban Area","","","",""
"Daily","1985","Hesse","Rural Area","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","Urban Area","","","",""
"Daily","1985","Rhineland-Palatinate,Saarland","Rural Area","","","",""
"Daily","1985","Baden-Württemberg","Urban Area","","","",""
"Daily","1985","Baden-Württemberg","Rural Area","","","",""
"Daily","1985","Bavaria","Urban Area","","","",""
"Daily","1985","Bavaria","Rural Area","","","",""
"Daily","1985","Berlin","Urban Area","","","",""
"Daily","1985","Berlin","Rural Area","","","",""
"Daily","1985","Brandenburg","Urban Area","","","",""
"Daily","1985","Brandenburg","Rural Area","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","Urban Area","","","",""
"Daily","1985","Mecklenburg-Western Pomerania","Rural Area","","","",""
"Daily","1985","Saxony","Urban Area","","","",""
"Daily","1985","Saxony","Rural Area","","","",""
"Daily","1985","Saxony-Anhalt","Urban Area","","","",""
"Daily","1985","Saxony-Anhalt","Rural Area","","","",""
"Daily","1985","Thuringia","Urban Area","","","",""
"Daily","1985","Thuringia","Rural Area","","","",""
"Min 1x per week","1985","Schleswig-Holstein","Urban Area","10","","",""
"Min 1x per week","1985","Schleswig-Holstein","Rural Area","11","","",""
"Min 1x per week","1985","Hamburg","Urban Area","11","","",""
"Min 1x per week","1985","Hamburg","Rural Area","","","",""
"Min 1x per week","1985","Lower Saxony","Urban Area","51","0.0927174862215174","0.0688863882328955","0.116548584210139"
"Min 1x per week","1985","Lower Saxony","Rural Area","45","0.0891183365927222","0.0645589601979797","0.113677712987465"
"Min 1x per week","1985","Bremen","Urban Area","3","","",""
"Min 1x per week","1985","Bremen","Rural Area","","","",""
"Min 1x per week","1985","North Rhine-Westphalia","Urban Area","186","0.0757071751288788","0.066015773587469","0.0853985766702885"
