"pli0096_h","year","education","pgcasmin","n","percent","lower_confidence","upper_confidence"
"Daily","1985","lower secondary degree","(0) in school","","","",""
"Daily","1985","lower secondary degree","(1a) inadequately completed","","","",""
"Daily","1985","lower secondary degree","(1b) general elementary school","","","",""
"Daily","1985","lower secondary degree","(1c) basic vocational qualification","","","",""
"Daily","1985","lower secondary degree","(2b) intermediate general qualification","","","",""
"Daily","1985","lower secondary degree","(2a) intermediate vocational","","","",""
"Daily","1985","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Daily","1985","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","lower secondary degree","(3a) lower tertiary education","","","",""
"Daily","1985","lower secondary degree","(3b) higher tertiary education","","","",""
"Daily","1985","secondary school degree","(0) in school","","","",""
"Daily","1985","secondary school degree","(1a) inadequately completed","","","",""
"Daily","1985","secondary school degree","(1b) general elementary school","","","",""
"Daily","1985","secondary school degree","(1c) basic vocational qualification","","","",""
"Daily","1985","secondary school degree","(2b) intermediate general qualification","","","",""
"Daily","1985","secondary school degree","(2a) intermediate vocational","","","",""
"Daily","1985","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Daily","1985","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","secondary school degree","(3a) lower tertiary education","","","",""
"Daily","1985","secondary school degree","(3b) higher tertiary education","","","",""
"Daily","1985","college entrance qualification","(0) in school","","","",""
"Daily","1985","college entrance qualification","(1a) inadequately completed","","","",""
"Daily","1985","college entrance qualification","(1b) general elementary school","","","",""
"Daily","1985","college entrance qualification","(1c) basic vocational qualification","","","",""
"Daily","1985","college entrance qualification","(2b) intermediate general qualification","","","",""
"Daily","1985","college entrance qualification","(2a) intermediate vocational","","","",""
"Daily","1985","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Daily","1985","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","college entrance qualification","(3a) lower tertiary education","","","",""
"Daily","1985","college entrance qualification","(3b) higher tertiary education","","","",""
"Daily","1985","Other degree","(0) in school","","","",""
"Daily","1985","Other degree","(1a) inadequately completed","","","",""
"Daily","1985","Other degree","(1b) general elementary school","","","",""
"Daily","1985","Other degree","(1c) basic vocational qualification","","","",""
"Daily","1985","Other degree","(2b) intermediate general qualification","","","",""
"Daily","1985","Other degree","(2a) intermediate vocational","","","",""
"Daily","1985","Other degree","(2c_gen) general maturity certificate","","","",""
"Daily","1985","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","Other degree","(3a) lower tertiary education","","","",""
"Daily","1985","Other degree","(3b) higher tertiary education","","","",""
"Daily","1985","no degree/no degree yet","(0) in school","","","",""
"Daily","1985","no degree/no degree yet","(1a) inadequately completed","","","",""
"Daily","1985","no degree/no degree yet","(1b) general elementary school","","","",""
"Daily","1985","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Daily","1985","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Daily","1985","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Daily","1985","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Daily","1985","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Daily","1985","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Daily","1985","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Min 1x per week","1985","lower secondary degree","(0) in school","","","",""
"Min 1x per week","1985","lower secondary degree","(1a) inadequately completed","","","",""
"Min 1x per week","1985","lower secondary degree","(1b) general elementary school","77","0.040617847922941","0.0318763643651312","0.0493593314807509"
"Min 1x per week","1985","lower secondary degree","(1c) basic vocational qualification","296","0.0860624088409528","0.0766354057035051","0.0954894119784006"
"Min 1x per week","1985","lower secondary degree","(2b) intermediate general qualification","","","",""
"Min 1x per week","1985","lower secondary degree","(2a) intermediate vocational","","","",""
"Min 1x per week","1985","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1985","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1985","lower secondary degree","(3a) lower tertiary education","","","",""
"Min 1x per week","1985","lower secondary degree","(3b) higher tertiary education","","","",""
"Min 1x per week","1985","secondary school degree","(0) in school","","","",""
"Min 1x per week","1985","secondary school degree","(1a) inadequately completed","","","",""
"Min 1x per week","1985","secondary school degree","(1b) general elementary school","","","",""
"Min 1x per week","1985","secondary school degree","(1c) basic vocational qualification","","","",""
"Min 1x per week","1985","secondary school degree","(2b) intermediate general qualification","58","0.120790334480441","0.0912969923682943","0.150283676592588"
"Min 1x per week","1985","secondary school degree","(2a) intermediate vocational","145","0.103547831067418","0.087167613535541","0.119928048599296"
"Min 1x per week","1985","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1985","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1985","secondary school degree","(3a) lower tertiary education","","","",""
"Min 1x per week","1985","secondary school degree","(3b) higher tertiary education","","","",""
"Min 1x per week","1985","college entrance qualification","(0) in school","","","",""
"Min 1x per week","1985","college entrance qualification","(1a) inadequately completed","","","",""
"Min 1x per week","1985","college entrance qualification","(1b) general elementary school","","","",""
"Min 1x per week","1985","college entrance qualification","(1c) basic vocational qualification","","","",""
"Min 1x per week","1985","college entrance qualification","(2b) intermediate general qualification","","","",""
"Min 1x per week","1985","college entrance qualification","(2a) intermediate vocational","","","",""
"Min 1x per week","1985","college entrance qualification","(2c_gen) general maturity certificate","30","0.1060632348552","0.0709255683289548","0.141200901381446"
"Min 1x per week","1985","college entrance qualification","(2c_voc) vocational maturity certificate","41","0.130806424922915","0.0935109571368718","0.168101892708958"
"Min 1x per week","1985","college entrance qualification","(3a) lower tertiary education","","","",""
"Min 1x per week","1985","college entrance qualification","(3b) higher tertiary education","53","0.129044411297473","0.0972462682311891","0.160842554363757"
"Min 1x per week","1985","Other degree","(0) in school","","","",""
"Min 1x per week","1985","Other degree","(1a) inadequately completed","","","",""
"Min 1x per week","1985","Other degree","(1b) general elementary school","","","",""
"Min 1x per week","1985","Other degree","(1c) basic vocational qualification","","","",""
"Min 1x per week","1985","Other degree","(2b) intermediate general qualification","","","",""
"Min 1x per week","1985","Other degree","(2a) intermediate vocational","","","",""
"Min 1x per week","1985","Other degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1985","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1985","Other degree","(3a) lower tertiary education","","","",""
"Min 1x per week","1985","Other degree","(3b) higher tertiary education","","","",""
"Min 1x per week","1985","no degree/no degree yet","(0) in school","","","",""
"Min 1x per week","1985","no degree/no degree yet","(1a) inadequately completed","","","",""
"Min 1x per week","1985","no degree/no degree yet","(1b) general elementary school","","","",""
"Min 1x per week","1985","no degree/no degree yet","(1c) basic vocational qualification","","","",""
"Min 1x per week","1985","no degree/no degree yet","(2b) intermediate general qualification","","","",""
"Min 1x per week","1985","no degree/no degree yet","(2a) intermediate vocational","","","",""
"Min 1x per week","1985","no degree/no degree yet","(2c_gen) general maturity certificate","","","",""
"Min 1x per week","1985","no degree/no degree yet","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per week","1985","no degree/no degree yet","(3a) lower tertiary education","","","",""
"Min 1x per week","1985","no degree/no degree yet","(3b) higher tertiary education","","","",""
"Min 1x per month","1985","lower secondary degree","(0) in school","","","",""
"Min 1x per month","1985","lower secondary degree","(1a) inadequately completed","","","",""
"Min 1x per month","1985","lower secondary degree","(1b) general elementary school","74","0.0364887001437828","0.0281856344234514","0.0447917658641143"
"Min 1x per month","1985","lower secondary degree","(1c) basic vocational qualification","241","0.0681043199140651","0.0596363440405654","0.0765722957875648"
"Min 1x per month","1985","lower secondary degree","(2b) intermediate general qualification","","","",""
"Min 1x per month","1985","lower secondary degree","(2a) intermediate vocational","","","",""
"Min 1x per month","1985","lower secondary degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1985","lower secondary degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1985","lower secondary degree","(3a) lower tertiary education","","","",""
"Min 1x per month","1985","lower secondary degree","(3b) higher tertiary education","","","",""
"Min 1x per month","1985","secondary school degree","(0) in school","","","",""
"Min 1x per month","1985","secondary school degree","(1a) inadequately completed","","","",""
"Min 1x per month","1985","secondary school degree","(1b) general elementary school","","","",""
"Min 1x per month","1985","secondary school degree","(1c) basic vocational qualification","","","",""
"Min 1x per month","1985","secondary school degree","(2b) intermediate general qualification","","","",""
"Min 1x per month","1985","secondary school degree","(2a) intermediate vocational","104","0.0766189948185004","0.0623187229592473","0.0909192666777536"
"Min 1x per month","1985","secondary school degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1985","secondary school degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1985","secondary school degree","(3a) lower tertiary education","","","",""
"Min 1x per month","1985","secondary school degree","(3b) higher tertiary education","","","",""
"Min 1x per month","1985","college entrance qualification","(0) in school","","","",""
"Min 1x per month","1985","college entrance qualification","(1a) inadequately completed","","","",""
"Min 1x per month","1985","college entrance qualification","(1b) general elementary school","","","",""
"Min 1x per month","1985","college entrance qualification","(1c) basic vocational qualification","","","",""
"Min 1x per month","1985","college entrance qualification","(2b) intermediate general qualification","","","",""
"Min 1x per month","1985","college entrance qualification","(2a) intermediate vocational","","","",""
"Min 1x per month","1985","college entrance qualification","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1985","college entrance qualification","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1985","college entrance qualification","(3a) lower tertiary education","","","",""
"Min 1x per month","1985","college entrance qualification","(3b) higher tertiary education","52","0.11757762832993","0.0870259722594088","0.148129284400452"
"Min 1x per month","1985","Other degree","(0) in school","","","",""
"Min 1x per month","1985","Other degree","(1a) inadequately completed","","","",""
"Min 1x per month","1985","Other degree","(1b) general elementary school","","","",""
"Min 1x per month","1985","Other degree","(1c) basic vocational qualification","","","",""
"Min 1x per month","1985","Other degree","(2b) intermediate general qualification","","","",""
"Min 1x per month","1985","Other degree","(2a) intermediate vocational","","","",""
"Min 1x per month","1985","Other degree","(2c_gen) general maturity certificate","","","",""
"Min 1x per month","1985","Other degree","(2c_voc) vocational maturity certificate","","","",""
"Min 1x per month","1985","Other degree","(3a) lower tertiary education","","","",""
"Min 1x per month","1985","Other degree","(3b) higher tertiary education","","","",""
"Min 1x per month","1985","no degree/no degree yet","(0) in school","","","",""
"Min 1x per month","1985","no degree/no degree yet","(1a) inadequately completed","","","",""
