"pli0096_h","year","sampreg","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","West Germany","","","","","1"
"Daily","1985","East Germany","","","","","1"
"Min 1x per month","1985","East Germany","","","","","3"
"Min 1x per month","1985","West Germany","623","0.0622648707317988","0.0577342338321287","0.0667955076314689","3"
"Min 1x per week","1985","East Germany","","","","","2"
"Min 1x per week","1985","West Germany","818","0.0831857476261257","0.0780077391195613","0.0883637561326901","2"
"Never","1985","East Germany","","","","","5"
"Never","1985","West Germany","8637","0.771784452891544","0.763915476434145","0.779653429348943","5"
"Rarely","1985","West Germany","849","0.0827649287505317","0.0775988488573176","0.0879310086437458","4"
"Rarely","1985","East Germany","","","","","4"
"Daily","1986","West Germany","","","","","1"
"Daily","1986","East Germany","","","","","1"
"Min 1x per month","1986","East Germany","","","","","3"
"Min 1x per month","1986","West Germany","619","0.064833141126931","0.0601251986868371","0.0695410835670248","3"
"Min 1x per week","1986","East Germany","","","","","2"
"Min 1x per week","1986","West Germany","775","0.0809193218441326","0.0757050821168496","0.0861335615714156","2"
"Never","1986","East Germany","","","","","5"
"Never","1986","West Germany","8347","0.777880269217034","0.769932632525484","0.785827905908583","5"
"Rarely","1986","West Germany","767","0.0763672678119029","0.0712892836361051","0.0814452519877007","4"
"Rarely","1986","East Germany","","","","","4"
"Daily","1987","West Germany","","","","","1"
"Daily","1987","East Germany","","","","","1"
"Min 1x per month","1987","East Germany","","","","","3"
"Min 1x per month","1987","West Germany","","","","","3"
"Min 1x per week","1987","West Germany","","","","","2"
"Min 1x per week","1987","East Germany","","","","","2"
"Never","1987","East Germany","","","","","5"
"Never","1987","West Germany","","","","","5"
"Rarely","1987","West Germany","","","","","4"
"Rarely","1987","East Germany","","","","","4"
"Daily","1988","West Germany","","","","","1"
"Daily","1988","East Germany","","","","","1"
"Min 1x per month","1988","West Germany","600","0.0656793581069171","0.0607999068665357","0.0705588093472986","3"
"Min 1x per month","1988","East Germany","","","","","3"
"Min 1x per week","1988","West Germany","809","0.0898070170779029","0.0841754347415292","0.0954385994142766","2"
"Min 1x per week","1988","East Germany","","","","","2"
"Never","1988","West Germany","7650","0.752165962071777","0.743661519058951","0.760670405084603","5"
"Never","1988","East Germany","","","","","5"
"Rarely","1988","West Germany","842","0.0923476627434029","0.0866449528343798","0.0980503726524259","4"
"Rarely","1988","East Germany","","","","","4"
"Daily","1989","East Germany","","","","","1"
"Daily","1989","West Germany","","","","","1"
"Min 1x per month","1989","East Germany","","","","","3"
"Min 1x per month","1989","West Germany","","","","","3"
"Min 1x per week","1989","West Germany","","","","","2"
"Min 1x per week","1989","East Germany","","","","","2"
"Never","1989","West Germany","","","","","5"
"Never","1989","East Germany","","","","","5"
"Rarely","1989","West Germany","","","","","4"
"Rarely","1989","East Germany","","","","","4"
"Daily","1990","East Germany","","","","","1"
"Daily","1990","West Germany","96","0.0121276825063251","0.00992305434824465","0.0143323106644056","1"
"Min 1x per month","1990","East Germany","497","0.10548198561653","0.0963390187055369","0.114624952527523","3"
"Min 1x per month","1990","West Germany","591","0.0706196992833944","0.0654596280602244","0.0757797705065644","3"
"Min 1x per week","1990","West Germany","615","0.0720914675938788","0.0668820334736448","0.0773009017141128","2"
"Min 1x per week","1990","East Germany","285","0.0625353468084058","0.055328526619517","0.0697421669972947","2"
"Never","1990","West Germany","7111","0.725074541065047","0.716081743022328","0.734067339107766","5"
"Never","1990","East Germany","3083","0.734434785104824","0.72128963143409","0.747579938775558","5"
"Rarely","1990","East Germany","471","0.0975478824702403","0.0887165860583703","0.10637917888211","4"
"Rarely","1990","West Germany","1056","0.120086609551355","0.113539293768278","0.126633925334431","4"
"Daily","1991","East Germany","","","","","1"
"Daily","1991","West Germany","","","","","1"
"Min 1x per month","1991","East Germany","","","","","3"
"Min 1x per month","1991","West Germany","","","","","3"
"Min 1x per week","1991","West Germany","","","","","2"
"Min 1x per week","1991","East Germany","","","","","2"
"Never","1991","West Germany","","","","","5"
"Never","1991","East Germany","","","","","5"
"Rarely","1991","East Germany","","","","","4"
"Rarely","1991","West Germany","","","","","4"
"Daily","1992","East Germany","","","","","1"
"Daily","1992","West Germany","","","","","1"
"Min 1x per month","1992","West Germany","548","0.0661771697111057","0.0611150180064974","0.071239321415714","3"
"Min 1x per month","1992","East Germany","238","0.0551913109124742","0.048070952248057","0.0623116695768914","3"
"Min 1x per week","1992","West Germany","622","0.0714959297123032","0.0662492883011696","0.0767425711234367","2"
"Min 1x per week","1992","East Germany","158","0.0387927365214142","0.0327716023272982","0.0448138707155302","2"
"Never","1992","West Germany","7112","0.749283157645791","0.740457165068218","0.758109150223365","5"
"Never","1992","East Germany","3172","0.819051894766317","0.807047858308498","0.831055931224135","5"
"Rarely","1992","East Germany","383","0.0869640577997946","0.0781777095787781","0.0957504060208111","4"
"Rarely","1992","West Germany","982","0.1130437429308","0.106595770333627","0.119491715527973","4"
"Daily","1993","East Germany","","","","","1"
"Daily","1993","West Germany","","","","","1"
"Min 1x per month","1993","West Germany","","","","","3"
"Min 1x per month","1993","East Germany","","","","","3"
"Min 1x per week","1993","East Germany","","","","","2"
"Min 1x per week","1993","West Germany","","","","","2"
"Never","1993","West Germany","","","","","5"
"Never","1993","East Germany","","","","","5"
"Rarely","1993","East Germany","","","","","4"
"Rarely","1993","West Germany","","","","","4"
"Daily","1994","East Germany","","","","","1"
"Daily","1994","West Germany","","","","","1"
"Min 1x per month","1994","West Germany","554","0.0672725318715394","0.0621162517430198","0.0724288120000591","3"
"Min 1x per month","1994","East Germany","241","0.0628367045638827","0.0550801562082912","0.0705932529194741","3"
"Min 1x per week","1994","East Germany","135","0.0328771177225176","0.0271775506820374","0.0385766847629978","2"
"Min 1x per week","1994","West Germany","638","0.0762766805456509","0.0708127259739763","0.0817406351173255","2"
"Never","1994","West Germany","6794","0.734964185951834","0.725879171887713","0.744049200015954","5"
"Never","1994","East Germany","3040","0.823739082966126","0.811559651466522","0.835918514465731","5"
"Rarely","1994","East Germany","344","0.0805470947474735","0.0718486050485601","0.0892455844463869","4"
"Rarely","1994","West Germany","1080","0.121486601630976","0.114761813282945","0.128211389979007","4"
"Daily","1995","West Germany","115","0.0132801777120062","0.0109886334592187","0.0155717219647936","1"
"Daily","1995","East Germany","23","","","","1"
"Min 1x per month","1995","West Germany","498","0.0582292582973339","0.0535414201930295","0.0629170964016382","3"
"Min 1x per month","1995","East Germany","222","0.0554722937119236","0.0480727361582228","0.0628718512656245","3"
"Min 1x per week","1995","East Germany","149","0.0348725119629681","0.0289419711614939","0.0408030527644423","2"
"Min 1x per week","1995","West Germany","622","0.070272002207522","0.0651552015567154","0.0753888028583286","2"
"Never","1995","East Germany","3021","0.838913634947947","0.827030025864869","0.850797244031025","5"
"Never","1995","West Germany","7530","0.765339577070211","0.756856051186207","0.773823102954216","5"
"Rarely","1995","East Germany","261","0.063776655038088","0.0558774944768038","0.0716758155993722","4"
"Rarely","1995","West Germany","821","0.0928789847129264","0.0870683881542176","0.0986895812716352","4"
"Daily","1996","West Germany","","","","","1"
"Daily","1996","East Germany","","","","","1"
"Min 1x per month","1996","West Germany","608","0.0745340881266639","0.0692202077185632","0.0798479685347646","3"
"Min 1x per month","1996","East Germany","256","0.0663218236062534","0.0582797311426063","0.0743639160699005","3"
"Min 1x per week","1996","East Germany","168","0.0430623839591649","0.036501942321844","0.0496228255964858","2"
