"pli0096_h","year","sampreg","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","West Germany","Male","","","","","1"
"Daily","1985","West Germany","Female","","","","","1"
"Daily","1985","East Germany","Male","","","","","1"
"Daily","1985","East Germany","Female","","","","","1"
"Min 1x per month","1985","East Germany","Male","","","","","3"
"Min 1x per month","1985","West Germany","Male","408","0.0853190088251261","0.077857042358884","0.0927809752913683","3"
"Min 1x per month","1985","East Germany","Female","","","","","3"
"Min 1x per month","1985","West Germany","Female","215","0.0417350103995917","0.0364703698383722","0.0469996509608112","3"
"Min 1x per week","1985","West Germany","Female","267","0.0540953593918108","0.0481403927227218","0.0600503260608999","2"
"Min 1x per week","1985","East Germany","Male","","","","","2"
"Min 1x per week","1985","East Germany","Female","","","","","2"
"Min 1x per week","1985","West Germany","Male","551","0.115852985332087","0.107304061995967","0.124401908668207","2"
"Never","1985","West Germany","Male","3955","0.70256523297405","0.690354696126568","0.714775769821532","5"
"Never","1985","West Germany","Female","4682","0.833424619678858","0.823615857129678","0.843233382228038","5"
"Never","1985","East Germany","Male","","","","","5"
"Never","1985","East Germany","Female","","","","","5"
"Rarely","1985","West Germany","Female","379","0.0707450105297394","0.0639952088874119","0.0774948121720668","4"
"Rarely","1985","East Germany","Male","","","","","4"
"Rarely","1985","West Germany","Male","470","0.0962627728687365","0.0883842312181819","0.104141314519291","4"
"Rarely","1985","East Germany","Female","","","","","4"
"Daily","1986","West Germany","Male","","","","","1"
"Daily","1986","West Germany","Female","","","","","1"
"Daily","1986","East Germany","Male","","","","","1"
"Daily","1986","East Germany","Female","","","","","1"
"Min 1x per month","1986","East Germany","Male","","","","","3"
"Min 1x per month","1986","West Germany","Female","230","0.0473437154005979","0.0416272508284363","0.0530601799727596","3"
"Min 1x per month","1986","East Germany","Female","","","","","3"
"Min 1x per month","1986","West Germany","Male","389","0.0842764936041604","0.0767302395970802","0.0918227476112407","3"
"Min 1x per week","1986","East Germany","Male","","","","","2"
"Min 1x per week","1986","West Germany","Male","541","0.117234381746289","0.108495694168948","0.12597306932363","2"
"Min 1x per week","1986","West Germany","Female","234","0.0482536823331524","0.0424852996777882","0.0540220649885166","2"
"Min 1x per week","1986","East Germany","Female","","","","","2"
"Never","1986","West Germany","Male","3856","0.71041224725503","0.698091378696716","0.722733115813344","5"
"Never","1986","West Germany","Female","4491","0.838568206669639","0.828664632434894","0.848471780904384","5"
"Never","1986","East Germany","Male","","","","","5"
"Never","1986","East Germany","Female","","","","","5"
"Rarely","1986","East Germany","Male","","","","","4"
"Rarely","1986","West Germany","Female","347","0.0658343955966106","0.0591591600964622","0.072509631096759","4"
"Rarely","1986","West Germany","Male","420","0.0880768773945203","0.0803783780421872","0.0957753767468535","4"
"Rarely","1986","East Germany","Female","","","","","4"
"Daily","1987","West Germany","Male","","","","","1"
"Daily","1987","East Germany","Female","","","","","1"
"Daily","1987","West Germany","Female","","","","","1"
"Daily","1987","East Germany","Male","","","","","1"
"Min 1x per month","1987","East Germany","Male","","","","","3"
"Min 1x per month","1987","East Germany","Female","","","","","3"
"Min 1x per month","1987","West Germany","Female","","","","","3"
"Min 1x per month","1987","West Germany","Male","","","","","3"
"Min 1x per week","1987","East Germany","Female","","","","","2"
"Min 1x per week","1987","West Germany","Male","","","","","2"
"Min 1x per week","1987","West Germany","Female","","","","","2"
"Min 1x per week","1987","East Germany","Male","","","","","2"
"Never","1987","West Germany","Male","","","","","5"
"Never","1987","West Germany","Female","","","","","5"
"Never","1987","East Germany","Male","","","","","5"
"Never","1987","East Germany","Female","","","","","5"
"Rarely","1987","East Germany","Male","","","","","4"
"Rarely","1987","East Germany","Female","","","","","4"
"Rarely","1987","West Germany","Male","","","","","4"
"Rarely","1987","West Germany","Female","","","","","4"
"Daily","1988","West Germany","Male","","","","","1"
"Daily","1988","East Germany","Female","","","","","1"
"Daily","1988","West Germany","Female","","","","","1"
"Daily","1988","East Germany","Male","","","","","1"
"Min 1x per month","1988","West Germany","Male","375","0.085949653023876","0.0781000838059229","0.0937992222418291","3"
"Min 1x per month","1988","West Germany","Female","225","0.0473068139662597","0.0414241882236098","0.0531894397089095","3"
"Min 1x per month","1988","East Germany","Male","","","","","3"
"Min 1x per month","1988","East Germany","Female","","","","","3"
"Min 1x per week","1988","West Germany","Female","280","0.0620017541873224","0.0553193022911747","0.0686842060834701","2"
"Min 1x per week","1988","East Germany","Female","","","","","2"
"Min 1x per week","1988","West Germany","Male","529","0.120484362290446","0.111367910806488","0.129600813774404","2"
"Min 1x per week","1988","East Germany","Male","","","","","2"
