"pli0096_h","year","e11103","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","Full Time","","","","","1"
"Daily","1985","Part Time","","","","","1"
"Daily","1985","Not Working","","","","","1"
"Min 1x per month","1985","Full Time","364","0.0879358144732856","0.0800344861397804","0.0958371428067908","3"
"Min 1x per month","1985","Part Time","93","0.0549827666081869","0.0445787558824594","0.0653867773339143","3"
"Min 1x per month","1985","Not Working","166","0.0413534759161145","0.035294294191553","0.0474126576406759","3"
"Min 1x per week","1985","Full Time","432","0.105932371625215","0.0973461114206743","0.114518631829756","2"
"Min 1x per week","1985","Part Time","144","0.0875714304996379","0.0746696903005073","0.100473170698769","2"
"Min 1x per week","1985","Not Working","242","0.0606193948804739","0.0533574105042958","0.0678813792566521","2"
"Never","1985","Full Time","3742","0.714406499333577","0.701804154151632","0.727008844515523","5"
"Never","1985","Not Working","3446","0.82777193578253","0.816281512526565","0.839262359038494","5"
"Never","1985","Part Time","1449","0.763233794674982","0.743831357516828","0.782636231833135","5"
"Rarely","1985","Full Time","397","0.0917253145679219","0.0836723141341287","0.099778315001715","4"
"Rarely","1985","Part Time","158","0.0942120082171936","0.0808788189904221","0.107545197443965","4"
"Rarely","1985","Not Working","294","0.0702551934208819","0.0624775180094684","0.0780328688322953","4"
"Daily","1986","Full Time","","","","","1"
"Daily","1986","Part Time","","","","","1"
"Daily","1986","Not Working","","","","","1"
"Min 1x per month","1986","Full Time","342","0.0825696620891786","0.0747948151063894","0.0903445090719678","3"
"Min 1x per month","1986","Part Time","112","0.0721497479499688","0.06025303503581","0.0840464608641277","3"
"Min 1x per month","1986","Not Working","165","0.0451674492482489","0.038630477905228","0.0517044205912699","3"
"Min 1x per week","1986","Full Time","421","0.104493294031179","0.095852101546425","0.113134486515933","2"
"Min 1x per week","1986","Part Time","126","0.0783028026415811","0.0659503438367229","0.0906552614464392","2"
"Min 1x per week","1986","Not Working","228","0.059475030815122","0.0520302366766794","0.0669198249535646","2"
"Never","1986","Full Time","3643","0.715607353111453","0.702863767909649","0.728350938313256","5"
"Never","1986","Part Time","1426","0.757176460995847","0.737460653382142","0.776892268609551","5"
"Never","1986","Not Working","3278","0.845030610580892","0.833639675622124","0.85642154553966","5"
"Rarely","1986","Full Time","408","0.0973296907681896","0.0889566674875766","0.105702714048803","4"
"Rarely","1986","Part Time","153","0.0923709884126034","0.0790574772296956","0.105684499595511","4"
"Rarely","1986","Not Working","206","0.0503269093557371","0.0434453416527925","0.0572084770586817","4"
"Daily","1987","Full Time","","","","","1"
"Daily","1987","Part Time","","","","","1"
"Daily","1987","Not Working","","","","","1"
"Min 1x per month","1987","Full Time","","","","","3"
"Min 1x per month","1987","Part Time","","","","","3"
"Min 1x per month","1987","Not Working","","","","","3"
"Min 1x per week","1987","Full Time","","","","","2"
"Min 1x per week","1987","Not Working","","","","","2"
"Min 1x per week","1987","Part Time","","","","","2"
"Never","1987","Full Time","","","","","5"
"Never","1987","Part Time","","","","","5"
"Never","1987","Not Working","","","","","5"
"Rarely","1987","Full Time","","","","","4"
"Rarely","1987","Part Time","","","","","4"
"Rarely","1987","Not Working","","","","","4"
"Daily","1988","Full Time","","","","","1"
"Daily","1988","Part Time","","","","","1"
"Daily","1988","Not Working","","","","","1"
"Min 1x per month","1988","Full Time","323","0.083181067063601","0.0751622507811297","0.0911998833460724","3"
"Min 1x per month","1988","Part Time","119","0.0680556595992924","0.0565013561807249","0.0796099630178599","3"
"Min 1x per month","1988","Not Working","158","0.0470608576140038","0.0400650273965491","0.0540566878314586","3"
"Min 1x per week","1988","Full Time","435","0.111190571037873","0.102062173603859","0.120318968471887","2"
"Min 1x per week","1988","Part Time","144","0.0880394262683841","0.0750394281323088","0.101039424404459","2"
"Min 1x per week","1988","Not Working","230","0.0690258841706182","0.0606515256159127","0.0774002427253236","2"
"Never","1988","Full Time","3392","0.700784458321877","0.687487860346948","0.714081056296806","5"
"Never","1988","Not Working","2879","0.812347617188545","0.799449546390468","0.825245687986622","5"
"Never","1988","Part Time","1379","0.73207743623117","0.711758554029977","0.752396318432364","5"
"Rarely","1988","Full Time","406","0.104843903576649","0.0959482633236475","0.113739543829651","4"
"Rarely","1988","Part Time","183","0.111827477901153","0.0973684336048693","0.126286522197437","4"
"Rarely","1988","Not Working","253","0.0715656410268332","0.0630502490457998","0.0800810330078666","4"
"Daily","1989","Full Time","","","","","1"
"Daily","1989","Part Time","","","","","1"
"Daily","1989","Not Working","","","","","1"
"Min 1x per month","1989","Full Time","","","","","3"
"Min 1x per month","1989","Part Time","","","","","3"
"Min 1x per month","1989","Not Working","","","","","3"
"Min 1x per week","1989","Full Time","","","","","2"
"Min 1x per week","1989","Part Time","","","","","2"
"Min 1x per week","1989","Not Working","","","","","2"
"Never","1989","Full Time","","","","","5"
"Never","1989","Part Time","","","","","5"
"Never","1989","Not Working","","","","","5"
"Rarely","1989","Full Time","","","","","4"
"Rarely","1989","Part Time","","","","","4"
"Rarely","1989","Not Working","","","","","4"
