"pli0096_h","year","migback","sex","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","no migration background","Male","","","","","1"
"Daily","1985","no migration background","Female","","","","","1"
"Daily","1985","direct migration background","Male","","","","","1"
"Daily","1985","direct migration background","Female","","","","","1"
"Daily","1985","indirect migration background","Male","","","","","1"
"Daily","1985","indirect migration background","Female","","","","","1"
"Min 1x per month","1985","no migration background","Male","362","0.0918927027770619","0.0826641759494526","0.101121229604671","3"
"Min 1x per month","1985","no migration background","Female","183","0.0427652025564666","0.0365811091086059","0.0489492960043273","3"
"Min 1x per month","1985","direct migration background","Male","46","0.0330004551835055","0.024124473555272","0.041876436811739","3"
"Min 1x per month","1985","indirect migration background","Male","","","","","3"
"Min 1x per month","1985","direct migration background","Female","28","","","","3"
"Min 1x per month","1985","indirect migration background","Female","4","","","","3"
"Min 1x per week","1985","no migration background","Male","470","0.121762180592727","0.111315325763006","0.132209035422447","2"
"Min 1x per week","1985","direct migration background","Male","73","0.0614380758094302","0.0495066165332451","0.0733695350856154","2"
"Min 1x per week","1985","no migration background","Female","241","0.0561024636641317","0.0490689079674007","0.0631360193608628","2"
"Min 1x per week","1985","indirect migration background","Male","8","","","","2"
"Min 1x per week","1985","direct migration background","Female","24","","","","2"
"Min 1x per week","1985","indirect migration background","Female","2","","","","2"
"Never","1985","no migration background","Male","2543","0.685577866693437","0.670745575852836","0.700410157534038","5"
"Never","1985","no migration background","Female","3357","0.827805071056564","0.816265338120586","0.839344803992542","5"
"Never","1985","direct migration background","Male","1361","0.845423228317332","0.827461319013164","0.8633851376215","5"
"Never","1985","indirect migration background","Male","51","0.754740736881065","0.649333674667424","0.860147799094706","5"
"Never","1985","direct migration background","Female","1258","0.887762112909124","0.870954869569682","0.904569356248566","5"
"Never","1985","indirect migration background","Female","67","0.895872682938434","0.827205887314828","0.96453947856204","5"
"Rarely","1985","no migration background","Male","389","0.100767249936775","0.0911507054604537","0.110383794413095","4"
"Rarely","1985","no migration background","Female","331","0.0733272627228373","0.0653598471932537","0.0812946782524209","4"
"Rarely","1985","direct migration background","Male","76","0.0601382406897321","0.0483255007238091","0.071950980655655","4"
"Rarely","1985","direct migration background","Female","45","0.0478325654448317","0.0364694624646928","0.0591956684249706","4"
"Rarely","1985","indirect migration background","Male","5","","","","4"
"Rarely","1985","indirect migration background","Female","3","","","","4"
"Daily","1986","no migration background","Male","","","","","1"
"Daily","1986","no migration background","Female","","","","","1"
"Daily","1986","direct migration background","Male","","","","","1"
"Daily","1986","direct migration background","Female","","","","","1"
"Daily","1986","indirect migration background","Male","","","","","1"
"Daily","1986","indirect migration background","Female","","","","","1"
"Min 1x per month","1986","no migration background","Male","332","0.0901009440461926","0.0807633390529903","0.0994385490393948","3"
"Min 1x per month","1986","direct migration background","Male","52","0.0371646051894875","0.0276611495888676","0.0466680607901073","3"
"Min 1x per month","1986","no migration background","Female","203","0.0483443274217727","0.0416229025361921","0.0550657523073533","3"
"Min 1x per month","1986","indirect migration background","Male","5","","","","3"
"Min 1x per month","1986","direct migration background","Female","25","","","","3"
"Min 1x per month","1986","indirect migration background","Female","2","","","","3"
"Min 1x per week","1986","no migration background","Female","204","0.0507496054095265","0.0438717127123285","0.0576274981067244","2"
"Min 1x per week","1986","no migration background","Male","448","0.122690731908319","0.111991404992508","0.133390058824129","2"
"Min 1x per week","1986","direct migration background","Male","86","0.0697680340339956","0.0569693700541086","0.0825666980138826","2"
"Min 1x per week","1986","direct migration background","Female","26","","","","2"
"Min 1x per week","1986","indirect migration background","Male","7","","","","2"
"Min 1x per week","1986","indirect migration background","Female","4","","","","2"
"Never","1986","no migration background","Male","2483","0.693992315449665","0.678963743413958","0.709020887485371","5"
