"pli0096_h","year","e11102","migback","n","percent","lower_confidence","upper_confidence"
"Daily","1985","Not Employed","no migration background","","","",""
"Daily","1985","Not Employed","direct migration background","","","",""
"Daily","1985","Not Employed","indirect migration background","","","",""
"Daily","1985","Employed","no migration background","","","",""
"Daily","1985","Employed","direct migration background","","","",""
"Daily","1985","Employed","indirect migration background","","","",""
"Min 1x per week","1985","Not Employed","no migration background","218","0.0625402231576182","0.0541469219740218","0.0709335243412145"
"Min 1x per week","1985","Not Employed","direct migration background","20","","",""
"Min 1x per week","1985","Not Employed","indirect migration background","4","","",""
"Min 1x per week","1985","Employed","no migration background","493","0.106120969739886","0.0972960340754242","0.114945905404348"
"Min 1x per week","1985","Employed","direct migration background","77","0.056256943536766","0.0462360123346466","0.0662778747388853"
"Min 1x per week","1985","Employed","indirect migration background","6","","",""
"Min 1x per month","1985","Not Employed","no migration background","144","0.0427658588980491","0.0357523643745173","0.0497793534215808"
"Min 1x per month","1985","Not Employed","direct migration background","20","","",""
"Min 1x per month","1985","Not Employed","indirect migration background","2","","",""
"Min 1x per month","1985","Employed","no migration background","401","0.0840472653882191","0.0760972147670579","0.0919973160093802"
"Min 1x per month","1985","Employed","direct migration background","54","0.0353723166419942","0.0273388176780154","0.0434058156059731"
"Min 1x per month","1985","Employed","indirect migration background","2","","",""
"Rarely","1985","Not Employed","no migration background","255","0.0722774550506899","0.0633013638948356","0.0812535462065442"
"Rarely","1985","Not Employed","direct migration background","33","0.0484765115158164","0.0342865181849307","0.062666504846702"
"Rarely","1985","Not Employed","indirect migration background","6","","",""
"Rarely","1985","Employed","no migration background","465","0.0972263517966022","0.0887374208602998","0.105715282732905"
"Rarely","1985","Employed","direct migration background","88","0.0573030484580148","0.0471949830403102","0.0674111138757193"
"Rarely","1985","Employed","indirect migration background","2","","",""
"Never","1985","Not Employed","no migration background","2580","0.822416462893643","0.809169265077281","0.835663660710005"
"Never","1985","Not Employed","direct migration background","807","0.893085177242474","0.87266910678765","0.913501247697298"
"Never","1985","Not Employed","indirect migration background","59","0.809107565463012","0.717692788069404","0.900522342856621"
"Never","1985","Employed","no migration background","3320","0.712605413075293","0.699638535250557","0.725572290900029"
"Never","1985","Employed","direct migration background","1812","0.851067691363225","0.835584173406234","0.866551209320215"
"Never","1985","Employed","indirect migration background","59","0.863488983218189","0.782479512090025","0.944498454346352"
"Daily","1986","Not Employed","no migration background","","","",""
