"pli0096_h","year","age_gr","regtyp","n","percent","lower_confidence","upper_confidence","value"
"Daily","1985","16-34 y.","Urban Area","","","","","1"
"Daily","1985","16-34 y.","Rural Area","","","","","1"
"Daily","1985","35-65 y.","Urban Area","","","","","1"
"Daily","1985","35-65 y.","Rural Area","","","","","1"
"Daily","1985","66 and older","Urban Area","","","","","1"
"Daily","1985","66 and older","Rural Area","","","","","1"
"Min 1x per month","1985","16-34 y.","Urban Area","142","0.0480799284900742","0.0407928969502756","0.0553669600298727","3"
"Min 1x per month","1985","16-34 y.","Rural Area","56","0.0727091509718846","0.0549692701818499","0.0904490317619193","3"
"Min 1x per month","1985","35-65 y.","Urban Area","294","0.0772167279896873","0.0694554277588948","0.0849780282204798","3"
"Min 1x per month","1985","66 and older","Urban Area","27","","","","3"
"Min 1x per month","1985","35-65 y.","Rural Area","94","0.087321247397755","0.0710333838552013","0.103609110940309","3"
"Min 1x per month","1985","66 and older","Rural Area","10","","","","3"
"Min 1x per week","1985","16-34 y.","Urban Area","251","0.0900533999761106","0.0803029084074587","0.0998038915447626","2"
"Min 1x per week","1985","35-65 y.","Urban Area","339","0.0906514433862327","0.0823034618025332","0.0989994249699322","2"
"Min 1x per week","1985","16-34 y.","Rural Area","69","0.0877415219118581","0.0684125075357557","0.10707053628796","2"
"Min 1x per week","1985","66 and older","Urban Area","34","0.0411484612140849","0.0275363990601222","0.0547605233680475","2"
"Min 1x per week","1985","35-65 y.","Rural Area","113","0.105167957765935","0.0874685933815184","0.122867322150351","2"
"Min 1x per week","1985","66 and older","Rural Area","12","","","","2"
"Never","1985","16-34 y.","Urban Area","2652","0.774173045194621","0.759930899872091","0.788415190517151","5"
"Never","1985","16-34 y.","Rural Area","610","0.719649006166485","0.688961641910178","0.750336370422792","5"
"Never","1985","35-65 y.","Urban Area","3572","0.7458519091418","0.733192930755476","0.758510887528125","5"
"Never","1985","66 and older","Urban Area","722","0.887146111530707","0.86546271661235","0.908829506449064","5"
"Never","1985","35-65 y.","Rural Area","842","0.714434326913501","0.688374030940806","0.740494622886196","5"
"Never","1985","66 and older","Rural Area","239","0.873604962377044","0.834473077752071","0.912736847002017","5"
"Rarely","1985","16-34 y.","Urban Area","266","0.0876936263391945","0.0780592663463925","0.0973279863319965","4"
"Rarely","1985","16-34 y.","Rural Area","88","0.119900320949772","0.0977068986255354","0.14209374327401","4"
"Rarely","1985","35-65 y.","Urban Area","339","0.0862799194822796","0.0781161566406002","0.094443682323959","4"
"Rarely","1985","35-65 y.","Rural Area","105","0.0930764679228088","0.0763135171700892","0.109839418675529","4"
"Rarely","1985","66 and older","Urban Area","35","0.0419624072669239","0.0282222117732487","0.055702602760599","4"
"Rarely","1985","66 and older","Rural Area","16","","","","4"
"Daily","1986","16-34 y.","Urban Area","","","","","1"
"Daily","1986","16-34 y.","Rural Area","","","","","1"
"Daily","1986","35-65 y.","Urban Area","","","","","1"
"Daily","1986","35-65 y.","Rural Area","","","","","1"
"Daily","1986","66 and older","Urban Area","","","","","1"
"Daily","1986","66 and older","Rural Area","","","","","1"
"Min 1x per month","1986","16-34 y.","Urban Area","152","0.0516482584880888","0.0440475902589462","0.0592489267172313","3"
"Min 1x per month","1986","35-65 y.","Urban Area","284","0.0787400630660728","0.0707123060245511","0.0867678201075946","3"
"Min 1x per month","1986","16-34 y.","Rural Area","44","0.0555488310085935","0.0397654134407166","0.0713322485764703","3"
"Min 1x per month","1986","66 and older","Urban Area","28","","","","3"
"Min 1x per month","1986","35-65 y.","Rural Area","98","0.0976254109214733","0.0800133336709058","0.115237488172041","3"
"Min 1x per month","1986","66 and older","Rural Area","13","","","","3"
"Min 1x per week","1986","16-34 y.","Rural Area","66","0.0876477376745764","0.068161613657536","0.107133861691617","2"
"Min 1x per week","1986","16-34 y.","Urban Area","248","0.0877706439033211","0.0780528904620156","0.0974883973446265","2"
"Min 1x per week","1986","35-65 y.","Urban Area","307","0.0841951708812489","0.0759186025607107","0.092471739201787","2"
"Min 1x per week","1986","35-65 y.","Rural Area","103","0.102684692503688","0.0846727269618645","0.120696658045511","2"
"Min 1x per week","1986","66 and older","Urban Area","40","0.0497883238291352","0.0344253014712871","0.0651513461869833","2"
"Min 1x per week","1986","66 and older","Rural Area","11","","","","2"
"Never","1986","16-34 y.","Urban Area","2590","0.768513670613934","0.754028364260683","0.782998976967184","5"
"Never","1986","16-34 y.","Rural Area","612","0.746884477561509","0.716923226991163","0.776845728131855","5"
"Never","1986","35-65 y.","Urban Area","3454","0.762398075776009","0.749712180530411","0.775083971021608","5"
"Never","1986","66 and older","Urban Area","679","0.887511746214475","0.865194357862862","0.909829134566088","5"
"Never","1986","35-65 y.","Rural Area","793","0.710842132037268","0.683939807774732","0.737744456299803","5"
"Never","1986","66 and older","Rural Area","219","0.858558819851839","0.815954416071529","0.90116322363215","5"
"Rarely","1986","16-34 y.","Urban Area","267","0.0920674269946562","0.082138118287014","0.101996735702298","4"
"Rarely","1986","16-34 y.","Rural Area","87","0.109918953755321","0.0883651015911389","0.131472805919504","4"
"Rarely","1986","35-65 y.","Urban Area","279","0.0746666902766689","0.0668320728028279","0.0825013077505098","4"
"Rarely","1986","66 and older","Urban Area","23","","","","4"
"Rarely","1986","35-65 y.","Rural Area","97","0.0888477645375714","0.0719645771473899","0.105730951927753","4"
"Rarely","1986","66 and older","Rural Area","14","","","","4"
"Daily","1987","16-34 y.","Urban Area","","","","","1"
"Daily","1987","16-34 y.","Rural Area","","","","","1"
"Daily","1987","35-65 y.","Urban Area","","","","","1"
"Daily","1987","35-65 y.","Rural Area","","","","","1"
"Daily","1987","66 and older","Urban Area","","","","","1"
"Daily","1987","66 and older","Rural Area","","","","","1"
"Min 1x per month","1987","35-65 y.","Urban Area","","","","","3"
"Min 1x per month","1987","16-34 y.","Urban Area","","","","","3"
"Min 1x per month","1987","16-34 y.","Rural Area","","","","","3"
"Min 1x per month","1987","66 and older","Urban Area","","","","","3"
"Min 1x per month","1987","35-65 y.","Rural Area","","","","","3"
"Min 1x per month","1987","66 and older","Rural Area","","","","","3"
"Min 1x per week","1987","16-34 y.","Urban Area","","","","","2"
"Min 1x per week","1987","16-34 y.","Rural Area","","","","","2"
"Min 1x per week","1987","35-65 y.","Urban Area","","","","","2"
"Min 1x per week","1987","66 and older","Urban Area","","","","","2"
"Min 1x per week","1987","35-65 y.","Rural Area","","","","","2"
"Min 1x per week","1987","66 and older","Rural Area","","","","","2"
"Never","1987","16-34 y.","Urban Area","","","","","5"
"Never","1987","16-34 y.","Rural Area","","","","","5"
"Never","1987","35-65 y.","Urban Area","","","","","5"
"Never","1987","35-65 y.","Rural Area","","","","","5"
"Never","1987","66 and older","Urban Area","","","","","5"
"Never","1987","66 and older","Rural Area","","","","","5"
"Rarely","1987","16-34 y.","Urban Area","","","","","4"
"Rarely","1987","35-65 y.","Urban Area","","","","","4"
"Rarely","1987","16-34 y.","Rural Area","","","","","4"
"Rarely","1987","66 and older","Urban Area","","","","","4"
"Rarely","1987","35-65 y.","Rural Area","","","","","4"
"Rarely","1987","66 and older","Rural Area","","","","","4"
"Daily","1988","16-34 y.","Urban Area","","","","","1"
"Daily","1988","16-34 y.","Rural Area","","","","","1"
"Daily","1988","35-65 y.","Urban Area","","","","","1"
"Daily","1988","35-65 y.","Rural Area","","","","","1"
"Daily","1988","66 and older","Urban Area","","","","","1"
"Daily","1988","66 and older","Rural Area","","","","","1"
"Min 1x per month","1988","35-65 y.","Urban Area","292","0.0870335739692056","0.0783424793486013","0.0957246685898098","3"
"Min 1x per month","1988","16-34 y.","Urban Area","125","0.0406432340534888","0.0336662369383071","0.0476202311686705","3"
"Min 1x per month","1988","16-34 y.","Rural Area","44","0.0647635019663798","0.0471147631586933","0.0824122407740663","3"
"Min 1x per month","1988","66 and older","Urban Area","26","","","","3"
"Min 1x per month","1988","35-65 y.","Rural Area","98","0.105715022575179","0.0867243792608669","0.124705665889492","3"
"Min 1x per month","1988","66 and older","Rural Area","15","","","","3"
"Min 1x per week","1988","16-34 y.","Urban Area","260","0.0991376798352624","0.0885784333101605","0.109696926360364","2"
"Min 1x per week","1988","35-65 y.","Urban Area","331","0.09868811228816","0.0894926485460003","0.10788357603032","2"
"Min 1x per week","1988","16-34 y.","Rural Area","71","0.0960567642148599","0.0749256524933793","0.11718787593634","2"
"Min 1x per week","1988","66 and older","Urban Area","42","0.0531069511021123","0.0374399139395178","0.0687739882647069","2"
"Min 1x per week","1988","35-65 y.","Rural Area","92","0.0974871711097974","0.0791668204580172","0.115807521761578","2"
"Min 1x per week","1988","66 and older","Rural Area","13","","","","2"
"Never","1988","16-34 y.","Urban Area","2416","0.757476390516681","0.742332205560839","0.772620575472523","5"
"Never","1988","16-34 y.","Rural Area","554","0.724337653131605","0.692293629337316","0.756381676925894","5"
"Never","1988","35-65 y.","Urban Area","3102","0.722237663012949","0.708428084910561","0.736047241115337","5"
"Never","1988","35-65 y.","Rural Area","695","0.665869849683822","0.636736805727533","0.695002893640111","5"
"Never","1988","66 and older","Urban Area","684","0.877962408792916","0.855093497021752","0.900831320564081","5"
"Never","1988","66 and older","Rural Area","199","0.836760063829593","0.790195655564602","0.883324472094585","5"
"Rarely","1988","16-34 y.","Urban Area","276","0.102742695594567","0.0920147065316611","0.113470684657474","4"
"Rarely","1988","35-65 y.","Urban Area","316","0.0920406507296856","0.0831275932246413","0.10095370823473","4"
"Rarely","1988","16-34 y.","Rural Area","78","0.114842080687156","0.0919782657660356","0.137705895608275","4"
"Rarely","1988","35-65 y.","Rural Area","122","0.130927956631201","0.110093727289592","0.15176218597281","4"
"Rarely","1988","66 and older","Urban Area","35","0.0429630238931663","0.0287961997116935","0.057129848074639","4"
"Rarely","1988","66 and older","Rural Area","15","","","","4"
"Daily","1989","16-34 y.","Urban Area","","","","","1"
"Daily","1989","16-34 y.","Rural Area","","","","","1"
"Daily","1989","35-65 y.","Urban Area","","","","","1"
"Daily","1989","35-65 y.","Rural Area","","","","","1"
"Daily","1989","66 and older","Urban Area","","","","","1"
"Daily","1989","66 and older","Rural Area","","","","","1"
"Min 1x per month","1989","16-34 y.","Urban Area","","","","","3"
"Min 1x per month","1989","35-65 y.","Urban Area","","","","","3"
"Min 1x per month","1989","16-34 y.","Rural Area","","","","","3"
"Min 1x per month","1989","66 and older","Urban Area","","","","","3"
