"pli0096_h","year","age_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"Daily","1985","16-34 y.","West Germany","","","",""
"Daily","1985","16-34 y.","East Germany","","","",""
"Daily","1985","35-65 y.","West Germany","","","",""
"Daily","1985","35-65 y.","East Germany","","","",""
"Daily","1985","66 and older","West Germany","","","",""
"Daily","1985","66 and older","East Germany","","","",""
"Min 1x per week","1985","16-34 y.","West Germany","320","0.0895281579268891","0.0808250185462063","0.0982312973075719"
"Min 1x per week","1985","16-34 y.","East Germany","","","",""
"Min 1x per week","1985","35-65 y.","West Germany","452","0.0940248244625585","0.086446620617462","0.101603028307655"
"Min 1x per week","1985","35-65 y.","East Germany","","","",""
"Min 1x per week","1985","66 and older","West Germany","46","0.040802478308715","0.0290848875316658","0.0525200690857642"
"Min 1x per week","1985","66 and older","East Germany","","","",""
"Min 1x per month","1985","16-34 y.","West Germany","198","0.0536755104920436","0.0468052850840373","0.0605457359000499"
"Min 1x per month","1985","16-34 y.","East Germany","","","",""
"Min 1x per month","1985","35-65 y.","West Germany","388","0.0795648395035782","0.072538258386586","0.0865914206205704"
"Min 1x per month","1985","35-65 y.","East Germany","","","",""
"Min 1x per month","1985","66 and older","West Germany","37","0.0304959802598528","0.0203115406480288","0.0406804198716768"
"Min 1x per month","1985","66 and older","East Germany","","","",""
"Rarely","1985","16-34 y.","West Germany","354","0.0950107554462531","0.086072125679456","0.10394938521305"
"Rarely","1985","16-34 y.","East Germany","","","",""
"Rarely","1985","35-65 y.","West Germany","444","0.0878593170769027","0.080508904893511","0.0952097292602944"
"Rarely","1985","35-65 y.","East Germany","","","",""
"Rarely","1985","66 and older","West Germany","51","0.045080743449766","0.0327916487231068","0.0573698381764253"
"Rarely","1985","66 and older","East Germany","","","",""
"Never","1985","16-34 y.","West Germany","3262","0.761785576134814","0.748799939245046","0.774771213024583"
"Never","1985","16-34 y.","East Germany","","","",""
"Never","1985","35-65 y.","West Germany","4414","0.738551018956961","0.727141414304749","0.749960623609172"
"Never","1985","35-65 y.","East Germany","","","",""
"Never","1985","66 and older","West Germany","961","0.883620797981666","0.864627005724099","0.902614590239234"
"Never","1985","66 and older","East Germany","","","",""
"Daily","1986","16-34 y.","West Germany","","","",""
"Daily","1986","16-34 y.","East Germany","","","",""
"Daily","1986","35-65 y.","West Germany","","","",""
"Daily","1986","35-65 y.","East Germany","","","",""
"Daily","1986","66 and older","West Germany","","","",""
"Daily","1986","66 and older","East Germany","","","",""
"Min 1x per week","1986","16-34 y.","West Germany","314","0.0877423587409538","0.079046192941047","0.0964385245408606"
"Min 1x per week","1986","16-34 y.","East Germany","","","",""
"Min 1x per week","1986","35-65 y.","West Germany","410","0.0884037765800053","0.0808426670661648","0.0959648860938457"
"Min 1x per week","1986","35-65 y.","East Germany","","","",""
"Min 1x per week","1986","66 and older","West Germany","51","0.0472873932360358","0.0343061432882671","0.0602686431838045"
"Min 1x per week","1986","66 and older","East Germany","","","",""
"Min 1x per month","1986","16-34 y.","West Germany","196","0.0525459211061239","0.0456876761385847","0.0594041660736631"
"Min 1x per month","1986","16-34 y.","East Germany","","","",""
